Date	Close	High	Low	Open	Volume
	ITT	ITT	ITT	ITT	ITT
1995-12-15	2.51	2.70	2.48	2.70	8791918
1995-12-18	2.45	2.56	2.41	2.56	7816043
1995-12-19	2.48	2.48	2.40	2.45	8774427
1995-12-20	2.44	2.51	2.44	2.48	6898673
1995-12-21	2.51	2.54	2.37	2.47	16778046
1995-12-22	2.56	2.59	2.51	2.51	7408323
1995-12-26	2.66	2.68	2.58	2.58	4896261
1995-12-27	2.62	2.66	2.62	2.66	3909530
1995-12-28	2.65	2.66	2.59	2.62	7847407
1995-12-29	2.68	2.68	2.62	2.63	1720145
1996-01-02	2.69	2.70	2.63	2.65	2626055
1996-01-03	2.63	2.73	2.63	2.68	8343185
1996-01-04	2.61	2.66	2.59	2.63	6117612
1996-01-05	2.56	2.59	2.54	2.59	5831725
1996-01-08	2.58	2.61	2.56	2.56	1671291
1996-01-09	2.61	2.65	2.59	2.59	26002413
1996-01-10	2.56	2.61	2.54	2.58	9727382
1996-01-11	2.52	2.58	2.48	2.56	11088058
1996-01-12	2.56	2.56	2.51	2.52	4414958
1996-01-15	2.58	2.58	2.51	2.55	3862485
1996-01-16	2.59	2.59	2.55	2.58	5360676
1996-01-17	2.61	2.62	2.56	2.58	4931242
1996-01-18	2.58	2.62	2.58	2.59	3949337
1996-01-19	2.51	2.56	2.51	2.54	2862485
1996-01-22	2.62	2.62	2.51	2.52	5034982
1996-01-23	2.74	2.76	2.62	2.62	5908323
1996-01-24	2.87	2.88	2.77	2.77	6697829
1996-01-25	2.77	2.86	2.77	2.84	4896261
1996-01-26	2.80	2.80	2.73	2.76	2434258
1996-01-29	2.88	2.88	2.80	2.80	2364897
1996-01-30	2.90	2.90	2.84	2.86	3633293
1996-01-31	2.90	2.91	2.87	2.87	3998191
1996-02-01	2.94	2.95	2.88	2.88	2623643
1996-02-02	2.88	2.95	2.84	2.94	2685766
1996-02-05	2.88	2.93	2.87	2.87	2491556
1996-02-06	2.81	2.88	2.79	2.87	3089264
1996-02-07	2.83	2.84	2.80	2.81	4788299
1996-02-08	2.87	2.87	2.81	2.84	3190591
1996-02-09	2.91	2.94	2.87	2.88	2262364
1996-02-12	2.93	2.94	2.86	2.90	1882388
1996-02-13	2.93	2.95	2.87	2.87	1096502
1996-02-14	2.88	2.95	2.88	2.93	1649578
1996-02-15	2.81	2.90	2.81	2.87	3411339
1996-02-16	2.83	2.84	2.74	2.79	4370326
1996-02-20	2.87	2.88	2.79	2.79	1724970
1996-02-21	3.00	3.03	2.83	2.83	1904704
1996-02-22	2.99	3.11	2.99	3.03	3142340
1996-02-23	2.97	3.00	2.96	2.96	1761158
1996-02-26	2.97	2.99	2.93	2.97	2301568
1996-02-27	2.97	3.00	2.96	2.97	4607358
1996-02-28	2.97	3.01	2.97	2.97	1781665
1996-02-29	2.94	2.97	2.94	2.96	1224970
1996-03-01	2.97	2.97	2.87	2.97	1351025
1996-03-04	2.99	2.99	2.94	2.99	1699638
1996-03-05	2.99	3.00	2.94	2.97	753920
1996-03-06	2.92	3.00	2.90	2.99	829916
1996-03-07	2.92	2.92	2.86	2.92	3037394
1996-03-08	2.86	2.89	2.80	2.86	1689988
1996-03-11	2.85	2.85	2.79	2.82	1635103
1996-03-12	2.85	2.86	2.79	2.80	2462002
1996-03-13	2.89	2.92	2.83	2.83	2865501
1996-03-14	2.96	2.97	2.87	2.89	1931846
1996-03-15	2.85	2.90	2.83	2.89	4545235
1996-03-18	2.85	2.85	2.79	2.82	2467431
1996-03-19	3.01	3.03	2.89	2.89	8358866
1996-03-20	3.00	3.01	2.96	2.99	3089867
1996-03-21	3.01	3.03	2.97	2.97	2943908
1996-03-22	3.11	3.11	3.01	3.03	3165259
1996-03-25	3.00	3.11	2.99	3.11	3245476
1996-03-26	3.03	3.04	3.00	3.01	2357057
1996-03-27	3.00	3.03	2.97	3.01	3135103
1996-03-28	2.99	3.00	2.97	2.99	2089867
1996-03-29	2.86	3.01	2.86	3.00	2088058
1996-04-01	2.90	2.94	2.89	2.89	1759349
1996-04-02	2.85	2.92	2.83	2.90	2007841
1996-04-03	2.86	2.92	2.85	2.87	2813028
1996-04-04	2.85	2.87	2.83	2.87	3514475
1996-04-08	2.85	2.86	2.79	2.80	3358263
1996-04-09	2.86	2.87	2.82	2.87	3528951
1996-04-10	2.89	2.89	2.83	2.86	3121834
1996-04-11	2.85	2.89	2.79	2.89	1440290
1996-04-12	2.87	2.89	2.85	2.85	1334138
1996-04-15	2.94	2.94	2.86	2.86	2613390
1996-04-16	2.90	2.96	2.90	2.94	2452955
1996-04-17	2.87	2.93	2.85	2.90	2565139
1996-04-18	2.85	2.90	2.82	2.87	2124246
1996-04-19	2.94	2.99	2.89	2.89	2759952
1996-04-22	2.93	2.94	2.92	2.94	3220748
1996-04-23	2.94	2.97	2.93	2.93	3415561
1996-04-24	2.97	3.00	2.94	2.94	3591074
1996-04-25	3.06	3.06	2.99	3.00	3025332
1996-04-26	3.13	3.15	3.06	3.06	3415561
1996-04-29	3.15	3.17	3.10	3.11	1446321
1996-04-30	3.08	3.15	3.06	3.14	2468637
1996-05-01	3.17	3.21	3.07	3.08	5794934
1996-05-02	3.14	3.17	3.11	3.15	3167069
1996-05-03	3.15	3.18	3.11	3.13	3428227
1996-05-06	3.13	3.15	3.11	3.15	1801568
1996-05-07	3.13	3.18	3.10	3.14	2915561
1996-05-08	3.14	3.18	3.01	3.10	1819662
1996-05-09	3.07	3.20	3.06	3.14	1669481
1996-05-10	3.10	3.13	3.07	3.10	1465018
1996-05-13	3.10	3.13	3.10	3.13	946924
1996-05-14	3.03	3.08	2.99	3.08	1553679
1996-05-15	3.14	3.17	3.02	3.02	972256
1996-05-16	3.19	3.19	3.11	3.14	1185163
1996-05-17	3.19	3.20	3.16	3.20	999397
1996-05-20	3.13	3.16	3.10	3.16	782268
1996-05-21	3.20	3.20	3.10	3.10	1104946
1996-05-22	3.21	3.21	3.17	3.19	846200
1996-05-23	3.13	3.21	3.11	3.21	1331725
1996-05-24	3.14	3.16	3.09	3.10	832328
1996-05-28	3.03	3.14	3.03	3.14	2367310
1996-05-29	3.03	3.07	3.03	3.03	3295537
1996-05-30	3.09	3.09	3.03	3.06	2091677
1996-05-31	3.09	3.10	3.06	3.09	1210495
1996-06-03	3.13	3.14	3.06	3.07	1392039
1996-06-04	3.11	3.16	3.11	3.16	881182
1996-06-05	3.14	3.14	3.11	3.14	1117612
1996-06-06	3.14	3.16	3.11	3.14	2530157
1996-06-07	3.11	3.13	3.07	3.10	1021713
1996-06-10	3.07	3.11	3.06	3.10	1393245
1996-06-11	3.03	3.07	3.03	3.07	1831725
1996-06-12	3.04	3.06	3.03	3.06	2159831
1996-06-13	2.93	3.03	2.93	3.02	1516888
1996-06-14	2.90	2.96	2.88	2.93	3327503
1996-06-17	2.82	2.90	2.82	2.90	3152593
1996-06-18	2.80	2.92	2.80	2.88	3203257
1996-06-19	2.88	2.89	2.80	2.80	1316647
1996-06-20	2.85	2.89	2.85	2.86	1094692
1996-06-21	2.93	2.96	2.86	2.88	3164656
1996-06-24	2.83	2.92	2.83	2.90	1779855
1996-06-25	2.80	2.83	2.79	2.82	3762967
1996-06-26	2.82	2.83	2.80	2.80	1859469
1996-06-27	2.82	2.85	2.80	2.82	1989747
1996-06-28	2.83	2.89	2.82	2.82	1486731
1996-07-01	2.86	2.93	2.83	2.85	1100724
1996-07-02	2.82	2.88	2.80	2.86	1071170
1996-07-03	2.82	2.86	2.80	2.83	825694
1996-07-05	2.83	2.85	2.79	2.79	735223
1996-07-08	2.83	2.83	2.80	2.82	3059710
