Date	Open	High	Low	Close	Volume
2000-05-19	90.37	90.37	88.85	89.12	775500.00
2000-05-22	89.06	89.06	86.67	88.57	1850600.00
2000-05-23	88.83	88.83	87.22	87.22	373900.00
2000-05-24	87.26	88.73	86.57	88.53	400300.00
2000-05-25	88.71	89.28	87.34	87.72	69600.00
2000-05-26	87.73	87.90	86.79	87.32	237000.00
2000-05-30	88.23	90.23	88.23	90.19	118100.00
2000-05-31	89.87	90.98	89.87	90.45	216900.00
2000-06-01	91.16	91.89	90.98	91.89	128700.00
2000-06-02	93.95	94.25	93.42	93.72	108400.00
2000-06-05	93.12	93.54	92.92	93.10	192100.00
2000-06-06	92.77	93.24	92.29	92.63	209300.00
2000-06-07	92.63	93.44	92.27	93.24	85400.00
2000-06-08	93.64	93.64	92.45	92.90	248400.00
2000-06-09	93.45	93.45	92.41	92.57	20200.00
2000-06-12	92.88	92.88	91.77	91.77	17600.00
2000-06-13	91.85	93.28	91.54	92.96	40300.00
2000-06-14	93.60	93.99	93.20	93.54	353900.00
2000-06-15	93.56	93.91	92.87	93.54	338500.00
2000-06-16	94.15	94.15	92.78	93.16	855900.00
2000-06-19	92.84	94.41	92.80	94.08	160000.00
2000-06-20	94.15	94.16	93.31	93.57	182600.00
2000-06-21	93.12	93.93	93.12	93.74	137500.00
2000-06-22	93.47	93.47	91.93	92.21	182900.00
2000-06-23	92.25	92.48	91.29	91.54	238200.00
2000-06-26	91.95	92.60	91.81	92.60	26000.00
2000-06-27	92.44	92.75	92.09	92.09	40900.00
2000-06-28	92.13	93.14	92.13	92.51	51200.00
2000-06-29	91.70	92.09	91.02	91.39	48500.00
2000-06-30	91.28	92.24	91.28	92.24	16800.00
2000-07-03	92.25	93.29	92.23	93.29	7100.00
2000-07-05	92.73	92.79	91.69	91.99	27400.00
2000-07-06	91.85	92.64	91.43	92.44	40100.00
2000-07-07	92.80	94.15	92.80	93.81	65500.00
2000-07-10	93.61	94.25	93.61	93.65	77500.00
2000-07-11	93.35	94.46	93.35	94.01	40700.00
2000-07-12	94.62	95.06	94.39	94.52	2642100.00
2000-07-13	94.92	95.28	94.55	94.84	971600.00
2000-07-14	95.26	95.81	94.98	95.72	158800.00
2000-07-17	95.56	96.31	95.47	95.66	430100.00
2000-07-18	95.40	95.42	94.70	94.98	763600.00
2000-07-19	94.68	94.83	94.09	94.09	120000.00
2000-07-20	94.39	95.37	94.32	95.37	96500.00
2000-07-21	94.72	94.74	93.65	93.65	601300.00
2000-07-24	93.99	94.21	92.94	92.94	251700.00
2000-07-25	93.49	93.52	93.08	93.46	116700.00
2000-07-26	93.12	93.13	92.40	92.56	474800.00
2000-07-27	92.38	92.92	91.85	92.18	94200.00
2000-07-28	92.25	92.25	89.71	90.17	1147800.00
2000-07-31	90.62	91.26	90.28	90.62	332900.00
2000-08-01	90.84	91.54	90.84	91.33	481700.00
2000-08-02	91.71	92.14	91.35	91.52	505900.00
2000-08-03	90.62	92.34	90.62	92.17	173500.00
2000-08-04	92.58	92.83	92.23	92.72	132900.00
2000-08-07	92.97	94.02	92.86	94.02	6500.00
2000-08-08	93.73	94.27	93.63	94.20	175400.00
2000-08-09	94.52	94.52	93.71	93.71	123100.00
2000-08-10	93.53	93.58	92.78	92.83	118000.00
2000-08-11	92.90	93.56	92.62	93.39	129400.00
2000-08-14	93.51	94.73	93.45	94.73	70100.00
2000-08-15	94.54	94.80	94.22	94.48	343600.00
2000-08-16	94.64	94.93	93.80	93.83	155000.00
2000-08-17	94.17	95.28	94.15	95.05	96900.00
2000-08-18	95.18	95.24	94.66	94.86	269000.00
2000-08-21	95.20	95.43	94.74	94.74	43000.00
2000-08-22	95.36	95.79	95.18	95.38	380100.00
2000-08-23	95.02	95.72	94.68	95.62	239100.00
2000-08-24	95.55	96.00	95.52	95.78	53100.00
2000-08-25	95.92	96.10	95.73	95.83	136000.00
2000-08-28	95.79	96.83	95.79	96.23	354000.00
2000-08-29	96.01	96.21	95.89	96.16	66900.00
2000-08-30	95.81	95.81	95.36	95.36	260100.00
2000-08-31	95.73	97.03	95.65	96.53	843400.00
2000-09-01	97.02	97.30	96.49	96.55	278000.00
2000-09-05	96.23	96.39	95.65	95.96	140700.00
2000-09-06	95.91	96.03	95.01	95.01	153200.00
2000-09-07	95.25	95.69	95.02	95.69	84000.00
2000-09-08	95.18	95.18	94.75	95.04	62600.00
2000-09-11	94.86	95.76	94.46	94.80	93300.00
2000-09-12	94.90	95.02	94.15	94.15	109000.00
2000-09-13	93.73	94.43	93.73	94.35	197900.00
2000-09-14	94.94	94.98	94.04	94.11	99900.00
2000-09-15	94.05	94.05	92.84	92.98	298900.00
2000-09-18	93.04	93.32	91.91	91.93	144700.00
2000-09-19	92.32	92.93	92.04	92.78	128300.00
2000-09-20	92.66	92.69	91.11	92.09	127700.00
2000-09-21	92.18	92.18	91.55	92.00	284200.00
2000-09-22	90.36	92.26	90.36	92.26	124600.00
2000-09-25	92.60	92.63	91.42	91.43	49300.00
2000-09-26	91.77	92.02	90.59	90.59	10500.00
2000-09-27	91.14	91.17	90.39	90.64	155200.00
2000-09-28	90.81	92.85	90.81	92.76	99100.00
2000-09-29	92.33	92.38	91.28	91.28	60400.00
2000-10-02	91.79	92.02	91.15	91.39	223700.00
2000-10-03	91.85	92.55	90.46	90.46	134300.00
2000-10-04	90.59	91.55	90.20	91.26	90000.00
2000-10-05	91.34	91.81	91.07	91.65	114100.00
2000-10-06	91.58	91.71	88.93	89.61	103800.00
2000-10-09	89.64	89.69	88.70	89.14	29300.00
2000-10-10	89.06	89.62	87.66	87.66	123800.00
2000-10-11	87.40	87.94	85.95	86.86	350200.00
2000-10-12	87.28	87.34	84.36	84.74	155200.00
2000-10-13	84.58	87.40	84.44	87.26	322200.00
2000-10-16	87.38	87.75	86.88	87.70	349600.00
2000-10-17	87.80	87.87	85.48	85.75	157600.00
2000-10-18	83.45	86.32	83.23	85.60	81800.00
2000-10-19	86.86	88.41	86.83	88.41	73300.00
2000-10-20	88.28	89.63	88.15	89.07	177100.00
2000-10-23	88.73	89.50	88.37	89.35	30300.00
2000-10-24	89.51	90.12	88.44	88.66	51700.00
2000-10-25	87.66	88.56	86.58	86.76	68600.00
2000-10-26	86.98	87.35	85.44	86.89	47700.00
2000-10-27	87.66	88.45	86.86	88.45	60200.00
2000-10-30	87.98	89.56	87.98	89.13	52500.00
2000-10-31	89.65	91.29	89.58	90.92	124000.00
2000-11-01	90.64	90.96	89.88	90.50	199300.00
2000-11-02	90.99	91.27	90.61	90.76	117100.00
2000-11-03	90.91	91.23	90.51	90.75	157100.00
2000-11-06	91.01	91.65	90.93	91.45	148000.00
2000-11-07	91.05	91.43	90.71	91.37	36700.00
2000-11-08	91.50	91.50	89.41	89.41	40700.00
2000-11-09	88.90	89.57	87.30	88.88	95300.00
2000-11-10	88.12	88.45	86.88	86.88	47200.00
2000-11-13	86.14	86.82	84.62	85.98	74200.00
2000-11-14	87.21	88.43	87.08	88.11	55200.00
2000-11-15	88.23	88.93	87.65	88.55	751900.00
2000-11-16	88.09	88.63	87.35	87.38	265600.00
2000-11-17	87.38	88.22	86.54	86.84	218300.00
2000-11-20	86.26	86.50	85.43	85.50	152700.00
2000-11-21	85.65	86.42	84.96	86.12	159800.00
2000-11-22	85.16	85.61	84.00	84.00	36300.00
2000-11-24	85.08	85.60	85.00	85.47	41300.00
2000-11-27	86.57	86.76	86.02	86.18	68100.00
2000-11-28	85.98	86.48	85.06	85.06	53100.00
2000-11-29	85.32	86.20	84.80	84.90	437000.00
2000-11-30	83.99	84.53	82.54	84.04	226800.00
2000-12-01	84.40	85.02	83.56	83.81	71000.00
2000-12-04	83.90	84.81	83.65	84.61	93400.00
2000-12-05	85.54	87.71	85.44	87.46	187600.00
2000-12-06	87.47	87.76	86.15	86.15	214300.00
2000-12-07	85.81	86.26	85.12	85.12	76100.00
2000-12-08	86.87	88.06	85.40	85.40	115200.00
2000-12-11	87.01	88.49	86.83	88.09	140900.00
2000-12-12	87.71	87.93	87.33	87.46	43500.00
2000-12-13	88.40	88.45	86.52	86.52	91000.00
