Date	Close	High	Low	Open	Volume
	IVZ	IVZ	IVZ	IVZ	IVZ
1995-08-25	2.83	2.84	2.80	2.80	3541000
1995-08-28	2.79	2.82	2.77	2.82	1418500
1995-08-29	2.79	2.82	2.76	2.81	879000
1995-08-30	2.80	2.80	2.78	2.79	436500
1995-08-31	2.79	2.80	2.77	2.80	606500
1995-09-01	2.80	2.80	2.78	2.79	217000
1995-09-05	2.79	2.80	2.78	2.79	385500
1995-09-06	2.78	2.79	2.77	2.78	247000
1995-09-07	2.76	2.78	2.75	2.78	738000
1995-09-08	2.61	2.75	2.61	2.74	946000
1995-09-11	2.68	2.72	2.62	2.62	434000
1995-09-12	2.77	2.78	2.73	2.73	817500
1995-09-13	2.78	2.82	2.77	2.81	542500
1995-09-14	2.79	2.79	2.77	2.78	154500
1995-09-15	2.79	2.79	2.78	2.78	218500
1995-09-18	2.80	2.80	2.77	2.78	422500
1995-09-19	2.78	2.79	2.77	2.79	116500
1995-09-20	2.73	2.77	2.72	2.77	124500
1995-09-21	2.75	2.76	2.73	2.75	157000
1995-09-22	2.69	2.73	2.69	2.73	94500
1995-09-25	2.68	2.71	2.68	2.71	53000
1995-09-26	2.72	2.75	2.72	2.73	266500
1995-09-27	2.71	2.72	2.71	2.71	95000
1995-09-28	2.75	2.76	2.73	2.73	205000
1995-09-29	2.87	2.89	2.83	2.83	1303000
1995-10-02	2.93	2.97	2.92	2.92	570000
1995-10-03	2.94	2.95	2.92	2.94	165000
1995-10-04	2.91	2.93	2.91	2.93	108500
1995-10-05	2.93	2.93	2.91	2.92	70500
1995-10-06	2.91	2.93	2.90	2.93	277000
1995-10-09	2.89	2.92	2.89	2.90	77000
1995-10-10	2.84	2.89	2.83	2.89	80000
1995-10-11	2.84	2.87	2.84	2.84	80500
1995-10-12	2.93	2.94	2.86	2.86	170000
1995-10-13	3.02	3.03	2.98	2.98	201000
1995-10-16	3.07	3.09	3.04	3.04	130000
1995-10-17	3.03	3.06	3.03	3.06	154500
1995-10-18	3.07	3.11	3.03	3.03	169000
1995-10-19	3.14	3.14	3.09	3.09	130500
1995-10-20	3.19	3.21	3.16	3.16	212500
1995-10-23	3.20	3.20	3.19	3.20	66000
1995-10-24	3.15	3.18	3.15	3.18	71500
1995-10-25	3.14	3.15	3.14	3.15	284500
