Date	Open	High	Low	Close	Volume
2000-05-26	32.70	32.84	32.54	32.84	74800.00
2000-05-30	33.31	34.05	33.31	34.05	57600.00
2000-05-31	34.16	34.61	34.16	34.17	36000.00
2000-06-01	34.87	34.95	34.87	34.95	7000.00
2000-06-02	36.53	36.76	36.53	36.76	29400.00
2000-06-05	36.67	37.03	36.58	36.63	48400.00
2000-06-06	37.21	37.64	36.88	36.99	151800.00
2000-06-07	36.76	37.03	36.43	37.03	131000.00
2000-06-08	37.44	37.44	36.94	36.94	91400.00
2000-06-09	37.30	37.59	37.28	37.59	41600.00
2000-06-12	37.71	37.71	36.45	36.48	85200.00
2000-06-13	36.39	36.94	36.05	36.94	168200.00
2000-06-14	37.25	37.25	36.76	36.76	43200.00
2000-06-15	36.54	36.81	36.19	36.81	26800.00
2000-06-16	36.97	36.99	36.61	36.61	30200.00
2000-06-19	36.81	37.53	36.64	37.53	59200.00
2000-06-20	37.58	37.83	37.44	37.77	47000.00
2000-06-21	37.46	38.04	37.46	37.97	66800.00
2000-06-22	38.09	38.09	36.83	36.83	139600.00
2000-06-23	37.19	37.19	36.29	36.58	235800.00
2000-06-26	36.73	37.03	36.56	37.03	93600.00
2000-06-27	37.09	37.41	36.45	36.45	112800.00
2000-06-28	36.61	37.50	36.61	37.37	170600.00
2000-06-29	37.19	37.26	36.67	36.78	212200.00
2000-06-30	36.81	37.14	36.50	37.14	1171800.00
2000-07-03	37.05	37.66	37.01	37.66	15800.00
2000-07-05	37.45	37.46	37.10	37.23	138800.00
2000-07-06	37.25	37.67	36.90	37.67	154600.00
2000-07-07	37.68	38.05	37.68	37.91	71800.00
2000-07-10	37.89	38.29	37.89	38.15	44800.00
2000-07-11	38.09	38.30	37.97	38.11	253200.00
2000-07-12	38.31	38.87	38.27	38.87	45200.00
2000-07-13	38.91	39.00	38.81	39.00	102600.00
2000-07-14	39.20	39.20	38.72	39.03	54800.00
2000-07-17	39.06	39.23	38.96	39.17	46600.00
