Date	Close	High	Low	Open	Volume
	JBHT	JBHT	JBHT	JBHT	JBHT
1983-11-22	1.07	1.10	1.07	1.07	5736000
1983-11-23	1.08	1.11	1.08	1.08	2424000
1983-11-25	1.13	1.14	1.13	1.13	741600
1983-11-28	1.05	1.08	1.05	1.08	1251600
1983-11-29	1.08	1.10	1.08	1.08	1209600
1983-11-30	1.08	1.11	1.08	1.08	632400
1983-12-01	1.08	1.11	1.08	1.08	422400
1983-12-02	1.07	1.11	1.07	1.08	985200
1983-12-05	1.05	1.10	1.05	1.07	229200
1983-12-06	1.04	1.07	1.04	1.05	220800
1983-12-07	1.04	1.08	1.04	1.04	85200
1983-12-08	1.05	1.08	1.05	1.05	264000
1983-12-09	1.05	1.08	1.05	1.05	246000
1983-12-12	1.05	1.08	1.05	1.05	164400
1983-12-13	1.07	1.10	1.07	1.07	687600
1983-12-14	1.07	1.10	1.07	1.07	164400
1983-12-15	1.07	1.10	1.07	1.07	81600
1983-12-16	1.07	1.10	1.07	1.07	135600
1983-12-19	1.07	1.10	1.07	1.07	150000
1983-12-20	1.08	1.11	1.08	1.08	126000
1983-12-21	1.08	1.11	1.08	1.08	362400
1983-12-22	1.08	1.10	1.08	1.08	24000
1983-12-23	1.10	1.11	1.10	1.10	130800
1983-12-27	1.11	1.14	1.11	1.11	338400
1983-12-28	1.11	1.14	1.11	1.11	54000
1983-12-29	1.08	1.14	1.08	1.11	58800
1983-12-30	1.10	1.14	1.10	1.10	205200
1984-01-03	1.11	1.14	1.11	1.11	18000
1984-01-04	1.10	1.13	1.10	1.11	352800
1984-01-05	1.11	1.14	1.11	1.11	499200
1984-01-06	1.16	1.19	1.16	1.16	218400
1984-01-09	1.14	1.19	1.14	1.16	22800
1984-01-10	1.16	1.20	1.16	1.16	26400
1984-01-11	1.16	1.20	1.16	1.16	99600
1984-01-12	1.16	1.20	1.16	1.16	67200
1984-01-13	1.16	1.21	1.16	1.16	446400
1984-01-16	1.17	1.21	1.17	1.17	328800
1984-01-17	1.21	1.26	1.21	1.21	637200
1984-01-18	1.23	1.26	1.23	1.23	73200
1984-01-19	1.23	1.27	1.23	1.23	397200
1984-01-20	1.23	1.27	1.23	1.23	356400
1984-01-23	1.23	1.27	1.23	1.23	318000
1984-01-24	1.19	1.24	1.19	1.23	615600
1984-01-25	1.19	1.24	1.19	1.19	176400
1984-01-26	1.19	1.24	1.19	1.19	183600
1984-01-27	1.16	1.20	1.16	1.19	352800
1984-01-30	1.08	1.11	1.08	1.11	79200
1984-01-31	1.07	1.11	1.07	1.08	92400
1984-02-01	1.07	1.10	1.07	1.07	434400
1984-02-02	1.07	1.10	1.07	1.07	9600
1984-02-03	1.07	1.10	1.07	1.07	46800
1984-02-06	1.07	1.10	1.07	1.07	140400
1984-02-07	1.03	1.08	1.03	1.07	166800
1984-02-08	1.03	1.07	1.03	1.03	4800
1984-02-09	1.03	1.07	1.03	1.03	584400
1984-02-10	1.04	1.07	1.04	1.04	386400
1984-02-13	1.03	1.05	1.03	1.04	62400
1984-02-14	1.03	1.05	1.03	1.03	45600
1984-02-15	1.03	1.05	1.03	1.03	54000
1984-02-16	1.04	1.07	1.04	1.04	200400
1984-02-17	1.05	1.07	1.05	1.05	7200
1984-02-21	1.04	1.07	1.04	1.05	2400
1984-02-22	1.04	1.10	1.04	1.04	128400
1984-02-23	1.04	1.10	1.04	1.04	2400
1984-02-24	1.04	1.10	1.04	1.04	140400
1984-02-27	1.04	1.08	1.04	1.04	79200
1984-02-28	1.04	1.08	1.04	1.04	130800
1984-02-29	1.04	1.08	1.04	1.04	8400
1984-03-01	1.04	1.08	1.04	1.04	2400
1984-03-02	1.04	1.04	1.04	1.04	0
1984-03-05	1.04	1.07	1.04	1.04	8400
1984-03-06	1.01	1.05	1.01	1.04	21600
1984-03-07	1.00	1.04	1.00	1.01	224400
1984-03-08	1.00	1.03	1.00	1.00	273600
1984-03-09	1.00	1.04	1.00	1.00	15600
1984-03-12	1.00	1.04	1.00	1.00	63600
1984-03-13	1.01	1.04	1.01	1.01	9600
1984-03-14	1.01	1.04	1.01	1.01	31200
1984-03-15	1.01	1.04	1.01	1.01	32400
1984-03-16	1.01	1.04	1.01	1.01	26400
1984-03-19	1.00	1.04	1.00	1.01	327600
1984-03-20	1.00	1.04	1.00	1.00	18000
1984-03-21	1.00	1.04	1.00	1.00	10800
1984-03-22	1.00	1.03	1.00	1.00	9600
1984-03-23	1.00	1.00	1.00	1.00	0
1984-03-26	0.98	1.04	0.98	1.00	642000
1984-03-27	1.00	1.03	1.00	1.00	16800
1984-03-28	1.00	1.03	1.00	1.00	234000
1984-03-29	1.00	1.04	1.00	1.00	20400
1984-03-30	1.00	1.04	1.00	1.00	10800
1984-04-02	1.00	1.04	1.00	1.00	25200
1984-04-03	1.00	1.04	1.00	1.00	34800
1984-04-04	1.00	1.04	1.00	1.00	7200
1984-04-05	1.00	1.04	1.00	1.00	66000
1984-04-06	1.00	1.04	1.00	1.00	136800
1984-04-09	1.00	1.04	1.00	1.00	2400
1984-04-10	1.00	1.04	1.00	1.00	7200
1984-04-11	0.98	1.03	0.98	1.00	12000
1984-04-12	0.98	1.03	0.98	0.98	38400
1984-04-13	0.98	1.03	0.98	0.98	36000
1984-04-16	0.98	1.03	0.98	0.98	28800
1984-04-17	1.00	1.03	1.00	1.00	36000
1984-04-18	0.98	1.03	0.98	1.00	170400
1984-04-19	0.98	1.01	0.98	0.98	25200
1984-04-23	0.98	1.01	0.98	0.98	142800
1984-04-24	1.00	1.04	1.00	1.00	78000
1984-04-25	1.01	1.05	1.01	1.01	658800
1984-04-26	1.04	1.07	1.04	1.04	37200
1984-04-27	1.04	1.07	1.04	1.04	625200
1984-04-30	1.04	1.05	1.04	1.04	753600
1984-05-01	1.04	1.05	1.04	1.04	8400
1984-05-02	1.04	1.07	1.04	1.04	8400
1984-05-03	1.04	1.07	1.04	1.04	8400
1984-05-04	1.04	1.07	1.04	1.04	3600
1984-05-07	1.04	1.04	1.04	1.04	0
1984-05-08	1.03	1.07	1.03	1.04	139200
1984-05-09	1.04	1.08	1.04	1.04	19200
1984-05-10	1.04	1.08	1.04	1.04	49200
1984-05-11	1.04	1.08	1.04	1.04	30000
1984-05-14	1.04	1.04	1.04	1.04	0
1984-05-15	1.03	1.07	1.03	1.04	37200
1984-05-16	1.04	1.07	1.04	1.04	54000
1984-05-17	1.03	1.07	1.03	1.04	36000
1984-05-18	1.03	1.07	1.03	1.03	10800
1984-05-21	1.03	1.07	1.03	1.03	133200
1984-05-22	1.03	1.07	1.03	1.03	22800
1984-05-23	1.03	1.03	1.03	1.03	0
1984-05-24	1.03	1.05	1.03	1.03	28800
1984-05-25	1.01	1.05	1.01	1.03	234000
1984-05-29	1.00	1.05	1.00	1.01	165600
1984-05-30	1.00	1.04	1.00	1.00	48000
1984-05-31	1.00	1.04	1.00	1.00	7200
1984-06-01	1.00	1.04	1.00	1.00	42000
1984-06-04	1.00	1.04	1.00	1.00	18000
1984-06-05	1.00	1.04	1.00	1.00	13200
1984-06-06	1.00	1.04	1.00	1.00	10800
1984-06-07	1.00	1.04	1.00	1.00	18000
1984-06-08	1.00	1.04	1.00	1.00	13200
1984-06-11	1.00	1.04	1.00	1.00	30000
1984-06-12	1.00	1.04	1.00	1.00	81600
1984-06-13	1.00	1.04	1.00	1.00	3600
1984-06-14	0.98	1.04	0.98	1.00	82800
1984-06-15	0.98	1.04	0.98	0.98	6000
1984-06-18	0.98	1.03	0.98	0.98	198000
1984-06-19	0.98	1.03	0.98	0.98	2400
1984-06-20	0.98	1.03	0.98	0.98	6000
1984-06-21	0.98	0.98	0.98	0.98	0
1984-06-22	0.97	1.03	0.97	0.98	15600
1984-06-25	0.97	1.03	0.97	0.97	20400
1984-06-26	0.98	1.03	0.98	0.98	9600
1984-06-27	0.98	1.03	0.98	0.98	12000
1984-06-28	0.97	1.03	0.97	0.98	373200
1984-06-29	0.98	1.04	0.98	0.98	21600
1984-07-02	0.98	1.04	0.98	0.98	6000
1984-07-03	0.98	1.04	0.98	0.98	133200
1984-07-05	0.98	1.04	0.98	0.98	7200
1984-07-06	0.98	1.04	0.98	0.98	1200
1984-07-09	0.98	1.04	0.98	0.98	3600
1984-07-10	0.98	1.04	0.98	0.98	39600
1984-07-11	0.98	0.98	0.98	0.98	74400
1984-07-12	0.98	0.98	0.98	0.98	0
1984-07-13	0.98	0.98	0.98	0.98	18000
1984-07-16	1.04	1.04	0.99	0.99	962400
1984-07-17	1.04	1.04	0.98	1.04	397200
1984-07-18	1.04	1.04	1.04	1.04	0
1984-07-19	1.04	1.04	1.04	1.04	0
1984-07-20	0.98	0.98	0.98	0.98	4800
1984-07-23	0.98	0.98	0.98	0.98	12000
1984-07-24	0.98	0.98	0.98	0.98	3600
1984-07-25	0.98	0.98	0.98	0.98	0
1984-07-26	0.96	0.96	0.95	0.96	240000
1984-07-27	0.99	0.99	0.98	0.98	14400
1984-07-30	1.01	1.01	0.98	0.99	13200
1984-07-31	1.01	1.01	1.01	1.01	0
1984-08-01	0.98	0.98	0.98	0.98	12000
1984-08-02	0.97	1.01	0.97	0.98	61200
1984-08-03	1.01	1.01	0.97	0.97	432000
1984-08-06	0.98	1.03	0.98	1.01	57600
1984-08-07	1.03	1.03	0.99	0.99	169200
1984-08-08	1.04	1.07	1.00	1.03	2821200
1984-08-09	1.03	1.07	1.03	1.04	2400
1984-08-10	1.07	1.07	1.05	1.05	218400
1984-08-13	1.06	1.10	1.06	1.07	39600
1984-08-14	1.05	1.05	1.05	1.05	2400
1984-08-15	1.10	1.10	1.05	1.05	3600
1984-08-16	1.07	1.08	1.07	1.08	13200
1984-08-17	1.05	1.10	1.04	1.07	892800
1984-08-20	1.10	1.10	1.10	1.10	2400
1984-08-21	1.05	1.05	1.05	1.05	3600
1984-08-22	1.10	1.10	1.10	1.10	74400
1984-08-23	1.10	1.11	1.07	1.10	16800
1984-08-24	1.07	1.11	1.07	1.10	3600
1984-08-27	1.11	1.11	1.11	1.11	1200
1984-08-28	1.11	1.11	1.11	1.11	0
1984-08-29	1.11	1.11	1.11	1.11	3600
1984-08-30	1.07	1.10	1.07	1.10	28800
1984-08-31	1.09	1.09	1.09	1.09	2400
1984-09-04	1.07	1.07	1.07	1.07	1200
1984-09-05	1.08	1.08	1.07	1.07	180000
1984-09-06	1.08	1.08	1.08	1.08	0
1984-09-07	1.07	1.08	1.07	1.08	12000
