Date	Close	High	Low	Open	Volume
	JHX	JHX	JHX	JHX	JHX
2001-10-22	1.21	1.21	1.21	1.21	3000
2001-10-23	1.21	1.21	1.21	1.21	0
2001-10-24	1.21	1.21	1.21	1.21	0
2001-10-25	1.21	1.21	1.21	1.21	0
2001-10-26	1.25	1.25	1.25	1.25	1000
2001-10-29	1.25	1.25	1.25	1.25	0
2001-10-30	1.25	1.25	1.25	1.25	0
2001-10-31	1.25	1.25	1.25	1.25	0
2001-11-01	1.21	1.21	1.21	1.21	500
2001-11-02	1.19	1.20	1.19	1.20	2000
2001-11-05	1.19	1.19	1.19	1.19	0
2001-11-06	1.20	1.20	1.20	1.20	3000
2001-11-07	1.19	1.19	1.18	1.18	1000
2001-11-08	1.19	1.19	1.19	1.19	0
2001-11-09	1.22	1.22	1.22	1.22	500
2001-11-12	1.22	1.22	1.22	1.22	0
2001-11-13	1.22	1.22	1.22	1.22	0
2001-11-14	1.22	1.22	1.22	1.22	0
2001-11-15	1.22	1.22	1.22	1.22	0
2001-11-16	1.22	1.22	1.22	1.22	0
2001-11-19	1.22	1.22	1.22	1.22	0
2001-11-20	1.45	1.45	1.45	1.45	500
2001-11-21	1.45	1.45	1.45	1.45	0
2001-11-23	1.45	1.45	1.45	1.45	0
2001-11-26	1.48	1.48	1.46	1.46	2000
2001-11-27	1.47	1.47	1.47	1.47	500
2001-11-28	1.47	1.47	1.47	1.47	0
2001-11-29	1.44	1.44	1.44	1.44	2500
2001-11-30	1.44	1.44	1.44	1.44	0
2001-12-03	1.44	1.44	1.44	1.44	0
2001-12-04	1.44	1.44	1.44	1.44	0
2001-12-05	1.44	1.44	1.44	1.44	0
2001-12-06	1.44	1.44	1.44	1.44	0
2001-12-07	1.44	1.44	1.44	1.44	0
2001-12-10	1.44	1.44	1.44	1.44	0
2001-12-11	1.44	1.44	1.44	1.44	0
2001-12-12	1.44	1.44	1.44	1.44	0
2001-12-13	1.44	1.44	1.44	1.44	0
2001-12-14	1.63	1.66	1.61	1.61	5000
2001-12-17	1.63	1.63	1.61	1.63	5500
2001-12-18	1.63	1.63	1.63	1.63	0
2001-12-19	1.63	1.63	1.63	1.63	0
2001-12-20	1.59	1.59	1.57	1.57	2000
2001-12-21	1.57	1.57	1.57	1.57	1500
2001-12-24	1.63	1.63	1.63	1.63	1000
2001-12-26	1.63	1.63	1.63	1.63	500
2001-12-27	1.67	1.67	1.67	1.67	2500
2001-12-28	1.67	1.67	1.67	1.67	0
2001-12-31	1.67	1.67	1.67	1.67	0
2002-01-02	1.69	1.69	1.69	1.69	2000
2002-01-03	1.69	1.69	1.69	1.69	0
2002-01-04	1.69	1.69	1.69	1.69	0
2002-01-07	1.69	1.69	1.69	1.69	0
2002-01-08	1.68	1.68	1.67	1.68	17000
2002-01-09	1.67	1.67	1.67	1.67	3000
2002-01-10	1.71	1.71	1.69	1.69	7500
2002-01-11	1.72	1.72	1.72	1.72	1000
2002-01-14	1.72	1.72	1.72	1.72	0
2002-01-15	1.72	1.72	1.72	1.72	0
2002-01-16	1.72	1.72	1.72	1.72	0
2002-01-17	1.72	1.72	1.72	1.72	2500
2002-01-18	1.72	1.72	1.72	1.72	5000
2002-01-22	1.72	1.72	1.72	1.72	1000
2002-01-23	1.72	1.72	1.70	1.71	2500
2002-01-24	1.72	1.72	1.72	1.72	0
2002-01-25	1.72	1.72	1.72	1.72	0
2002-01-28	1.72	1.72	1.72	1.72	0
2002-01-29	1.72	1.72	1.72	1.72	0
2002-01-30	1.76	1.76	1.74	1.74	6500
2002-01-31	1.78	1.78	1.78	1.78	15000
2002-02-01	1.78	1.78	1.78	1.78	4000
2002-02-04	1.78	1.78	1.78	1.78	0
2002-02-05	1.78	1.78	1.78	1.78	1000
2002-02-06	1.78	1.78	1.78	1.78	0
2002-02-07	1.69	1.69	1.69	1.69	500
2002-02-08	1.69	1.69	1.69	1.69	0
2002-02-11	1.73	1.73	1.72	1.72	2500
2002-02-12	1.73	1.73	1.73	1.73	0
2002-02-13	1.73	1.73	1.73	1.73	0
2002-02-14	1.73	1.73	1.73	1.73	2000
2002-02-15	1.73	1.73	1.73	1.73	0
2002-02-19	1.64	1.64	1.64	1.64	1500
2002-02-20	1.67	1.67	1.67	1.67	3000
2002-02-21	1.67	1.67	1.67	1.67	0
2002-02-22	1.67	1.67	1.67	1.67	0
2002-02-25	1.62	1.62	1.61	1.61	9500
2002-02-26	1.61	1.61	1.61	1.61	500
2002-02-27	1.61	1.61	1.61	1.61	0
2002-02-28	1.61	1.61	1.61	1.61	0
2002-03-01	1.66	1.66	1.64	1.64	3500
2002-03-04	1.68	1.68	1.68	1.68	1000
