Date	Open	High	Low	Close	Volume
2010-07-15	6.04	6.37	5.86	5.86	8791400.00
2010-07-16	5.89	5.94	5.40	5.57	428400.00
2010-07-19	5.72	5.73	5.56	5.63	272600.00
2010-07-20	5.85	5.85	5.08	5.32	3116500.00
2010-07-21	5.32	5.34	4.97	5.06	746800.00
2010-07-22	5.06	5.37	5.06	5.35	2691700.00
2010-07-23	5.33	5.46	5.33	5.46	257400.00
2010-07-26	5.74	5.74	5.53	5.57	1613300.00
2010-07-27	5.69	5.85	5.55	5.66	1159800.00
2010-07-28	5.72	5.76	5.50	5.51	789200.00
2010-07-29	5.58	5.61	5.37	5.45	626300.00
2010-07-30	5.47	5.47	5.19	5.20	2072200.00
2010-08-02	5.46	5.66	5.28	5.43	1033000.00
2010-08-03	5.46	5.51	5.35	5.48	367200.00
2010-08-04	5.48	5.54	5.43	5.48	2207600.00
2010-08-05	5.52	5.73	5.52	5.69	3230900.00
2010-08-06	5.68	5.69	5.55	5.67	533700.00
2010-08-09	5.75	5.75	5.63	5.69	1148400.00
2010-08-10	5.71	5.71	5.63	5.65	268000.00
2010-08-11	5.64	5.66	5.50	5.64	668000.00
2010-08-12	5.63	5.83	5.58	5.78	797700.00
2010-08-13	5.81	5.85	5.74	5.84	1260200.00
2010-08-16	5.77	5.81	5.72	5.74	1045000.00
2010-08-17	5.75	5.99	5.74	5.97	257800.00
2010-08-18	6.24	6.24	5.86	6.06	2045000.00
2010-08-19	6.06	6.15	5.92	5.99	1918700.00
2010-08-20	6.03	6.07	5.94	5.97	115800.00
2010-08-23	5.99	6.02	5.86	5.86	2008000.00
2010-08-24	5.81	5.94	5.75	5.89	615800.00
2010-08-25	5.90	5.91	5.79	5.86	1014200.00
2010-08-26	5.82	5.89	5.80	5.83	274700.00
2010-08-27	5.85	5.94	5.79	5.93	595800.00
2010-08-30	5.90	5.91	5.77	5.82	518100.00
2010-08-31	5.79	5.84	5.75	5.80	1000400.00
2010-09-01	5.86	6.24	5.83	5.93	1323600.00
2010-09-02	5.89	5.96	5.82	5.91	1362900.00
2010-09-03	5.94	5.96	5.88	5.94	444600.00
2010-09-07	5.86	6.00	5.86	5.94	1210400.00
2010-09-08	5.93	6.22	5.66	5.94	1662200.00
2010-09-09	5.93	5.97	5.84	5.89	436300.00
2010-09-10	5.89	5.94	5.82	5.89	956500.00
2010-09-13	5.93	5.96	5.82	5.96	1713200.00
2010-09-14	5.91	5.96	5.82	5.86	358400.00
2010-09-15	5.86	5.94	5.82	5.90	451500.00
2010-09-16	5.84	5.93	5.84	5.91	423000.00
2010-09-17	5.94	5.94	5.84	5.91	275900.00
2010-09-20	5.91	5.91	5.82	5.86	760700.00
2010-09-21	5.85	5.93	5.80	5.85	1372400.00
2010-09-22	5.83	6.00	5.80	5.94	1076700.00
2010-09-23	5.93	6.02	5.85	5.96	782000.00
2010-09-24	5.95	6.19	5.95	6.16	338800.00
2010-09-27	6.19	6.37	6.08	6.19	1024800.00
2010-09-28	6.23	6.25	6.03	6.08	16616300.00
2010-09-29	6.00	6.17	5.94	6.14	761500.00
2010-09-30	6.17	6.37	6.02	6.14	984400.00
2010-10-01	6.17	6.31	6.15	6.28	1459600.00
2010-10-04	6.29	6.33	6.22	6.22	866000.00
2010-10-05	6.20	6.33	6.18	6.27	1475600.00
2010-10-06	6.24	6.30	6.02	6.08	999800.00
2010-10-07	6.08	6.16	6.02	6.13	292200.00
2010-10-08	6.16	6.48	6.16	6.43	3009900.00
2010-10-11	6.44	6.44	6.26	6.37	1111000.00
2010-10-12	6.37	6.62	6.37	6.54	1068400.00
2010-10-13	6.56	6.69	6.49	6.58	1899600.00
