Date	Open	High	Low	Close	Volume
1980-10-08	0.61	0.62	0.61	0.61	2889600.00
1980-10-09	0.61	0.62	0.61	0.61	1176000.00
1980-10-10	0.67	0.69	0.67	0.67	1824000.00
1980-10-13	0.72	0.73	0.72	0.72	679200.00
1980-10-14	0.69	0.69	0.68	0.68	640800.00
1980-10-15	0.70	0.71	0.70	0.70	408000.00
1980-10-16	0.69	0.69	0.68	0.68	554400.00
1980-10-17	0.69	0.70	0.69	0.69	456000.00
1980-10-20	0.71	0.72	0.71	0.71	213600.00
1980-10-21	0.69	0.69	0.68	0.68	405600.00
1980-10-22	0.69	0.70	0.69	0.69	141600.00
1980-10-23	0.69	0.69	0.68	0.68	180000.00
1980-10-24	0.69	0.71	0.69	0.69	115200.00
1980-10-27	0.69	0.70	0.68	0.68	136800.00
1980-10-28	0.68	0.68	0.67	0.67	168000.00
1980-10-29	0.68	0.69	0.68	0.68	144000.00
1980-10-30	0.66	0.66	0.65	0.65	163200.00
1980-10-31	0.65	0.67	0.65	0.65	124800.00
1980-11-03	0.66	0.68	0.66	0.66	74400.00
1980-11-05	0.66	0.68	0.66	0.66	105600.00
1980-11-06	0.65	0.65	0.64	0.64	72000.00
1980-11-07	0.64	0.64	0.62	0.62	139200.00
1980-11-10	0.65	0.66	0.65	0.65	105600.00
1980-11-11	0.70	0.71	0.70	0.70	134400.00
1980-11-12	0.73	0.75	0.73	0.73	84000.00
1980-11-13	0.74	0.75	0.74	0.74	88800.00
1980-11-14	0.76	0.77	0.76	0.76	172800.00
1980-11-17	0.80	0.82	0.80	0.80	112800.00
1980-11-18	0.82	0.84	0.82	0.82	206400.00
1980-11-19	0.83	0.84	0.83	0.83	55200.00
1980-11-20	0.81	0.81	0.79	0.79	132000.00
1980-11-21	0.79	0.81	0.79	0.79	64800.00
1980-11-24	0.79	0.81	0.78	0.78	57600.00
1980-11-25	0.85	0.86	0.85	0.85	50400.00
1980-11-26	0.85	0.86	0.84	0.84	50400.00
1980-11-28	0.84	0.86	0.84	0.84	64800.00
1980-12-01	0.83	0.83	0.82	0.82	88800.00
1980-12-02	0.82	0.83	0.82	0.82	67200.00
1980-12-03	0.82	0.83	0.82	0.82	93600.00
1980-12-04	0.82	0.83	0.82	0.82	72000.00
1980-12-05	0.82	0.83	0.81	0.81	81600.00
1980-12-08	0.76	0.76	0.71	0.71	105600.00
1980-12-09	0.71	0.76	0.71	0.71	50400.00
1980-12-10	0.72	0.77	0.72	0.72	256800.00
1980-12-11	0.72	0.76	0.71	0.71	120000.00
1980-12-12	0.71	0.76	0.71	0.71	55200.00
1980-12-15	0.71	0.75	0.71	0.71	86400.00
1980-12-16	0.71	0.75	0.71	0.71	36000.00
1980-12-17	0.71	0.75	0.71	0.71	9600.00
1980-12-18	0.71	0.75	0.71	0.71	91200.00
1980-12-19	0.71	0.75	0.70	0.70	26400.00
1980-12-22	0.70	0.75	0.70	0.70	12000.00
1980-12-23	0.70	0.75	0.70	0.70	1063200.00
1980-12-24	0.70	0.75	0.70	0.70	57600.00
1980-12-26	0.70	0.75	0.70	0.70	28800.00
1980-12-29	0.70	0.75	0.70	0.70	40800.00
1980-12-30	0.70	0.75	0.70	0.70	40800.00
1980-12-31	0.70	0.74	0.70	0.70	76800.00
1981-01-02	0.70	0.74	0.70	0.70	16800.00
1981-01-05	0.70	0.74	0.69	0.69	86400.00
1981-01-06	0.70	0.75	0.70	0.70	144000.00
1981-01-07	0.69	0.69	0.65	0.65	196800.00
1981-01-08	0.65	0.68	0.64	0.64	55200.00
1981-01-09	0.64	0.68	0.64	0.64	14400.00
1981-01-12	0.66	0.70	0.66	0.66	93600.00
1981-01-13	0.66	0.69	0.66	0.66	40800.00
1981-01-14	0.66	0.69	0.65	0.65	24000.00
1981-01-15	0.65	0.69	0.65	0.65	28800.00
1981-01-16	0.61	0.61	0.59	0.59	86400.00
1981-01-19	0.65	0.67	0.65	0.65	122400.00
1981-01-20	0.65	0.66	0.63	0.63	153600.00
1981-01-21	0.65	0.68	0.65	0.65	67200.00
1981-01-22	0.65	0.65	0.61	0.61	52800.00
1981-01-23	0.63	0.66	0.63	0.63	45600.00
1981-01-26	0.63	0.65	0.61	0.61	38400.00
1981-01-27	0.61	0.65	0.61	0.61	7200.00
1981-01-28	0.61	0.65	0.61	0.61	21600.00
1981-01-29	0.61	0.65	0.61	0.61	278400.00
