Date	Close	High	Low	Open	Volume
	KRMN	KRMN	KRMN	KRMN	KRMN
2025-02-13	30.05	30.99	28.02	30.00	12999100
2025-02-14	32.00	32.07	29.29	30.05	2269600
2025-02-18	31.53	32.39	30.55	31.95	1020700
2025-02-19	31.00	32.10	30.51	31.25	1079600
2025-02-20	29.14	31.66	28.45	31.00	2555100
2025-02-21	29.33	29.91	29.00	29.35	455000
2025-02-24	29.38	30.49	29.02	29.24	703200
2025-02-25	30.00	30.17	29.02	29.33	473500
2025-02-26	30.14	30.56	29.86	30.46	415300
2025-02-27	30.23	30.86	29.75	30.24	487500
2025-02-28	31.54	31.74	29.65	30.25	689600
2025-03-03	33.43	34.20	31.29	31.50	1093400
2025-03-04	32.00	33.36	31.07	33.15	1096700
2025-03-05	31.19	32.81	30.68	32.10	494100
2025-03-06	28.16	30.73	27.90	30.50	1217300
2025-03-07	28.78	29.14	27.76	28.61	533500
2025-03-10	28.42	29.15	27.13	28.78	486500
2025-03-11	29.67	30.12	27.73	27.73	515800
2025-03-12	30.10	31.47	29.21	29.21	304600
2025-03-13	30.74	30.77	29.49	30.10	373400
2025-03-14	33.16	33.17	30.48	30.86	527100
2025-03-17	34.02	34.82	33.01	33.62	828000
2025-03-18	34.50	35.83	33.69	34.28	459400
2025-03-19	37.08	37.42	34.45	34.62	661400
2025-03-20	35.99	37.64	35.70	37.38	572400
2025-03-21	34.94	36.00	33.03	35.18	2190400
2025-03-24	37.51	37.97	35.46	36.47	899200
2025-03-25	37.39	38.09	36.31	37.37	523300
2025-03-26	36.29	38.58	35.53	37.62	916000
2025-03-27	36.54	38.49	35.94	36.24	930300
2025-03-28	35.08	37.30	34.30	37.01	2349600
2025-03-31	33.42	34.68	33.05	34.49	1237200
2025-04-01	33.64	34.12	32.35	32.35	2050800
2025-04-02	34.60	34.99	32.79	33.07	1417300
2025-04-03	32.85	34.18	31.25	32.37	920900
2025-04-04	27.98	32.20	27.30	31.47	1840400
2025-04-07	26.77	28.03	25.02	26.89	1440300
2025-04-08	27.80	28.81	25.61	28.00	2311400
2025-04-09	30.46	30.77	26.60	28.00	1738700
2025-04-10	30.17	31.11	28.94	29.95	1146600
2025-04-11	31.03	31.82	29.04	29.82	929700
2025-04-14	32.50	32.78	30.90	31.65	608100
2025-04-15	34.14	34.60	32.21	32.27	1075500
2025-04-16	34.43	34.94	33.17	33.90	1031600
2025-04-17	34.89	35.38	34.14	34.72	671100
2025-04-21	32.33	35.54	31.64	34.82	662700
2025-04-22	33.82	33.92	32.12	32.42	373700
2025-04-23	33.69	35.46	33.28	35.00	567100
2025-04-24	35.13	35.66	33.38	33.85	403600
2025-04-25	34.80	35.27	34.26	34.92	434700
2025-04-28	35.52	35.99	34.81	34.87	1003200
2025-04-29	34.85	35.50	33.83	35.23	565600
2025-04-30	35.75	35.87	33.73	34.48	679000
2025-05-01	36.30	37.51	35.75	35.75	736100
2025-05-02	37.89	38.36	36.64	36.64	521500
2025-05-05	39.08	39.25	37.40	37.73	501500
2025-05-06	38.34	38.84	36.11	36.29	587100
2025-05-07	38.10	38.90	37.89	38.47	268100
2025-05-08	38.60	39.00	38.08	38.63	386900
