Date	Close	High	Low	Open	Volume
	KSPI	KSPI	KSPI	KSPI	KSPI
2024-01-19	90.14	90.14	85.23	86.88	3410500
2024-01-22	85.60	87.50	84.19	85.71	1019600
2024-01-23	85.47	86.39	85.44	85.60	340300
2024-01-24	85.58	86.65	84.52	86.46	381000
2024-01-25	85.20	85.85	84.52	85.47	120600
2024-01-26	85.15	86.10	84.43	86.05	262300
2024-01-29	86.88	87.35	83.59	83.88	695400
2024-01-30	85.57	86.41	84.91	85.93	235000
2024-01-31	85.89	87.35	85.44	85.44	511500
2024-02-01	86.31	86.88	86.20	86.22	183000
2024-02-02	86.51	87.19	85.57	85.95	103700
2024-02-05	85.35	87.35	84.58	87.35	198000
2024-02-06	85.43	86.92	85.08	86.20	99400
2024-02-07	84.53	85.09	83.72	84.92	67800
2024-02-08	82.32	84.53	80.79	84.53	194700
2024-02-09	84.17	85.18	81.56	82.23	194500
2024-02-12	81.73	82.54	79.86	82.47	163700
2024-02-13	82.36	82.50	81.12	81.41	141200
2024-02-14	85.47	86.32	83.60	83.92	1159100
2024-02-15	88.61	89.13	86.13	86.32	1159100
2024-02-16	89.75	90.31	88.51	89.00	126600
2024-02-20	94.22	96.64	87.13	90.00	281200
2024-02-21	93.82	94.39	92.99	92.99	242600
2024-02-22	94.06	94.76	93.82	94.39	72300
2024-02-23	97.18	99.55	95.29	95.29	143700
2024-02-26	97.05	99.50	96.31	97.69	207300
2024-02-27	97.90	98.28	95.81	97.22	124200
2024-02-28	97.20	98.38	95.90	96.56	126800
2024-02-29	97.67	99.59	96.80	97.99	220100
2024-03-01	99.78	100.19	96.75	97.77	187200
2024-03-04	100.12	102.53	98.02	99.93	225800
2024-03-05	97.96	99.56	95.94	99.18	256500
2024-03-06	102.49	104.00	97.19	97.59	625300
2024-03-07	99.26	101.10	97.69	101.06	234600
2024-03-08	99.86	101.99	98.39	98.54	194500
2024-03-11	98.77	101.82	98.26	100.58	200600
2024-03-12	103.17	103.83	99.05	99.56	332600
2024-03-13	104.37	105.56	102.07	103.13	278600
2024-03-14	107.89	108.15	104.31	105.20	200400
2024-03-15	105.81	107.73	103.33	107.73	230300
2024-03-18	107.12	107.89	104.34	104.35	225900
2024-03-19	107.99	108.01	106.35	107.07	141600
2024-03-20	111.80	112.45	107.03	107.44	239600
2024-03-21	112.76	113.37	110.93	112.55	419000
2024-03-22	114.49	115.81	111.79	112.67	408000
2024-03-25	113.45	116.88	111.60	116.38	446400
2024-03-26	116.36	116.73	114.01	114.01	668400
2024-03-27	118.27	118.96	116.17	117.12	464800
2024-03-28	120.83	121.22	116.90	118.35	574600
2024-04-01	123.02	123.72	118.31	122.06	969200
2024-04-02	123.83	123.97	119.77	121.78	969000
2024-04-03	126.93	127.80	123.17	123.98	589300
