Date	Close	High	Low	Open	Volume
	KTOS	KTOS	KTOS	KTOS	KTOS
1999-11-05	620.00	690.00	150.00	150.00	1412150
1999-11-08	655.00	743.75	646.25	680.00	314900
1999-11-09	610.62	678.75	550.00	663.75	152510
1999-11-10	582.50	630.00	565.00	593.12	75340
1999-11-11	540.00	588.75	530.00	582.50	50890
1999-11-12	520.00	581.25	470.00	542.50	87640
1999-11-15	520.00	562.50	502.50	531.88	38470
1999-11-16	506.25	530.00	500.62	521.25	32980
1999-11-17	511.25	545.00	472.50	505.00	96140
1999-11-18	497.50	534.38	486.25	528.75	50090
1999-11-19	477.50	505.62	471.25	501.25	38490
1999-11-22	511.25	527.50	475.00	487.50	71420
1999-11-23	506.25	532.50	480.00	520.62	28980
1999-11-24	515.00	525.00	486.88	493.75	38160
1999-11-26	588.75	610.00	520.00	526.25	106390
1999-11-29	583.12	600.00	548.12	578.75	57270
1999-11-30	540.00	611.25	522.50	609.38	99960
1999-12-01	521.88	550.94	511.25	550.94	30030
1999-12-02	538.75	546.88	510.62	515.00	21790
1999-12-03	546.25	594.69	540.62	588.75	66640
1999-12-06	534.38	555.00	515.00	555.00	25240
1999-12-07	529.38	534.38	495.62	530.00	29870
1999-12-08	516.25	529.38	505.00	526.88	23810
1999-12-09	506.25	535.00	495.00	527.50	23720
1999-12-10	498.75	517.50	485.00	507.50	35630
1999-12-13	489.69	505.00	480.00	498.44	15960
1999-12-14	435.00	497.50	425.00	497.50	49410
1999-12-15	443.44	456.25	400.00	433.12	61150
1999-12-16	459.38	465.00	420.62	451.25	26650
1999-12-17	490.00	495.00	450.00	470.00	28300
1999-12-20	451.25	500.00	447.50	495.00	16050
1999-12-21	421.25	451.88	420.00	451.56	17970
1999-12-22	415.00	422.50	407.50	417.50	9970
1999-12-23	417.81	431.25	410.00	413.75	12680
1999-12-27	392.50	430.00	380.00	421.25	38490
1999-12-28	412.50	433.75	380.62	395.62	55520
1999-12-29	418.12	432.50	401.25	412.50	13010
1999-12-30	430.62	449.38	411.88	412.81	19830
1999-12-31	436.25	447.50	420.62	444.38	13800
2000-01-03	450.62	460.62	435.00	460.62	24190
2000-01-04	440.00	448.75	425.00	445.00	12360
2000-01-05	410.00	443.75	403.75	440.31	23880
2000-01-06	398.75	415.00	398.75	414.38	30400
2000-01-07	397.50	410.00	397.50	406.25	8300
2000-01-10	416.25	424.38	402.50	416.25	32830
2000-01-11	398.12	428.75	392.50	425.62	15260
2000-01-12	396.25	406.25	395.00	405.62	7430
2000-01-13	425.00	428.12	386.25	400.00	14150
2000-01-14	460.00	480.00	416.25	438.75	46980
2000-01-18	440.00	473.75	438.75	468.75	22240
2000-01-19	436.25	444.38	432.50	443.75	11840
2000-01-20	453.75	465.00	435.00	440.00	22890
2000-01-21	463.75	480.00	446.25	453.75	17910
2000-01-24	430.00	480.00	410.00	476.25	16430
2000-01-25	432.50	442.50	410.00	437.50	10050
2000-01-26	426.25	441.25	410.00	428.12	6770
2000-01-27	476.25	500.00	460.00	476.25	56220
2000-01-28	497.50	517.50	476.25	479.38	45460
2000-01-31	503.75	513.12	447.50	502.50	29970
2000-02-01	532.50	545.00	506.25	511.88	30250
2000-02-02	562.50	571.25	534.38	537.50	39520
2000-02-03	660.00	660.00	592.50	598.12	117320
2000-02-04	627.50	730.00	600.00	681.25	112520
2000-02-07	660.00	665.00	556.25	614.06	60250
2000-02-08	787.50	800.00	680.00	692.50	86760
2000-02-09	811.25	812.50	725.00	808.12	44540
2000-02-10	906.56	949.38	797.50	797.50	58390
2000-02-11	906.25	927.50	861.25	914.38	19510
2000-02-14	860.00	905.00	838.12	905.00	20010
2000-02-15	850.00	870.00	848.75	850.00	13600
2000-02-16	820.00	853.75	790.00	850.00	12660
2000-02-17	875.62	897.50	821.88	824.38	13920
2000-02-18	862.50	908.75	826.25	895.00	15930
2000-02-22	856.25	857.50	828.75	856.25	9330
2000-02-23	935.00	975.00	861.25	865.62	17550
2000-02-24	960.00	990.00	898.75	987.50	8540
2000-02-25	946.25	990.00	930.00	974.38	4470
2000-02-28	880.00	930.00	871.25	920.00	9100
2000-02-29	1240.00	1352.50	915.00	922.50	34170
2000-03-01	1037.50	1232.50	1005.00	1148.75	31000
2000-03-02	1093.75	1187.50	1040.00	1150.00	8470
2000-03-03	1240.00	1280.00	1200.00	1267.50	17550
2000-03-06	1578.75	1635.00	1340.00	1500.00	29330
2000-03-07	1523.12	1588.75	1241.25	1550.00	31850
2000-03-08	1418.75	1510.00	1310.00	1450.00	14860
2000-03-09	1350.00	1450.00	1343.12	1353.75	10240
2000-03-10	1438.75	1570.00	1360.00	1360.00	20700
2000-03-13	1288.75	1442.50	1240.00	1300.00	18910
2000-03-14	1380.00	1455.00	1260.00	1335.00	28460
2000-03-15	1380.00	1440.00	1250.00	1421.56	19200
2000-03-16	1320.62	1420.00	1300.00	1336.25	19850
2000-03-17	1230.00	1310.00	1210.00	1275.00	14260
2000-03-20	1036.25	1200.00	1010.00	1150.00	27530
2000-03-21	950.94	1070.00	856.25	1070.00	47120
2000-03-22	1150.00	1200.00	973.75	990.00	40520
2000-03-23	1238.12	1303.75	1210.62	1223.12	16620
2000-03-24	1280.00	1295.00	1218.12	1266.25	22500
2000-03-27	1296.88	1296.88	1187.50	1230.00	8020
2000-03-28	1141.25	1290.00	1135.00	1277.50	15430
2000-03-29	1076.25	1150.00	1011.88	1100.62	26230
2000-03-30	997.50	1065.00	950.00	980.00	22380
2000-03-31	1052.50	1151.25	905.00	1035.00	17160
2000-04-03	927.50	999.38	918.75	980.00	10860
2000-04-04	880.00	921.25	617.50	920.62	49420
2000-04-05	763.12	900.00	750.00	823.75	14400
2000-04-06	895.00	900.00	758.12	810.00	20570
2000-04-07	936.25	954.38	917.50	920.00	13520
2000-04-10	870.00	964.38	865.00	922.50	12900
2000-04-11	825.62	855.62	807.50	842.50	16190
2000-04-12	769.38	850.00	752.50	850.00	22770
2000-04-13	727.50	790.00	695.00	740.00	37130
2000-04-14	598.12	668.75	590.00	655.00	22090
2000-04-17	528.75	618.75	486.25	526.25	29450
2000-04-18	601.88	650.00	542.50	553.75	34640
2000-04-19	645.62	707.50	600.00	652.50	22290
2000-04-20	670.62	736.25	630.00	680.00	24340
2000-04-24	598.75	652.50	567.50	650.00	23940
2000-04-25	630.00	650.00	597.50	650.00	24250
2000-04-26	671.25	710.00	633.75	643.12	26850
2000-04-27	605.00	640.00	595.00	602.50	41590
2000-04-28	578.75	620.00	560.00	615.00	63090
2000-05-01	570.62	601.88	565.00	580.00	61960
2000-05-02	525.00	575.00	525.00	560.00	56050
2000-05-03	467.50	523.12	445.00	522.81	102130
2000-05-04	449.38	470.00	435.62	463.75	70800
2000-05-05	517.50	530.00	435.00	437.50	194610
2000-05-08	501.88	543.75	495.00	526.25	90020
2000-05-09	497.50	510.00	476.88	510.00	39380
2000-05-10	458.75	482.50	445.00	482.50	31740
2000-05-11	477.50	500.00	470.00	485.00	24790
2000-05-12	498.75	517.50	478.75	480.00	40190
2000-05-15	538.75	539.38	495.00	500.00	33500
2000-05-16	541.88	570.00	525.62	548.12	52320
2000-05-17	545.00	551.88	516.25	533.75	18830
2000-05-18	513.75	549.38	510.00	545.62	58520
2000-05-19	456.88	494.06	442.50	490.00	43300
2000-05-22	421.25	457.50	398.75	457.50	34230
2000-05-23	426.88	433.75	416.25	421.25	23670
2000-05-24	405.00	430.00	381.25	424.38	51020
2000-05-25	377.50	411.25	372.50	407.50	37350
2000-05-26	327.50	373.75	306.25	372.50	76930
2000-05-30	385.00	390.00	325.00	325.62	42210
2000-05-31	471.88	508.75	420.00	430.00	142870
2000-06-01	483.75	527.50	450.00	459.38	75170
2000-06-02	519.38	540.00	501.88	520.00	60450
2000-06-05	533.75	557.50	513.75	517.50	45870
2000-06-06	534.38	556.25	531.88	550.00	30340
2000-06-07	533.75	545.00	521.88	535.00	22100
2000-06-08	503.75	525.00	487.50	522.50	27200
2000-06-09	536.25	550.00	510.62	511.25	32040
2000-06-12	495.62	540.00	476.88	540.00	22980
2000-06-13	497.50	510.00	460.00	481.25	13860
2000-06-14	476.25	503.75	471.25	500.00	6960
2000-06-15	483.75	491.25	472.50	491.25	17240
2000-06-16	465.00	490.00	448.75	485.00	19610
2000-06-19	477.50	488.75	438.75	440.00	21130
2000-06-20	557.50	565.00	468.75	470.00	192870
2000-06-21	500.62	550.00	490.00	536.88	114350
2000-06-22	475.00	510.00	471.25	506.56	37020
2000-06-23	475.62	486.25	447.50	485.00	20920
2000-06-26	506.25	506.25	471.25	480.62	16070
2000-06-27	493.12	510.00	477.50	510.00	15350
2000-06-28	482.50	501.88	478.75	492.50	22730
2000-06-29	476.25	482.50	448.75	480.00	21520
2000-06-30	509.38	513.75	470.00	475.00	51100
2000-07-03	495.00	510.62	486.25	510.62	7400
2000-07-05	496.25	502.50	471.25	500.00	11990
2000-07-06	501.25	517.50	470.00	493.12	16360
2000-07-07	546.25	550.00	507.50	514.69	54260
2000-07-10	595.00	633.75	525.00	530.00	103960
2000-07-11	606.88	652.50	590.00	622.19	87670
2000-07-12	640.00	640.62	600.00	629.69	55250
2000-07-13	730.00	748.12	637.50	640.00	80530
2000-07-14	732.50	780.00	685.00	759.38	45110
2000-07-17	747.50	756.25	680.00	731.88	23700
2000-07-18	805.00	832.50	690.00	718.75	61660
2000-07-19	773.75	848.12	755.62	815.00	44580
2000-07-20	760.62	795.00	755.00	780.31	28650
2000-07-21	729.38	754.38	707.50	743.75	23620
2000-07-24	655.62	735.00	638.75	727.50	36480
2000-07-25	695.00	713.75	617.50	671.25	47560
2000-07-26	671.25	690.00	640.00	684.38	30130
2000-07-27	676.88	710.00	650.00	680.00	73010
2000-07-28	660.00	720.00	660.00	685.31	42580
2000-07-31	636.25	692.50	627.50	668.75	36540
2000-08-01	630.00	670.00	628.75	660.00	17660
2000-08-02	610.00	640.00	590.00	621.25	32290
2000-08-03	670.00	672.50	592.50	594.38	18060
2000-08-04	665.62	712.50	658.12	660.00	32380
2000-08-07	593.12	678.12	571.25	677.50	167360
2000-08-08	558.12	598.75	553.12	598.12	34320
2000-08-09	560.00	592.50	547.50	567.81	46150
2000-08-10	481.25	550.00	468.75	549.06	57020
2000-08-11	492.50	525.00	476.25	488.12	62680
2000-08-14	526.88	540.00	460.00	488.75	59580
2000-08-15	564.38	575.00	517.50	521.25	55980
2000-08-16	548.59	579.38	530.00	568.12	80940
2000-08-17	546.25	550.00	533.75	538.75	44080
2000-08-18	575.00	595.62	540.00	548.75	36110
2000-08-21	591.25	607.50	570.00	600.00	47150
2000-08-22	646.25	667.50	577.50	591.25	142530
2000-08-23	741.88	758.12	613.75	640.00	572970
2000-08-24	704.38	754.38	702.50	743.12	128060
2000-08-25	700.00	715.00	678.75	700.62	48030
2000-08-28	676.25	704.38	676.25	700.00	46500
2000-08-29	746.25	755.00	686.25	689.38	123440
2000-08-30	783.12	810.00	745.00	755.00	185660
2000-08-31	750.00	807.50	740.62	795.00	123880
2000-09-01	772.50	794.38	760.00	778.75	60170
2000-09-05	804.38	826.88	775.62	800.00	65390
2000-09-06	735.00	788.75	713.75	777.50	42870
2000-09-07	747.50	751.25	713.75	740.62	37160
2000-09-08	780.00	783.12	736.25	750.00	32590
2000-09-11	750.16	781.25	743.75	764.38	37850
2000-09-12	745.62	768.75	741.88	753.12	18210
2000-09-13	748.75	754.38	722.50	750.00	19710
2000-09-14	782.50	810.00	754.06	754.38	38420
2000-09-15	785.62	810.00	752.50	786.25	32620
2000-09-18	692.50	786.25	631.25	785.94	91240
2000-09-19	719.38	733.75	696.25	697.50	27560
2000-09-20	640.00	727.50	616.88	727.50	88860
2000-09-21	580.00	651.25	550.00	651.25	118130
2000-09-22	570.00	575.00	525.00	525.00	200320
2000-09-25	585.62	624.38	570.00	590.00	48620
2000-09-26	587.50	600.00	573.12	582.50	38370
2000-09-27	610.62	625.00	593.75	617.50	48120
2000-09-28	600.00	628.75	587.50	606.88	35030
2000-09-29	576.88	601.25	575.00	587.50	26590
2000-10-02	581.25	612.50	554.38	589.38	29570
2000-10-03	562.50	591.25	547.50	590.62	29680
2000-10-04	594.38	596.25	547.50	558.75	30300
2000-10-05	615.00	670.00	595.00	596.88	47040
2000-10-06	596.25	639.38	552.50	635.00	40210
2000-10-09	604.38	605.00	560.00	584.06	20320
2000-10-10	621.25	645.00	596.25	604.84	31090
2000-10-11	608.12	625.00	588.75	609.38	28740
2000-10-12	558.75	612.50	540.00	600.00	22670
2000-10-13	612.50	623.75	527.50	539.38	32280
2000-10-16	587.50	626.25	586.25	602.50	19150
2000-10-17	541.56	590.00	531.25	579.38	34090
2000-10-18	505.00	535.00	450.00	534.38	68650
2000-10-19	562.50	590.00	510.00	535.94	36560
2000-10-20	607.50	660.00	550.00	555.00	45530
2000-10-23	610.00	632.50	595.00	608.44	17630
2000-10-24	626.56	651.25	617.50	622.50	16750
2000-10-25	607.50	615.62	590.00	591.88	30750
2000-10-26	516.09	595.62	465.00	595.16	136640
2000-10-27	478.75	525.62	450.00	525.62	79500
2000-10-30	436.88	478.75	435.00	478.44	35390
2000-10-31	500.00	500.62	435.00	445.00	53200
2000-11-01	514.38	537.34	458.75	458.75	39330
2000-11-02	518.12	547.50	513.12	525.00	32010
2000-11-03	525.00	540.00	515.62	520.00	18190
2000-11-06	508.75	536.25	508.75	528.75	31350
2000-11-07	523.75	523.75	488.75	508.75	19160
2000-11-08	480.00	532.50	473.75	526.88	27790
2000-11-09	460.00	493.12	460.00	482.19	29510
2000-11-10	477.50	480.00	460.00	460.62	22510
2000-11-13	460.00	477.50	445.00	459.38	28370
2000-11-14	488.75	490.00	476.25	487.19	32100
2000-11-15	511.25	519.38	485.78	495.00	18300
2000-11-16	489.38	505.62	482.50	501.56	22300
2000-11-17	467.50	498.75	453.75	489.38	30280
2000-11-20	434.38	480.00	422.50	480.00	30730
2000-11-21	430.00	440.00	421.25	429.38	19240
2000-11-22	426.88	440.00	393.75	410.00	46860
2000-11-24	416.88	439.53	416.25	428.12	13820
2000-11-27	416.25	434.38	391.25	429.38	51870
2000-11-28	375.00	424.38	360.00	420.00	81690
2000-11-29	350.00	375.00	271.25	370.62	153820
2000-11-30	319.38	345.00	301.25	316.88	72560
2000-12-01	351.25	388.75	331.88	331.88	80070
2000-12-04	339.38	365.00	322.50	350.31	55140
2000-12-05	407.50	424.38	358.75	367.50	35100
2000-12-06	374.38	410.00	369.38	403.75	57360
2000-12-07	347.50	378.12	345.62	350.62	83050
2000-12-08	437.50	437.50	373.75	380.00	56860
2000-12-11	510.00	521.09	430.00	430.31	56010
2000-12-12	487.50	515.00	468.12	510.62	40990
2000-12-13	473.12	518.75	465.00	507.19	23140
2000-12-14	444.38	473.75	417.50	460.00	38190
2000-12-15	406.25	432.66	371.25	432.50	42370
2000-12-18	377.50	430.00	361.25	416.88	30960
2000-12-19	383.12	426.25	343.75	380.62	69200
2000-12-20	371.25	381.25	340.00	370.00	39430
2000-12-21	339.38	373.75	330.00	372.50	49550
2000-12-22	355.00	367.50	340.00	340.62	71520
2000-12-26	350.00	380.00	340.62	363.75	13160
2000-12-27	406.88	410.00	332.50	339.38	36200
2000-12-28	441.25	447.50	388.75	388.75	46550
2000-12-29	362.50	442.50	361.25	431.56	57810
2001-01-02	323.44	381.25	320.62	380.00	30850
2001-01-03	341.25	353.75	302.50	306.25	79440
2001-01-04	372.50	391.25	353.12	360.00	83770
2001-01-05	335.00	387.50	331.88	386.72	50050
2001-01-08	330.00	343.12	317.50	334.69	33380
2001-01-09	330.62	362.50	330.00	340.00	26510
2001-01-10	321.88	342.50	318.12	336.88	52530
2001-01-11	353.75	362.50	316.88	323.75	122610
2001-01-12	330.00	367.50	325.00	358.12	95730
2001-01-16	319.38	345.00	319.38	340.00	45300
2001-01-17	324.38	349.38	320.62	339.38	93470
2001-01-18	338.75	357.50	324.38	325.00	103940
2001-01-19	352.50	380.00	345.00	360.00	130640
2001-01-22	395.00	399.38	357.50	362.50	100630
2001-01-23	441.88	447.50	391.25	395.94	102740
2001-01-24	418.75	451.88	406.88	446.25	108430
2001-01-25	400.00	420.62	395.00	419.38	37060
2001-01-26	380.00	410.00	357.50	387.50	104000
2001-01-29	390.00	392.50	366.25	383.44	73300
2001-01-30	378.12	390.62	372.50	390.00	27250
2001-01-31	408.75	417.50	377.50	378.75	66840
2001-02-01	386.88	425.00	385.00	412.50	44600
2001-02-02	371.88	397.50	365.00	391.25	38660
2001-02-05	355.00	371.88	342.50	370.31	41580
2001-02-06	370.00	385.00	358.44	359.69	31000
2001-02-07	348.75	370.00	328.75	369.38	38410
2001-02-08	311.25	355.00	308.12	355.00	135170
2001-02-09	273.75	328.75	258.75	292.50	224900
2001-02-12	288.75	304.38	278.75	303.12	51660
2001-02-13	302.50	324.38	291.25	291.88	67680
2001-02-14	307.50	321.88	292.50	301.88	135640
2001-02-15	263.75	295.00	260.00	287.50	317180
2001-02-16	225.00	255.00	208.75	250.62	251850
2001-02-20	220.00	235.00	211.25	235.00	62170
2001-02-21	190.62	218.12	190.00	218.12	73140
2001-02-22	171.25	190.00	165.00	188.12	200990
2001-02-23	137.50	173.12	127.50	172.50	412190
