Date	Open	High	Low	Close	Volume
2020-08-21	35.01	37.74	28.33	33.26	3875200.00
2020-08-24	32.92	34.15	27.84	28.44	576100.00
2020-08-25	27.80	31.25	26.91	31.25	416400.00
2020-08-26	31.85	31.85	30.00	30.28	233900.00
2020-08-27	30.00	34.80	29.65	33.27	999300.00
2020-08-28	33.27	34.43	30.75	33.28	290900.00
2020-08-31	32.78	33.99	31.90	31.90	113700.00
2020-09-01	31.27	32.79	30.01	31.16	89400.00
2020-09-02	31.08	32.61	30.80	31.15	126600.00
2020-09-03	31.60	31.95	29.57	30.29	128500.00
2020-09-04	30.27	30.35	29.32	29.55	85000.00
2020-09-08	29.36	31.27	26.87	27.28	251000.00
2020-09-09	27.99	28.32	25.43	26.10	136700.00
2020-09-10	26.06	30.10	25.56	29.23	215600.00
2020-09-11	29.08	32.30	28.53	31.19	181000.00
2020-09-14	31.19	32.90	30.50	32.78	87000.00
2020-09-15	31.65	32.00	30.22	30.51	169600.00
2020-09-16	30.08	31.44	29.00	29.92	139800.00
2020-09-17	29.58	29.80	28.62	29.02	322900.00
2020-09-18	29.09	30.96	28.80	30.64	118600.00
2020-09-21	30.16	31.14	28.61	29.22	255600.00
2020-09-22	29.35	30.32	29.16	29.65	96200.00
2020-09-23	29.84	30.43	28.95	29.98	97800.00
2020-09-24	30.02	31.03	29.67	29.91	346100.00
2020-09-25	29.98	32.73	29.62	30.84	139300.00
2020-09-28	30.83	31.89	30.51	30.79	159200.00
2020-09-29	30.82	32.47	30.82	31.54	67100.00
2020-09-30	31.56	33.00	30.56	32.31	84500.00
2020-10-01	32.57	32.94	28.52	29.08	359600.00
2020-10-02	28.42	30.60	27.65	29.31	100500.00
2020-10-05	29.60	30.36	28.00	28.07	111100.00
2020-10-06	28.22	30.13	28.22	28.92	68400.00
2020-10-07	29.08	32.29	29.00	31.75	43700.00
2020-10-08	31.70	35.12	31.60	33.50	140800.00
2020-10-09	33.48	38.00	33.45	36.89	157200.00
2020-10-12	37.26	39.17	36.14	37.25	194200.00
2020-10-13	37.35	39.89	37.35	38.50	96800.00
2020-10-14	39.10	39.65	35.31	36.76	122600.00
2020-10-15	36.09	39.60	36.09	38.80	80300.00
2020-10-16	38.40	38.95	36.99	38.38	53800.00
2020-10-19	38.41	41.71	37.20	39.24	65300.00
2020-10-20	39.24	39.96	38.06	38.07	34900.00
2020-10-21	38.59	38.60	34.13	34.57	112500.00
2020-10-22	34.73	37.89	33.02	35.01	74400.00
2020-10-23	35.03	39.99	35.03	37.50	57600.00
2020-10-26	37.60	38.67	35.46	36.50	92800.00
2020-10-27	36.05	38.65	36.05	37.75	123400.00
2020-10-28	37.25	37.60	36.07	36.07	33900.00
2020-10-29	36.26	37.00	35.64	36.45	36700.00
2020-10-30	36.55	37.15	34.50	35.99	50700.00
2020-11-02	36.67	37.14	36.10	36.18	55900.00
2020-11-03	36.38	37.55	35.87	36.84	45200.00
2020-11-04	37.08	40.92	37.05	40.44	127300.00
2020-11-05	40.99	45.34	40.99	43.71	111300.00
2020-11-06	44.13	44.70	42.81	43.95	120300.00
2020-11-09	45.21	47.27	43.35	44.80	72200.00
2020-11-10	44.80	48.20	43.89	46.34	107700.00
2020-11-11	46.79	49.66	46.59	46.96	108900.00
2020-11-12	46.26	48.24	44.53	45.06	154900.00
2020-11-13	45.79	46.72	44.96	46.13	131900.00
2020-11-16	46.68	47.08	44.90	46.60	108800.00
2020-11-17	46.59	52.08	45.50	51.36	97500.00
2020-11-18	52.20	53.49	50.39	51.20	84500.00
2020-11-19	51.67	52.15	49.76	50.12	86600.00
2020-11-20	50.65	50.65	48.40	49.86	60100.00
2020-11-23	50.00	50.00	46.02	47.84	82800.00
2020-11-24	49.00	49.93	44.76	45.81	101900.00
2020-11-25	47.17	48.06	45.68	47.20	86700.00
2020-11-27	47.86	49.00	46.79	48.03	72700.00
2020-11-30	48.27	49.11	46.02	46.64	248200.00
2020-12-01	46.47	51.22	46.47	47.04	257200.00
2020-12-02	47.18	55.00	46.14	51.90	208000.00
2020-12-03	52.53	53.65	50.11	50.56	168400.00
2020-12-04	53.72	55.48	51.49	53.47	74200.00
2020-12-07	54.17	55.24	49.42	49.70	121500.00
2020-12-08	51.42	56.37	49.72	55.88	209500.00
2020-12-09	56.74	59.89	54.72	55.66	184300.00
2020-12-10	55.03	63.71	54.82	60.83	133000.00
2020-12-11	60.14	65.35	58.97	61.97	179200.00
2020-12-14	64.01	69.74	64.01	67.13	274100.00
2020-12-15	68.76	69.50	62.04	62.97	209200.00
2020-12-16	64.19	68.33	62.83	63.61	171900.00
2020-12-17	64.99	69.00	63.33	66.48	311500.00
2020-12-18	67.34	75.24	65.72	71.51	1732200.00
2020-12-21	68.33	74.55	63.99	74.48	243700.00
2020-12-22	74.48	79.32	72.99	77.10	238600.00
2020-12-23	77.49	81.40	75.96	80.58	107400.00
2020-12-24	80.70	87.08	79.36	86.10	86600.00
2020-12-28	88.02	91.92	83.17	87.83	206800.00
2020-12-29	87.54	87.77	73.54	74.00	211200.00
2020-12-30	74.43	77.88	68.01	71.85	155200.00
2020-12-31	71.84	71.84	60.00	62.00	288300.00
2021-01-04	62.48	62.78	59.45	61.63	200800.00
2021-01-05	61.99	64.34	59.52	62.49	190100.00
2021-01-06	63.38	67.06	61.01	66.43	123900.00
2021-01-07	67.58	73.90	66.04	73.31	202400.00
2021-01-08	74.63	83.03	72.26	77.15	311000.00
2021-01-11	76.74	81.09	75.00	76.52	168100.00
2021-01-12	76.24	77.52	71.68	77.03	114800.00
2021-01-13	76.55	84.66	76.55	79.60	159700.00
2021-01-14	79.58	87.85	79.58	81.30	157600.00
2021-01-15	80.99	84.57	76.40	77.51	79200.00
2021-01-19	79.67	87.13	77.17	85.46	135200.00
2021-01-20	85.19	87.49	80.02	81.30	89900.00
2021-01-21	81.89	81.89	75.63	77.00	89400.00
2021-01-22	76.02	79.95	75.06	79.17	122300.00
2021-01-25	78.87	81.84	77.21	78.42	62800.00
2021-01-26	79.33	79.33	70.52	71.00	158600.00
2021-01-27	66.80	70.44	64.56	65.02	119500.00
2021-01-28	66.12	69.75	62.29	63.87	137400.00
2021-01-29	64.50	65.00	60.33	61.95	113500.00
2021-02-01	62.90	64.43	59.63	59.99	106100.00
2021-02-02	60.82	61.74	57.62	61.69	214800.00
2021-02-03	61.75	71.33	61.75	70.15	263200.00
2021-02-04	71.92	71.92	65.86	67.76	57400.00
2021-02-05	67.26	79.00	64.89	77.61	128900.00
2021-02-08	78.08	78.39	73.90	75.38	64000.00
2021-02-09	74.87	76.01	72.46	74.04	64600.00
2021-02-10	74.08	74.92	67.73	68.12	65800.00
2021-02-11	68.88	71.22	67.18	69.07	57500.00
2021-02-12	68.74	70.84	66.19	67.01	58700.00
2021-02-16	67.00	67.00	60.75	60.75	88600.00
2021-02-17	60.00	60.75	56.91	59.21	204400.00
2021-02-18	58.89	59.54	54.43	55.75	194400.00
2021-02-19	58.19	58.54	53.06	54.68	314300.00
2021-02-22	54.00	54.00	50.63	52.21	288100.00
2021-02-23	51.61	51.61	45.06	50.41	375900.00
2021-02-24	51.42	52.76	49.26	51.24	176300.00
2021-02-25	51.65	53.02	49.05	49.60	291500.00
2021-02-26	50.15	51.00	47.03	47.98	208400.00
2021-03-01	48.26	50.00	46.97	48.46	415600.00
2021-03-02	48.46	49.96	46.02	46.86	391700.00
2021-03-03	47.00	47.00	43.38	45.00	410500.00
2021-03-04	44.79	48.24	43.05	45.86	320800.00
2021-03-05	46.40	48.57	43.10	48.18	208500.00
2021-03-08	49.12	51.98	47.53	49.47	318100.00
2021-03-09	50.06	56.47	50.06	54.50	338800.00
2021-03-10	56.14	58.88	54.51	57.36	393700.00
2021-03-11	59.09	60.52	57.28	59.29	490700.00
2021-03-12	58.30	59.88	55.32	56.10	875400.00
2021-03-15	57.05	60.85	55.89	60.04	571600.00
2021-03-16	60.47	60.69	57.24	58.66	439100.00
2021-03-17	58.39	58.66	55.03	57.43	577900.00
2021-03-18	55.89	57.65	48.14	49.42	683100.00
2021-03-19	50.01	51.00	40.62	44.66	2277700.00
2021-03-22	44.64	48.03	43.55	47.02	748000.00
2021-03-23	46.88	47.65	43.11	45.00	667400.00
2021-03-24	45.33	46.01	40.38	41.00	365000.00
2021-03-25	40.53	41.33	37.47	39.57	648700.00
2021-03-26	39.83	40.56	37.33	38.04	311600.00
2021-03-29	37.72	38.38	35.04	35.64	347000.00
2021-03-30	35.73	37.53	34.60	36.42	366100.00
2021-03-31	36.81	39.31	36.81	38.86	1198500.00
2021-04-01	41.28	41.28	37.65	38.44	295300.00
2021-04-05	40.05	40.99	37.27	37.48	566300.00
2021-04-06	37.04	38.52	36.23	36.61	256600.00
2021-04-07	36.32	38.13	34.91	35.22	206800.00
2021-04-08	35.54	35.92	34.20	34.99	110200.00
2021-04-09	34.60	34.61	32.88	33.44	253800.00
2021-04-12	33.50	34.90	31.09	31.43	439300.00
2021-04-13	31.09	31.93	29.93	31.08	451200.00
2021-04-14	32.49	37.00	31.97	36.29	545300.00
2021-04-15	36.30	40.95	35.50	38.56	710100.00
2021-04-16	38.11	38.78	37.07	38.66	482900.00
2021-04-19	38.37	40.12	37.54	38.04	403500.00
2021-04-20	37.41	39.95	37.02	39.84	331000.00
2021-04-21	39.74	39.86	37.27	39.79	299300.00
2021-04-22	39.67	40.90	38.53	39.00	316700.00
2021-04-23	39.02	40.29	37.00	37.94	166100.00
2021-04-26	38.43	41.65	37.65	41.36	344400.00
