Date	Open	High	Low	Close	Volume
1973-02-21	0.53	0.53	0.53	0.53	149952.00
1973-02-22	0.53	0.53	0.53	0.53	136320.00
1973-02-23	0.53	0.53	0.52	0.52	110760.00
1973-02-26	0.52	0.52	0.51	0.51	115872.00
1973-02-27	0.51	0.53	0.51	0.52	100536.00
1973-02-28	0.52	0.53	0.52	0.53	46008.00
1973-03-01	0.53	0.54	0.53	0.54	156768.00
1973-03-02	0.54	0.54	0.53	0.54	151656.00
1973-03-05	0.54	0.54	0.53	0.53	28968.00
1973-03-06	0.53	0.54	0.53	0.53	124392.00
1973-03-07	0.53	0.54	0.53	0.53	52824.00
1973-03-08	0.53	0.54	0.53	0.53	117576.00
1973-03-09	0.53	0.53	0.53	0.53	138024.00
1973-03-12	0.53	0.54	0.53	0.53	73272.00
1973-03-13	0.53	0.54	0.53	0.53	69864.00
1973-03-14	0.53	0.53	0.52	0.52	410664.00
1973-03-15	0.52	0.53	0.52	0.52	64752.00
1973-03-16	0.53	0.53	0.53	0.53	143136.00
1973-03-19	0.53	0.54	0.53	0.54	54528.00
1973-03-20	0.54	0.55	0.54	0.55	61344.00
1973-03-21	0.55	0.55	0.54	0.54	35784.00
1973-03-22	0.53	0.53	0.53	0.53	151656.00
1973-03-23	0.53	0.54	0.53	0.54	25560.00
1973-03-26	0.54	0.55	0.54	0.54	173808.00
1973-03-27	0.55	0.56	0.55	0.56	54528.00
1973-03-28	0.56	0.56	0.55	0.56	63048.00
1973-03-29	0.56	0.56	0.55	0.56	131208.00
1973-03-30	0.56	0.58	0.56	0.58	165288.00
1973-04-02	0.58	0.59	0.57	0.58	66456.00
1973-04-03	0.58	0.59	0.57	0.59	61344.00
1973-04-04	0.59	0.59	0.57	0.58	52824.00
1973-04-05	0.58	0.60	0.57	0.59	129504.00
1973-04-06	0.59	0.59	0.58	0.58	194256.00
1973-04-09	0.58	0.59	0.57	0.59	361248.00
1973-04-10	0.59	0.59	0.58	0.59	90312.00
1973-04-11	0.59	0.59	0.58	0.58	20448.00
1973-04-12	0.58	0.59	0.58	0.58	28968.00
1973-04-13	0.58	0.58	0.57	0.58	28968.00
1973-04-16	0.59	0.59	0.59	0.59	34080.00
1973-04-17	0.59	0.61	0.59	0.59	114168.00
1973-04-18	0.59	0.60	0.59	0.59	71568.00
1973-04-19	0.59	0.60	0.59	0.59	57936.00
1973-04-23	0.59	0.59	0.59	0.59	42600.00
1973-04-24	0.59	0.59	0.58	0.59	68160.00
1973-04-25	0.59	0.59	0.58	0.58	73272.00
1973-04-26	0.58	0.59	0.56	0.58	102240.00
1973-04-27	0.57	0.57	0.56	0.57	28968.00
1973-04-30	0.58	0.58	0.56	0.58	97980.00
1973-05-01	0.58	0.59	0.57	0.57	54528.00
1973-05-02	0.57	0.59	0.57	0.59	11076.00
1973-05-03	0.59	0.62	0.59	0.61	113316.00
1973-05-04	0.61	0.65	0.60	0.64	207036.00
1973-05-07	0.64	0.64	0.61	0.61	63048.00
1973-05-08	0.61	0.63	0.61	0.63	66456.00
1973-05-09	0.63	0.64	0.62	0.62	137172.00
