Date	Close	High	Low	Open	Volume
	LII	LII	LII	LII	LII
1999-07-29	11.97	12.69	11.97	12.21	4780800
1999-07-30	12.25	12.25	11.89	12.13	1036200
1999-08-02	11.97	12.13	11.97	12.13	168800
1999-08-03	11.97	12.01	11.65	11.97	246200
1999-08-04	11.89	11.97	11.57	11.97	178200
1999-08-05	11.57	11.89	11.41	11.89	67700
1999-08-06	11.17	11.61	11.09	11.57	103900
1999-08-09	11.09	11.21	10.97	11.13	75800
1999-08-10	10.85	11.01	10.69	11.01	81500
1999-08-11	11.13	11.13	10.85	10.85	18700
1999-08-12	11.33	11.65	11.25	11.65	63400
1999-08-13	10.97	11.45	10.97	11.41	62700
1999-08-16	10.49	10.85	10.37	10.85	72600
1999-08-17	10.61	10.77	10.45	10.49	37400
1999-08-18	10.45	10.65	10.45	10.61	36800
1999-08-19	10.53	10.61	10.45	10.45	32600
1999-08-20	10.85	10.97	10.49	10.49	136100
1999-08-23	11.09	11.45	11.01	11.41	193800
1999-08-24	10.89	11.13	10.77	10.93	126600
1999-08-25	10.67	10.91	10.59	10.83	125500
1999-08-26	10.91	10.91	10.67	10.67	32700
1999-08-27	11.19	11.23	10.99	11.07	34300
1999-08-30	11.59	11.79	11.07	11.19	136000
1999-08-31	12.19	12.35	11.39	11.51	309100
1999-09-01	11.79	12.23	11.71	12.23	49100
1999-09-02	11.79	11.79	11.39	11.79	50900
1999-09-03	11.75	11.91	11.67	11.83	52300
1999-09-07	11.43	11.59	11.43	11.59	12700
1999-09-08	10.87	11.43	10.67	11.43	54400
1999-09-09	10.75	10.87	10.67	10.79	28100
1999-09-10	10.43	10.83	10.43	10.83	91800
1999-09-13	10.87	10.95	10.51	10.51	33600
1999-09-14	10.59	10.99	10.51	10.95	18500
1999-09-15	10.91	10.91	10.47	10.59	69500
1999-09-16	10.79	11.07	10.79	11.07	84500
1999-09-17	10.99	10.99	10.83	10.91	22500
1999-09-20	10.87	10.95	10.79	10.95	18200
1999-09-21	10.59	10.79	10.59	10.75	23800
1999-09-22	10.75	10.79	10.59	10.59	19600
1999-09-23	9.86	10.75	9.86	10.75	55700
1999-09-24	9.58	9.94	9.30	9.86	80200
1999-09-27	9.50	9.78	9.46	9.66	69600
1999-09-28	9.42	9.46	9.30	9.42	37600
1999-09-29	9.46	9.46	9.38	9.38	114600
1999-09-30	9.94	10.18	9.78	9.94	83000
1999-10-01	10.10	10.10	9.62	9.62	65000
1999-10-04	10.02	10.10	9.90	10.10	107500
1999-10-05	9.62	9.98	9.62	9.86	83000
1999-10-06	9.38	9.66	9.38	9.62	58700
1999-10-07	9.58	9.62	9.38	9.38	68100
1999-10-08	9.34	9.54	9.22	9.42	60000
1999-10-11	9.18	9.38	9.14	9.38	40900
1999-10-12	8.86	9.18	8.50	9.18	177700
1999-10-13	9.58	9.74	8.78	8.78	75500
1999-10-14	9.46	9.70	9.34	9.54	50400
1999-10-15	9.14	9.38	9.14	9.38	15700
1999-10-18	8.98	9.26	8.90	9.14	29100
1999-10-19	8.66	8.82	8.58	8.82	36200
1999-10-20	8.66	8.82	8.50	8.66	25700
1999-10-21	8.58	8.66	8.46	8.62	15200
1999-10-22	8.50	8.66	8.50	8.54	17100
1999-10-25	8.42	8.42	8.26	8.42	38200
1999-10-26	8.50	8.78	8.50	8.50	319000
1999-10-27	6.42	8.42	6.34	8.42	991200
1999-10-28	6.17	6.54	5.85	6.42	958900
1999-10-29	6.54	6.58	6.17	6.22	553200
1999-11-01	6.50	7.06	6.42	6.86	218600
1999-11-02	6.78	6.90	6.58	6.74	365500
1999-11-03	6.78	6.98	6.74	6.78	157100
1999-11-04	6.70	6.82	6.70	6.74	81800
1999-11-05	6.78	6.82	6.58	6.70	226100
1999-11-08	6.94	6.94	6.74	6.86	125900
1999-11-09	6.82	6.94	6.78	6.94	79100
1999-11-10	6.94	6.94	6.74	6.82	124000
1999-11-11	6.98	7.34	6.90	7.02	271200
1999-11-12	6.82	6.94	6.70	6.94	262600
1999-11-15	6.74	6.98	6.70	6.94	92700
1999-11-16	6.54	6.74	6.46	6.74	353700
1999-11-17	6.66	6.66	6.46	6.54	204200
1999-11-18	6.86	6.90	6.70	6.74	162300
1999-11-19	6.82	6.94	6.74	6.94	480500
1999-11-22	7.18	7.22	6.90	6.98	254500
1999-11-23	7.26	7.30	7.14	7.26	134100
1999-11-24	7.22	7.38	7.22	7.26	126800
1999-11-26	7.26	7.30	7.22	7.30	40100
1999-11-29	7.34	7.34	7.26	7.26	81800
1999-11-30	7.30	7.38	7.30	7.34	179400
1999-12-01	7.22	7.30	7.18	7.30	143600
1999-12-02	7.18	7.22	7.10	7.22	114200
1999-12-03	7.30	7.30	7.18	7.18	244700
1999-12-06	7.14	7.30	7.10	7.22	154100
1999-12-07	7.18	7.18	6.94	6.94	220800
1999-12-08	7.26	7.26	7.14	7.18	248600
1999-12-09	7.14	7.34	7.14	7.22	351900
1999-12-10	6.66	6.78	6.46	6.74	440700
1999-12-13	6.98	7.06	6.66	6.66	216200
1999-12-14	7.22	7.34	6.94	6.94	698600
1999-12-15	7.24	7.28	7.20	7.24	316700
1999-12-16	7.04	7.24	6.96	7.24	108800
1999-12-17	6.92	7.04	6.83	7.04	67800
1999-12-20	6.43	6.83	6.35	6.83	316200
1999-12-21	6.27	6.43	6.27	6.39	185000
1999-12-22	6.19	6.31	6.11	6.27	215700
1999-12-23	6.23	6.27	6.11	6.11	137500
1999-12-27	5.98	6.31	5.74	6.31	256500
1999-12-28	5.98	6.07	5.90	6.07	165800
1999-12-29	5.98	5.98	5.86	5.94	117500
1999-12-30	5.86	5.98	5.86	5.94	142900
1999-12-31	5.94	5.98	5.74	5.78	144700
2000-01-03	6.11	6.19	6.03	6.19	102200
2000-01-04	5.90	6.07	5.82	6.03	97100
2000-01-05	5.94	5.94	5.82	5.90	101600
2000-01-06	5.78	5.90	5.74	5.86	122300
2000-01-07	5.86	5.90	5.74	5.82	130900
2000-01-10	6.19	6.19	5.94	5.94	165700
2000-01-11	6.15	6.27	6.15	6.27	63000
2000-01-12	6.23	6.31	6.15	6.23	433800
2000-01-13	6.23	6.27	6.23	6.23	54500
2000-01-14	6.19	6.27	6.15	6.23	45200
2000-01-18	6.11	6.19	6.07	6.19	84000
2000-01-19	6.11	6.11	6.03	6.11	86800
2000-01-20	6.03	6.19	5.78	6.19	162300
2000-01-21	6.51	6.87	6.39	6.47	1517200
2000-01-24	6.35	6.63	6.31	6.51	274100
2000-01-25	6.11	6.35	6.03	6.35	215600
2000-01-26	6.23	6.27	6.07	6.19	127900
2000-01-27	6.15	6.27	5.98	6.27	141400
2000-01-28	5.98	6.11	5.98	5.98	149200
2000-01-31	6.23	6.23	5.98	6.07	148000
2000-02-01	6.31	6.35	6.11	6.11	158400
2000-02-02	6.63	6.71	6.27	6.27	182200
2000-02-03	6.47	6.75	6.43	6.71	115300
2000-02-04	6.55	6.71	6.47	6.55	129200
2000-02-07	6.51	6.63	6.39	6.59	73600
2000-02-08	6.75	6.83	6.59	6.59	186000
2000-02-09	6.39	6.79	6.27	6.75	87100
2000-02-10	6.63	6.67	6.43	6.47	109600
2000-02-11	6.67	6.75	6.59	6.63	73000
2000-02-14	6.47	6.63	6.39	6.51	88800
2000-02-15	6.31	6.47	6.27	6.43	50700
2000-02-16	6.19	6.39	6.03	6.31	163600
2000-02-17	6.27	6.31	6.23	6.27	85200
2000-02-18	6.27	6.31	6.15	6.27	80400
2000-02-22	6.31	6.35	6.23	6.31	68800
2000-02-23	6.03	6.27	5.90	6.23	106900
2000-02-24	5.86	6.23	5.86	6.03	129500
2000-02-25	5.82	5.98	5.78	5.94	191800
2000-02-28	6.23	6.23	5.90	5.90	71100
2000-02-29	6.15	6.31	5.82	6.31	159600
2000-03-01	5.98	6.27	5.98	6.07	124000
2000-03-02	6.19	6.27	6.03	6.03	174900
2000-03-03	6.27	6.47	6.19	6.19	160400
2000-03-06	6.23	6.31	6.15	6.31	167900
