Date	Close	High	Low	Open	Volume
	LI	LI	LI	LI	LI
2020-07-30	16.46	17.50	15.10	15.49	64611300
2020-07-31	16.00	17.17	15.99	16.67	19532800
2020-08-03	16.36	17.00	15.77	16.26	11740000
2020-08-04	16.69	16.84	15.95	16.55	7781800
2020-08-05	16.75	17.00	16.40	16.65	3991400
2020-08-06	18.50	19.90	16.63	16.80	14142900
2020-08-07	16.89	19.33	16.60	17.75	7459700
2020-08-10	16.42	17.76	16.12	17.60	7914400
2020-08-11	16.00	17.03	15.83	16.93	7337700
2020-08-12	15.66	16.36	15.14	16.36	5610900
2020-08-13	15.16	15.70	15.00	15.70	5384600
2020-08-14	14.60	15.36	14.31	15.35	5070200
2020-08-17	15.42	15.60	14.60	14.76	5296500
2020-08-18	15.96	16.75	15.36	15.36	7163100
2020-08-19	15.04	16.07	15.01	15.98	3288000
2020-08-20	14.75	15.30	14.61	15.06	3138900
2020-08-21	15.02	15.50	14.76	14.94	4223600
2020-08-24	17.09	17.20	15.88	16.30	19359100
2020-08-25	18.23	18.84	17.68	17.80	22093900
2020-08-26	23.38	24.48	18.99	18.99	31561300
2020-08-27	19.38	22.31	19.30	22.26	29318200
2020-08-28	17.60	20.50	17.60	20.21	14639300
2020-08-31	16.30	18.84	16.20	17.76	18322700
2020-09-01	18.29	18.46	16.70	17.08	18119400
2020-09-02	17.87	19.68	17.20	19.38	18415000
2020-09-03	16.91	17.60	16.26	17.17	10210100
2020-09-04	16.83	17.90	16.04	17.08	11650600
2020-09-08	15.79	16.35	15.24	16.00	11067600
2020-09-09	15.80	16.95	15.79	16.41	9115600
2020-09-10	16.05	16.73	15.86	16.17	5893400
2020-09-11	16.21	16.70	16.05	16.19	3915000
2020-09-14	17.47	17.71	16.31	16.60	6429200
2020-09-15	18.19	18.75	17.65	17.66	9376700
2020-09-16	17.52	18.43	17.42	18.20	5713800
2020-09-17	17.26	17.65	16.70	16.74	3141300
2020-09-18	17.03	17.68	16.57	17.57	3817500
2020-09-21	16.43	16.87	16.00	16.50	4288700
2020-09-22	16.74	17.18	16.42	16.56	3043400
2020-09-23	15.68	16.75	15.61	16.75	6602000
2020-09-24	15.09	15.97	15.02	15.50	6846800
2020-09-25	15.80	16.07	15.23	15.35	3636800
