Date	Open	High	Low	Close	Volume
2020-07-02	50.06	70.80	49.02	69.41	18371900.00
2020-07-06	73.39	96.51	73.11	81.19	13467900.00
2020-07-07	83.80	89.38	75.00	78.79	4602800.00
2020-07-08	79.00	79.39	68.06	68.51	3499200.00
2020-07-09	73.97	79.91	69.03	77.01	4178700.00
2020-07-10	78.01	89.50	78.00	84.66	3731600.00
2020-07-13	89.00	95.50	77.91	78.50	2653500.00
2020-07-14	80.42	82.86	70.85	76.14	2089300.00
2020-07-15	80.85	81.00	72.50	74.17	1393200.00
2020-07-16	72.25	80.75	72.03	79.29	1450700.00
2020-07-17	78.00	88.00	76.14	85.89	2046800.00
2020-07-20	86.34	87.00	82.00	84.24	952900.00
2020-07-21	84.68	85.20	80.54	80.85	510400.00
2020-07-22	80.17	81.90	77.00	78.50	626300.00
2020-07-23	78.95	86.89	78.61	82.16	1664600.00
2020-07-24	78.80	82.75	75.50	77.97	1167500.00
2020-07-27	74.94	75.90	71.05	73.00	2084100.00
2020-07-28	72.42	73.50	66.39	66.43	1492700.00
2020-07-29	68.16	70.50	66.81	69.05	975700.00
2020-07-30	67.81	68.54	65.00	65.10	852700.00
2020-07-31	67.15	67.47	57.52	58.18	1875100.00
2020-08-03	59.71	61.18	56.70	56.86	1610700.00
2020-08-04	57.00	62.39	57.00	61.14	1495700.00
2020-08-05	61.77	64.95	59.27	64.48	1129700.00
2020-08-06	65.68	69.88	64.60	68.70	1154200.00
2020-08-07	68.57	69.02	65.57	66.84	657000.00
2020-08-10	67.91	68.76	63.59	67.41	890900.00
2020-08-11	67.41	67.54	62.75	62.75	992500.00
2020-08-12	58.00	63.50	57.10	60.67	1888100.00
2020-08-13	60.55	62.47	58.25	59.26	1007400.00
2020-08-14	59.47	63.82	59.47	63.22	1062800.00
2020-08-17	63.00	63.28	60.27	61.48	695900.00
2020-08-18	61.40	62.88	60.50	61.79	484000.00
2020-08-19	62.00	62.33	60.80	61.70	357600.00
2020-08-20	61.06	61.70	59.66	59.86	519700.00
2020-08-21	60.00	60.65	59.52	60.20	423900.00
2020-08-24	60.65	66.36	60.65	66.00	1713100.00
2020-08-25	65.72	66.00	60.18	61.01	1644500.00
2020-08-26	61.45	62.98	60.21	61.13	1165800.00
2020-08-27	62.20	62.66	58.19	58.39	1294400.00
2020-08-28	59.40	61.69	57.88	58.18	1180000.00
2020-08-31	58.25	59.20	57.29	58.70	866400.00
2020-09-01	59.07	59.21	55.50	56.19	1303900.00
2020-09-02	56.39	57.25	52.72	54.70	1905800.00
2020-09-03	54.20	54.20	50.00	50.83	1656200.00
2020-09-04	50.73	51.96	44.11	47.27	2906900.00
2020-09-08	46.38	49.34	44.90	47.18	1112500.00
2020-09-09	48.49	51.29	48.25	50.18	1095600.00
2020-09-10	51.50	54.75	50.90	52.40	963000.00
2020-09-11	52.69	52.87	49.90	50.12	704000.00
2020-09-14	50.90	51.26	47.40	48.71	1125000.00
2020-09-15	49.50	49.67	46.74	47.15	890600.00
2020-09-16	47.31	49.49	47.25	48.65	919500.00
2020-09-17	47.20	52.07	47.19	51.88	1174900.00
2020-09-18	51.91	56.41	51.20	55.24	2947900.00
2020-09-21	53.31	54.50	50.36	52.93	1410000.00
2020-09-22	52.43	54.30	50.70	54.07	588600.00
2020-09-23	54.30	56.99	49.55	49.87	997200.00
2020-09-24	48.80	50.81	47.31	47.98	841400.00
2020-09-25	48.00	51.03	48.00	50.93	482500.00
2020-09-28	52.00	52.30	50.20	51.25	418400.00
2020-09-29	50.50	50.94	48.56	49.61	742100.00
2020-09-30	49.30	51.53	49.30	49.72	614500.00
2020-10-01	50.26	52.23	48.40	51.46	904800.00
2020-10-02	49.50	53.41	49.24	51.58	1098100.00
2020-10-05	53.02	54.75	52.76	54.00	590800.00
2020-10-06	54.76	55.39	51.70	52.44	552900.00
2020-10-07	53.13	54.90	53.13	53.60	423300.00
2020-10-08	54.70	60.12	54.51	60.10	1547300.00
2020-10-09	60.11	68.19	58.55	67.81	2353900.00
2020-10-12	67.81	68.99	63.01	66.17	1408100.00
2020-10-13	65.02	68.74	64.00	66.73	756400.00
2020-10-14	67.00	72.55	65.67	68.00	1478500.00
2020-10-15	64.02	65.62	61.24	62.41	1847200.00
2020-10-16	63.31	63.64	58.72	58.99	1118900.00
2020-10-19	59.34	60.96	58.51	58.95	636700.00
2020-10-20	59.93	60.74	58.50	58.58	484900.00
2020-10-21	59.06	59.59	56.76	57.98	604100.00
2020-10-22	57.93	58.64	52.32	52.53	1420100.00
2020-10-23	53.77	53.87	50.00	51.09	1417600.00
2020-10-26	50.55	52.28	48.94	51.19	1125500.00
2020-10-27	51.64	51.89	49.80	50.73	448100.00
2020-10-28	48.90	50.20	48.00	49.13	893300.00
2020-10-29	49.54	49.92	46.60	46.90	1109300.00
2020-10-30	47.69	51.15	47.09	50.29	986300.00
2020-11-02	52.49	54.02	51.01	52.96	908600.00
2020-11-03	53.49	59.28	53.49	58.40	1063500.00
2020-11-04	58.97	60.83	56.65	59.70	638600.00
2020-11-05	60.51	64.20	60.50	63.95	656600.00
2020-11-06	63.00	63.17	59.07	61.37	853700.00
2020-11-09	65.13	66.66	62.00	65.62	1059600.00
2020-11-10	65.00	68.64	60.12	65.92	1316000.00
2020-11-11	64.99	65.30	57.80	57.90	2283300.00
2020-11-12	60.93	60.93	55.25	56.00	2246800.00
2020-11-13	56.70	60.19	55.15	59.87	2097200.00
2020-11-16	61.19	66.07	61.00	65.26	1592700.00
2020-11-17	62.95	66.00	62.10	65.26	1605900.00
2020-11-18	66.13	66.13	62.80	63.79	1094800.00
2020-11-19	63.80	64.91	60.53	62.17	843600.00
2020-11-20	62.98	63.63	61.08	63.15	562000.00
2020-11-23	64.00	64.33	61.39	64.23	892500.00
2020-11-24	64.50	69.34	63.06	68.99	2125100.00
2020-11-25	68.78	73.15	67.20	68.22	2255500.00
2020-11-27	69.33	75.62	68.57	75.13	1470600.00
2020-11-30	73.60	77.49	68.94	69.27	2498800.00
2020-12-01	71.37	71.40	63.15	63.65	2144800.00
2020-12-02	65.39	67.11	62.31	66.83	1059000.00
2020-12-03	66.99	83.17	65.92	80.35	9344400.00
2020-12-04	82.50	85.95	78.03	85.04	5463900.00
2020-12-07	90.03	99.99	88.02	91.72	7528100.00
2020-12-08	97.31	97.65	89.35	90.60	3844500.00
2020-12-09	92.01	93.75	84.10	87.39	2926400.00
2020-12-10	85.23	111.68	85.01	99.70	7697800.00
2020-12-11	100.75	101.25	87.57	91.59	5590400.00
2020-12-14	97.42	98.09	90.10	92.00	2746300.00
2020-12-15	92.23	93.18	86.32	90.80	2846200.00
2020-12-16	91.88	96.39	89.64	96.36	2112500.00
2020-12-17	96.66	105.27	94.42	103.56	3574100.00
2020-12-18	107.15	108.98	99.76	106.51	2792600.00
2020-12-21	104.00	111.09	100.25	109.07	2848100.00
2020-12-22	115.00	119.50	110.74	119.08	3424400.00
2020-12-23	122.64	137.30	122.30	134.45	5511800.00
2020-12-24	129.50	131.61	122.55	125.11	2812700.00
2020-12-28	119.00	120.45	106.01	107.67	6543600.00
2020-12-29	110.53	120.80	110.50	118.34	6793600.00
2020-12-30	118.30	131.21	118.30	129.89	4738400.00
2020-12-31	129.55	130.78	119.66	122.50	4879900.00
2021-01-04	126.05	126.34	111.06	113.36	3713000.00
2021-01-05	114.69	124.17	114.50	122.00	2566300.00
2021-01-06	118.00	123.72	113.61	119.34	2217600.00
2021-01-07	123.01	152.99	122.69	152.18	6784400.00
