Date	Close	High	Low	Open	Volume
	LPLA	LPLA	LPLA	LPLA	LPLA
2010-11-18	24.86	26.16	24.77	25.55	10095400
2010-11-19	25.21	25.39	24.55	24.59	753400
2010-11-22	24.90	25.12	24.77	25.08	379400
2010-11-23	25.33	25.52	24.36	24.75	288400
2010-11-24	25.47	25.52	24.95	25.44	66300
2010-11-26	25.44	25.47	24.83	24.84	123600
2010-11-29	25.95	25.99	25.41	25.62	336200
2010-11-30	26.21	26.51	25.65	25.81	662900
2010-12-01	27.07	27.41	25.79	25.93	359800
2010-12-02	26.83	27.15	26.46	26.85	241900
2010-12-03	26.84	27.08	26.57	26.58	140600
2010-12-06	27.36	27.63	26.68	26.68	556300
2010-12-07	27.63	28.47	27.08	27.09	324900
2010-12-08	27.63	27.83	27.51	27.80	151400
2010-12-09	27.67	27.95	27.12	27.95	150400
2010-12-10	26.95	27.67	26.75	26.98	290200
2010-12-13	26.11	27.45	25.95	27.45	407800
2010-12-14	26.02	26.66	25.08	26.06	334000
2010-12-15	25.76	26.13	25.35	26.09	229000
2010-12-16	25.80	26.29	25.54	26.15	183900
2010-12-17	25.72	26.76	25.72	26.05	1422700
2010-12-20	26.06	26.12	25.28	25.69	201100
2010-12-21	26.35	26.53	25.83	26.06	164300
2010-12-22	26.76	26.80	26.20	26.44	178200
2010-12-23	26.95	27.32	26.19	26.74	50100
2010-12-27	27.06	27.12	26.37	26.88	56800
2010-12-28	27.59	27.74	27.43	27.43	213800
2010-12-29	27.99	28.11	27.35	27.64	119200
2010-12-30	28.07	28.35	27.96	28.15	102500
2010-12-31	28.12	28.78	27.21	28.07	81000
2011-01-03	27.04	28.03	26.61	28.03	266500
2011-01-04	26.03	27.05	25.90	27.05	146200
2011-01-05	26.38	26.58	25.52	26.04	437300
2011-01-06	26.44	26.57	25.65	26.25	388100
2011-01-07	26.26	26.47	26.13	26.44	210900
2011-01-10	26.10	26.32	25.62	26.20	103200
2011-01-11	26.47	26.68	26.08	26.29	117000
2011-01-12	26.43	26.70	25.90	26.70	355200
2011-01-13	26.02	26.40	25.96	26.35	268600
2011-01-14	25.79	26.30	25.52	25.93	503100
2011-01-18	25.96	26.06	25.70	25.70	219800
2011-01-19	26.30	26.42	25.86	25.86	184600
2011-01-20	26.30	26.52	26.04	26.31	113400
2011-01-21	26.44	26.60	26.03	26.53	161400
2011-01-24	26.29	27.09	26.10	26.49	236900
2011-01-25	25.25	26.24	24.85	26.24	627100
