Date	Close	High	Low	Open	Volume
	LYG	LYG	LYG	LYG	LYG
2001-11-28	9.43	9.45	9.40	9.40	53555
2001-11-29	9.49	9.49	9.45	9.49	133837
2001-11-30	9.48	9.49	9.44	9.48	128410
2001-12-03	9.38	9.39	9.30	9.39	233165
2001-12-04	9.34	9.34	9.20	9.20	209101
2001-12-05	9.33	9.35	9.26	9.26	48742
2001-12-06	9.61	9.63	9.51	9.51	234291
2001-12-07	9.60	9.60	9.49	9.53	286618
2001-12-10	9.51	9.51	9.26	9.26	332902
2001-12-11	9.44	9.51	9.42	9.45	65434
2001-12-12	9.51	9.52	9.37	9.44	256205
2001-12-13	9.35	9.37	9.26	9.28	108442
2001-12-14	9.46	9.47	9.42	9.45	87859
2001-12-17	9.71	9.72	9.63	9.71	46285
2001-12-18	9.70	9.76	9.62	9.73	44954
2001-12-19	9.64	9.66	9.51	9.51	13517
2001-12-20	9.66	9.66	9.53	9.53	33690
2001-12-21	9.71	9.73	9.62	9.62	16589
2001-12-24	9.84	9.85	9.79	9.80	17613
2001-12-26	9.88	9.93	9.85	9.85	31949
2001-12-27	10.03	10.05	9.88	9.88	11059
2001-12-28	10.03	10.06	9.90	9.97	56525
2001-12-31	10.16	10.16	10.05	10.05	19763
2002-01-02	9.87	9.88	9.77	9.77	24986
2002-01-03	9.95	9.96	9.83	9.83	28774
2002-01-04	9.93	9.94	9.85	9.94	98304
2002-01-07	9.88	9.96	9.88	9.94	211661
2002-01-08	9.85	9.85	9.75	9.77	61645
2002-01-09	9.68	9.76	9.63	9.76	166298
2002-01-10	9.79	9.79	9.69	9.73	109261
2002-01-11	9.70	9.70	9.62	9.67	81613
2002-01-14	9.65	9.67	9.46	9.55	89190
2002-01-15	9.51	9.52	9.44	9.46	391475
2002-01-16	9.42	9.43	9.37	9.37	166810
2002-01-17	9.57	9.57	9.52	9.52	46387
2002-01-18	9.49	9.49	9.42	9.43	66355
2002-01-22	9.57	9.68	9.57	9.68	47206
2002-01-23	9.79	9.79	9.68	9.73	39424
2002-01-24	9.87	9.91	9.86	9.89	30003
2002-01-25	9.84	9.89	9.78	9.78	34202
2002-01-28	9.90	9.92	9.86	9.87	31744
2002-01-29	9.86	9.95	9.86	9.94	116122
2002-01-30	9.88	9.88	9.71	9.73	70963
2002-01-31	9.81	9.92	9.77	9.92	40960
2002-02-01	9.82	9.83	9.63	9.66	78746
2002-02-04	9.57	9.63	9.57	9.60	88678
2002-02-05	9.60	9.60	9.54	9.54	11776
2002-02-06	9.49	9.54	9.41	9.50	139776
2002-02-07	9.69	9.73	9.50	9.50	55910
2002-02-08	9.86	9.92	9.71	9.71	267878
2002-02-11	9.88	9.92	9.85	9.86	92672
2002-02-12	9.87	9.90	9.76	9.78	62464
2002-02-13	10.03	10.04	9.91	9.94	18330
2002-02-14	10.23	10.24	10.16	10.16	16282
2002-02-15	9.68	9.69	9.58	9.68	50381
2002-02-19	9.69	9.76	9.64	9.66	35840
2002-02-20	9.58	9.67	9.46	9.64	27238
2002-02-21	9.75	9.76	9.62	9.62	18432
2002-02-22	9.85	9.85	9.64	9.65	21811
2002-02-25	9.86	9.87	9.69	9.69	68198
2002-02-26	9.87	9.92	9.84	9.88	29696
2002-02-27	9.72	9.79	9.53	9.54	98918
2002-02-28	9.16	9.33	9.14	9.33	43213
2002-03-01	9.87	9.87	9.54	9.57	101888
2002-03-04	9.76	9.76	9.61	9.61	25395
2002-03-05	9.65	9.72	9.60	9.72	45773
2002-03-06	9.72	9.72	9.47	9.50	40550
2002-03-07	9.79	9.79	9.65	9.79	29082
2002-03-08	9.74	9.82	9.73	9.82	12902
2002-03-11	9.71	9.94	9.71	9.75	27546
2002-03-12	9.75	9.80	9.59	9.61	68608
2002-03-13	9.80	9.90	9.78	9.80	52838
2002-03-14	9.87	9.89	9.82	9.82	31027
2002-03-15	10.08	10.08	10.01	10.03	18637
2002-03-18	10.06	10.07	10.02	10.04	24269
2002-03-19	10.06	10.06	10.01	10.06	9626
2002-03-20	9.94	9.96	9.87	9.94	26214
2002-03-21	9.87	9.87	9.73	9.80	14029
2002-03-22	9.85	9.86	9.71	9.73	13312
2002-03-25	9.66	9.72	9.59	9.71	34714
2002-03-26	9.50	9.54	9.47	9.52	20685
2002-03-27	9.81	9.81	9.61	9.61	29389
2002-03-28	9.71	9.81	9.67	9.81	32563
2002-04-01	9.80	9.88	9.73	9.74	24166
2002-04-02	9.75	9.76	9.67	9.71	12595
2002-04-03	9.73	9.82	9.71	9.82	20582
2002-04-04	9.63	9.75	9.55	9.74	113869
2002-04-05	9.79	9.86	9.72	9.85	23859
2002-04-08	9.67	9.67	9.59	9.65	45363
2002-04-09	9.78	9.79	9.74	9.75	17203
2002-04-10	9.95	9.97	9.87	9.87	36966
2002-04-11	9.90	9.99	9.85	9.97	26010
2002-04-12	9.99	10.10	9.99	10.08	36864
2002-04-15	10.10	10.12	10.08	10.12	21709
2002-04-16	10.21	10.21	10.16	10.17	10342
2002-04-17	10.30	10.30	10.26	10.27	36659
2002-04-18	10.42	10.42	10.40	10.41	2765
2002-04-19	10.41	10.45	10.38	10.43	27341
2002-04-22	10.40	10.40	10.36	10.38	6758
2002-04-23	10.38	10.40	10.36	10.36	6246
2002-04-24	10.76	10.80	10.54	10.55	39731
2002-04-25	10.80	10.82	10.77	10.77	8294
2002-04-26	10.85	10.88	10.80	10.80	20992
2002-04-29	10.77	10.88	10.77	10.82	11571
2002-04-30	10.84	10.84	10.76	10.76	14029
2002-05-01	10.75	10.79	10.73	10.79	10854
2002-05-02	11.06	11.08	10.92	10.92	14234
2002-05-03	11.24	11.30	11.05	11.05	42189
2002-05-06	11.35	11.42	11.31	11.31	9216
2002-05-07	11.00	11.10	10.93	11.07	21094
2002-05-08	10.92	10.92	10.80	10.90	79155
2002-05-09	10.65	10.65	10.59	10.64	6963
2002-05-10	10.76	10.80	10.74	10.76	6554
2002-05-13	10.90	10.90	10.79	10.79	6963
2002-05-14	10.64	10.70	10.50	10.70	57242
2002-05-15	10.75	10.78	10.64	10.64	14950
2002-05-16	10.67	10.77	10.60	10.77	43315
2002-05-17	10.60	10.69	10.57	10.69	39219
2002-05-20	10.49	10.52	10.41	10.52	36352
2002-05-21	10.36	10.46	10.36	10.46	29491
2002-05-22	10.33	10.37	10.31	10.36	40346
2002-05-23	10.35	10.41	10.27	10.33	26214
2002-05-24	10.40	10.43	10.40	10.41	14950
2002-05-28	10.19	10.21	10.17	10.20	14131
2002-05-29	10.16	10.16	10.11	10.13	6246
2002-05-30	10.23	10.28	10.19	10.28	10547
