Date	Close	High	Low	Open	Volume
	MANH	MANH	MANH	MANH	MANH
1998-04-23	5.47	6.62	5.47	6.50	18922800
1998-04-24	6.14	6.41	5.59	6.00	4247200
1998-04-27	5.67	6.12	5.38	6.09	3006800
1998-04-28	5.59	6.22	5.59	6.12	1848400
1998-04-29	5.66	5.81	5.41	5.75	1175600
1998-04-30	5.66	5.88	5.56	5.75	830800
1998-05-01	5.56	5.75	5.50	5.72	330000
1998-05-04	5.59	5.66	5.50	5.59	534400
1998-05-05	5.56	5.62	5.56	5.62	373600
1998-05-06	5.50	5.62	5.38	5.56	291200
1998-05-07	4.91	5.44	4.88	5.44	1057600
1998-05-08	5.41	5.50	4.97	5.03	763200
1998-05-11	5.09	5.42	5.06	5.38	279200
1998-05-12	4.91	5.12	4.70	5.12	1971200
1998-05-13	4.95	5.12	4.75	4.81	585600
1998-05-14	4.70	4.94	4.69	4.94	427200
1998-05-15	4.56	4.67	4.44	4.66	1168800
1998-05-18	4.47	4.66	4.38	4.53	688800
1998-05-19	5.25	5.38	4.62	4.62	2302400
1998-05-20	5.09	5.34	5.09	5.34	556400
1998-05-21	4.94	5.16	4.91	5.16	551200
1998-05-22	5.16	5.16	4.91	4.97	249200
1998-05-26	4.88	5.16	4.84	5.16	142400
1998-05-27	4.91	4.94	4.78	4.88	930400
1998-05-28	4.88	5.09	4.88	5.00	208000
1998-05-29	5.00	5.09	4.84	4.88	485600
1998-06-01	5.14	5.25	4.91	4.91	199600
1998-06-02	5.25	5.25	5.19	5.22	178000
1998-06-03	5.38	5.59	5.20	5.27	196400
1998-06-04	5.22	5.62	5.09	5.47	272000
1998-06-05	5.22	5.28	5.16	5.28	158800
1998-06-08	5.03	5.28	4.91	5.22	172400
1998-06-09	4.98	5.09	4.95	5.00	103200
1998-06-10	4.94	5.09	4.91	5.09	20400
1998-06-11	5.00	5.16	4.94	5.00	94000
1998-06-12	5.00	5.00	4.88	4.94	162400
1998-06-15	5.06	5.19	4.97	5.00	88800
1998-06-16	5.31	5.34	5.06	5.19	327200
1998-06-17	5.34	5.38	5.28	5.31	471600
1998-06-18	5.31	5.38	5.31	5.38	142000
1998-06-19	5.31	5.36	5.31	5.31	122400
1998-06-22	5.28	5.47	5.25	5.31	305600
1998-06-23	5.19	5.30	5.19	5.25	252000
1998-06-24	5.19	5.25	5.12	5.19	388000
1998-06-25	5.12	5.25	5.12	5.19	260000
1998-06-26	4.97	5.19	4.94	5.16	334000
1998-06-29	5.19	5.25	4.91	4.94	109600
1998-06-30	5.20	5.25	5.16	5.25	475600
1998-07-01	6.00	6.00	5.19	5.25	405600
1998-07-02	5.86	5.94	5.75	5.94	216400
1998-07-06	5.88	6.28	5.84	5.84	376800
1998-07-07	6.03	6.03	5.66	5.75	170800
1998-07-08	6.38	6.41	5.88	6.03	354400
1998-07-09	6.38	6.69	6.28	6.28	346400
1998-07-10	6.75	7.03	6.44	6.59	262800
1998-07-13	6.31	6.84	6.25	6.66	182000
1998-07-14	5.55	6.25	5.52	6.25	385200
1998-07-15	5.88	5.91	5.53	5.53	233200
1998-07-16	6.00	6.03	5.88	5.88	77200
1998-07-17	5.88	6.06	5.84	6.06	95600
1998-07-20	5.75	5.94	5.72	5.94	130800
1998-07-21	5.75	5.81	5.75	5.75	97600
1998-07-22	5.72	5.81	5.66	5.81	145600
1998-07-23	5.47	5.84	5.41	5.72	87600
1998-07-24	5.41	5.47	5.19	5.44	116000
1998-07-27	5.41	5.44	5.19	5.38	384400
1998-07-28	5.50	5.62	5.38	5.47	62400
1998-07-29	5.03	5.44	4.94	5.41	182000
1998-07-30	5.00	5.12	4.88	5.00	44800
1998-07-31	4.69	5.03	4.44	5.00	1532400
1998-08-03	4.39	4.72	4.31	4.72	218400
1998-08-04	4.38	4.44	4.25	4.44	136800
1998-08-05	4.38	4.41	4.31	4.38	166000
1998-08-06	4.03	4.38	3.97	4.38	182400
1998-08-07	3.91	4.16	3.88	4.06	204000
1998-08-10	3.97	4.00	3.91	4.00	293600
1998-08-11	3.69	3.81	3.50	3.66	507600
1998-08-12	4.00	4.03	3.72	3.75	1215600
1998-08-13	3.92	4.00	3.88	4.00	454800
1998-08-14	3.92	4.00	3.88	4.00	248400
1998-08-17	3.88	3.97	3.88	3.88	62000
1998-08-18	3.94	3.97	3.91	3.97	64800
1998-08-19	3.84	3.97	3.84	3.97	29200
1998-08-20	3.86	3.94	3.84	3.94	122800
1998-08-21	3.62	3.94	3.52	3.94	168400
1998-08-24	3.47	3.66	3.47	3.66	68400
1998-08-25	3.59	3.66	3.50	3.50	215600
1998-08-26	3.56	3.59	3.53	3.59	283200
1998-08-27	3.47	3.56	3.38	3.56	912400
1998-08-28	3.34	3.44	3.34	3.44	65600
1998-08-31	2.81	3.44	2.62	3.38	133200
1998-09-01	3.05	3.12	2.75	2.97	128400
1998-09-02	3.00	3.22	3.00	3.22	38400
1998-09-03	2.95	3.16	2.94	3.00	32800
1998-09-04	2.59	2.94	2.50	2.94	112000
1998-09-08	2.78	2.78	2.64	2.78	109600
1998-09-09	2.84	2.84	2.59	2.78	75200
1998-09-10	2.62	2.69	2.59	2.62	660800
1998-09-11	2.75	2.81	2.66	2.69	70800
1998-09-14	2.81	2.84	2.69	2.69	103200
1998-09-15	2.78	2.88	2.78	2.80	91600
1998-09-16	2.78	2.88	2.75	2.88	184400
1998-09-17	2.72	2.75	2.62	2.69	130400
1998-09-18	2.69	2.88	2.69	2.88	114400
1998-09-21	2.62	2.69	2.59	2.69	69600
1998-09-22	2.50	2.73	2.50	2.72	215600
1998-09-23	2.50	2.59	2.50	2.50	155200
1998-09-24	2.91	3.06	2.56	2.59	2528400
1998-09-25	3.19	3.19	2.91	2.97	481600
1998-09-28	3.25	3.38	3.19	3.19	301200
1998-09-29	3.28	3.31	3.19	3.22	256800
1998-09-30	3.25	3.25	3.06	3.25	89200
1998-10-01	2.91	3.25	2.91	3.25	112400
1998-10-02	2.97	2.97	2.88	2.97	12000
1998-10-05	2.72	3.00	2.69	2.97	117200
1998-10-06	2.53	2.94	2.50	2.94	108400
1998-10-07	2.53	2.70	2.53	2.59	121200
1998-10-08	2.25	2.50	2.16	2.50	131600
1998-10-09	2.06	2.35	2.06	2.34	272800
1998-10-12	2.19	2.34	2.16	2.19	140000
1998-10-13	2.06	2.28	2.00	2.25	140000
1998-10-14	2.00	2.09	2.00	2.09	59600
1998-10-15	2.09	2.09	2.02	2.06	66400
1998-10-16	2.44	2.47	2.03	2.03	353600
1998-10-19	2.56	2.66	2.44	2.50	249200
1998-10-20	2.81	3.00	2.53	2.62	194800
