Date	Close	High	Low	Open	Volume
	MBLY	MBLY	MBLY	MBLY	MBLY
2022-10-26	28.97	29.86	26.03	26.71	28655000
2022-10-27	27.40	29.59	26.55	26.95	5687400
2022-10-28	27.00	28.63	27.00	27.06	3214100
2022-10-31	26.38	27.12	26.00	27.00	3930900
2022-11-01	25.90	26.40	25.37	26.38	2363000
2022-11-02	25.49	26.32	25.25	25.84	2343100
2022-11-03	26.01	26.54	24.85	25.04	3110600
2022-11-04	25.89	26.78	25.77	26.38	842200
2022-11-07	25.89	26.03	25.00	25.84	1178600
2022-11-08	26.20	27.24	25.52	25.99	1100000
2022-11-09	25.89	26.58	25.71	26.36	717700
2022-11-10	28.09	28.24	26.30	26.48	1177400
2022-11-11	29.95	30.42	27.84	28.25	1660200
2022-11-14	29.39	31.88	28.78	30.54	2931900
2022-11-15	29.91	31.38	29.60	30.74	1844800
2022-11-16	28.81	29.99	27.72	29.74	1095900
2022-11-17	29.01	29.93	27.51	27.61	895500
2022-11-18	28.42	29.68	27.60	29.15	651000
2022-11-21	27.22	30.00	26.65	29.44	2369700
2022-11-22	29.55	29.84	27.02	27.22	1327400
2022-11-23	29.31	30.77	28.02	29.55	1267200
2022-11-25	29.40	30.46	29.20	29.50	361500
2022-11-28	27.87	29.80	27.60	29.42	635500
2022-11-29	27.44	28.31	26.17	27.87	1659800
2022-11-30	28.51	29.38	27.41	27.62	879700
2022-12-01	29.77	30.60	28.41	29.15	1496500
2022-12-02	31.94	32.90	29.25	29.50	2061000
2022-12-05	31.50	33.39	31.28	32.43	2127800
2022-12-06	30.49	31.82	29.54	31.50	1495900
2022-12-07	32.13	33.95	31.13	32.43	3768600
2022-12-08	31.59	33.50	31.37	33.50	1723600
2022-12-09	33.70	34.38	31.57	31.60	2361300
2022-12-12	33.05	34.24	32.89	34.00	1028400
2022-12-13	34.66	36.00	33.20	35.00	2501200
2022-12-14	35.43	37.31	34.50	35.00	2121300
2022-12-15	34.50	35.85	33.36	35.52	2300400
2022-12-16	33.81	35.41	32.59	34.33	5407700
2022-12-19	35.04	36.37	32.82	34.00	2879500
2022-12-20	33.72	35.70	33.60	35.04	1455000
2022-12-21	35.47	35.80	33.50	34.20	1904000
2022-12-22	33.88	35.52	32.68	35.36	1225900
2022-12-23	33.98	35.29	33.32	34.10	1137700
2022-12-27	34.32	35.50	33.81	34.11	1264500
2022-12-28	33.58	34.76	32.78	34.31	1460800
2022-12-29	34.51	34.54	32.17	33.74	1532200
2022-12-30	35.06	35.25	34.19	34.19	1566100
2023-01-03	32.71	36.49	32.39	35.64	1950700
2023-01-04	31.13	32.79	29.83	32.73	3412600
2023-01-05	30.04	31.10	29.44	31.10	2262300
2023-01-06	31.62	32.83	28.73	30.00	3841600
2023-01-09	33.41	34.25	30.05	31.99	4722900
2023-01-10	33.43	34.59	32.51	33.41	2619200
2023-01-11	33.15	34.18	31.40	33.86	2566300
2023-01-12	34.37	34.40	32.70	33.20	1686300
2023-01-13	32.98	34.15	31.96	33.99	1809200
2023-01-17	31.55	33.39	31.24	33.16	2669400
2023-01-18	33.48	34.85	32.10	32.35	3854000
2023-01-19	32.68	33.78	32.10	33.48	1196400
2023-01-20	34.36	34.73	32.91	33.09	1804700
2023-01-23	35.23	35.47	33.82	34.59	1710000
