Date	Close	High	Low	Open	Volume
	MDGL	MDGL	MDGL	MDGL	MDGL
2007-02-06	318.15	353.50	315.00	350.00	74886
2007-02-07	337.75	344.75	318.50	320.95	12223
2007-02-08	344.40	346.15	338.45	338.45	7889
2007-02-09	344.75	346.50	341.25	346.50	2377
2007-02-12	336.00	347.90	332.85	344.75	1989
2007-02-13	328.65	334.25	325.50	333.20	1269
2007-02-14	324.45	333.90	322.00	323.40	1680
2007-02-15	332.50	334.25	324.45	324.45	749
2007-02-16	324.10	332.85	318.85	332.85	1217
2007-02-20	318.50	325.50	315.00	321.65	1983
2007-02-21	317.10	321.65	316.75	320.25	317
2007-02-22	319.90	322.35	316.75	322.00	523
2007-02-23	308.00	318.50	304.85	318.50	1774
2007-02-26	306.25	308.00	301.00	305.90	1863
2007-02-27	297.85	306.25	297.85	297.85	1640
2007-02-28	298.55	304.50	289.45	298.55	2431
2007-03-01	292.25	299.25	291.55	299.25	946
2007-03-02	289.45	295.40	288.75	290.50	886
2007-03-05	287.00	304.85	286.65	304.85	1377
2007-03-06	306.25	309.40	290.15	304.50	1863
2007-03-07	305.90	307.30	297.50	306.95	1403
2007-03-08	304.15	314.65	304.15	314.30	491
2007-03-09	308.70	314.65	303.80	310.80	2514
2007-03-12	314.65	314.65	310.45	314.30	49
2007-03-13	308.00	314.65	306.95	314.65	1217
2007-03-14	315.00	332.15	306.25	308.00	3486
2007-03-15	313.25	318.15	308.00	311.85	506
2007-03-16	320.25	323.75	314.65	316.05	900
2007-03-19	325.50	349.30	325.50	344.75	3383
2007-03-20	322.70	329.70	319.90	329.70	1217
2007-03-21	314.30	323.75	311.15	323.75	929
2007-03-22	312.55	322.00	307.65	309.40	500
2007-03-23	312.55	317.80	311.15	317.80	297
2007-03-26	297.85	312.20	297.50	310.10	1023
2007-03-27	302.40	312.90	299.25	312.90	497
2007-03-28	298.55	303.10	297.50	301.00	349
2007-03-29	303.80	305.90	301.00	305.90	631
2007-03-30	282.45	314.65	282.45	314.30	10711
2007-04-02	292.95	300.65	285.25	287.00	1803
2007-04-03	287.35	293.30	284.20	292.25	731
2007-04-04	293.30	296.10	285.60	285.60	1337
2007-04-05	297.85	297.85	289.10	297.50	971
2007-04-09	294.70	301.00	287.35	301.00	543
2007-04-10	279.65	292.60	277.20	292.60	1471
2007-04-11	287.35	292.60	277.90	277.90	897
2007-04-12	292.60	292.95	281.75	287.35	563
2007-04-13	294.35	294.35	280.35	290.50	700
2007-04-16	301.00	301.00	292.95	294.35	617
2007-04-17	302.05	302.05	295.40	301.00	543
2007-04-18	309.05	313.60	301.35	302.40	646
2007-04-19	301.00	308.70	300.65	308.70	357
2007-04-20	307.65	308.70	304.15	307.30	329
2007-04-23	305.20	309.75	304.50	305.55	434
2007-04-24	306.25	311.50	304.50	311.15	871
2007-04-25	305.55	310.10	302.75	309.40	617
2007-04-26	305.90	307.65	305.20	305.55	543
2007-04-27	306.60	324.10	301.70	304.50	446
2007-04-30	285.25	306.60	285.25	306.60	569
2007-05-01	287.70	292.25	284.20	284.90	511
2007-05-02	299.95	312.55	293.30	312.55	246
2007-05-03	297.50	301.35	294.35	300.65	314
2007-05-04	296.10	302.75	290.15	290.15	386
2007-05-07	300.30	304.50	294.00	294.00	563
2007-05-08	303.10	304.15	297.50	304.15	431
2007-05-09	303.10	304.50	299.25	302.75	306
2007-05-10	294.00	302.05	294.00	300.65	1377
2007-05-11	297.50	299.25	290.50	291.90	277
2007-05-14	284.20	301.70	283.85	301.70	1386
2007-05-15	281.75	288.05	281.75	287.00	1277
2007-05-16	280.70	289.80	279.30	283.50	1023
2007-05-17	281.40	282.80	277.20	277.20	4760
2007-05-18	285.60	286.65	280.00	282.45	1229
2007-05-21	285.25	285.95	280.70	285.95	269
2007-05-22	285.25	290.50	282.45	286.65	2586
2007-05-23	292.25	292.25	283.85	284.55	1880
2007-05-24	287.70	292.60	284.90	290.15	649
2007-05-25	290.15	291.20	281.05	281.05	620
2007-05-29	296.45	297.50	284.90	284.90	680
2007-05-30	304.85	307.65	285.95	294.35	1063
2007-05-31	320.25	327.25	306.60	308.00	5740
2007-06-01	339.50	343.70	321.65	323.05	2086
2007-06-04	355.25	359.45	340.20	348.95	4380
2007-06-05	313.60	355.60	313.60	355.60	5306
2007-06-06	296.80	320.25	295.75	320.25	2709
2007-06-07	292.60	303.80	292.60	296.80	651
2007-06-08	290.15	293.65	288.05	292.60	1780
2007-06-11	303.45	306.25	289.10	290.15	3340
2007-06-12	291.55	302.75	291.55	301.00	351
2007-06-13	289.10	302.75	288.75	302.75	809
2007-06-14	285.60	293.65	284.55	293.65	426
2007-06-15	283.85	287.70	283.15	285.60	1180
2007-06-18	283.15	293.30	281.75	292.25	566
2007-06-19	290.15	292.60	282.80	286.30	529
2007-06-20	284.90	291.55	283.85	290.50	346
2007-06-21	284.90	288.05	280.00	284.90	1114
2007-06-22	296.10	296.10	284.55	284.55	3426
2007-06-25	297.50	303.80	297.50	297.50	1594
2007-06-26	298.90	303.80	295.05	303.80	609
2007-06-27	297.85	302.05	295.05	297.50	2106
2007-06-28	293.30	301.00	291.90	297.50	1560
2007-06-29	290.50	298.20	289.10	298.20	1543
2007-07-02	293.65	296.80	288.75	292.60	1191
2007-07-03	302.40	306.25	292.95	294.00	560
2007-07-05	294.00	306.25	288.75	301.35	523
2007-07-06	301.70	305.90	288.75	294.00	797
2007-07-09	297.15	301.70	295.05	301.70	91
2007-07-10	288.75	296.80	288.75	293.30	369
2007-07-11	285.60	290.50	282.45	290.50	446
2007-07-12	287.70	292.95	287.70	288.05	131
2007-07-13	294.35	299.95	287.00	289.80	820
2007-07-16	288.75	299.95	287.35	294.35	1620
2007-07-17	288.75	290.15	287.35	288.75	1454
2007-07-18	299.25	299.60	287.00	287.35	414
2007-07-19	294.00	299.95	292.95	299.95	471
2007-07-20	288.05	291.90	286.65	291.90	314
2007-07-23	282.80	295.75	282.80	295.75	523
2007-07-24	284.90	288.40	283.15	283.15	463
2007-07-25	282.80	287.35	282.80	287.35	697
2007-07-26	281.40	291.90	276.50	291.90	894
2007-07-27	285.25	285.60	281.05	281.05	814
2007-07-30	278.25	285.95	278.25	285.25	1917
2007-07-31	277.90	282.45	277.20	282.45	2614
2007-08-01	284.20	291.90	280.70	280.70	2177
2007-08-02	281.75	292.95	281.75	285.95	460
2007-08-03	271.25	280.35	271.25	277.20	1717
2007-08-06	282.10	283.50	264.60	271.95	1417
2007-08-07	268.80	281.05	268.80	280.35	1414
2007-08-08	256.55	279.30	248.50	271.25	3354
2007-08-09	253.75	262.15	253.75	253.75	1857
2007-08-10	236.95	256.20	234.85	248.15	2060
2007-08-13	236.25	248.50	233.10	242.20	1200
2007-08-14	233.80	236.25	232.75	234.50	600
2007-08-15	220.50	233.80	220.50	233.80	720
2007-08-16	209.65	220.50	201.95	220.50	1663
2007-08-17	206.50	214.90	203.00	209.65	1049
2007-08-20	205.80	210.00	204.75	210.00	789
2007-08-21	192.50	205.10	192.50	205.10	1186
2007-08-22	188.30	198.45	187.60	195.30	1780
2007-08-23	183.75	191.80	181.65	189.70	1426
2007-08-24	172.55	189.00	172.55	184.45	1537
2007-08-27	174.65	194.60	174.30	175.00	5960
2007-08-28	184.45	188.30	175.00	175.00	9774
2007-08-29	194.95	201.25	183.40	184.80	1534
2007-08-30	206.15	206.85	189.00	196.35	1717
2007-08-31	209.30	211.05	199.85	210.35	3717
2007-09-04	212.45	212.45	205.10	208.95	3937
2007-09-05	226.45	236.25	209.65	211.75	1849
2007-09-06	235.90	246.40	227.50	227.50	1589
2007-09-07	224.00	235.90	219.80	228.20	1080
2007-09-10	221.55	222.95	210.00	222.25	1003
2007-09-11	241.85	247.80	222.95	222.95	4334
2007-09-12	245.35	253.05	240.45	240.45	2103
2007-09-13	246.40	248.15	242.55	248.15	6897
2007-09-14	260.75	279.65	236.25	236.25	8371
2007-09-17	273.00	276.50	258.65	258.65	5483
2007-09-18	281.05	283.50	273.35	274.05	8029
2007-09-19	277.90	287.35	275.45	280.70	3180
2007-09-20	255.85	280.00	251.30	278.25	1651
2007-09-21	281.75	288.75	252.70	257.95	7011
2007-09-24	289.80	290.85	280.00	280.35	8531
2007-09-25	302.75	306.25	291.55	291.55	7420
2007-09-26	276.50	345.10	266.70	340.20	13991
2007-09-27	265.65	285.25	257.95	280.00	15809
2007-09-28	231.00	266.00	229.95	266.00	9526
2007-10-01	268.10	278.25	240.80	240.80	11380
2007-10-02	284.20	297.50	278.25	282.10	8620
2007-10-03	344.40	344.75	286.65	286.65	12220
2007-10-04	384.65	390.25	336.70	349.30	21643
2007-10-05	385.00	393.75	368.20	392.35	11463
2007-10-08	374.50	384.30	369.25	380.80	2537
2007-10-09	358.75	381.50	350.00	375.20	3103
2007-10-10	326.20	361.90	316.05	348.25	212720
2007-10-11	307.65	341.25	302.40	341.25	31166
2007-10-12	306.60	317.80	301.00	315.35	10491
2007-10-15	286.30	311.50	271.95	311.50	17106
2007-10-16	276.50	289.45	275.45	286.65	9637
2007-10-17	286.30	288.05	279.65	284.20	5920
2007-10-18	290.50	291.55	271.25	283.85	10954
2007-10-19	274.75	290.50	269.85	289.45	8700
2007-10-22	281.05	284.20	262.85	271.25	2571
2007-10-23	292.25	302.40	274.75	281.40	8391
2007-10-24	286.65	294.00	281.75	290.50	2569
2007-10-25	281.05	295.75	280.00	291.90	3529
2007-10-26	307.65	313.95	294.00	297.50	8034
2007-10-29	315.00	323.75	312.90	313.95	7280
2007-10-30	303.45	321.65	301.35	316.05	3546
2007-10-31	294.70	307.65	288.75	307.65	4094
2007-11-01	297.85	299.60	290.50	292.60	7317
2007-11-02	311.85	320.25	297.15	302.40	4009
2007-11-05	310.80	313.25	303.10	305.20	3711
2007-11-06	315.00	317.45	311.85	315.00	4037
2007-11-07	307.30	317.45	304.50	316.05	3274
2007-11-08	290.50	307.30	282.10	307.30	3189
2007-11-09	280.35	292.60	280.35	292.60	8711
2007-11-12	280.35	283.50	274.05	283.50	6954
2007-11-13	282.45	296.45	273.00	279.30	9109
2007-11-14	280.35	297.50	279.30	292.95	41429
2007-11-15	280.00	295.75	278.95	280.00	7186
2007-11-16	276.50	286.30	275.45	280.70	3011
2007-11-19	266.00	278.60	262.50	278.25	3274
2007-11-20	267.75	271.95	261.45	262.85	2717
2007-11-21	260.40	273.70	260.05	264.95	4171
2007-11-23	265.30	274.40	253.75	273.00	4491
2007-11-26	270.90	277.90	255.85	264.60	3603
2007-11-27	262.50	280.00	257.95	277.90	2171
2007-11-28	266.00	271.60	257.25	263.90	4423
2007-11-29	260.75	267.75	259.00	263.90	5197
2007-11-30	260.75	269.15	260.75	262.85	4771
2007-12-03	263.90	275.10	260.75	261.45	2760
2007-12-04	256.90	268.10	256.20	268.10	2117
2007-12-05	264.60	273.70	261.80	264.25	4423
2007-12-06	262.85	267.05	257.95	263.55	3580
2007-12-07	259.00	262.85	257.60	261.80	1380
2007-12-10	255.15	259.70	255.15	257.60	2577
2007-12-11	245.00	255.50	244.30	253.75	4014
2007-12-12	245.00	252.00	244.30	245.00	4063
2007-12-13	253.05	257.25	244.30	248.50	3026
2007-12-14	242.55	253.75	241.50	253.75	4011
2007-12-17	232.75	248.50	232.40	241.50	2537
2007-12-18	221.55	232.75	220.85	232.75	3551
2007-12-19	224.00	226.10	222.25	222.25	4566
2007-12-20	224.00	227.15	222.60	226.10	3491
2007-12-21	227.15	227.50	221.20	227.50	7517
2007-12-24	226.10	230.65	224.35	226.45	2526
2007-12-26	225.40	226.80	223.65	224.35	2023
2007-12-27	228.55	231.70	224.00	224.00	3594
2007-12-28	234.85	236.95	229.95	229.95	2317
2007-12-31	234.50	243.25	227.15	241.50	5280
2008-01-02	222.25	234.85	222.25	233.45	2537
2008-01-03	222.60	227.85	222.25	225.40	2103
2008-01-04	220.50	222.95	220.50	222.25	1669
2008-01-07	211.40	223.65	210.00	221.90	3111
2008-01-08	208.25	215.95	207.20	211.75	2063
2008-01-09	210.35	227.15	207.20	207.55	2311
2008-01-10	245.35	245.35	206.85	210.00	3840
2008-01-11	264.25	270.55	242.90	242.90	4480
2008-01-14	257.25	275.80	252.00	266.00	1934
2008-01-15	260.75	262.50	252.00	255.15	1486
2008-01-16	267.05	268.45	256.90	260.40	963
2008-01-17	227.50	264.95	227.50	263.55	3309
2008-01-18	239.40	242.20	227.50	227.50	1800
2008-01-22	235.20	252.00	227.50	227.50	2140
2008-01-23	239.75	246.05	220.50	230.30	1849
2008-01-24	235.55	245.35	231.00	242.90	1109
2008-01-25	228.90	241.15	227.85	241.15	1043
2008-01-28	238.35	249.20	232.75	238.00	2109
2008-01-29	247.10	262.50	244.30	245.00	2786
2008-01-30	250.60	257.25	244.65	244.65	1309
2008-01-31	275.80	288.40	247.10	253.05	9243
2008-02-01	275.80	281.75	274.05	278.25	4554
2008-02-04	271.25	281.75	262.85	271.25	7057
2008-02-05	277.55	281.75	266.00	266.00	3443
2008-02-06	284.20	289.80	277.90	279.30	4140
2008-02-07	297.85	297.85	280.70	283.15	4080
2008-02-08	298.55	303.80	291.55	303.80	5577
2008-02-11	338.10	338.80	298.55	301.00	6991
2008-02-12	326.20	344.75	317.45	338.80	8751
2008-02-13	337.75	338.10	327.25	331.45	2843
2008-02-14	331.80	341.60	329.00	338.10	4254
2008-02-15	326.20	329.70	306.95	329.70	3694
2008-02-19	326.20	331.10	320.25	331.10	6094
2008-02-20	320.95	325.50	318.50	322.35	3140
2008-02-21	322.00	322.70	319.90	322.70	2091
2008-02-22	320.60	328.65	318.50	323.75	3060
2008-02-25	306.25	325.85	302.40	325.50	8337
2008-02-26	314.30	321.65	303.80	306.25	3114
2008-02-27	308.70	314.30	299.95	311.50	2180
2008-02-28	301.35	314.30	301.35	308.70	1637
2008-02-29	310.10	313.25	296.80	299.95	1943
2008-03-03	288.75	310.10	288.05	308.70	2680
2008-03-04	286.30	288.75	281.75	288.75	1991
2008-03-05	274.05	289.80	273.00	285.95	3920
2008-03-06	266.70	277.90	266.70	276.50	2463
2008-03-07	248.15	263.55	247.80	263.55	5454
2008-03-10	242.55	255.50	240.80	249.20	2540
2008-03-11	241.50	248.85	237.65	248.50	3834
2008-03-12	258.30	278.25	245.00	245.00	6526
2008-03-13	272.65	277.90	254.80	254.80	3903
2008-03-14	279.65	280.70	270.55	280.00	3714
2008-03-17	256.90	269.50	255.50	269.50	1703
2008-03-18	255.50	263.20	249.20	257.25	3517
2008-03-19	257.60	262.15	246.75	252.35	3923
2008-03-20	278.25	317.45	261.45	317.10	6726
2008-03-24	276.50	294.00	269.15	277.90	4874
2008-03-25	293.30	293.30	274.05	280.35	6306
2008-03-26	277.55	290.50	270.20	290.50	1537
2008-03-27	280.35	293.65	276.50	280.00	1914
2008-03-28	292.95	297.50	282.45	285.25	2786
2008-03-31	283.15	292.25	280.00	288.75	820
2008-04-01	280.00	288.75	276.50	288.75	1577
2008-04-02	269.85	283.15	264.60	278.95	2940
2008-04-03	269.50	273.00	267.75	268.10	1237
2008-04-04	267.40	274.75	267.05	268.45	1643
2008-04-07	271.60	278.25	266.35	270.20	1266
2008-04-08	270.55	276.15	263.90	274.05	1503
2008-04-09	264.60	275.80	262.15	275.80	2611
2008-04-10	260.40	264.60	257.95	263.55	2237
2008-04-11	250.60	263.90	250.25	261.45	1906
2008-04-14	246.05	251.30	245.35	251.30	3909
2008-04-15	245.00	248.15	245.00	246.40	1846
2008-04-16	246.05	246.40	245.00	246.40	2434
2008-04-17	245.70	247.10	239.75	245.00	3611
2008-04-18	245.35	252.35	241.50	249.55	2857
2008-04-21	241.50	248.85	241.50	245.35	1489
2008-04-22	246.05	246.75	240.80	240.80	3094
2008-04-23	240.80	252.70	239.75	252.70	1883
2008-04-24	233.10	243.95	231.70	241.50	2503
2008-04-25	232.40	236.95	229.25	233.10	2346
2008-04-28	231.35	241.50	229.60	233.80	2640
2008-04-29	230.30	239.75	228.20	232.05	2971
2008-04-30	234.85	239.05	229.25	233.80	2354
2008-05-01	243.60	246.75	235.20	235.20	1497
2008-05-02	237.30	244.65	236.25	244.65	1597
2008-05-05	236.95	245.00	234.50	234.50	1491
2008-05-06	245.70	248.85	235.55	235.55	2980
2008-05-07	229.60	246.40	228.90	245.35	2560
2008-05-08	229.95	238.00	222.60	233.10	2711
2008-05-09	223.30	229.60	222.60	229.60	3903
2008-05-12	254.10	254.45	222.25	226.45	4483
2008-05-13	245.35	258.30	241.85	258.30	1600
2008-05-14	243.25	254.10	238.35	238.35	2623
2008-05-15	243.60	248.50	238.00	239.75	2863
2008-05-16	236.95	254.10	235.55	246.40	8774
2008-05-19	254.80	263.90	233.10	239.40	8986
2008-05-20	269.50	273.70	239.75	250.60	8834
2008-05-21	254.80	271.25	253.75	271.25	3606
2008-05-22	249.20	256.90	245.00	255.50	3731
2008-05-23	248.85	271.25	237.30	249.55	3986
2008-05-27	248.85	252.00	236.60	250.60	2286
2008-05-28	245.00	248.50	242.20	248.50	1394
2008-05-29	252.70	256.20	240.10	247.45	3720
2008-05-30	245.00	253.05	245.00	253.05	2666
2008-06-02	258.65	259.70	250.95	252.00	5120
2008-06-03	285.60	285.60	262.85	262.85	8803
2008-06-04	283.15	288.75	271.25	283.85	5360
2008-06-05	278.95	288.75	278.25	285.25	4274
2008-06-06	260.40	276.50	258.65	276.50	3229
2008-06-09	248.85	261.80	248.85	259.70	2903
2008-06-10	259.35	264.60	243.25	250.95	2380
2008-06-11	246.05	257.95	245.35	257.95	2434
2008-06-12	257.25	263.90	246.40	246.40	2097
2008-06-13	248.50	261.10	246.40	261.10	1177
2008-06-16	247.10	253.40	245.00	247.10	2089
2008-06-17	245.70	252.70	245.35	246.75	1894
2008-06-18	245.35	247.45	244.30	245.35	1183
2008-06-19	241.85	246.05	238.00	244.30	1137
2008-06-20	227.15	244.65	222.60	239.75	6303
2008-06-23	226.45	238.00	220.50	226.80	6137
2008-06-24	219.10	228.55	218.75	224.35	1369
2008-06-25	241.50	241.50	218.75	218.75	8951
2008-06-26	211.05	239.75	210.00	238.00	5251
2008-06-27	206.85	222.25	206.50	210.00	33903
2008-06-30	213.50	216.30	207.55	207.55	3406
2008-07-01	207.20	212.10	204.75	210.00	4154
2008-07-02	199.85	217.35	199.50	206.15	3009
2008-07-03	204.40	204.40	191.80	201.60	857
2008-07-07	208.95	215.60	206.15	208.95	1257
2008-07-08	224.00	224.00	204.75	209.65	2329
2008-07-09	227.85	229.60	212.80	224.35	1877
2008-07-10	226.45	227.85	212.45	227.15	2157
2008-07-11	225.75	226.45	207.20	224.00	2509
2008-07-14	223.30	227.15	217.00	227.15	1591
2008-07-15	231.70	233.10	213.15	220.15	1843
2008-07-16	245.35	245.35	231.70	231.70	2526
2008-07-17	245.70	250.60	244.30	246.05	869
2008-07-18	243.95	252.00	233.80	248.50	1886
2008-07-21	245.35	252.35	243.25	245.00	866
2008-07-22	255.85	261.10	243.25	243.60	2423
2008-07-23	266.00	267.05	252.00	255.85	2206
2008-07-24	272.30	273.70	256.90	267.75	2569
2008-07-25	277.90	279.30	273.00	273.00	2651
2008-07-28	261.45	280.00	261.45	276.15	1546
2008-07-29	274.05	278.25	261.45	261.45	1523
2008-07-30	277.90	280.00	273.00	277.90	1477
2008-07-31	275.45	277.20	252.00	275.10	2543
2008-08-01	271.60	275.45	264.95	275.45	551
2008-08-04	269.15	276.15	257.95	270.90	2069
2008-08-05	268.45	272.30	264.60	272.30	1583
2008-08-06	273.00	278.25	263.90	271.25	1943
2008-08-07	221.90	271.25	205.10	271.25	5454
2008-08-08	234.50	246.05	221.90	225.40	4137
2008-08-11	263.55	263.55	230.30	235.55	5411
2008-08-12	269.85	271.25	256.55	262.50	2411
2008-08-13	281.05	282.45	265.30	269.85	3600
2008-08-14	283.85	288.75	278.25	282.45	3600
2008-08-15	289.80	289.80	271.25	285.60	4449
2008-08-18	286.30	289.80	276.15	289.45	1363
2008-08-19	281.40	290.85	273.70	290.85	1691
2008-08-20	280.00	288.40	273.00	287.70	849
2008-08-21	278.25	281.40	273.00	278.25	686
2008-08-22	282.10	285.25	277.90	280.35	1160
2008-08-25	289.10	296.80	276.85	282.45	5003
2008-08-26	299.60	308.35	290.50	297.50	3623
2008-08-27	300.65	308.00	296.10	301.00	2171
2008-08-28	312.20	315.00	292.95	305.90	5289
2008-08-29	310.10	321.65	294.70	315.00	3977
2008-09-02	315.35	318.15	309.75	318.15	3354
2008-09-03	324.10	328.65	315.35	316.75	5763
2008-09-04	319.90	341.25	313.25	326.20	3974
2008-09-05	323.40	329.00	309.75	316.05	4091
2008-09-08	332.85	339.85	326.55	337.40	4383
2008-09-09	320.25	343.00	315.35	332.50	4469
2008-09-10	318.50	329.70	304.15	329.00	5703
2008-09-11	314.65	326.55	309.75	326.55	2929
2008-09-12	310.80	322.70	306.60	315.35	1406
2008-09-15	276.50	319.90	271.25	304.85	5014
2008-09-16	291.20	294.00	276.50	276.50	4123
2008-09-17	312.90	314.65	285.25	288.05	5160
2008-09-18	347.20	358.05	317.10	317.10	15174
2008-09-19	346.15	360.50	327.95	360.15	7877
2008-09-22	310.80	343.00	306.60	343.00	4497
2008-09-23	302.75	314.65	297.50	309.75	4309
2008-09-24	288.05	311.50	288.05	301.70	8031
2008-09-25	288.75	297.50	285.60	287.70	2434
2008-09-26	271.95	285.25	269.85	282.45	7223
2008-09-29	279.30	300.65	259.35	268.10	7037
2008-09-30	266.70	287.35	262.15	287.35	3954
2008-10-01	258.65	292.60	255.85	260.40	2797
2008-10-02	256.90	269.15	255.50	262.15	2249
2008-10-03	242.90	263.90	242.90	260.75	3109
2008-10-06	232.05	260.75	221.20	238.70	6594
2008-10-07	214.55	249.55	211.05	233.10	5449
2008-10-08	223.65	245.00	202.65	210.70	5677
2008-10-09	218.75	245.00	218.75	228.20	5000
2008-10-10	234.85	242.90	195.30	211.05	3323
2008-10-13	250.25	257.25	228.90	243.60	1309
2008-10-14	254.80	273.00	250.25	265.30	2129
2008-10-15	239.75	265.30	239.75	254.45	1289
2008-10-16	256.90	257.25	222.60	236.95	2731
2008-10-17	259.35	262.15	246.75	249.55	5969
2008-10-20	243.95	262.50	243.25	262.50	5040
2008-10-21	239.40	248.50	238.00	243.25	1783
2008-10-22	215.95	238.70	215.95	236.25	8071
2008-10-23	201.60	214.90	199.50	212.45	4017
2008-10-24	209.30	210.00	192.50	197.75	1434
2008-10-27	192.85	208.95	192.85	208.95	1814
2008-10-28	223.65	223.65	192.50	196.00	1843
2008-10-29	228.90	233.80	221.55	224.35	1957
2008-10-30	240.80	240.80	227.50	234.15	1991
2008-10-31	247.80	260.40	227.85	240.45	2229
2008-11-03	255.15	260.40	247.80	247.80	1186
2008-11-04	250.60	260.05	239.75	257.25	1326
2008-11-05	222.60	250.95	222.25	248.85	1614
2008-11-06	212.45	238.70	204.75	221.90	1869
2008-11-07	232.75	240.45	214.20	214.20	1060
2008-11-10	213.15	245.35	210.70	236.60	5286
2008-11-11	224.35	234.15	212.80	212.80	2369
2008-11-12	202.65	233.80	201.25	217.35	2263
2008-11-13	198.80	202.65	187.60	202.65	5391
2008-11-14	166.25	201.25	159.95	201.25	7909
2008-11-17	167.65	189.00	161.00	164.85	3863
2008-11-18	162.75	175.00	162.75	168.35	2754
2008-11-19	157.50	169.75	157.50	162.75	2926
2008-11-20	168.70	173.60	152.25	165.55	10317
2008-11-21	181.65	184.80	150.15	170.80	4351
2008-11-24	197.40	201.25	165.20	183.40	3749
2008-11-25	178.15	203.00	170.45	199.85	2283
2008-11-26	178.85	183.75	161.70	174.30	4066
2008-11-28	185.50	189.00	171.85	176.40	714
2008-12-01	155.05	200.90	155.05	180.95	2257
2008-12-02	159.95	171.15	151.55	158.20	2109
2008-12-03	159.95	164.15	154.35	156.10	1337
2008-12-04	158.90	174.30	157.15	158.55	1177
2008-12-05	177.10	177.45	155.75	172.90	1086
2008-12-08	195.65	198.10	176.40	180.60	2394
2008-12-09	194.95	197.05	181.30	185.50	2249
2008-12-10	184.80	203.00	175.70	196.00	1874
2008-12-11	172.20	192.50	167.65	181.30	1763
2008-12-12	171.50	189.70	168.35	169.40	1651
2008-12-15	174.65	188.65	169.75	172.90	1774
2008-12-16	181.30	181.30	173.25	177.80	3126
2008-12-17	183.40	192.50	170.80	184.10	3106
2008-12-18	167.65	191.80	166.95	190.40	2874
2008-12-19	175.70	182.00	169.40	179.20	4060
2008-12-22	181.65	181.65	171.50	175.35	2223
2008-12-23	182.00	187.25	178.15	182.70	960
2008-12-24	183.75	189.00	178.50	182.70	2557
2008-12-26	182.35	187.25	180.95	185.85	1263
2008-12-29	181.30	185.85	174.65	182.00	2251
2008-12-30	199.85	203.70	177.45	180.25	13686
2008-12-31	214.20	227.15	202.30	203.00	8000
2009-01-02	215.95	234.15	210.35	221.20	6817
2009-01-05	221.20	227.15	213.15	217.00	4194
2009-01-06	225.75	227.85	218.40	224.00	2726
2009-01-07	240.10	252.00	229.25	231.35	6566
2009-01-08	242.55	252.35	229.95	252.35	3497
2009-01-09	231.70	241.85	231.35	241.85	1886
2009-01-12	249.90	253.75	236.25	236.95	3060
2009-01-13	256.20	269.50	250.60	256.90	5280
2009-01-14	256.55	261.45	245.70	252.35	3080
2009-01-15	250.95	260.40	234.85	256.20	3254
2009-01-16	254.45	255.85	245.00	254.45	1509
2009-01-20	245.00	256.20	245.00	252.00	4080
2009-01-21	260.05	261.45	245.00	246.05	1674
2009-01-22	244.30	257.60	242.55	255.85	2063
2009-01-23	253.75	262.50	238.00	238.00	2166
2009-01-26	271.60	272.65	254.80	254.80	3229
2009-01-27	272.30	276.50	265.65	276.50	2323
2009-01-28	275.10	285.25	270.90	283.50	2866
2009-01-29	289.80	309.05	270.90	281.40	4006
2009-01-30	308.00	309.05	287.35	293.30	8114
2009-02-02	317.80	334.25	296.10	334.25	6100
2009-02-03	317.80	332.50	307.30	315.00	6311
2009-02-04	317.45	327.95	302.05	316.75	3217
2009-02-05	303.45	320.95	292.25	317.80	6629
2009-02-06	292.25	303.45	279.65	303.45	6909
2009-02-09	296.10	317.45	292.25	296.45	7074
2009-02-10	273.00	302.40	269.50	292.95	5711
2009-02-11	287.70	288.05	273.00	279.65	4151
2009-02-12	282.80	284.55	276.85	284.55	5169
2009-02-13	274.75	287.70	273.00	282.10	3703
2009-02-17	269.85	278.95	262.50	266.35	2646
2009-02-18	271.60	276.50	268.80	270.90	1200
2009-02-19	269.50	274.40	264.95	273.70	769
2009-02-20	252.00	264.95	245.35	264.95	5337
2009-02-23	228.20	253.75	227.50	253.75	5591
2009-02-24	236.25	243.60	224.00	231.35	3320
2009-02-25	226.45	241.85	226.10	238.00	3726
2009-02-26	223.65	233.80	223.30	227.50	5860
2009-02-27	47.60	60.20	45.85	52.85	96174
2009-03-02	89.25	105.00	42.00	45.50	93651
2009-03-03	102.90	109.20	76.30	86.80	148114
2009-03-04	89.95	99.75	84.00	99.75	11534
2009-03-05	73.50	88.90	70.35	88.55	10020
2009-03-06	83.30	90.65	67.55	74.55	9911
2009-03-09	70.00	78.75	70.00	78.05	8191
2009-03-10	70.00	87.15	65.45	87.15	11171
2009-03-11	65.45	68.95	56.70	63.35	9343
2009-03-12	68.95	70.35	60.90	64.75	4203
2009-03-13	70.35	76.30	58.10	68.95	8034
2009-03-16	67.90	70.00	64.05	69.65	3366
2009-03-17	70.35	72.10	67.20	70.00	4100
2009-03-18	70.35	70.35	64.40	70.35	6877
2009-03-19	70.00	71.05	66.85	70.70	1160
2009-03-20	65.80	70.35	63.70	70.35	3089
2009-03-23	66.50	68.95	64.75	68.95	2871
2009-03-24	64.75	68.25	63.00	65.80	1817
2009-03-25	67.20	67.90	63.00	65.10	1917
2009-03-26	65.10	67.90	65.10	67.90	2449
