Date	Open	High	Low	Close	Volume
2012-05-18	41.79	44.72	37.77	38.00	573576400.00
2012-05-21	36.31	36.44	32.80	33.82	168192700.00
2012-05-22	32.41	33.38	30.75	30.81	101786600.00
2012-05-23	31.18	32.30	31.17	31.80	73600000.00
2012-05-24	32.75	33.01	31.58	32.83	50237200.00
2012-05-25	32.70	32.75	30.92	31.71	37149800.00
2012-05-29	31.29	31.50	28.47	28.66	78063400.00
2012-05-30	28.52	29.37	27.69	28.02	57267900.00
2012-05-31	28.38	29.49	26.67	29.42	111639200.00
2012-06-01	28.71	28.97	27.22	27.55	41855500.00
2012-06-04	27.03	27.48	26.28	26.74	35230300.00
2012-06-05	26.54	27.59	25.59	25.71	42473400.00
2012-06-06	25.91	27.00	25.36	26.65	61489200.00
2012-06-07	26.83	27.18	25.99	26.15	26159500.00
2012-06-08	26.39	27.59	26.28	26.93	38034000.00
2012-06-11	27.01	27.90	26.68	26.84	28219600.00
2012-06-12	27.31	27.60	26.79	27.23	15816800.00
2012-06-13	27.49	27.93	26.93	27.10	17102800.00
2012-06-14	27.48	28.15	27.21	28.12	16855000.00
2012-06-15	28.34	29.92	28.18	29.83	43563800.00
2012-06-18	29.78	31.88	29.23	31.22	42978900.00
2012-06-19	31.35	31.98	30.51	31.71	30849000.00
2012-06-20	31.72	31.73	30.96	31.41	15553600.00
2012-06-21	31.48	32.30	31.32	31.64	21875300.00
2012-06-22	32.21	33.25	31.86	32.85	74834000.00
2012-06-25	32.66	32.82	31.36	31.86	24352900.00
2012-06-26	32.49	33.24	32.30	32.90	24858700.00
2012-06-27	32.26	32.70	31.70	32.03	28568000.00
2012-06-28	31.76	31.99	30.71	31.17	17713300.00
2012-06-29	31.72	31.79	30.57	30.91	19526900.00
2012-07-02	31.06	31.54	30.36	30.58	14122000.00
2012-07-03	30.72	31.25	30.61	31.01	8763600.00
2012-07-05	31.13	31.44	30.83	31.28	10032100.00
2012-07-06	31.25	31.70	31.07	31.54	10945600.00
2012-07-09	31.90	32.68	31.79	31.97	17785200.00
2012-07-10	32.23	32.28	30.97	31.28	14269500.00
2012-07-11	31.29	31.37	30.36	30.78	13030300.00
2012-07-12	30.51	31.21	30.41	30.62	11300700.00
2012-07-13	30.85	30.88	30.37	30.53	8108300.00
2012-07-16	30.31	30.31	28.04	28.08	24672100.00
2012-07-17	28.31	28.41	26.98	27.92	30438600.00
2012-07-18	28.14	29.11	27.98	28.93	16841800.00
2012-07-19	29.23	29.32	28.45	28.82	13685100.00
2012-07-20	28.82	29.29	28.54	28.58	11869100.00
2012-07-23	27.95	28.82	27.84	28.57	12390700.00
2012-07-24	28.64	29.27	27.93	28.28	11539800.00
2012-07-25	28.22	29.31	27.91	29.16	17230200.00
2012-07-26	27.58	28.06	26.57	26.69	64597400.00
2012-07-27	23.05	24.39	22.14	23.56	123102300.00
2012-07-30	23.85	23.89	22.89	23.01	29285900.00
2012-07-31	23.23	23.23	21.48	21.58	56179400.00
2012-08-01	21.37	21.45	20.71	20.75	44604400.00
2012-08-02	20.64	20.71	19.70	19.92	56374500.00
2012-08-03	20.24	22.02	19.78	20.96	80647000.00
2012-08-06	21.26	22.01	21.17	21.79	27778900.00
2012-08-07	22.06	22.31	20.37	20.59	36782900.00
2012-08-08	20.58	21.02	20.10	20.59	29537400.00
2012-08-09	20.62	21.04	20.48	20.88	15610700.00
2012-08-10	21.28	21.69	21.00	21.68	25794700.00
2012-08-13	22.01	22.31	21.27	21.47	24973100.00
2012-08-14	21.28	21.47	20.13	20.26	39308800.00
2012-08-15	20.51	21.28	20.28	21.07	47861100.00
2012-08-16	20.31	20.35	19.57	19.75	157565300.00
2012-08-17	19.89	19.96	18.88	18.93	129293400.00
2012-08-20	18.93	20.01	18.64	19.89	101186600.00
2012-08-21	19.46	19.86	18.97	19.04	70640600.00
2012-08-22	19.24	19.41	18.84	19.32	49892200.00
2012-08-23	19.38	19.61	19.24	19.32	32813700.00
2012-08-24	19.40	19.56	19.13	19.29	29622200.00
2012-08-27	19.37	19.41	18.98	19.03	20704000.00
2012-08-28	18.98	19.26	18.83	19.22	25417000.00
2012-08-29	19.20	19.26	18.95	18.98	16124700.00
2012-08-30	19.15	19.33	18.94	18.97	30647500.00
2012-08-31	18.57	18.59	17.92	17.95	58764200.00
2012-09-04	17.97	18.16	17.44	17.62	46622400.00
2012-09-05	18.16	18.64	18.07	18.47	60781800.00
2012-09-06	18.63	19.14	18.61	18.84	46066500.00
2012-09-07	18.98	19.30	18.66	18.86	36371700.00
2012-09-10	18.94	19.08	18.44	18.69	24797800.00
2012-09-11	18.80	19.46	18.73	19.31	50508200.00
2012-09-12	20.63	21.03	20.16	20.80	121584000.00
2012-09-13	20.83	21.35	20.48	20.58	65041600.00
2012-09-14	21.00	21.94	20.77	21.87	72819800.00
2012-09-17	22.53	22.61	21.37	21.39	50667600.00
2012-09-18	21.47	21.85	21.24	21.74	36760500.00
2012-09-19	21.86	23.23	21.64	23.15	78782800.00
2012-09-20	22.88	23.10	22.40	22.45	57248900.00
2012-09-21	22.83	23.10	22.46	22.72	51218100.00
2012-09-24	21.65	21.85	20.24	20.66	79106500.00
2012-09-25	21.07	21.08	20.10	20.16	46291700.00
2012-09-26	20.03	20.65	19.68	20.49	38271900.00
2012-09-27	20.86	20.87	20.04	20.20	30215900.00
2012-09-28	20.44	21.82	20.37	21.53	65486000.00
2012-10-01	21.94	22.45	21.60	21.86	51262700.00
2012-10-02	21.94	22.35	21.69	22.13	29341400.00
2012-10-03	22.16	22.35	21.67	21.70	32000100.00
2012-10-04	22.18	22.26	21.28	21.82	46892100.00
2012-10-05	21.36	21.50	20.75	20.78	40529300.00
2012-10-08	20.28	20.62	20.04	20.28	32236700.00
2012-10-09	20.27	20.42	19.85	20.11	27161800.00
2012-10-10	19.81	19.82	19.33	19.52	39321800.00
2012-10-11	19.76	19.84	19.49	19.63	21817300.00
2012-10-12	19.63	19.68	19.36	19.40	18809400.00
2012-10-15	19.56	19.76	19.37	19.40	20189700.00
2012-10-16	19.56	19.57	19.18	19.36	21834700.00
2012-10-17	19.38	20.35	19.25	19.76	44074500.00
