Date	Close	High	Low	Open	Volume
	MGA	MGA	MGA	MGA	MGA
1984-10-05	1.34	1.35	1.34	1.34	9600
1984-10-08	1.34	1.34	1.34	1.34	0
1984-10-09	1.33	1.34	1.33	1.34	59200
1984-10-10	1.30	1.33	1.30	1.33	259600
1984-10-11	1.33	1.34	1.33	1.33	33200
1984-10-12	1.34	1.35	1.34	1.34	118400
1984-10-15	1.33	1.34	1.33	1.34	102000
1984-10-16	1.31	1.34	1.31	1.33	38800
1984-10-17	1.31	1.33	1.31	1.31	43600
1984-10-18	1.29	1.31	1.29	1.31	27200
1984-10-19	1.28	1.29	1.28	1.29	107200
1984-10-22	1.26	1.28	1.26	1.28	98000
1984-10-23	1.26	1.28	1.26	1.26	38000
1984-10-24	1.29	1.31	1.29	1.29	73600
1984-10-25	1.31	1.33	1.31	1.31	88000
1984-10-26	1.34	1.36	1.34	1.34	248400
1984-10-29	1.34	1.35	1.34	1.34	27200
1984-10-30	1.34	1.35	1.34	1.34	77200
1984-10-31	1.31	1.34	1.31	1.34	37200
1984-11-01	1.33	1.34	1.33	1.33	8000
1984-11-02	1.34	1.35	1.34	1.34	130000
1984-11-05	1.35	1.38	1.35	1.35	365200
1984-11-06	1.38	1.39	1.38	1.38	570400
1984-11-07	1.36	1.38	1.36	1.38	38000
1984-11-08	1.39	1.40	1.39	1.39	92000
1984-11-09	1.39	1.40	1.39	1.39	82400
1984-11-12	1.39	1.40	1.39	1.39	40400
1984-11-13	1.39	1.41	1.39	1.39	68000
1984-11-14	1.39	1.40	1.39	1.39	79200
1984-11-15	1.38	1.40	1.38	1.39	546000
1984-11-16	1.38	1.40	1.38	1.38	34400
1984-11-19	1.38	1.39	1.38	1.38	45600
1984-11-20	1.44	1.46	1.44	1.44	227200
1984-11-21	1.44	1.45	1.44	1.44	121200
1984-11-23	1.45	1.46	1.45	1.45	96800
1984-11-26	1.44	1.45	1.44	1.45	70800
1984-11-27	1.44	1.45	1.44	1.44	277200
1984-11-28	1.43	1.44	1.43	1.44	123600
1984-11-29	1.41	1.43	1.41	1.43	198400
1984-11-30	1.40	1.41	1.40	1.41	157200
1984-12-03	1.39	1.40	1.39	1.40	105200
1984-12-04	1.39	1.41	1.39	1.39	84000
1984-12-05	1.39	1.41	1.39	1.39	60000
1984-12-06	1.38	1.39	1.38	1.39	261600
1984-12-07	1.34	1.35	1.34	1.35	145200
1984-12-10	1.33	1.34	1.33	1.34	255200
