Date	Close	High	Low	Open	Volume
	MLI	MLI	MLI	MLI	MLI
1991-02-25	0.31	0.31	0.30	0.30	36800
1991-02-26	0.31	0.31	0.31	0.31	289600
1991-02-27	0.30	0.30	0.30	0.30	75200
1991-02-28	0.29	0.30	0.29	0.30	428800
1991-03-01	0.29	0.30	0.28	0.29	681600
1991-03-04	0.28	0.29	0.28	0.29	91200
1991-03-05	0.27	0.28	0.27	0.28	539200
1991-03-06	0.29	0.29	0.27	0.27	913600
1991-03-07	0.29	0.29	0.29	0.29	563200
1991-03-08	0.29	0.29	0.28	0.29	905600
1991-03-11	0.28	0.29	0.28	0.29	553600
1991-03-12	0.28	0.28	0.28	0.28	36800
1991-03-13	0.28	0.28	0.28	0.28	393600
1991-03-14	0.28	0.28	0.27	0.28	814400
1991-03-15	0.28	0.28	0.28	0.28	180800
1991-03-18	0.27	0.28	0.27	0.28	278400
1991-03-19	0.28	0.28	0.27	0.27	740800
1991-03-20	0.27	0.28	0.27	0.27	324800
1991-03-21	0.27	0.28	0.27	0.28	502400
1991-03-22	0.28	0.28	0.27	0.27	198400
1991-03-25	0.28	0.28	0.28	0.28	2404800
1991-03-26	0.29	0.30	0.28	0.28	1324800
1991-03-27	0.32	0.32	0.30	0.30	1425600
1991-03-28	0.32	0.33	0.32	0.32	1395200
1991-04-01	0.31	0.32	0.31	0.32	388800
1991-04-02	0.32	0.32	0.30	0.32	4660800
1991-04-03	0.33	0.33	0.32	0.32	710400
1991-04-04	0.33	0.33	0.32	0.33	715200
1991-04-05	0.32	0.33	0.32	0.33	233600
1991-04-08	0.32	0.33	0.31	0.33	472000
1991-04-09	0.31	0.32	0.31	0.32	414400
1991-04-10	0.30	0.31	0.30	0.31	508800
1991-04-11	0.31	0.31	0.31	0.31	225600
1991-04-12	0.31	0.31	0.31	0.31	310400
1991-04-15	0.32	0.32	0.31	0.31	481600
1991-04-16	0.32	0.32	0.32	0.32	144000
1991-04-17	0.32	0.32	0.32	0.32	481600
1991-04-18	0.31	0.32	0.31	0.32	622400
1991-04-19	0.31	0.31	0.31	0.31	161600
1991-04-22	0.31	0.31	0.31	0.31	126400
1991-04-23	0.31	0.31	0.31	0.31	124800
1991-04-24	0.31	0.32	0.31	0.32	161600
1991-04-25	0.31	0.31	0.30	0.31	361600
1991-04-26	0.31	0.31	0.30	0.31	548800
1991-04-29	0.32	0.32	0.31	0.31	680000
1991-04-30	0.31	0.32	0.31	0.32	113600
1991-05-01	0.31	0.32	0.31	0.32	73600
1991-05-02	0.31	0.32	0.31	0.32	228800
1991-05-03	0.31	0.31	0.31	0.31	115200
1991-05-06	0.32	0.32	0.32	0.32	865600
1991-05-07	0.32	0.32	0.32	0.32	772800
1991-05-08	0.32	0.32	0.32	0.32	552000
1991-05-09	0.31	0.32	0.31	0.32	660800
1991-05-10	0.31	0.32	0.31	0.32	62400
1991-05-13	0.32	0.32	0.31	0.32	148800
1991-05-14	0.32	0.32	0.32	0.32	305600
1991-05-15	0.31	0.32	0.31	0.31	840000
1991-05-16	0.32	0.32	0.31	0.31	124800
1991-05-17	0.32	0.32	0.31	0.32	240000
1991-05-20	0.32	0.32	0.32	0.32	163200
1991-05-21	0.32	0.32	0.32	0.32	43200
1991-05-22	0.32	0.32	0.32	0.32	48000
1991-05-23	0.32	0.32	0.32	0.32	16000
1991-05-24	0.32	0.32	0.32	0.32	430400
1991-05-28	0.32	0.33	0.32	0.32	224000
1991-05-29	0.33	0.33	0.32	0.32	472000
1991-05-30	0.35	0.35	0.33	0.33	308800
1991-05-31	0.35	0.35	0.34	0.35	124800
1991-06-03	0.36	0.37	0.35	0.35	366400
1991-06-04	0.35	0.36	0.35	0.36	150400
1991-06-05	0.35	0.36	0.35	0.35	416000
1991-06-06	0.36	0.36	0.35	0.35	94400
1991-06-07	0.35	0.36	0.35	0.36	107200
1991-06-10	0.35	0.35	0.35	0.35	115200
1991-06-11	0.35	0.35	0.35	0.35	1732800
1991-06-12	0.35	0.35	0.35	0.35	57600
1991-06-13	0.35	0.35	0.35	0.35	123200
1991-06-14	0.35	0.35	0.35	0.35	113600
1991-06-17	0.35	0.35	0.35	0.35	160000
1991-06-18	0.34	0.35	0.34	0.35	64000
1991-06-19	0.34	0.34	0.34	0.34	108800
1991-06-20	0.34	0.34	0.34	0.34	126400
1991-06-21	0.34	0.34	0.34	0.34	28800
1991-06-24	0.34	0.34	0.34	0.34	73600
1991-06-25	0.34	0.34	0.34	0.34	147200
1991-06-26	0.34	0.34	0.34	0.34	140800
1991-06-27	0.34	0.34	0.34	0.34	3200
1991-06-28	0.34	0.34	0.34	0.34	142400
1991-07-01	0.34	0.35	0.34	0.34	76800
1991-07-02	0.34	0.34	0.34	0.34	72000
1991-07-03	0.34	0.34	0.34	0.34	38400
1991-07-05	0.34	0.34	0.34	0.34	16000
1991-07-08	0.34	0.34	0.34	0.34	54400
1991-07-09	0.34	0.34	0.34	0.34	156800
1991-07-10	0.34	0.35	0.34	0.34	136000
1991-07-11	0.35	0.35	0.34	0.34	177600
1991-07-12	0.35	0.35	0.34	0.34	25600
1991-07-15	0.35	0.35	0.35	0.35	196800
1991-07-16	0.35	0.35	0.35	0.35	388800
1991-07-17	0.35	0.35	0.35	0.35	30400
1991-07-18	0.34	0.35	0.34	0.35	57600
1991-07-19	0.35	0.35	0.34	0.34	36800
1991-07-22	0.34	0.34	0.34	0.34	75200
1991-07-23	0.34	0.34	0.34	0.34	91200
1991-07-24	0.34	0.34	0.34	0.34	36800
1991-07-25	0.34	0.34	0.34	0.34	51200
1991-07-26	0.34	0.34	0.34	0.34	16000
1991-07-29	0.34	0.34	0.34	0.34	404800
1991-07-30	0.34	0.34	0.33	0.34	152000
1991-07-31	0.34	0.34	0.33	0.33	332800
1991-08-01	0.34	0.34	0.34	0.34	78400
1991-08-02	0.34	0.34	0.34	0.34	27200
1991-08-05	0.34	0.34	0.34	0.34	81600
1991-08-06	0.34	0.34	0.34	0.34	46400
1991-08-07	0.35	0.35	0.34	0.34	142400
1991-08-08	0.35	0.35	0.35	0.35	628800
1991-08-09	0.35	0.35	0.35	0.35	1600
1991-08-12	0.35	0.35	0.35	0.35	144000
1991-08-13	0.35	0.35	0.35	0.35	211200
1991-08-14	0.35	0.35	0.35	0.35	214400
1991-08-15	0.35	0.35	0.35	0.35	54400
1991-08-16	0.35	0.35	0.34	0.35	262400
1991-08-19	0.34	0.35	0.34	0.35	529600
1991-08-20	0.34	0.34	0.34	0.34	35200
1991-08-21	0.35	0.35	0.34	0.34	156800
1991-08-22	0.35	0.35	0.35	0.35	120000
1991-08-23	0.35	0.36	0.35	0.35	740800
1991-08-26	0.36	0.36	0.35	0.36	361600
1991-08-27	0.36	0.36	0.36	0.36	260800
1991-08-28	0.37	0.38	0.36	0.36	904000
1991-08-29	0.36	0.38	0.35	0.38	587200
1991-08-30	0.36	0.36	0.35	0.36	320000
1991-09-03	0.36	0.36	0.35	0.35	60800
1991-09-04	0.37	0.37	0.36	0.36	670400
1991-09-05	0.37	0.37	0.36	0.37	350400
1991-09-06	0.36	0.37	0.36	0.37	156800
1991-09-09	0.36	0.36	0.36	0.36	86400
1991-09-10	0.35	0.36	0.35	0.36	428800
1991-09-11	0.36	0.36	0.35	0.35	945600
1991-09-12	0.36	0.36	0.35	0.36	104000
1991-09-13	0.35	0.35	0.35	0.35	118400
1991-09-16	0.35	0.35	0.35	0.35	310400
1991-09-17	0.35	0.35	0.35	0.35	467200
1991-09-18	0.35	0.35	0.35	0.35	448000
1991-09-19	0.35	0.36	0.35	0.35	328000
1991-09-20	0.35	0.36	0.35	0.36	224000
1991-09-23	0.34	0.35	0.34	0.35	176000
1991-09-24	0.34	0.34	0.34	0.34	185600
1991-09-25	0.34	0.34	0.34	0.34	108800
1991-09-26	0.35	0.35	0.34	0.34	51200
1991-09-27	0.34	0.34	0.34	0.34	131200
1991-09-30	0.34	0.35	0.34	0.34	54400
1991-10-01	0.34	0.34	0.34	0.34	20800
1991-10-02	0.33	0.34	0.33	0.34	145600
1991-10-03	0.32	0.33	0.31	0.33	659200
1991-10-04	0.32	0.32	0.32	0.32	552000
1991-10-07	0.31	0.32	0.31	0.32	380800
1991-10-08	0.30	0.31	0.29	0.31	523200
1991-10-09	0.30	0.30	0.29	0.30	425600
1991-10-10	0.28	0.29	0.28	0.29	326400
1991-10-11	0.28	0.28	0.28	0.28	97600
1991-10-14	0.29	0.29	0.28	0.28	91200
1991-10-15	0.29	0.29	0.29	0.29	67200
1991-10-16	0.30	0.30	0.28	0.29	140800
1991-10-17	0.30	0.30	0.30	0.30	140800
1991-10-18	0.30	0.30	0.30	0.30	40000
1991-10-21	0.30	0.30	0.30	0.30	67200
1991-10-22	0.28	0.29	0.28	0.29	155200
1991-10-23	0.28	0.28	0.28	0.28	315200
1991-10-24	0.28	0.28	0.28	0.28	81600
1991-10-25	0.28	0.28	0.28	0.28	121600
1991-10-28	0.27	0.28	0.27	0.28	227200
1991-10-29	0.26	0.27	0.26	0.27	732800
1991-10-30	0.24	0.25	0.24	0.25	569600
1991-10-31	0.25	0.25	0.24	0.24	174400
1991-11-01	0.25	0.26	0.25	0.25	243200
