Date	Close	High	Low	Open	Volume
	MNST	MNST	MNST	MNST	MNST
1985-12-09	0.07	0.09	0.07	0.07	780288
1985-12-10	0.07	0.09	0.07	0.07	117888
1985-12-11	0.07	0.09	0.07	0.07	1632384
1985-12-12	0.07	0.09	0.07	0.07	1357248
1985-12-13	0.07	0.09	0.07	0.07	663936
1985-12-16	0.07	0.09	0.07	0.07	1421952
1985-12-17	0.07	0.09	0.07	0.07	1559040
1985-12-18	0.07	0.09	0.07	0.07	1308672
1985-12-19	0.07	0.09	0.07	0.07	1309056
1985-12-20	0.07	0.09	0.07	0.07	1352640
1985-12-23	0.07	0.11	0.07	0.07	713472
1985-12-24	0.07	0.09	0.07	0.07	1560960
1985-12-26	0.07	0.09	0.07	0.07	652032
1985-12-27	0.07	0.09	0.07	0.07	878592
1985-12-30	0.07	0.09	0.07	0.07	893952
1985-12-31	0.07	0.09	0.07	0.07	160704
1986-01-02	0.07	0.09	0.07	0.07	1137984
1986-01-03	0.08	0.11	0.08	0.08	839424
1986-01-06	0.08	0.11	0.08	0.08	1544640
1986-01-07	0.09	0.12	0.09	0.09	980160
1986-01-08	0.09	0.12	0.09	0.09	907392
1986-01-09	0.09	0.12	0.09	0.09	1655616
1986-01-10	0.09	0.12	0.09	0.09	798336
1986-01-13	0.09	0.12	0.09	0.09	1286592
1986-01-14	0.09	0.12	0.09	0.09	490560
1986-01-15	0.09	0.12	0.09	0.09	1770816
1986-01-16	0.09	0.12	0.09	0.09	1089216
1986-01-17	0.09	0.12	0.09	0.09	1106688
1986-01-20	0.09	0.12	0.09	0.09	1148352
1986-01-21	0.09	0.12	0.09	0.09	1253760
1986-01-22	0.09	0.12	0.09	0.09	1648512
1986-01-23	0.08	0.11	0.08	0.09	1458816
1986-01-24	0.08	0.11	0.08	0.08	1523904
1986-01-27	0.09	0.11	0.09	0.09	479424
1986-01-28	0.09	0.11	0.09	0.09	436608
1986-01-29	0.09	0.11	0.09	0.09	832320
1986-01-30	0.09	0.12	0.09	0.09	1154880
1986-01-31	0.09	0.11	0.09	0.09	795456
1986-02-03	0.08	0.11	0.08	0.09	826368
1986-02-04	0.09	0.12	0.09	0.09	632256
1986-02-05	0.09	0.12	0.09	0.09	892416
1986-02-06	0.09	0.11	0.09	0.09	941952
1986-02-07	0.09	0.12	0.09	0.09	1915584
1986-02-10	0.09	0.12	0.09	0.09	753024
1986-02-11	0.11	0.12	0.11	0.11	1779456
1986-02-12	0.11	0.13	0.11	0.11	336384
1986-02-13	0.11	0.13	0.11	0.11	1490112
1986-02-14	0.11	0.13	0.11	0.11	1308864
1986-02-18	0.11	0.13	0.11	0.11	1521984
1986-02-19	0.11	0.13	0.11	0.11	1708032
1986-02-20	0.11	0.13	0.11	0.11	1345728
1986-02-21	0.11	0.13	0.11	0.11	1790592
1986-02-24	0.11	0.13	0.11	0.11	1648128
1986-02-25	0.11	0.13	0.11	0.11	1556736
1986-02-26	0.11	0.13	0.11	0.11	1455744
1986-02-27	0.11	0.13	0.11	0.11	1008000
1986-02-28	0.11	0.13	0.11	0.11	748224
1986-03-03	0.11	0.13	0.11	0.11	619776
1986-03-04	0.11	0.13	0.11	0.11	972288
1986-03-05	0.11	0.13	0.11	0.11	1049664
1986-03-06	0.09	0.13	0.09	0.11	1028352
1986-03-07	0.11	0.13	0.11	0.11	726528
1986-03-10	0.11	0.13	0.11	0.11	286272
1986-03-11	0.12	0.15	0.12	0.12	3558336
1986-03-12	0.12	0.15	0.12	0.12	2096064
1986-03-13	0.12	0.15	0.12	0.12	1322112
1986-03-14	0.12	0.15	0.12	0.12	1479744
1986-03-17	0.13	0.16	0.13	0.13	2570688
1986-03-18	0.15	0.16	0.15	0.15	1608960
1986-03-19	0.13	0.16	0.13	0.15	1327488
1986-03-20	0.13	0.16	0.13	0.13	906816
1986-03-21	0.13	0.16	0.13	0.13	901440
1986-03-24	0.13	0.16	0.13	0.13	842688
1986-03-25	0.13	0.16	0.13	0.13	856320
1986-03-26	0.13	0.16	0.13	0.13	960192
1986-03-27	0.13	0.16	0.13	0.13	859200
1986-03-31	0.13	0.16	0.13	0.13	646848
1986-04-01	0.13	0.16	0.13	0.13	821952
1986-04-02	0.13	0.16	0.13	0.13	656064
1986-04-03	0.13	0.16	0.13	0.13	127680
1986-04-04	0.13	0.16	0.13	0.13	951744
1986-04-07	0.13	0.16	0.13	0.13	566976
1986-04-08	0.13	0.16	0.13	0.13	1210176
1986-04-09	0.13	0.16	0.13	0.13	1868544
1986-04-10	0.13	0.16	0.13	0.13	1437696
1986-04-11	0.13	0.16	0.13	0.13	1778880
1986-04-14	0.13	0.16	0.13	0.13	977856
1986-04-15	0.13	0.16	0.13	0.13	870912
1986-04-16	0.13	0.16	0.13	0.13	1259520
1986-04-17	0.13	0.16	0.13	0.13	803520
1986-04-18	0.13	0.16	0.13	0.13	977664
1986-04-21	0.13	0.16	0.13	0.13	711168
1986-04-22	0.13	0.16	0.13	0.13	704448
1986-04-23	0.13	0.16	0.13	0.13	1401024
1986-04-24	0.13	0.16	0.13	0.13	1106496
1986-04-25	0.13	0.16	0.13	0.13	1301760
1986-04-28	0.13	0.16	0.13	0.13	1150464
1986-04-29	0.13	0.16	0.13	0.13	950400
1986-04-30	0.13	0.16	0.13	0.13	543168
1986-05-01	0.13	0.16	0.13	0.13	760320
1986-05-02	0.13	0.16	0.13	0.13	531648
1986-05-05	0.13	0.16	0.13	0.13	616512
1986-05-06	0.13	0.16	0.13	0.13	580032
1986-05-07	0.13	0.16	0.13	0.13	869184
1986-05-08	0.13	0.16	0.13	0.13	570432
1986-05-09	0.13	0.16	0.13	0.13	696000
1986-05-12	0.13	0.16	0.13	0.13	755520
1986-05-13	0.13	0.16	0.13	0.13	517632
1986-05-14	0.13	0.16	0.13	0.13	474048
1986-05-15	0.13	0.16	0.13	0.13	463872
1986-05-16	0.13	0.16	0.13	0.13	297024
1986-05-19	0.13	0.16	0.13	0.13	293760
1986-05-20	0.13	0.16	0.13	0.13	479424
1986-05-21	0.13	0.16	0.13	0.13	969792
1986-05-22	0.13	0.16	0.13	0.13	1105536
1986-05-23	0.13	0.16	0.13	0.13	346752
1986-05-27	0.13	0.16	0.13	0.13	424896
1986-05-28	0.13	0.16	0.13	0.13	546048
1986-05-29	0.13	0.16	0.13	0.13	614976
1986-05-30	0.13	0.16	0.13	0.13	574848
1986-06-02	0.13	0.16	0.13	0.13	301248
1986-06-03	0.13	0.16	0.13	0.13	584832
1986-06-04	0.13	0.16	0.13	0.13	427200
1986-06-05	0.13	0.16	0.13	0.13	637248
1986-06-06	0.13	0.16	0.13	0.13	459456
1986-06-09	0.13	0.16	0.13	0.13	424320
