Date	Close	High	Low	Open	Volume
	MSCI	MSCI	MSCI	MSCI	MSCI
2007-11-15	23.09	25.17	19.52	20.35	11770500
2007-11-16	22.08	22.99	20.88	22.99	1242900
2007-11-19	22.78	22.78	21.70	21.86	469500
2007-11-20	24.17	25.84	22.35	22.49	522200
2007-11-21	23.58	24.00	22.95	23.89	167500
2007-11-23	24.24	25.06	23.73	24.15	100700
2007-11-26	24.60	26.09	24.36	24.76	438300
2007-11-27	23.87	25.44	23.25	24.98	305800
2007-11-28	24.15	24.44	23.60	23.99	273600
2007-11-29	24.15	24.76	23.53	23.54	110600
2007-11-30	24.46	25.39	23.98	24.42	524000
2007-12-03	24.75	24.95	24.24	24.51	83600
2007-12-04	25.97	26.32	24.10	24.52	387400
2007-12-05	25.90	28.91	25.56	28.91	207200
2007-12-06	25.58	26.03	25.16	25.66	97700
2007-12-07	25.55	25.75	25.21	25.71	82500
2007-12-10	25.66	26.50	25.29	25.29	177900
2007-12-11	25.66	26.01	24.99	25.65	236200
2007-12-12	25.20	25.98	25.04	25.98	64700
2007-12-13	25.60	25.66	24.71	24.71	78000
2007-12-14	25.41	25.60	25.06	25.51	118200
2007-12-17	24.75	25.71	24.48	24.72	128600
2007-12-18	25.21	25.48	24.77	24.77	132400
2007-12-19	25.61	25.97	25.27	25.27	197600
2007-12-20	25.56	25.67	25.56	25.61	197800
2007-12-21	29.83	30.37	26.01	26.10	498600
2007-12-24	30.01	30.43	28.80	29.73	142000
2007-12-26	30.39	31.85	29.90	30.01	228300
2007-12-27	32.34	32.90	29.90	30.39	194600
2007-12-28	33.02	33.86	31.85	32.25	165900
2007-12-31	33.97	33.97	31.85	33.13	136200
2008-01-02	29.95	33.58	29.30	33.46	442900
2008-01-03	27.24	29.95	27.04	29.95	395900
2008-01-04	26.67	27.43	24.87	25.43	354100
2008-01-07	24.90	26.32	24.55	26.32	383000
2008-01-08	23.56	24.90	23.01	24.77	183900
2008-01-09	24.56	26.32	21.89	24.15	383400
2008-01-10	26.22	27.78	23.71	25.92	531500
2008-01-11	26.92	28.99	25.84	26.03	121900
2008-01-14	26.98	26.98	26.32	26.63	198300
2008-01-15	27.17	27.36	26.29	26.98	74200
2008-01-16	25.92	27.21	25.21	27.21	123700
2008-01-17	25.65	26.06	25.35	26.06	122400
2008-01-18	25.94	26.32	25.66	26.29	238900
2008-01-22	25.57	25.83	24.18	24.90	193000
2008-01-23	27.57	28.73	25.11	25.64	193100
2008-01-24	28.46	29.20	26.75	27.23	305000
2008-01-25	28.12	28.82	27.54	28.66	148700
2008-01-28	29.25	30.08	26.57	27.69	222500
2008-01-29	29.00	29.60	28.62	28.90	142600
2008-01-30	28.93	29.20	27.43	28.99	117300
2008-01-31	29.17	29.20	28.40	28.75	114800
2008-02-01	30.61	31.82	28.66	29.17	134600
2008-02-04	29.62	30.88	29.20	30.61	75300
2008-02-05	29.08	29.62	28.29	29.62	109100
2008-02-06	27.75	28.95	27.51	28.93	146000
2008-02-07	26.29	28.31	26.12	27.78	128000
2008-02-08	27.72	27.72	26.67	26.67	103400
2008-02-11	27.81	28.27	27.43	27.74	94600
2008-02-12	27.69	28.26	26.92	27.65	147800
2008-02-13	29.93	29.97	27.60	27.60	114200
2008-02-14	29.44	29.90	28.44	29.72	103100
2008-02-15	28.08	29.48	26.83	29.44	142700
2008-02-19	28.40	28.70	26.86	28.05	183500
2008-02-20	28.50	30.38	27.37	28.17	181300
2008-02-21	29.73	30.07	27.96	28.58	207100
2008-02-22	29.84	30.21	28.74	29.64	123500
2008-02-25	29.28	30.23	29.06	29.86	158500
2008-02-26	30.01	31.28	28.86	29.50	186100
2008-02-27	28.31	30.34	27.71	29.86	220300
2008-02-28	27.51	28.80	25.82	28.80	344100
2008-02-29	26.30	28.63	25.95	28.63	216900
2008-03-03	25.72	26.85	25.03	26.10	188100
2008-03-04	25.98	26.43	24.06	24.61	177400
2008-03-05	28.00	28.40	26.29	26.47	221400
2008-03-06	26.42	28.17	26.15	27.99	214800
2008-03-07	25.00	26.73	23.42	26.33	268800
2008-03-10	23.90	25.12	23.75	25.12	85800
2008-03-11	26.80	26.84	24.11	24.32	166300
2008-03-12	26.39	27.43	26.19	26.59	194800
2008-03-13	26.49	26.86	25.44	26.19	176700
2008-03-14	23.76	26.49	23.22	26.49	306100
2008-03-17	20.85	23.48	20.61	23.29	367900
2008-03-18	23.89	24.37	20.99	22.81	563900
2008-03-19	23.61	24.55	22.91	23.55	275700
2008-03-20	24.96	24.96	22.91	23.39	171400
2008-03-24	26.60	27.35	24.97	25.09	219600
2008-03-25	26.89	27.34	25.32	26.31	163400
2008-03-26	26.02	27.24	26.01	26.98	242400
2008-03-27	26.28	27.29	25.95	26.28	173700
2008-03-28	27.65	27.87	25.99	26.19	137600
2008-03-31	26.32	27.35	24.83	27.35	230600
2008-04-01	27.33	27.88	26.24	26.38	116300
2008-04-02	28.11	28.53	26.26	27.43	128100
2008-04-03	28.34	29.14	27.16	27.96	108400
2008-04-04	29.00	29.76	28.02	28.14	57700
2008-04-07	27.79	29.04	27.56	29.04	47000
2008-04-08	27.24	28.30	26.69	27.67	163300
2008-04-09	24.75	25.99	21.81	25.61	835100
2008-04-10	25.21	26.67	24.39	26.67	159500
2008-04-11	24.71	25.65	24.00	24.77	173800
2008-04-14	24.52	25.03	24.25	24.60	151000
2008-04-15	24.04	24.89	23.68	24.69	84500
2008-04-16	24.82	25.15	23.45	24.25	161000
2008-04-17	25.26	25.45	24.28	24.79	138900
2008-04-18	25.42	26.03	24.86	25.51	200000
2008-04-21	25.21	25.62	24.78	25.48	288800
2008-04-22	25.30	25.32	24.43	25.00	313800
2008-04-23	26.06	26.45	24.69	25.23	253800
2008-04-24	25.99	26.06	25.52	26.04	161600
2008-04-25	25.10	25.98	25.03	25.66	269800
2008-04-28	25.77	25.92	24.56	24.77	599200
2008-04-29	26.69	27.43	25.97	26.09	5734000
2008-04-30	27.44	27.63	26.54	26.89	775200
2008-05-01	28.84	29.37	25.83	27.44	876200
2008-05-02	28.08	29.05	27.74	28.91	358300
2008-05-05	27.97	28.55	27.52	28.55	393700
2008-05-06	28.25	28.49	27.97	28.35	292900
2008-05-07	28.43	28.44	27.20	27.89	770300
2008-05-08	28.39	28.53	26.76	28.31	163900
2008-05-09	28.43	28.53	27.84	28.05	177700
2008-05-12	28.75	28.75	28.22	28.51	200000
2008-05-13	28.64	28.80	28.09	28.53	211100
2008-05-14	28.77	28.84	27.92	28.51	224800
2008-05-15	29.77	29.90	28.40	28.77	246600
2008-05-16	29.21	29.46	28.65	29.35	231700
2008-05-19	29.39	29.45	28.85	28.89	244100
2008-05-20	29.20	29.39	28.04	29.20	479900
2008-05-21	28.43	28.98	27.55	28.82	329600
2008-05-22	29.24	29.39	28.31	28.47	345600
2008-05-23	30.55	30.60	28.98	29.07	489800
2008-05-27	31.78	32.21	30.58	30.68	645600
2008-05-28	33.04	33.40	31.87	32.10	1035900
2008-05-29	31.16	32.69	30.94	32.69	912600
2008-05-30	31.45	32.09	31.20	31.48	797600
2008-06-02	31.66	32.43	29.99	30.83	450400
2008-06-03	31.86	32.16	31.37	31.85	355100
2008-06-04	31.63	32.06	31.35	31.63	338900
2008-06-05	32.96	33.04	31.36	31.45	403200
2008-06-06	32.25	33.27	32.20	33.25	197000
2008-06-09	31.64	32.73	30.73	32.04	375100
2008-06-10	31.73	31.79	30.44	31.31	193400
2008-06-11	30.07	31.85	29.95	31.64	130500
2008-06-12	30.83	31.81	30.35	30.35	217300
2008-06-13	31.62	31.93	30.99	31.36	344200
2008-06-16	30.97	31.58	30.21	31.45	273800
2008-06-17	32.00	32.08	30.91	31.34	242700
2008-06-18	31.45	31.58	30.42	30.64	437200
2008-06-19	31.96	32.39	31.68	32.22	260300
2008-06-20	32.34	32.53	31.79	31.90	339700
2008-06-23	32.84	33.62	31.85	32.35	569500
2008-06-24	32.62	33.14	32.48	32.58	323800
2008-06-25	33.26	33.66	32.56	32.62	151400
2008-06-26	31.84	32.62	31.26	32.62	245000
2008-06-27	31.98	32.64	30.97	31.67	2008700
2008-06-30	32.11	32.92	31.35	31.98	184600
2008-07-01	29.96	31.48	29.06	31.39	802100
2008-07-02	28.27	29.06	25.95	26.44	1265800
2008-07-03	29.03	29.42	28.11	28.47	278500
2008-07-07	28.55	29.11	28.09	29.11	351200
2008-07-08	27.65	28.35	27.30	27.43	994800
