Date	Close	High	Low	Open	Volume
	MSOS	MSOS	MSOS	MSOS	MSOS
2020-09-02	24.60	25.27	24.46	25.13	201700
2020-09-03	23.64	24.85	23.19	24.83	90900
2020-09-04	23.70	23.91	22.29	23.85	93400
2020-09-08	22.69	24.13	21.91	23.73	88000
2020-09-09	22.64	22.98	22.59	22.78	54000
2020-09-10	22.31	23.08	22.24	23.08	36300
2020-09-11	22.14	22.58	21.96	22.58	19400
2020-09-14	22.23	22.50	22.23	22.42	28300
2020-09-15	22.15	22.69	22.14	22.69	15300
2020-09-16	22.67	22.83	22.35	22.52	60200
2020-09-17	22.41	22.57	22.16	22.57	24200
2020-09-18	22.26	22.89	22.00	22.86	43400
2020-09-21	21.68	22.04	21.42	21.98	43900
2020-09-22	22.05	22.16	21.62	21.62	33600
2020-09-23	21.07	22.02	21.07	21.94	33100
2020-09-24	20.82	21.15	20.39	21.15	97200
2020-09-25	21.30	21.37	20.75	20.79	47400
2020-09-28	21.70	21.77	21.46	21.59	63000
2020-09-29	21.83	21.99	21.76	21.78	35300
2020-09-30	21.83	22.12	21.77	22.02	28800
2020-10-01	21.71	22.02	21.68	21.84	24000
2020-10-02	21.79	21.89	21.38	21.89	30800
2020-10-05	22.04	22.12	21.91	21.99	34700
2020-10-06	21.86	22.30	21.81	22.14	94300
2020-10-07	22.71	22.77	22.07	22.07	44100
2020-10-08	24.06	24.06	22.99	22.99	169300
2020-10-09	25.02	25.18	24.52	24.54	211500
2020-10-12	25.51	25.76	25.28	25.36	120100
2020-10-13	25.71	25.80	24.93	25.58	68400
2020-10-14	25.38	26.02	25.28	25.78	116100
2020-10-15	25.15	25.22	24.93	25.16	39500
2020-10-16	25.29	25.57	25.23	25.33	62900
2020-10-19	25.33	25.67	25.27	25.52	61800
2020-10-20	25.73	25.84	25.45	25.48	66300
2020-10-21	25.94	26.02	25.44	25.77	141400
2020-10-22	26.11	26.17	25.52	26.05	81100
2020-10-23	26.22	26.24	25.93	26.24	69200
2020-10-26	25.26	26.30	24.94	26.30	91400
2020-10-27	25.25	25.43	25.14	25.14	30700
2020-10-28	24.23	24.93	24.23	24.93	69600
2020-10-29	25.10	25.15	24.23	24.47	46800
2020-10-30	24.97	25.06	24.63	25.06	56400
2020-11-02	26.37	26.42	25.23	25.24	116800
2020-11-03	26.47	26.92	26.33	26.92	202300
2020-11-04	26.74	27.32	26.24	26.31	214800
2020-11-05	28.81	28.82	27.20	27.28	230200
2020-11-06	29.61	30.05	28.92	29.18	278600
2020-11-09	29.36	31.90	29.27	31.76	316100
2020-11-10	29.21	29.21	28.47	29.10	117900
2020-11-11	29.19	29.51	28.71	29.51	221700
2020-11-12	29.25	29.81	28.99	29.14	224200
2020-11-13	29.71	29.72	29.29	29.54	165700
2020-11-16	30.13	30.18	29.68	29.99	183100
2020-11-17	30.23	30.31	29.50	29.91	198800
2020-11-18	30.15	31.03	30.03	30.41	286700
2020-11-19	30.15	30.52	29.80	30.16	221500
2020-11-20	29.33	30.10	29.28	30.05	166600
2020-11-23	29.75	29.90	29.34	29.41	870500
2020-11-24	30.51	30.77	30.33	30.41	685800
2020-11-25	31.60	31.77	30.11	30.55	454800
2020-11-27	32.59	32.59	31.75	31.89	366600
2020-11-30	33.72	33.82	32.33	32.88	486100
2020-12-01	33.39	34.30	33.09	33.96	265500
2020-12-02	33.68	33.89	32.93	33.28	222300
2020-12-03	33.82	34.38	33.56	33.90	386200
2020-12-04	34.85	34.89	33.79	33.79	331000
2020-12-07	34.37	35.44	34.29	35.03	375400
2020-12-08	34.15	34.42	33.56	33.90	373700
2020-12-09	33.60	34.46	33.37	34.18	218900
2020-12-10	33.95	34.08	33.37	33.64	131800
2020-12-11	33.98	34.43	33.86	33.98	153800
2020-12-14	33.74	34.55	33.66	34.47	142600
2020-12-15	33.90	34.09	33.61	33.74	165000
2020-12-16	35.07	35.08	33.95	34.61	265900
2020-12-17	35.35	35.40	34.90	35.26	196000
2020-12-18	35.50	35.50	35.05	35.34	178500
2020-12-21	35.19	35.30	34.40	35.02	259300
2020-12-22	35.71	35.78	35.10	35.40	186800
2020-12-23	36.02	36.10	35.67	35.72	115800
2020-12-24	36.42	36.47	35.94	35.94	96800
2020-12-28	37.51	38.79	36.89	37.28	545200
2020-12-29	36.21	38.62	36.00	38.24	737000
2020-12-30	36.48	36.51	36.21	36.34	210900
2020-12-31	36.40	36.83	36.00	36.48	265900
2021-01-04	37.68	37.74	36.49	36.73	550200
2021-01-05	38.13	38.46	37.22	37.22	633100
2021-01-06	40.49	42.08	40.19	41.35	1890200
2021-01-07	41.64	42.99	40.99	42.88	1395800
2021-01-08	41.30	42.23	40.50	41.84	860000
2021-01-11	43.02	43.22	41.13	41.31	1174200
2021-01-12	42.98	43.57	42.76	43.18	1250900
2021-01-13	45.14	45.20	43.19	43.19	1409700
2021-01-14	45.91	47.41	45.68	45.69	1275400
2021-01-15	45.05	47.12	44.27	46.93	963700
2021-01-19	45.02	45.93	44.37	45.46	590100
2021-01-20	45.44	45.86	45.20	45.33	606900
2021-01-21	45.85	45.87	45.05	45.69	399300
2021-01-22	45.76	45.83	44.69	45.60	464000
2021-01-25	45.13	46.36	44.74	45.96	513800
2021-01-26	43.45	45.31	43.30	45.22	963100
2021-01-27	40.89	42.62	40.21	42.61	1712200
2021-01-28	42.07	42.38	40.89	40.97	533500
2021-01-29	41.67	42.97	40.98	42.07	1071600
2021-02-01	43.30	43.38	41.78	42.13	652000
2021-02-02	45.67	45.77	43.82	43.85	1148400
2021-02-03	47.03	48.32	46.47	47.27	1855100
2021-02-04	48.86	48.86	47.17	47.93	1153500
2021-02-05	49.11	49.95	48.89	49.49	1051000
2021-02-08	51.23	51.34	49.87	49.87	1120600
2021-02-09	52.81	53.32	51.94	51.94	1460400
2021-02-10	54.89	55.75	52.10	54.88	2289700
2021-02-11	51.33	54.57	50.36	54.57	2919300
2021-02-12	51.57	53.09	50.47	50.86	1333200
2021-02-16	52.79	53.30	52.25	52.29	1104800
2021-02-17	51.37	52.79	50.38	52.62	1115000
2021-02-18	49.62	51.37	49.43	51.36	1010700
2021-02-19	51.79	52.06	50.11	50.29	834700
2021-02-22	50.85	51.63	50.43	51.51	790300
2021-02-23	50.48	50.53	46.15	49.56	2219000
2021-02-24	50.33	50.93	49.96	50.54	845000
2021-02-25	48.19	50.61	47.47	50.36	1539700
2021-02-26	47.75	48.66	46.22	48.20	1378400
2021-03-01	48.81	50.56	48.50	48.82	2094200
2021-03-02	49.91	50.11	48.93	49.14	1318900
2021-03-03	48.70	50.32	48.49	49.97	1469600
2021-03-04	45.82	48.84	43.63	48.70	2606600
2021-03-05	44.72	46.37	40.68	46.03	2272500
2021-03-08	42.78	45.42	42.57	44.95	1190100
2021-03-09	45.53	45.59	43.72	43.76	1802000
2021-03-10	43.91	46.27	43.12	46.06	1815900
2021-03-11	46.02	46.05	44.28	44.49	1164300
2021-03-12	46.83	46.89	44.65	45.37	1002000
2021-03-15	47.94	48.56	46.93	47.08	1232200
2021-03-16	47.24	48.58	46.14	48.42	1103000
2021-03-17	47.66	47.67	45.83	46.57	866200
2021-03-18	46.87	49.06	46.73	47.81	1798300
2021-03-19	46.64	47.31	46.16	47.15	763400
2021-03-22	45.76	47.42	45.65	46.79	643300
2021-03-23	43.87	45.92	43.09	45.92	1656500
2021-03-24	43.42	44.87	42.69	44.37	1656800
2021-03-25	42.93	42.93	41.23	42.30	1499700
2021-03-26	42.40	43.73	41.86	43.36	996600
2021-03-29	40.63	42.68	40.50	42.40	1204700
2021-03-30	39.20	40.43	38.69	40.38	1469600
2021-03-31	42.28	42.49	39.89	39.89	1669900
2021-04-01	42.73	44.55	42.48	43.54	1769000
2021-04-05	43.09	44.25	42.83	43.50	662700
2021-04-06	42.81	43.07	42.39	42.85	442900
2021-04-07	41.66	43.13	41.54	42.73	497800
2021-04-08	42.08	42.26	41.74	41.74	316400
2021-04-09	42.23	42.23	41.56	41.88	348300
2021-04-12	41.19	42.02	40.17	41.77	701900
2021-04-13	41.01	41.35	40.64	40.87	485200
2021-04-14	40.86	41.16	40.68	40.97	313400
2021-04-15	40.13	41.34	39.84	41.03	475700
2021-04-16	40.09	40.45	39.43	40.11	894800
2021-04-19	39.34	40.57	38.50	40.04	1175000
2021-04-20	38.07	40.00	37.45	39.82	976900
2021-04-21	39.48	39.66	37.55	38.02	833800
2021-04-22	39.42	40.23	38.75	39.65	455800
2021-04-23	39.59	39.89	39.33	39.62	327600
2021-04-26	40.01	40.20	39.68	39.87	413500
2021-04-27	40.59	40.73	40.02	40.14	507800
2021-04-28	41.48	41.75	40.33	40.56	825100
2021-04-29	40.88	41.88	40.79	41.74	390600
2021-04-30	42.54	42.55	40.68	40.77	849900
2021-05-03	43.47	44.01	42.98	43.03	1677700
2021-05-04	42.55	43.16	41.17	43.10	1002400
2021-05-05	42.64	43.17	42.32	42.77	557400
2021-05-06	41.84	42.78	41.20	42.38	447700
2021-05-07	42.43	42.63	41.88	42.02	369500
2021-05-10	41.41	43.18	41.25	43.06	440800
2021-05-11	41.36	41.46	39.49	39.97	1118800
2021-05-12	40.36	41.31	39.64	40.97	634400
2021-05-13	39.21	40.50	38.15	40.47	658400
