Date	Open	High	Low	Close	Volume
1993-02-23	3.60	3.65	3.44	3.49	40594800.00
1993-02-24	3.54	3.63	3.50	3.58	9426400.00
1993-02-25	3.60	3.67	3.58	3.67	5229200.00
1993-02-26	3.67	3.72	3.61	3.72	2761200.00
1993-03-01	3.68	3.70	3.60	3.60	3014400.00
1993-03-02	3.63	3.71	3.61	3.70	3022800.00
1993-03-03	3.68	3.74	3.65	3.68	2808800.00
1993-03-04	3.67	3.71	3.67	3.67	1783600.00
1993-03-05	3.65	3.75	3.60	3.74	3868800.00
1993-03-08	3.71	3.74	3.68	3.72	2516000.00
1993-03-09	3.71	3.88	3.71	3.84	2449200.00
1993-03-10	3.81	4.01	3.79	3.99	3192800.00
1993-03-11	4.03	4.03	3.95	3.99	1276400.00
1993-03-12	3.96	4.08	3.82	4.06	2958800.00
1993-03-15	4.05	4.05	3.96	3.99	1858400.00
1993-03-16	3.96	4.01	3.89	3.91	2182000.00
1993-03-17	3.91	3.95	3.86	3.95	2413600.00
1993-03-18	3.94	4.06	3.94	4.05	1765200.00
1993-03-19	4.08	4.08	4.01	4.01	2397600.00
1993-03-22	4.02	4.02	3.95	3.99	729200.00
1993-03-23	3.99	3.99	3.91	3.91	924000.00
1993-03-24	3.91	3.91	3.75	3.86	1787600.00
1993-03-25	3.84	3.86	3.78	3.86	1080400.00
1993-03-26	3.99	4.12	3.98	4.12	2376800.00
1993-03-29	4.09	4.16	4.02	4.16	1273600.00
1993-03-30	4.22	4.31	4.17	4.31	1463600.00
1993-03-31	4.33	4.41	4.30	4.31	1856000.00
1993-04-01	4.26	4.27	4.13	4.16	1410000.00
1993-04-02	4.10	4.17	4.01	4.01	1338800.00
1993-04-05	3.99	4.09	3.99	4.08	873200.00
1993-04-06	4.09	4.10	4.02	4.02	763200.00
1993-04-07	4.01	4.09	4.01	4.08	240400.00
1993-04-08	4.08	4.08	4.05	4.06	304000.00
1993-04-12	4.06	4.16	4.06	4.16	217600.00
1993-04-13	4.22	4.31	4.22	4.29	937600.00
1993-04-14	4.29	4.41	4.29	4.40	689600.00
1993-04-15	4.34	4.34	4.16	4.22	1319600.00
1993-04-16	4.24	4.27	4.19	4.20	1452400.00
1993-04-19	4.17	4.20	4.09	4.10	861600.00
1993-04-20	4.15	4.17	3.89	3.98	2764000.00
1993-04-21	3.98	4.03	3.92	3.92	1372800.00
1993-04-22	3.92	3.99	3.91	3.92	1387600.00
1993-04-23	3.91	3.92	3.82	3.86	660400.00
1993-04-26	3.88	3.91	3.74	3.78	1847200.00
1993-04-27	3.74	3.82	3.67	3.82	1674000.00
1993-04-28	3.85	3.91	3.81	3.89	726800.00
1993-04-29	3.89	3.92	3.88	3.88	228800.00
1993-04-30	3.89	4.38	3.89	4.36	3105600.00
1993-05-03	4.27	4.27	4.10	4.13	2001200.00
1993-05-04	4.16	4.19	4.12	4.16	826000.00
1993-05-05	4.15	4.15	4.10	4.12	512000.00
1993-05-06	4.12	4.12	4.05	4.09	183200.00
1993-05-07	4.10	4.13	4.09	4.10	245200.00
1993-05-10	4.12	4.19	4.12	4.16	708800.00
1993-05-11	4.16	4.16	4.10	4.15	568800.00
1993-05-12	4.15	4.17	4.12	4.15	258000.00
1993-05-13	4.12	4.12	4.05	4.05	163200.00
1993-05-14	4.03	4.03	3.86	3.94	848000.00
1993-05-17	3.94	4.03	3.92	4.01	382000.00
1993-05-18	3.99	3.99	3.92	3.96	883600.00
1993-05-19	3.95	4.03	3.95	4.01	514800.00
1993-05-20	4.03	4.03	3.91	3.94	936800.00
1993-05-21	3.91	3.91	3.81	3.82	834000.00
1993-05-24	3.81	3.89	3.79	3.89	262400.00
1993-05-25	3.90	3.92	3.86	3.89	662400.00
1993-05-26	3.89	4.14	3.89	4.13	659200.00
1993-05-27	4.12	4.16	3.95	3.96	1011600.00
1993-05-28	3.95	3.95	3.85	3.88	1338800.00
1993-06-01	3.88	3.92	3.88	3.90	330400.00
1993-06-02	3.90	3.95	3.90	3.93	295600.00
1993-06-03	3.95	3.95	3.86	3.86	178800.00
1993-06-04	3.83	3.89	3.82	3.82	211200.00
1993-06-07	3.82	3.83	3.79	3.82	314400.00
1993-06-08	3.82	3.83	3.81	3.82	295200.00
1993-06-09	3.82	3.88	3.82	3.88	341200.00
1993-06-10	3.88	3.88	3.82	3.83	166000.00
1993-06-11	3.85	3.88	3.83	3.86	148000.00
1993-06-14	3.86	3.92	3.86	3.88	449200.00
1993-06-15	3.88	3.88	3.81	3.83	208800.00
1993-06-16	3.83	3.97	3.83	3.95	1311600.00
1993-06-17	3.93	3.99	3.93	3.96	305200.00
1993-06-18	3.96	3.96	3.85	3.85	1043600.00
1993-06-21	3.82	3.83	3.69	3.82	2092400.00
1993-06-22	3.82	3.82	3.71	3.82	1855600.00
1993-06-23	3.82	3.83	3.79	3.82	1940400.00
1993-06-24	3.93	3.99	3.89	3.96	2887600.00
1993-06-25	3.96	4.10	3.96	4.09	1870400.00
1993-06-28	4.09	4.40	4.09	4.37	3107600.00
1993-06-29	4.28	4.30	4.17	4.20	2186800.00
1993-06-30	4.19	4.23	4.16	4.23	4777600.00
1993-07-01	4.23	4.23	4.16	4.17	2097200.00
1993-07-02	4.17	4.21	4.16	4.20	932800.00
1993-07-06	4.17	4.19	4.14	4.16	1907600.00
1993-07-07	4.14	4.16	4.10	4.16	1842000.00
1993-07-08	4.16	4.20	4.13	4.14	2947200.00
