Date	Close	High	Low	Open	Volume
	MTD	MTD	MTD	MTD	MTD
1997-11-14	14.88	15.25	14.06	14.06	2233500
1997-11-17	15.25	15.75	15.00	15.75	515000
1997-11-18	15.00	15.50	15.00	15.44	257300
1997-11-19	15.62	15.62	14.75	15.00	270100
1997-11-20	16.38	16.38	15.50	15.50	185500
1997-11-21	17.12	17.50	16.25	16.62	133100
1997-11-24	17.00	17.12	16.38	16.62	160200
1997-11-25	17.75	18.06	17.19	17.25	384800
1997-11-26	17.94	17.94	17.50	17.50	72500
1997-11-28	17.88	18.00	17.81	17.81	24800
1997-12-01	17.81	18.00	17.75	17.75	90200
1997-12-02	17.81	18.00	17.75	18.00	194200
1997-12-03	17.88	17.88	17.69	17.69	77600
1997-12-04	17.69	17.94	17.69	17.75	79500
1997-12-05	18.12	18.12	17.69	17.94	120300
1997-12-08	18.12	18.38	17.88	18.38	56700
1997-12-09	18.50	18.75	17.88	18.06	170000
1997-12-10	18.06	18.50	17.81	18.50	28000
1997-12-11	18.06	18.25	17.75	18.12	19500
1997-12-12	17.75	18.00	17.62	17.75	89600
1997-12-15	18.12	18.62	17.75	17.94	186100
1997-12-16	18.06	18.12	17.31	18.12	89700
1997-12-17	18.25	18.38	18.00	18.06	84900
1997-12-18	18.44	18.44	17.88	18.00	20000
1997-12-19	18.25	18.44	17.88	18.31	49600
1997-12-22	18.12	18.50	18.12	18.50	7400
1997-12-23	17.62	18.38	17.62	18.38	169900
1997-12-24	17.56	17.62	17.50	17.50	32600
1997-12-26	17.56	17.69	17.56	17.56	600
1997-12-29	17.50	17.62	17.38	17.62	49200
1997-12-30	17.25	17.50	17.25	17.50	46700
1997-12-31	17.25	17.38	17.00	17.38	87500
1998-01-02	17.00	17.38	16.88	17.38	131200
1998-01-05	16.75	17.12	16.62	17.12	67800
1998-01-06	16.69	16.69	16.50	16.62	24100
1998-01-07	16.56	16.69	16.38	16.62	90200
1998-01-08	17.25	17.62	16.56	16.56	65100
1998-01-09	16.88	17.50	16.75	17.12	132000
1998-01-12	17.00	17.00	16.38	16.62	37000
1998-01-13	18.75	18.75	17.00	17.25	148700
1998-01-14	18.25	18.75	18.25	18.75	97500
1998-01-15	18.00	18.25	18.00	18.00	32100
1998-01-16	17.75	18.19	17.75	18.00	13000
1998-01-20	18.00	18.00	17.00	17.25	105400
1998-01-21	18.12	18.25	18.00	18.00	109500
1998-01-22	17.75	18.00	17.62	18.00	47400
1998-01-23	18.12	18.12	17.75	17.75	53300
1998-01-26	17.88	18.25	17.88	18.25	5000
1998-01-27	17.62	18.00	17.62	17.94	12200
1998-01-28	17.75	17.75	17.50	17.62	39700
1998-01-29	17.62	17.75	17.50	17.75	130100
1998-01-30	17.88	18.00	17.75	17.75	19700
1998-02-02	19.00	19.19	18.00	18.00	45000
1998-02-03	18.81	19.25	18.75	19.25	46500
1998-02-04	19.00	19.25	18.75	18.81	47700
1998-02-05	19.00	19.19	18.88	19.12	14100
1998-02-06	19.38	19.50	19.06	19.25	27300
1998-02-09	19.25	19.50	18.88	19.50	14700
1998-02-10	20.12	20.69	19.38	19.38	83500
1998-02-11	20.00	20.38	19.50	20.25	90400
1998-02-12	19.94	20.25	19.94	20.00	22800
1998-02-13	20.06	20.12	19.94	19.94	34900
1998-02-17	20.56	20.56	20.25	20.25	23100
1998-02-18	20.19	20.50	20.12	20.31	31700
1998-02-19	20.12	20.44	20.12	20.44	24400
1998-02-20	19.88	20.25	19.50	20.00	59400
1998-02-23	20.00	20.50	20.00	20.00	132500
1998-02-24	19.50	20.00	19.50	20.00	14700
1998-02-25	19.50	19.75	19.38	19.62	19700
1998-02-26	19.38	19.75	19.38	19.50	3200
1998-02-27	19.50	19.50	19.00	19.25	132400
1998-03-02	20.12	20.50	19.75	19.75	47100
1998-03-03	20.12	20.25	20.06	20.12	41200
1998-03-04	20.25	20.50	20.12	20.12	15700
1998-03-05	20.44	20.75	20.25	20.25	27600
1998-03-06	20.38	20.75	20.38	20.69	5500
1998-03-09	21.38	21.38	20.50	20.50	15800
1998-03-10	21.75	21.88	21.38	21.38	18400
1998-03-11	22.38	22.88	21.75	21.94	54800
1998-03-12	22.25	22.38	22.00	22.38	23500
1998-03-13	22.12	22.62	22.00	22.50	39100
1998-03-16	21.75	22.25	21.62	22.25	33600
1998-03-17	21.50	21.75	21.12	21.75	16600
1998-03-18	21.88	21.88	21.38	21.50	27600
1998-03-19	21.88	22.00	21.69	21.94	73700
1998-03-20	21.50	21.88	21.38	21.75	3700
1998-03-23	21.38	21.38	21.25	21.38	1400
1998-03-24	21.00	21.62	20.88	21.25	45800
1998-03-25	20.81	21.12	20.75	21.00	5400
1998-03-26	20.88	20.88	20.62	20.69	3600
1998-03-27	21.12	21.25	20.88	21.00	46100
