Date	Close	High	Low	Open	Volume
	MT	MT	MT	MT	MT
1997-08-07	42.52	44.57	42.52	44.47	5309361
1997-08-08	42.05	42.70	41.12	41.87	789340
1997-08-11	43.08	43.08	42.52	42.52	352223
1997-08-12	43.36	44.29	43.08	43.17	461341
1997-08-13	43.17	44.66	42.89	44.66	374877
1997-08-14	42.61	43.26	42.61	43.26	122544
1997-08-15	41.96	42.98	41.68	42.61	212745
1997-08-18	39.36	42.05	39.08	41.77	242782
1997-08-19	39.91	40.29	39.73	39.82	200103
1997-08-20	40.01	40.19	39.63	39.82	491238
1997-08-21	39.73	40.10	39.45	40.10	45493
1997-08-22	38.33	39.26	37.96	39.26	363204
1997-08-25	37.96	38.33	37.77	38.33	68931
1997-08-26	38.15	38.33	37.77	37.96	70592
1997-08-27	38.15	38.33	37.96	38.15	176065
1997-08-28	38.24	38.61	37.96	38.61	94953
1997-08-29	39.91	39.91	38.05	38.52	162224
1997-09-02	40.56	40.75	40.01	40.19	288136
1997-09-03	40.01	40.75	40.01	40.56	221604
1997-09-04	41.59	41.59	39.63	40.10	342533
1997-09-05	41.87	43.17	41.68	41.68	119776
1997-09-08	42.33	42.43	41.59	41.96	119038
1997-09-09	42.43	42.43	42.05	42.05	103581
1997-09-10	42.61	42.61	42.05	42.24	153134
1997-09-11	41.68	42.61	41.12	42.61	136201
1997-09-12	41.68	42.05	41.22	41.77	307699
1997-09-15	41.50	42.05	41.50	42.05	52275
1997-09-16	42.15	42.24	41.68	41.96	32343
1997-09-17	41.12	42.15	41.12	42.15	40002
1997-09-18	40.94	41.22	40.56	40.94	142384
1997-09-19	41.40	41.96	40.84	40.84	19655
1997-09-22	41.68	42.24	41.59	41.68	182986
1997-09-23	41.50	41.68	41.31	41.68	20163
1997-09-24	40.38	41.31	40.38	41.31	36450
1997-09-25	40.94	41.22	40.38	40.38	205640
1997-09-26	41.50	41.87	40.94	40.94	104827
1997-09-29	41.68	41.77	40.94	41.12	122637
1997-09-30	42.61	43.08	41.68	41.68	137678
