Date	Close	High	Low	Open	Volume
	NTAP	NTAP	NTAP	NTAP	NTAP
1995-11-21	0.95	0.98	0.80	0.80	51412800
1995-11-22	1.16	1.19	0.94	0.95	11921600
1995-11-24	1.25	1.26	1.16	1.16	2419200
1995-11-27	1.17	1.34	1.14	1.32	6720000
1995-11-28	1.18	1.19	1.16	1.17	3451200
1995-11-29	1.33	1.34	1.16	1.16	3628800
1995-11-30	1.40	1.47	1.31	1.33	8254400
1995-12-01	1.39	1.46	1.38	1.42	2616000
1995-12-04	1.74	1.78	1.39	1.39	5961600
1995-12-05	1.64	1.76	1.63	1.74	2907200
1995-12-06	1.55	1.68	1.54	1.66	3456000
1995-12-07	1.47	1.55	1.47	1.55	2665600
1995-12-08	1.63	1.68	1.47	1.47	3099200
1995-12-11	1.66	1.66	1.61	1.65	564800
1995-12-12	1.70	1.75	1.61	1.67	2086400
1995-12-13	1.71	1.73	1.69	1.73	1510400
1995-12-14	1.70	1.73	1.70	1.70	668800
1995-12-15	1.66	1.74	1.66	1.70	2635200
1995-12-18	1.49	1.70	1.46	1.67	1246400
1995-12-19	1.51	1.53	1.42	1.45	4568000
1995-12-20	1.58	1.60	1.48	1.55	2275200
1995-12-21	1.56	1.61	1.55	1.60	321600
1995-12-22	1.58	1.62	1.53	1.53	1657600
1995-12-26	1.68	1.69	1.56	1.58	2286400
1995-12-27	1.73	1.75	1.63	1.69	2633600
1995-12-28	1.82	1.85	1.70	1.70	2569600
1995-12-29	1.86	1.93	1.82	1.84	1920000
1996-01-02	1.76	1.85	1.76	1.85	1892800
1996-01-03	1.58	1.78	1.55	1.76	3336000
1996-01-04	1.39	1.59	1.25	1.59	6041600
1996-01-05	1.44	1.53	1.34	1.40	3273600
1996-01-08	1.45	1.48	1.45	1.46	166400
1996-01-09	1.25	1.48	1.23	1.48	2500800
1996-01-10	1.20	1.27	1.17	1.19	3016000
1996-01-11	1.33	1.40	1.29	1.31	3654400
1996-01-12	1.30	1.39	1.25	1.39	793600
1996-01-15	1.26	1.31	1.22	1.30	668800
1996-01-16	1.25	1.25	1.05	1.24	3932800
1996-01-17	1.24	1.25	1.17	1.18	1545600
1996-01-18	1.25	1.25	1.20	1.20	3180800
1996-01-19	1.36	1.42	1.22	1.25	4825600
1996-01-22	1.39	1.44	1.36	1.39	1913600
1996-01-23	1.41	1.42	1.38	1.38	1126400
1996-01-24	1.48	1.53	1.40	1.41	1267200
1996-01-25	1.56	1.61	1.48	1.52	2702400
1996-01-26	1.59	1.62	1.53	1.55	982400
1996-01-29	1.58	1.62	1.56	1.59	936000
1996-01-30	1.48	1.58	1.39	1.54	3513600
1996-01-31	1.42	1.54	1.42	1.46	1129600
1996-02-01	1.46	1.51	1.42	1.45	857600
1996-02-02	1.44	1.51	1.42	1.51	1857600
1996-02-05	1.49	1.49	1.42	1.44	964800
1996-02-06	1.54	1.63	1.47	1.49	2483200
1996-02-07	1.58	1.62	1.52	1.58	3126400
1996-02-08	1.68	1.73	1.60	1.63	2886400
1996-02-09	1.66	1.77	1.66	1.68	1934400
1996-02-12	1.63	1.67	1.53	1.67	2108800
1996-02-13	1.67	1.75	1.55	1.59	2425600
1996-02-14	1.76	1.76	1.67	1.69	2414400
1996-02-15	1.80	1.87	1.73	1.76	4148800
1996-02-16	1.66	1.91	1.63	1.88	4108800
1996-02-20	1.61	1.69	1.61	1.65	1452800
1996-02-21	1.67	1.67	1.61	1.62	1270400
1996-02-22	1.74	1.75	1.66	1.67	2659200
1996-02-23	1.65	1.75	1.60	1.71	2572800
1996-02-26	1.58	1.60	1.55	1.60	3064000
1996-02-27	1.54	1.59	1.52	1.59	2192000
1996-02-28	1.54	1.58	1.53	1.53	763200
1996-02-29	1.47	1.58	1.41	1.54	2452800
1996-03-01	1.44	1.49	1.42	1.49	456000
1996-03-04	1.47	1.47	1.42	1.47	278400
1996-03-05	1.44	1.48	1.44	1.47	670400
1996-03-06	1.46	1.51	1.44	1.44	166400
1996-03-07	1.47	1.51	1.46	1.46	398400
1996-03-08	1.45	1.52	1.45	1.47	246400
1996-03-11	1.49	1.49	1.45	1.45	163200
1996-03-12	1.44	1.49	1.44	1.45	187200
1996-03-13	1.44	1.48	1.44	1.48	137600
1996-03-14	1.45	1.48	1.44	1.48	499200
1996-03-15	1.49	1.49	1.45	1.45	3489600
1996-03-18	1.45	1.49	1.45	1.45	1588800
1996-03-19	1.46	1.49	1.45	1.49	144000
1996-03-20	1.42	1.48	1.42	1.46	534400
1996-03-21	1.42	1.47	1.42	1.42	563200
