Date	Close	High	Low	Open	Volume
	NWSA	NWSA	NWSA	NWSA	NWSA
2013-06-19	13.88	14.27	13.35	13.42	31981500
2013-06-20	13.44	14.38	13.39	14.38	9274200
2013-06-21	13.72	13.88	13.52	13.79	8323500
2013-06-24	13.64	13.91	13.35	13.73	4279700
2013-06-25	13.81	13.82	13.48	13.66	3577300
2013-06-26	13.52	13.78	13.33	13.78	14755100
2013-06-27	13.61	13.94	13.04	13.47	12121700
2013-06-28	13.39	13.85	13.39	13.61	16988100
2013-07-01	12.99	13.69	12.95	12.99	25839400
2013-07-02	13.17	13.28	12.90	12.90	30520100
2013-07-03	13.06	13.25	12.94	13.13	8542600
2013-07-05	13.75	14.01	13.08	13.13	12427000
2013-07-08	14.02	14.09	13.61	13.73	15345100
2013-07-09	13.80	14.02	13.61	13.87	9936400
2013-07-10	13.52	13.67	13.30	13.61	16327000
2013-07-11	13.29	13.70	13.14	13.70	17029600
2013-07-12	13.11	13.28	13.08	13.23	10426300
2013-07-15	12.88	13.20	12.64	13.11	20636400
2013-07-16	13.42	13.47	12.80	12.80	9328500
2013-07-17	13.95	14.02	13.43	13.49	13411100
2013-07-18	13.59	14.14	13.46	14.00	10825700
2013-07-19	14.02	14.12	13.40	13.48	11658700
2013-07-22	13.81	14.17	13.71	14.13	6141600
2013-07-23	13.74	13.94	13.65	13.78	9298400
2013-07-24	13.80	13.95	13.54	13.74	6205200
2013-07-25	13.67	13.94	13.57	13.75	7069700
2013-07-26	13.95	14.02	13.45	13.65	5884800
2013-07-29	13.62	13.94	13.52	13.94	9020200
2013-07-30	14.01	14.02	13.58	13.70	12798200
2013-07-31	13.99	14.24	13.90	14.05	7681500
2013-08-01	14.24	14.30	14.00	14.00	10303300
2013-08-02	14.35	14.46	14.16	14.18	8258600
2013-08-05	14.05	14.34	13.95	14.34	8754100
2013-08-06	14.21	14.27	13.89	14.04	6232000
2013-08-07	14.01	14.18	13.92	14.18	4755000
2013-08-08	14.17	14.32	13.97	14.11	7110400
2013-08-09	14.03	14.19	14.02	14.13	4293800
2013-08-12	13.98	14.10	13.82	13.95	4882400
2013-08-13	13.90	14.01	13.88	13.97	3615400
2013-08-14	13.96	14.06	13.75	13.90	3940500
2013-08-15	14.14	14.22	13.79	13.87	5160000
2013-08-16	14.03	14.27	14.02	14.09	6373200
