Date	Close	High	Low	Open	Volume
	ON	ON	ON	ON	ON
2000-05-02	24.00	25.06	22.38	24.88	2051300
2000-05-03	22.50	23.75	21.31	23.69	1734900
2000-05-04	21.12	23.62	20.50	23.56	1235300
2000-05-05	20.88	22.00	20.50	20.75	1164400
2000-05-08	20.25	21.06	20.06	20.44	750000
2000-05-09	20.19	21.12	19.75	20.62	1221300
2000-05-10	19.38	20.44	17.81	20.38	1240300
2000-05-11	20.00	20.25	19.50	19.88	1602200
2000-05-12	21.38	23.00	20.12	20.62	1807800
2000-05-15	21.69	22.25	20.19	21.69	800900
2000-05-16	22.25	22.56	21.38	21.81	646100
2000-05-17	21.88	22.75	21.38	21.62	861300
2000-05-18	24.00	24.31	21.81	21.88	1856900
2000-05-19	22.75	24.50	21.50	23.25	1248800
2000-05-22	20.00	23.12	19.75	23.12	1056700
2000-05-23	19.88	21.25	19.62	20.88	1311500
2000-05-24	19.50	20.25	19.12	19.94	845700
2000-05-25	18.19	20.31	18.00	19.75	1078300
2000-05-26	18.00	18.75	17.88	18.19	367000
2000-05-30	20.00	20.62	18.00	18.00	446000
2000-05-31	19.31	20.88	19.12	20.69	1091600
2000-06-01	20.12	20.75	19.56	19.59	1126000
2000-06-02	23.00	23.25	20.31	20.69	1646900
2000-06-05	22.88	23.00	21.06	22.75	615800
2000-06-06	23.12	24.62	22.12	22.75	735300
2000-06-07	22.25	23.50	21.88	23.19	299900
2000-06-08	22.62	23.75	22.00	22.25	476800
2000-06-09	23.25	23.88	22.62	22.81	428200
2000-06-12	24.06	24.25	23.62	23.75	665000
2000-06-13	23.44	24.00	21.88	23.56	300500
2000-06-14	22.94	23.31	22.88	23.16	172600
2000-06-15	23.00	23.25	21.75	22.62	323500
2000-06-16	21.06	23.00	20.81	22.97	1229000
2000-06-19	21.25	22.12	20.50	21.56	358700
2000-06-20	21.88	22.50	21.31	21.38	714400
2000-06-21	22.69	23.38	21.75	21.88	488400
2000-06-22	22.50	24.75	22.25	24.62	1281100
2000-06-23	23.62	26.50	21.00	22.81	737900
2000-06-26	23.62	26.81	23.00	23.88	473000
2000-06-27	22.94	23.75	22.38	23.62	432100
2000-06-28	23.44	24.00	22.50	23.00	322500
2000-06-29	23.06	23.94	22.50	23.12	308700
2000-06-30	21.88	24.38	21.75	22.38	851400
2000-07-03	22.75	23.12	22.00	22.88	156400
2000-07-05	21.56	22.50	20.75	22.44	644700
2000-07-06	21.81	22.00	20.00	21.56	382000
2000-07-07	21.81	22.75	21.38	21.88	1265000
2000-07-10	21.75	24.69	21.50	21.75	1233200
2000-07-11	22.00	23.25	21.00	21.62	1450100
2000-07-12	21.94	22.06	21.50	22.06	217700
2000-07-13	20.50	22.12	19.75	21.88	649500
2000-07-14	21.56	22.19	20.25	22.19	586000
2000-07-17	22.00	22.38	21.69	22.00	787900
2000-07-18	21.94	22.06	21.69	22.00	306900
2000-07-19	20.25	21.88	20.12	21.88	335500
2000-07-20	21.00	21.75	20.25	20.94	196300
2000-07-21	20.50	22.00	19.75	21.69	618600
2000-07-24	20.75	21.12	20.12	20.38	352200
2000-07-25	21.12	21.19	20.48	20.69	1118200
2000-07-26	21.19	21.19	20.25	20.50	1511700
2000-07-27	20.00	21.16	20.00	21.06	1171200
2000-07-28	20.00	20.25	19.38	20.00	1541400
2000-07-31	22.12	22.25	20.00	20.00	678800
2000-08-01	21.62	21.88	21.00	21.75	397800
2000-08-02	21.75	22.00	21.00	21.25	312900
2000-08-03	20.44	20.88	20.12	20.81	755700
2000-08-04	20.75	21.25	20.25	20.75	126300
2000-08-07	20.88	21.12	20.75	20.75	189600
2000-08-08	20.69	20.88	20.50	20.75	267600
2000-08-09	20.00	20.75	19.62	20.69	6045100
2000-08-10	17.25	20.31	16.50	20.22	825300
2000-08-11	17.25	17.50	16.25	17.25	646400
2000-08-14	17.00	17.62	16.88	17.28	200200
2000-08-15	17.25	18.50	17.25	17.56	406900
2000-08-16	17.12	17.62	16.81	17.50	258600
2000-08-17	16.88	17.25	16.38	16.94	288700
2000-08-18	17.00	17.62	16.88	17.00	541600
2000-08-21	16.25	17.25	16.25	17.19	702000
2000-08-22	16.75	17.25	16.25	16.25	645100
2000-08-23	17.00	17.38	16.50	16.75	337700
2000-08-24	17.44	17.94	16.88	16.88	332500
2000-08-25	17.69	17.94	17.19	17.31	98500
2000-08-28	17.62	17.94	17.44	17.50	467700
2000-08-29	17.25	17.62	17.12	17.56	238600
2000-08-30	17.38	17.38	16.69	17.12	769000
2000-08-31	17.00	17.50	16.88	17.38	130100
2000-09-01	17.50	17.50	16.88	17.25	136200
2000-09-05	17.38	17.62	17.19	17.50	155300
2000-09-06	16.94	17.31	16.88	17.12	492400
2000-09-07	16.25	17.19	15.50	16.88	729400
2000-09-08	15.50	16.12	15.50	16.06	833300
2000-09-11	16.50	16.50	15.75	15.75	596800
2000-09-12	16.62	17.00	16.50	16.50	291700
2000-09-13	16.69	17.12	16.06	16.12	91700
2000-09-14	15.88	17.03	15.75	17.00	97800
2000-09-15	14.88	16.12	14.88	15.88	189200
2000-09-18	12.00	15.00	11.38	14.88	835300
2000-09-19	13.06	13.12	12.12	12.59	545700
2000-09-20	13.31	13.69	12.75	13.12	827300
2000-09-21	12.81	13.75	12.56	13.44	443400
2000-09-22	12.25	12.69	11.62	12.19	477300
2000-09-25	12.75	13.12	12.31	12.69	514000
2000-09-26	11.56	12.88	11.38	12.66	258000
2000-09-27	10.75	12.25	10.75	11.75	314500
2000-09-28	10.38	11.25	10.12	10.81	760300
2000-09-29	10.88	11.00	10.38	10.56	876800
2000-10-02	11.00	11.38	10.62	11.00	169100
2000-10-03	11.88	12.94	10.88	11.31	361300
2000-10-04	12.12	12.50	11.38	11.88	657300
2000-10-05	12.06	12.50	11.75	12.19	199100
2000-10-06	11.69	12.12	11.50	12.12	286200
