Date	Close	High	Low	Open	Volume
	ORCX	ORCX	ORCX	ORCX	ORCX
2025-02-07	20.56	21.16	20.31	20.67	12100
2025-02-10	21.54	21.78	20.65	21.14	72900
2025-02-11	21.17	21.48	20.96	21.30	26100
2025-02-12	19.98	20.47	19.58	20.47	30100
2025-02-13	20.34	20.34	19.88	20.13	16200
2025-02-14	20.29	20.41	20.01	20.28	14100
2025-02-18	21.65	22.06	20.81	20.87	28400
2025-02-19	21.95	22.00	20.69	21.32	21600
2025-02-20	20.70	21.45	20.38	21.45	14300
2025-02-21	18.76	20.65	18.70	20.65	15400
2025-02-24	19.26	20.19	18.22	20.19	67200
2025-02-25	18.90	19.26	18.07	19.02	51400
2025-02-26	19.82	20.05	19.14	19.47	17900
2025-02-27	18.01	19.94	18.01	19.94	10100
2025-02-28	18.28	18.28	17.14	17.62	8700
2025-03-03	17.39	18.35	17.17	18.35	12000
2025-03-04	16.39	16.81	15.64	16.53	13800
2025-03-05	17.26	17.32	16.40	16.47	15100
2025-03-06	14.98	16.18	14.77	15.95	19600
2025-03-07	15.76	15.91	14.45	14.89	22100
2025-03-10	14.52	15.11	14.15	14.78	122300
2025-03-11	13.55	13.74	12.36	13.22	63100
2025-03-12	14.83	15.09	13.72	14.09	36500
2025-03-13	14.18	14.40	14.00	14.35	16100
2025-03-14	14.49	14.66	14.43	14.51	22300
2025-03-17	15.41	15.65	14.86	14.86	63000
2025-03-18	14.49	15.05	14.39	15.05	14200
2025-03-19	15.06	15.26	14.62	14.64	8900
2025-03-20	15.03	15.38	14.73	14.83	12900
2025-03-21	15.00	15.20	14.64	14.64	14900
2025-03-24	15.49	15.90	15.37	15.90	30900
2025-03-25	15.30	15.52	15.15	15.52	22800
2025-03-26	14.08	15.01	13.85	15.01	12200
2025-03-27	13.69	13.83	13.65	13.71	9500
2025-03-28	12.77	13.46	12.42	13.35	23100
2025-03-31	12.56	12.60	12.07	12.10	14600
2025-04-01	12.94	13.10	12.38	12.58	9900
2025-04-02	13.64	14.00	12.77	12.77	52700
2025-04-03	12.04	12.76	11.92	12.72	37600
2025-04-04	10.46	11.37	10.37	11.37	58600
2025-04-07	10.15	11.22	9.05	9.26	47500
2025-04-08	9.79	11.25	9.50	11.25	34700
2025-04-09	12.16	12.32	10.19	10.23	94800
2025-04-10	11.19	11.52	10.98	11.52	11300
2025-04-11	10.97	10.99	10.63	10.97	6000
2025-04-14	11.35	11.58	11.20	11.56	27300
2025-04-15	11.24	11.67	11.24	11.60	22100
2025-04-16	10.52	10.86	10.31	10.73	9900
2025-04-17	10.39	10.65	10.39	10.65	600
2025-04-21	9.36	9.94	9.21	9.85	15600
2025-04-22	9.88	10.05	9.60	9.64	8700
2025-04-23	10.75	11.40	10.73	11.38	12700
2025-04-24	11.75	11.75	11.05	11.18	26900
2025-04-25	11.97	11.97	11.68	11.79	15900
2025-04-28	12.14	12.23	11.79	12.18	29600
2025-04-29	12.34	12.34	12.03	12.32	30600
2025-04-30	12.32	12.32	11.45	11.60	35900
2025-05-01	13.03	13.61	13.03	13.40	45700
2025-05-02	14.01	14.40	13.81	13.81	37400
2025-05-05	13.72	13.94	13.60	13.70	12500
2025-05-06	13.48	13.56	13.10	13.22	8300
2025-05-07	13.72	13.77	13.40	13.72	10300
2025-05-08	13.96	14.15	13.59	13.96	15100
2025-05-09	13.93	14.15	13.75	13.94	9900
2025-05-12	15.04	15.16	14.62	14.62	20700
2025-05-13	16.20	16.29	15.24	15.24	33800
2025-05-14	16.34	16.48	15.89	16.48	46500
2025-05-15	15.65	16.15	15.46	16.15	28000
2025-05-16	15.78	15.87	15.40	15.87	13800
2025-05-19	15.62	16.23	15.50	15.50	17800
2025-05-20	15.73	15.73	15.14	15.40	33300
2025-05-21	15.13	15.79	14.96	15.40	9500
2025-05-22	15.14	15.46	14.97	14.97	8000
2025-05-23	14.92	15.09	14.58	14.59	21500
2025-05-27	15.98	16.01	15.46	15.46	25900
2025-05-28	16.35	16.41	15.82	16.02	38200
2025-05-29	16.14	16.83	15.86	16.83	34700
2025-05-30	16.66	16.67	15.93	15.99	27600
