Date	Open	High	Low	Close	Volume
2020-03-19	36.91	42.44	36.91	41.75	7000.00
2020-03-20	41.53	42.45	41.52	41.52	3600.00
2020-03-23	38.75	38.75	36.89	36.91	11900.00
2020-03-24	36.91	36.91	35.98	36.91	77800.00
2020-03-25	36.91	41.33	35.06	37.84	7000.00
2020-03-26	41.52	43.83	40.83	41.52	29100.00
2020-03-27	41.52	43.83	41.51	41.74	263200.00
2020-03-30	40.83	46.13	40.83	46.13	118100.00
2020-03-31	42.90	46.13	41.32	46.13	210300.00
2020-04-01	42.43	44.75	40.60	43.09	1206100.00
2020-04-02	41.54	44.90	39.86	40.60	9264200.00
2020-04-03	40.37	45.49	38.57	43.66	22551600.00
2020-04-06	43.36	44.15	41.24	42.39	10294200.00
2020-04-07	41.66	43.35	39.61	40.85	12146500.00
2020-04-08	38.94	41.70	38.07	40.68	22265800.00
2020-04-09	40.64	46.36	40.60	45.34	17355600.00
2020-04-13	44.79	44.90	42.18	42.44	8545100.00
2020-04-14	42.36	42.72	40.57	42.34	10152100.00
2020-04-15	40.77	41.38	39.49	41.10	7935500.00
2020-04-16	40.67	42.82	40.18	42.09	8740200.00
2020-04-17	43.36	44.80	42.37	42.58	7878100.00
2020-04-20	41.52	43.35	41.43	41.88	5407500.00
2020-04-21	41.06	43.55	41.06	42.35	6939700.00
2020-04-22	43.65	45.72	42.44	43.41	6801900.00
2020-04-23	43.77	44.32	42.88	43.80	5174800.00
2020-04-24	44.30	44.75	42.73	44.15	6446900.00
2020-04-27	44.36	44.84	43.93	44.49	5541100.00
2020-04-28	45.27	47.01	44.89	46.00	5368200.00
2020-04-29	46.84	47.73	45.86	47.19	4343900.00
2020-04-30	47.03	47.61	46.59	46.97	6123800.00
2020-05-01	46.44	46.62	44.57	45.86	3089700.00
2020-05-04	45.07	45.83	43.83	45.70	5676600.00
2020-05-05	45.70	46.72	44.25	44.37	4103600.00
2020-05-06	44.85	45.21	44.18	44.57	2931800.00
2020-05-07	45.23	49.17	45.20	47.80	4803200.00
2020-05-08	48.09	49.98	48.08	48.85	4289400.00
2020-05-11	47.98	48.35	47.11	47.80	3150600.00
2020-05-12	48.15	48.24	45.85	45.87	3059800.00
2020-05-13	45.21	46.41	44.18	44.48	4567000.00
2020-05-14	43.93	44.66	43.58	44.29	4849900.00
2020-05-15	43.66	45.41	43.55	45.11	2981400.00
2020-05-18	46.24	48.29	46.24	48.10	4452600.00
2020-05-19	47.68	48.83	47.10	48.26	2050300.00
2020-05-20	48.48	50.47	48.42	49.07	4755100.00
2020-05-21	48.49	49.59	48.04	48.19	3813100.00
2020-05-22	48.58	48.82	47.16	47.89	2134300.00
2020-05-26	49.11	50.00	46.95	47.13	6247000.00
2020-05-27	47.78	48.76	47.02	48.51	5202300.00
2020-05-28	48.96	49.04	47.17	47.19	4260700.00
2020-05-29	46.71	48.96	46.47	48.76	7522700.00
2020-06-01	48.57	50.42	48.26	50.08	3073300.00
2020-06-02	50.16	50.70	49.35	50.15	2638100.00
2020-06-03	50.94	51.47	50.52	51.37	4134500.00
2020-06-04	51.21	52.47	50.65	51.31	3281300.00
2020-06-05	53.56	54.37	51.86	54.24	4615100.00
2020-06-08	54.34	56.79	54.05	56.73	5966500.00
2020-06-09	55.94	56.92	54.86	56.17	4610200.00
2020-06-10	56.13	56.46	54.66	54.67	2658300.00
2020-06-11	51.86	53.78	51.59	52.09	3293900.00
2020-06-12	53.46	54.62	51.03	51.90	4313000.00
2020-06-15	50.48	53.53	49.85	53.41	4464300.00
2020-06-16	55.10	55.38	53.14	53.58	3510300.00
2020-06-17	53.83	53.89	52.29	52.55	2441500.00
2020-06-18	52.27	53.42	52.08	53.24	2137500.00
2020-06-19	54.60	54.60	51.82	52.79	7096100.00
2020-06-22	52.68	53.88	52.46	52.84	2027000.00
2020-06-23	53.43	53.59	52.41	52.60	2386900.00
2020-06-24	52.00	52.76	51.17	51.44	3022000.00
2020-06-25	50.98	52.33	50.71	52.05	2942900.00
2020-06-26	52.08	52.31	50.42	51.67	6634300.00
2020-06-29	51.76	52.60	51.24	52.39	2257300.00
2020-06-30	51.83	52.88	51.41	52.66	2518100.00
