Date	Open	High	Low	Close	Volume
1981-12-31	1.65	1.67	1.63	1.67	431705.00
1982-01-04	1.67	1.68	1.65	1.67	329624.00
1982-01-05	1.65	1.66	1.64	1.64	383274.00
1982-01-06	1.64	1.65	1.63	1.65	281819.00
1982-01-07	1.64	1.65	1.63	1.65	168674.00
1982-01-08	1.68	1.72	1.63	1.63	158027.00
1982-01-11	1.63	1.64	1.60	1.60	284742.00
1982-01-12	1.60	1.61	1.59	1.61	242156.00
1982-01-13	1.59	1.61	1.57	1.59	197482.00
1982-01-14	1.57	1.59	1.56	1.56	295806.00
1982-01-15	1.58	1.60	1.56	1.58	204580.00
1982-01-18	1.58	1.59	1.57	1.59	239233.00
1982-01-19	1.60	1.62	1.58	1.61	198317.00
1982-01-20	1.61	1.61	1.60	1.61	171805.00
1982-01-21	1.59	1.60	1.57	1.59	182034.00
1982-01-22	1.57	1.59	1.55	1.56	458634.00
1982-01-25	1.53	1.55	1.50	1.53	398931.00
1982-01-26	1.53	1.55	1.51	1.52	442560.00
1982-01-27	1.51	1.52	1.50	1.52	228795.00
1982-01-28	1.56	1.61	1.50	1.61	289126.00
1982-01-29	1.58	1.61	1.56	1.56	224411.00
1982-02-01	1.55	1.56	1.52	1.52	198526.00
1982-02-02	1.53	1.54	1.51	1.52	133812.00
1982-02-03	1.52	1.53	1.51	1.53	108970.00
1982-02-04	1.54	1.55	1.52	1.53	141536.00
1982-02-05	1.54	1.55	1.52	1.53	154479.00
1982-02-08	1.53	1.54	1.51	1.51	184539.00
1982-02-09	1.50	1.50	1.49	1.50	265327.00
1982-02-10	1.51	1.54	1.49	1.52	222741.00
1982-02-11	1.52	1.53	1.50	1.53	277644.00
1982-02-12	1.51	1.53	1.50	1.50	291839.00
1982-02-16	1.50	1.50	1.48	1.50	239442.00
1982-02-17	1.50	1.51	1.49	1.50	153435.00
1982-02-18	1.50	1.50	1.50	1.50	127132.00
1982-02-19	1.50	1.51	1.50	1.50	223368.00
1982-02-22	1.50	1.52	1.48	1.48	205415.00
1982-02-23	1.48	1.49	1.47	1.49	179529.00
1982-02-24	1.50	1.53	1.48	1.53	266371.00
1982-02-25	1.53	1.54	1.52	1.52	273469.00
1982-02-26	1.51	1.52	1.50	1.51	151765.00
1982-03-01	1.50	1.51	1.50	1.51	159280.00
1982-03-02	1.52	1.54	1.50	1.52	276183.00
1982-03-03	1.49	1.50	1.46	1.48	438803.00
1982-03-04	1.46	1.49	1.43	1.44	372836.00
1982-03-05	1.42	1.43	1.40	1.41	503099.00
1982-03-08	1.38	1.42	1.33	1.34	500385.00
1982-03-09	1.38	1.42	1.33	1.39	655699.00
1982-03-10	1.41	1.42	1.39	1.42	376803.00
1982-03-11	1.42	1.42	1.41	1.42	264701.00
1982-03-12	1.38	1.41	1.35	1.35	467193.00
1982-03-15	1.35	1.37	1.33	1.36	684507.00
1982-03-16	1.38	1.39	1.36	1.38	320439.00
1982-03-17	1.39	1.41	1.37	1.37	206250.00
1982-03-18	1.41	1.42	1.39	1.42	193307.00
1982-03-19	1.44	1.45	1.42	1.45	173684.00
1982-03-22	1.47	1.49	1.45	1.48	414378.00
1982-03-23	1.48	1.50	1.46	1.48	219401.00
1982-03-24	1.48	1.49	1.46	1.47	313132.00
1982-03-25	1.46	1.47	1.45	1.46	160115.00
1982-03-26	1.47	1.48	1.45	1.46	191219.00
1982-03-29	1.46	1.47	1.45	1.47	174102.00
1982-03-30	1.47	1.48	1.46	1.47	165543.00
1982-03-31	1.47	1.48	1.45	1.45	631692.00
