Date	Open	High	Low	Close	Volume
1994-10-18	1.18	1.19	1.16	1.18	418166.00
1994-10-19	1.19	1.29	1.19	1.28	249950.00
1994-10-20	1.30	1.34	1.29	1.29	141590.00
1994-10-21	1.29	1.30	1.27	1.27	68731.00
1994-10-24	1.27	1.30	1.25	1.25	75749.00
1994-10-25	1.24	1.27	1.22	1.27	65222.00
1994-10-26	1.26	1.28	1.26	1.26	47678.00
1994-10-27	1.26	1.28	1.26	1.26	34882.00
1994-10-28	1.26	1.27	1.24	1.24	41280.00
1994-10-31	1.25	1.26	1.24	1.24	33850.00
1994-11-01	1.24	1.25	1.23	1.24	34056.00
1994-11-02	1.24	1.25	1.20	1.23	75542.00
1994-11-03	1.24	1.25	1.22	1.22	56554.00
1994-11-04	1.22	1.23	1.19	1.19	67699.00
1994-11-07	1.19	1.21	1.19	1.19	73478.00
1994-11-08	1.19	1.21	1.19	1.21	106296.00
1994-11-09	1.20	1.22	1.20	1.20	61920.00
1994-11-10	1.19	1.22	1.16	1.17	76574.00
1994-11-11	1.18	1.18	1.14	1.16	80909.00
1994-11-14	1.16	1.18	1.14	1.17	65842.00
1994-11-15	1.15	1.17	1.14	1.15	70382.00
1994-11-16	1.15	1.16	1.14	1.16	85862.00
1994-11-17	1.14	1.16	1.14	1.16	99485.00
1994-11-18	1.16	1.16	1.14	1.14	113933.00
1994-11-21	1.16	1.17	1.14	1.16	136843.00
1994-11-22	1.15	1.16	1.15	1.16	93086.00
1994-11-23	1.15	1.16	1.15	1.16	48504.00
1994-11-25	1.15	1.18	1.15	1.18	33850.00
1994-11-28	1.18	1.20	1.17	1.20	68525.00
1994-11-29	1.20	1.20	1.19	1.19	48091.00
1994-11-30	1.20	1.21	1.19	1.20	72653.00
1994-12-01	1.20	1.21	1.20	1.21	68731.00
1994-12-02	1.20	1.21	1.20	1.20	31579.00
1994-12-05	1.19	1.20	1.19	1.20	45614.00
1994-12-06	1.19	1.20	1.18	1.20	43344.00
1994-12-07	1.18	1.20	1.18	1.20	34056.00
1994-12-08	1.19	1.20	1.19	1.19	38597.00
1994-12-09	1.18	1.20	1.18	1.19	72653.00
1994-12-12	1.20	1.20	1.19	1.19	31992.00
1994-12-13	1.20	1.20	1.19	1.19	69350.00
1994-12-14	1.20	1.20	1.18	1.20	112901.00
1994-12-15	1.20	1.22	1.20	1.20	44170.00
1994-12-16	1.22	1.27	1.21	1.24	83386.00
1994-12-19	1.25	1.28	1.24	1.26	79051.00
1994-12-20	1.24	1.26	1.22	1.26	57586.00
1994-12-21	1.25	1.27	1.25	1.26	55109.00
1994-12-22	1.26	1.27	1.25	1.26	59443.00
1994-12-23	1.26	1.27	1.25	1.25	45408.00
1994-12-27	1.25	1.28	1.23	1.24	47059.00
1994-12-28	1.25	1.26	1.24	1.26	42106.00
1994-12-29	1.25	1.25	1.24	1.25	65222.00
1994-12-30	1.25	1.30	1.24	1.30	106296.00
1995-01-03	1.28	1.29	1.27	1.28	47266.00
1995-01-04	1.27	1.28	1.25	1.25	21878.00
1995-01-05	1.25	1.27	1.24	1.26	16099.00
1995-01-06	1.25	1.26	1.24	1.26	16512.00
1995-01-09	1.26	1.30	1.26	1.29	49536.00
1995-01-10	1.31	1.31	1.28	1.29	20640.00
1995-01-11	1.28	1.31	1.28	1.29	16718.00
