Date	Close	High	Low	Open	Volume
	PAY	PAY	PAY	PAY	PAY
2021-05-26	28.61	30.46	28.00	28.76	5508600
2021-05-27	28.00	28.50	26.76	28.15	1598100
2021-05-28	30.50	31.81	27.79	28.49	777600
2021-06-01	31.75	32.19	29.50	30.96	802800
2021-06-02	33.50	33.91	30.48	31.32	1230800
2021-06-03	30.94	33.80	30.94	33.80	237900
2021-06-04	30.98	32.11	30.79	31.10	110200
2021-06-07	28.45	31.32	28.38	30.88	339200
2021-06-08	27.80	29.49	27.59	28.50	285200
2021-06-09	28.25	28.57	27.80	27.80	128600
2021-06-10	29.92	30.03	28.00	28.24	110200
2021-06-11	30.11	30.20	28.79	29.84	162600
2021-06-14	29.02	30.43	28.92	29.88	108000
2021-06-15	29.52	30.50	29.29	29.46	153900
2021-06-16	29.71	30.14	28.14	29.70	293600
2021-06-17	29.89	30.50	28.90	29.89	564300
2021-06-18	29.26	30.46	28.75	29.59	99600
2021-06-21	30.20	31.70	29.68	29.68	208900
2021-06-22	32.63	33.50	30.20	30.30	551200
2021-06-23	34.93	35.72	32.35	33.21	909500
2021-06-24	36.30	38.20	35.51	35.57	549500
2021-06-25	35.00	39.23	34.85	36.93	405100
2021-06-28	35.35	35.98	33.17	35.53	270300
2021-06-29	35.23	36.67	34.18	36.06	351100
2021-06-30	35.50	35.79	34.07	34.88	214900
2021-07-01	34.95	36.10	34.27	35.82	447000
2021-07-02	35.25	35.50	33.63	34.59	155600
2021-07-06	36.42	36.42	35.16	35.24	184100
2021-07-07	36.36	36.96	35.31	36.90	291700
2021-07-08	34.71	35.86	32.60	35.65	455500
2021-07-09	35.56	35.83	34.01	34.73	100300
2021-07-12	35.91	36.00	34.55	35.26	88200
2021-07-13	34.57	35.91	33.06	35.91	205900
2021-07-14	34.79	35.43	34.55	34.80	167400
2021-07-15	33.12	34.86	32.98	34.54	103300
2021-07-16	32.56	33.61	32.12	33.08	161400
2021-07-19	30.38	32.00	30.25	31.81	158300
2021-07-20	30.72	31.24	30.48	30.63	179600
2021-07-21	30.40	31.26	30.17	30.84	126200
2021-07-22	29.91	30.70	29.76	30.00	130700
2021-07-23	29.50	31.30	29.31	30.13	87800
2021-07-26	29.29	29.49	28.82	29.31	88800
2021-07-27	28.35	29.17	28.20	28.83	275600
2021-07-28	28.88	29.54	28.23	28.48	209400
2021-07-29	28.76	29.70	28.47	29.24	76600
2021-07-30	29.00	29.46	28.52	28.52	73500
2021-08-02	29.50	29.99	29.02	29.28	75900
2021-08-03	29.31	29.70	29.15	29.58	73800
2021-08-04	28.39	29.63	28.03	29.63	179700
2021-08-05	28.49	28.87	28.32	28.55	82300
2021-08-06	28.93	30.07	28.51	28.51	188100
2021-08-09	29.44	29.70	28.69	29.09	63100
2021-08-10	29.88	30.50	29.59	30.18	169500
2021-08-11	29.44	30.74	29.23	29.91	252800
2021-08-12	28.49	29.94	28.09	29.44	133000
2021-08-13	27.99	28.35	26.92	28.24	119700
2021-08-16	27.65	27.98	26.67	27.55	188100
2021-08-17	26.81	27.53	26.75	27.27	131900
2021-08-18	26.90	27.07	26.50	26.66	126200
2021-08-19	26.90	27.50	26.71	26.71	47200
2021-08-20	26.52	27.27	26.51	27.01	61800
2021-08-23	26.74	27.46	26.58	26.82	109200
2021-08-24	26.83	27.37	26.68	27.10	206000
2021-08-25	25.84	27.07	25.76	26.87	119800
2021-08-26	25.60	26.12	25.20	25.99	83100
2021-08-27	25.69	26.90	25.54	25.76	321600
2021-08-30	25.70	26.07	25.27	25.75	443100
2021-08-31	25.65	26.00	25.35	25.94	146300
2021-09-01	25.55	25.88	25.38	25.88	242900
2021-09-02	26.87	26.89	25.52	25.92	265100
2021-09-03	27.11	27.45	26.38	26.73	306700
2021-09-07	26.15	27.16	25.96	27.02	124100
2021-09-08	24.33	26.40	24.17	26.21	234200
2021-09-09	24.17	24.59	24.00	24.14	270600
2021-09-10	25.75	25.92	23.74	24.37	404600
