Date	Open	High	Low	Close	Volume
1980-03-17	0.22	0.23	0.22	0.22	126968.00
1980-03-18	0.22	0.22	0.21	0.21	360855.00
1980-03-19	0.21	0.21	0.21	0.21	213840.00
1980-03-20	0.20	0.20	0.20	0.20	400950.00
1980-03-21	0.20	0.20	0.20	0.20	173745.00
1980-03-24	0.20	0.20	0.19	0.19	441045.00
1980-03-25	0.20	0.20	0.20	0.20	253935.00
1980-03-26	0.20	0.20	0.20	0.20	80190.00
1980-03-27	0.20	0.20	0.19	0.19	1055835.00
1980-03-28	0.20	0.20	0.20	0.20	200475.00
1980-03-31	0.20	0.20	0.20	0.20	140333.00
1980-04-01	0.20	0.20	0.20	0.20	66825.00
1980-04-02	0.20	0.20	0.19	0.19	260618.00
1980-04-03	0.19	0.20	0.19	0.19	153698.00
1980-04-07	0.19	0.20	0.19	0.19	1262993.00
1980-04-08	0.19	0.20	0.19	0.19	1283040.00
1980-04-09	0.20	0.20	0.20	0.20	4069643.00
1980-04-10	0.20	0.20	0.20	0.20	53460.00
1980-04-11	0.20	0.20	0.20	0.20	213840.00
1980-04-14	0.20	0.20	0.20	0.20	86873.00
1980-04-15	0.20	0.20	0.20	0.20	46778.00
1980-04-16	0.20	0.20	0.19	0.19	735075.00
1980-04-17	0.19	0.19	0.19	0.19	140333.00
1980-04-18	0.19	0.19	0.19	0.19	233888.00
1980-04-21	0.19	0.19	0.19	0.19	60143.00
1980-04-22	0.19	0.19	0.19	0.19	133650.00
1980-04-23	0.17	0.17	0.17	0.17	995693.00
1980-04-24	0.18	0.18	0.18	0.18	821948.00
1980-04-25	0.18	0.18	0.17	0.17	300713.00
1980-04-28	0.18	0.18	0.18	0.18	120285.00
1980-04-29	0.18	0.18	0.18	0.18	507870.00
1980-04-30	0.18	0.18	0.18	0.18	300713.00
1980-05-01	0.18	0.18	0.18	0.18	1610483.00
1980-05-02	0.18	0.18	0.18	0.18	942233.00
1980-05-05	0.18	0.18	0.18	0.18	621473.00
1980-05-06	0.18	0.19	0.18	0.18	340808.00
1980-05-07	0.19	0.19	0.19	0.19	227205.00
1980-05-08	0.19	0.19	0.19	0.19	187110.00
1980-05-09	0.19	0.20	0.19	0.19	173745.00
1980-05-12	0.19	0.19	0.19	0.19	207158.00
1980-05-13	0.19	0.19	0.18	0.18	654885.00
1980-05-14	0.19	0.19	0.19	0.19	253935.00
1980-05-15	0.19	0.20	0.19	0.19	167063.00
1980-05-16	0.20	0.20	0.20	0.20	80190.00
1980-05-19	0.20	0.20	0.19	0.19	253935.00
1980-05-20	0.19	0.20	0.19	0.19	340808.00
1980-05-21	0.19	0.20	0.19	0.19	227205.00
1980-05-22	0.21	0.21	0.21	0.21	708345.00
1980-05-23	0.21	0.22	0.21	0.21	213840.00
1980-05-27	0.21	0.22	0.21	0.21	240570.00
1980-05-28	0.21	0.21	0.21	0.21	233888.00
1980-05-29	0.21	0.21	0.21	0.21	173745.00
1980-05-30	0.21	0.21	0.21	0.21	86873.00
1980-06-02	0.21	0.21	0.21	0.21	26730.00
1980-06-03	0.21	0.21	0.21	0.21	273983.00
1980-06-04	0.21	0.21	0.21	0.21	160380.00
1980-06-05	0.21	0.21	0.21	0.21	120285.00
1980-06-06	0.21	0.21	0.20	0.20	253935.00
1980-06-09	0.20	0.21	0.20	0.20	267300.00
1980-06-10	0.20	0.21	0.20	0.20	53460.00
1980-06-11	0.20	0.21	0.20	0.20	334125.00
1980-06-12	0.20	0.20	0.20	0.20	147015.00
1980-06-13	0.20	0.21	0.20	0.20	80190.00
1980-06-16	0.20	0.21	0.20	0.20	73508.00
1980-06-17	0.20	0.21	0.20	0.20	53460.00
1980-06-18	0.20	0.20	0.20	0.20	173745.00
1980-06-19	0.20	0.20	0.20	0.20	66825.00
1980-06-20	0.20	0.20	0.20	0.20	173745.00
1980-06-23	0.20	0.20	0.20	0.20	33413.00
1980-06-24	0.20	0.21	0.20	0.20	113603.00
1980-06-25	0.20	0.21	0.20	0.20	167063.00
1980-06-26	0.20	0.21	0.20	0.20	213840.00
1980-06-27	0.20	0.21	0.20	0.20	113603.00
1980-06-30	0.20	0.21	0.20	0.20	93555.00
1980-07-01	0.20	0.21	0.20	0.20	120285.00
1980-07-02	0.20	0.21	0.20	0.20	93555.00
1980-07-03	0.21	0.21	0.21	0.21	474458.00
1980-07-07	0.21	0.21	0.21	0.21	100238.00
1980-07-08	0.21	0.21	0.21	0.21	167063.00
1980-07-09	0.21	0.22	0.21	0.21	374220.00
1980-07-10	0.21	0.22	0.21	0.21	140333.00
1980-07-11	0.22	0.22	0.22	0.22	180428.00
1980-07-14	0.23	0.23	0.23	0.23	461093.00
1980-07-15	0.23	0.23	0.23	0.23	581378.00
1980-07-16	0.23	0.23	0.23	0.23	140333.00
1980-07-17	0.23	0.23	0.23	0.23	1002375.00
1980-07-18	0.23	0.23	0.22	0.22	781853.00
1980-07-21	0.23	0.23	0.23	0.23	654885.00
1980-07-22	0.22	0.22	0.22	0.22	407633.00
1980-07-23	0.22	0.22	0.22	0.22	260618.00
1980-07-24	0.22	0.22	0.22	0.22	133650.00
1980-07-25	0.22	0.22	0.22	0.22	153698.00
1980-07-28	0.23	0.23	0.23	0.23	207158.00
1980-07-29	0.23	0.23	0.23	0.23	173745.00
1980-07-30	0.23	0.24	0.23	0.23	1657260.00
1980-07-31	0.23	0.23	0.23	0.23	240570.00
1980-08-01	0.23	0.23	0.23	0.23	173745.00
1980-08-04	0.23	0.23	0.23	0.23	160380.00
1980-08-05	0.23	0.23	0.23	0.23	273983.00
1980-08-06	0.23	0.23	0.23	0.23	200475.00
1980-08-07	0.24	0.24	0.24	0.24	768488.00
1980-08-08	0.24	0.24	0.24	0.24	1002375.00
1980-08-11	0.24	0.25	0.24	0.24	360855.00
1980-08-12	0.25	0.25	0.25	0.25	287348.00
1980-08-13	0.25	0.25	0.25	0.25	781853.00
