Date	Close	High	Low	Open	Volume
	PFG	PFG	PFG	PFG	PFG
2001-10-23	11.09	11.29	10.77	10.82	32584000
2001-10-24	11.69	11.72	11.09	11.14	5847500
2001-10-25	11.59	11.69	11.43	11.61	2038800
2001-10-26	11.35	11.61	11.30	11.59	3339100
2001-10-29	11.19	11.61	11.09	11.61	1758700
2001-10-30	11.64	11.75	11.09	11.30	2225300
2001-10-31	11.88	12.66	11.59	11.83	5101800
2001-11-01	11.59	11.95	11.46	11.95	2747400
2001-11-02	11.71	11.75	11.59	11.67	1183800
2001-11-05	11.61	11.72	11.48	11.67	1144000
2001-11-06	11.93	11.98	11.54	11.57	695100
2001-11-07	11.54	11.96	11.43	11.96	1002900
2001-11-08	11.52	11.61	11.40	11.59	1642800
2001-11-09	11.40	11.49	11.35	11.35	1601000
2001-11-12	11.60	11.61	11.25	11.41	1101400
2001-11-13	11.54	11.61	11.48	11.61	687300
2001-11-14	11.48	11.67	11.30	11.67	1964000
2001-11-15	11.58	11.61	11.40	11.43	867300
2001-11-16	11.75	12.08	11.60	11.61	1851600
2001-11-19	11.79	12.01	11.61	11.61	1231800
2001-11-20	11.99	12.01	11.75	11.75	1182300
2001-11-21	12.07	12.09	11.96	12.04	1016400
2001-11-23	11.82	12.08	11.72	12.08	328800
2001-11-26	11.79	11.87	11.60	11.67	2417500
2001-11-27	11.83	11.93	11.75	11.75	1536000
2001-11-28	12.04	12.11	11.87	12.11	871900
2001-11-29	12.08	12.12	11.88	12.04	523100
2001-11-30	12.12	12.14	11.98	12.09	2255100
2001-12-03	12.12	12.25	11.75	12.13	1037600
2001-12-04	12.12	12.14	11.96	12.12	578700
2001-12-05	12.25	12.30	12.12	12.16	1370400
2001-12-06	12.38	12.57	12.21	12.25	509400
2001-12-07	12.38	12.55	12.25	12.30	1175600
2001-12-10	12.33	12.37	12.25	12.37	1396900
2001-12-11	12.40	12.59	12.33	12.33	1376300
2001-12-12	12.49	12.64	12.41	12.49	1933800
2001-12-13	12.40	12.59	12.33	12.54	1813400
2001-12-14	12.71	12.86	12.35	12.35	2133900
2001-12-17	12.51	13.07	12.42	12.82	1285500
2001-12-18	12.51	12.72	12.41	12.62	1949800
2001-12-19	12.41	12.73	12.14	12.61	3143500
2001-12-20	12.45	12.51	12.14	12.41	3660000
2001-12-21	12.34	12.44	12.18	12.20	2871400
2001-12-24	12.35	12.40	12.30	12.35	1578200
2001-12-26	12.30	12.51	12.27	12.41	2152100
2001-12-27	12.43	12.62	12.25	12.38	1772400
2001-12-28	12.42	12.70	12.35	12.46	1977900
2001-12-31	12.67	12.70	12.43	12.46	1596000
2002-01-02	12.58	12.78	12.37	12.70	2708100
2002-01-03	12.54	12.64	12.43	12.57	1501300
2002-01-04	12.64	12.81	12.54	12.56	2971800
2002-01-07	12.59	12.72	12.35	12.67	2623000
2002-01-08	12.71	12.75	12.42	12.54	2397100
2002-01-09	12.62	12.75	12.52	12.71	2569100
2002-01-10	12.78	12.83	12.67	12.83	2023900
2002-01-11	12.67	12.83	12.54	12.78	1845800
2002-01-14	12.66	12.75	12.56	12.70	1516500
2002-01-15	12.56	12.70	12.49	12.59	1548300
2002-01-16	12.51	12.64	12.43	12.64	1409800
2002-01-17	12.77	12.77	12.55	12.55	2317000
2002-01-18	12.78	12.88	12.64	12.83	1503600
2002-01-22	12.92	13.01	12.79	12.93	2034700
2002-01-23	12.56	12.98	12.54	12.93	2306700
2002-01-24	12.75	12.80	12.63	12.72	2413800
2002-01-25	13.54	13.73	12.71	12.80	2492400
2002-01-28	13.73	13.83	13.22	13.43	1486900
2002-01-29	13.71	14.28	13.57	13.67	2980800
2002-01-30	13.46	13.81	13.20	13.70	1981800
2002-01-31	13.44	13.50	13.20	13.50	2352100
2002-02-01	12.88	13.30	12.88	13.28	4133400
2002-02-04	12.54	12.96	11.72	12.83	3861300
2002-02-05	12.27	12.46	12.09	12.41	3665100
2002-02-06	12.63	12.92	12.55	12.67	2942300
2002-02-07	12.67	12.88	12.59	12.63	1683200
2002-02-08	13.09	13.09	12.68	12.72	1214000
2002-02-11	12.86	13.23	12.79	13.12	2064500
2002-02-12	13.09	13.11	12.88	12.93	1156500
2002-02-13	13.07	13.36	12.99	13.15	1899000
2002-02-14	12.86	13.07	12.64	13.07	3033900
2002-02-15	12.70	12.93	12.51	12.93	1902200
2002-02-19	12.45	12.67	12.30	12.66	2002100
2002-02-20	12.43	12.55	12.34	12.52	943100
2002-02-21	12.25	12.62	12.17	12.49	1624200
2002-02-22	11.88	12.35	11.61	12.35	2532900
2002-02-25	12.24	12.27	12.09	12.09	2515300
2002-02-26	12.51	12.64	12.21	12.35	1166900
2002-02-27	12.90	12.92	12.54	12.56	1842500
2002-02-28	12.86	13.19	12.67	13.07	1467600
2002-03-01	13.09	13.09	12.75	12.83	1293700
2002-03-04	13.34	13.73	12.93	13.09	1993100
2002-03-05	13.22	13.47	13.21	13.32	2963400
2002-03-06	13.20	13.37	12.96	13.30	995300
2002-03-07	13.30	13.45	12.96	13.20	1714400
2002-03-08	13.22	13.46	13.20	13.28	1085900
2002-03-11	13.17	13.32	13.08	13.22	1338800
2002-03-12	13.20	13.30	13.13	13.24	615600
2002-03-13	13.21	13.27	13.09	13.20	965100
2002-03-14	13.42	13.45	13.20	13.20	1636200
2002-03-15	13.46	13.59	13.36	13.41	504400
2002-03-18	13.46	14.04	13.36	13.99	2792000
2002-03-19	13.47	13.67	13.41	13.57	3362800
2002-03-20	13.62	13.71	13.43	13.49	1655700
2002-03-21	13.61	13.66	13.49	13.65	1683100
2002-03-22	13.62	13.65	13.54	13.65	1944400
2002-03-25	13.44	13.62	13.22	13.62	2036100
2002-03-26	13.46	13.50	13.33	13.43	1944000
2002-03-27	13.55	13.55	13.46	13.50	1618200
2002-03-28	13.36	13.64	13.30	13.59	2301100
2002-04-01	13.37	13.44	13.20	13.38	1085900
2002-04-02	13.47	13.59	13.31	13.37	1085000
2002-04-03	13.44	13.67	13.39	13.59	1118600
2002-04-04	13.78	13.85	13.49	13.59	1413400
2002-04-05	14.26	14.36	13.76	13.91	1595500
2002-04-08	14.49	14.57	14.07	14.27	1636700
2002-04-09	14.58	14.80	14.41	14.49	1432300
2002-04-10	14.67	14.85	14.45	14.70	944900
2002-04-11	14.25	14.76	14.20	14.65	695600
2002-04-12	14.41	14.41	14.25	14.28	966600
2002-04-15	14.10	14.36	13.94	14.28	1397000
2002-04-16	14.78	14.78	14.36	14.36	1819700
2002-04-17	14.91	15.15	14.68	14.78	2130500
2002-04-18	14.98	15.07	14.78	14.94	830800
2002-04-19	14.87	15.07	14.70	14.97	639500
2002-04-22	15.04	15.15	14.94	14.94	1078800
2002-04-23	14.65	15.13	14.46	15.13	1671900
2002-04-24	14.68	14.82	14.68	14.76	918900
2002-04-25	14.31	14.62	14.25	14.54	1407200
2002-04-26	14.41	14.52	14.28	14.47	1045500
2002-04-29	14.51	14.70	14.37	14.52	1184100
2002-04-30	14.68	14.83	14.36	14.41	846600
2002-05-01	14.63	14.77	14.49	14.70	340300
2002-05-02	14.73	14.77	14.58	14.68	1185400
2002-05-03	14.28	14.66	14.21	14.65	1404200
2002-05-06	14.39	14.55	14.28	14.39	526400
2002-05-07	14.11	14.49	13.79	14.47	1170700
2002-05-08	14.62	14.83	14.03	14.24	2104100
2002-05-09	14.77	14.83	14.39	14.62	1565600
2002-05-10	14.71	14.81	14.49	14.81	1142600
2002-05-13	14.83	14.98	14.65	14.94	885600
2002-05-14	14.94	15.05	14.79	15.05	1506100
2002-05-15	15.00	15.05	14.88	15.01	919100
2002-05-16	15.20	15.30	14.99	15.07	1052900
2002-05-17	15.24	15.38	15.16	15.23	735600
2002-05-20	15.27	15.49	14.94	15.21	1011500
2002-05-21	15.46	15.68	15.18	15.38	905200
2002-05-22	15.47	15.85	15.31	15.63	1140600
2002-05-23	15.15	15.48	15.11	15.31	2129400
2002-05-24	15.28	15.57	15.05	15.15	931400
2002-05-28	15.58	15.70	15.29	15.31	831900
2002-05-29	15.49	15.86	15.47	15.81	830700
2002-05-30	15.40	15.57	15.34	15.44	824500
2002-05-31	16.05	16.18	15.54	15.55	1629600
2002-06-03	15.36	15.73	15.27	15.36	2208500
2002-06-04	15.08	15.28	15.00	15.26	1398900
2002-06-05	15.16	15.63	15.01	15.18	1826000
2002-06-06	15.23	15.55	15.16	15.16	1234100
2002-06-07	15.14	15.31	14.91	15.31	1497200
2002-06-10	15.44	15.53	15.19	15.20	998000
2002-06-11	15.39	15.65	15.39	15.39	1156600
2002-06-12	15.81	15.83	15.34	15.36	1154600
2002-06-13	16.09	16.63	15.81	15.81	2731400
2002-06-14	16.00	16.18	15.84	16.00	1642500
2002-06-17	15.97	16.18	15.85	15.98	1988600
2002-06-18	15.46	15.98	15.32	15.97	1628000
2002-06-19	15.67	15.85	15.42	15.44	1251400
2002-06-20	15.54	15.92	15.47	15.65	1392900
2002-06-21	15.20	15.63	15.05	15.54	2215700
2002-06-24	15.50	15.68	15.05	15.10	860600
2002-06-25	15.68	15.85	15.25	15.31	1483600
2002-06-26	15.27	15.42	14.94	15.20	1449300
2002-06-27	15.71	15.94	15.05	15.31	1691300
2002-06-28	16.37	16.37	15.76	15.84	8889800
2002-07-01	15.62	16.07	15.55	15.97	1757100
2002-07-02	15.02	15.83	14.99	15.57	1743200
2002-07-03	14.28	15.02	14.20	15.02	1682100
2002-07-05	14.62	14.78	14.33	14.33	658100
2002-07-08	15.15	15.30	14.62	14.65	1316500
2002-07-09	14.25	15.15	14.21	15.15	2243100
2002-07-10	14.96	15.29	14.91	15.26	6830500
