Date	Close	High	Low	Open	Volume
	PKX	PKX	PKX	PKX	PKX
1994-10-14	26.64	27.08	26.46	26.99	1559900
1994-10-17	25.39	26.28	25.39	26.28	564100
1994-10-18	25.56	25.56	25.47	25.56	191200
1994-10-19	25.03	25.47	25.03	25.47	174100
1994-10-20	25.03	25.03	24.85	25.03	96000
1994-10-21	25.30	25.30	25.12	25.12	10800
1994-10-24	25.03	25.30	25.03	25.12	67100
1994-10-25	25.12	25.12	25.03	25.12	97400
1994-10-26	24.22	24.94	24.22	24.94	60300
1994-10-27	22.17	23.42	22.17	23.24	172600
1994-10-28	23.51	23.51	22.53	22.53	92200
1994-10-31	23.51	23.69	23.33	23.33	37000
1994-11-01	23.60	23.87	23.51	23.51	28900
1994-11-02	23.69	23.69	23.42	23.42	21300
1994-11-03	23.78	23.78	23.60	23.60	5300
1994-11-04	23.60	23.78	23.51	23.78	80500
1994-11-07	23.96	23.96	23.69	23.69	26500
1994-11-08	24.31	24.58	23.96	23.96	6900
1994-11-09	25.03	25.21	24.67	24.67	16300
1994-11-10	24.85	25.12	24.85	25.12	7900
1994-11-11	24.94	24.94	24.85	24.94	23000
1994-11-14	25.39	25.39	25.03	25.03	38100
1994-11-15	24.94	24.94	24.85	24.85	15200
1994-11-16	24.22	24.76	24.22	24.76	39700
1994-11-17	24.13	24.22	24.04	24.22	19700
1994-11-18	24.58	24.67	24.04	24.04	36000
1994-11-21	24.31	24.58	24.31	24.58	20000
1994-11-22	22.88	23.87	22.88	23.78	43500
1994-11-23	22.35	22.53	21.99	22.53	55800
1994-11-25	23.42	23.42	22.53	22.53	24400
1994-11-28	23.06	23.24	22.97	23.24	5300
1994-11-29	23.15	23.33	23.15	23.15	41500
1994-11-30	22.70	23.06	22.70	22.97	30100
1994-12-01	22.17	22.70	22.17	22.70	11100
1994-12-02	20.74	21.10	20.74	21.10	125300
1994-12-05	21.27	21.27	21.18	21.27	34500
1994-12-06	20.92	21.27	20.92	21.27	32800
1994-12-07	20.74	20.92	20.74	20.92	14000
1994-12-08	19.22	20.02	19.13	20.02	38100
1994-12-09	18.23	19.04	18.06	19.04	73100
1994-12-12	18.32	18.50	18.23	18.23	179300
1994-12-13	18.37	18.59	17.88	18.32	68000
1994-12-14	19.13	19.22	18.77	18.77	174000
1994-12-15	20.20	20.38	19.49	19.49	65200
1994-12-16	20.74	20.74	20.47	20.47	29000
1994-12-19	20.38	20.56	20.29	20.56	53300
1994-12-20	20.29	20.47	20.20	20.29	13800
1994-12-21	21.10	21.10	20.65	20.65	30000
1994-12-22	21.81	21.81	21.10	21.10	76100
1994-12-23	21.75	21.93	21.75	21.84	35000
1994-12-27	21.75	21.75	21.66	21.75	27600
1994-12-28	21.22	21.57	20.77	21.57	10300
1994-12-29	21.04	21.22	21.04	21.22	2200
1994-12-30	20.95	21.13	20.77	21.04	13600
1995-01-03	20.41	20.95	20.41	20.95	5900
1995-01-04	19.16	20.05	18.98	20.05	48400
1995-01-05	18.44	18.62	18.35	18.62	80800
1995-01-06	18.98	19.34	18.98	18.98	41600
1995-01-09	18.62	18.71	18.53	18.62	25500
1995-01-10	18.62	18.62	18.44	18.44	24600
1995-01-11	18.89	18.98	18.80	18.80	37300
1995-01-12	18.80	18.98	18.80	18.89	40700
1995-01-13	18.53	18.62	18.44	18.44	68600
1995-01-16	17.99	18.26	17.90	18.26	97900
1995-01-17	18.17	18.17	18.08	18.17	24400
1995-01-18	18.26	18.44	18.17	18.26	40500
1995-01-19	17.90	18.35	17.90	18.17	44100
1995-01-20	17.90	17.99	17.81	17.99	28900
1995-01-23	15.49	17.37	15.40	17.19	397100
1995-01-24	15.76	16.38	15.58	15.93	145800
1995-01-25	16.29	16.38	15.93	15.93	115800
1995-01-26	16.56	16.56	16.47	16.47	62800
1995-01-27	16.56	16.65	16.47	16.65	111500
1995-01-30	16.65	16.74	16.65	16.65	48000
1995-01-31	16.56	16.74	16.56	16.74	14000
1995-02-01	16.74	16.83	16.65	16.65	10300
1995-02-02	16.92	16.92	16.74	16.74	13400
1995-02-03	17.28	17.37	16.83	16.92	65900
1995-02-06	17.28	17.37	17.19	17.19	35300
1995-02-07	17.55	17.72	17.55	17.55	19000
1995-02-08	18.53	18.80	17.55	17.55	75300
1995-02-09	19.34	19.51	18.98	18.98	68600
1995-02-10	19.34	19.34	19.07	19.16	41300
1995-02-13	19.60	19.69	19.34	19.34	7200
1995-02-14	19.43	19.43	19.34	19.43	19800
1995-02-15	18.89	19.25	18.62	19.25	30200
1995-02-16	18.71	18.71	18.62	18.62	11000
1995-02-17	18.80	18.80	18.62	18.62	13500
1995-02-21	18.80	18.89	18.62	18.71	51800
1995-02-22	18.80	18.89	18.71	18.71	14400
1995-02-23	18.80	18.80	18.80	18.80	18300
1995-02-24	18.53	18.62	18.26	18.62	26800
1995-02-27	17.99	17.99	17.90	17.90	43200
1995-02-28	18.26	18.26	18.26	18.26	5700
1995-03-01	17.99	17.99	17.72	17.72	52100
1995-03-02	18.08	18.17	17.90	17.90	105500
1995-03-03	18.08	18.08	17.90	17.90	20200
1995-03-06	18.35	18.35	18.26	18.26	17600
1995-03-07	18.26	18.62	18.26	18.53	44100
1995-03-08	18.26	18.44	18.17	18.44	46100
1995-03-09	18.44	18.53	18.44	18.44	77500
1995-03-10	18.35	18.53	18.35	18.35	34500
1995-03-13	18.71	18.89	18.53	18.53	43600
1995-03-14	19.16	19.16	18.89	18.89	23000
1995-03-15	18.98	19.34	18.98	19.25	24200
1995-03-16	19.16	19.16	19.07	19.07	4900
1995-03-17	19.34	19.34	19.07	19.16	24600
1995-03-20	20.23	20.23	19.87	19.87	30700
1995-03-21	19.87	20.14	19.87	20.14	58600
1995-03-22	19.87	20.05	19.78	19.78	7000
