Date	Close	High	Low	Open	Volume
	PNR	PNR	PNR	PNR	PNR
1973-05-03	0.53	0.54	0.53	0.53	35736
1973-05-04	0.56	0.59	0.56	0.56	59858
1973-05-07	0.53	0.56	0.53	0.53	66112
1973-05-08	0.53	0.54	0.53	0.53	24122
1973-05-09	0.54	0.56	0.54	0.54	32162
1973-05-10	0.54	0.56	0.54	0.54	9827
1973-05-11	0.54	0.56	0.54	0.54	14294
1973-05-14	0.54	0.56	0.54	0.54	24122
1973-05-15	0.54	0.56	0.54	0.54	34843
1973-05-16	0.53	0.56	0.53	0.53	20548
1973-05-17	0.54	0.56	0.54	0.54	33056
1973-05-18	0.52	0.54	0.52	0.52	33056
1973-05-21	0.48	0.50	0.48	0.48	76832
1973-05-22	0.48	0.50	0.48	0.48	10721
1973-05-23	0.47	0.48	0.47	0.47	30376
1973-05-24	0.44	0.47	0.44	0.44	55391
1973-05-25	0.45	0.48	0.45	0.45	43777
1973-05-29	0.45	0.48	0.45	0.45	16081
1973-05-30	0.44	0.47	0.44	0.44	893
1973-05-31	0.44	0.47	0.44	0.44	30376
1973-06-01	0.44	0.47	0.44	0.44	6254
1973-06-04	0.44	0.47	0.44	0.44	2680
1973-06-05	0.44	0.47	0.44	0.44	31269
1973-06-06	0.44	0.47	0.44	0.44	16081
1973-06-07	0.44	0.47	0.44	0.44	8041
1973-06-08	0.45	0.48	0.45	0.45	9827
1973-06-11	0.47	0.49	0.47	0.47	22335
1973-06-12	0.48	0.50	0.48	0.48	23228
1973-06-13	0.48	0.50	0.48	0.48	5360
1973-06-14	0.47	0.49	0.47	0.47	16081
1973-06-15	0.47	0.49	0.47	0.47	13401
1973-06-18	0.44	0.47	0.44	0.44	20548
1973-06-19	0.44	0.47	0.44	0.44	8041
1973-06-20	0.45	0.48	0.45	0.45	6254
1973-06-21	0.44	0.47	0.44	0.44	14294
1973-06-22	0.44	0.47	0.44	0.44	28589
1973-06-25	0.44	0.47	0.44	0.44	8041
1973-06-26	0.44	0.47	0.44	0.44	11614
1973-06-27	0.43	0.45	0.43	0.43	16081
