Date	Close	High	Low	Open	Volume
	PODD	PODD	PODD	PODD	PODD
2007-05-15	15.96	17.00	15.77	17.00	4850000
2007-05-16	15.45	15.97	15.03	15.95	357600
2007-05-17	15.13	15.59	15.05	15.29	426700
2007-05-18	15.18	15.29	15.05	15.05	140600
2007-05-21	15.63	15.63	15.10	15.23	157200
2007-05-22	15.62	15.75	15.32	15.59	141900
2007-05-23	15.25	15.75	15.05	15.75	103400
2007-05-24	15.22	15.34	14.85	15.34	199700
2007-05-25	15.17	15.23	15.10	15.23	43800
2007-05-29	15.27	15.30	15.05	15.15	138500
2007-05-30	15.10	15.14	14.99	15.00	120200
2007-05-31	14.82	15.01	14.57	14.90	151600
2007-06-01	15.00	15.04	14.80	15.00	81700
2007-06-04	15.00	15.00	14.80	14.99	100600
2007-06-05	14.76	15.03	14.62	15.00	120100
2007-06-06	14.28	14.60	14.25	14.60	88900
2007-06-07	14.00	14.36	13.88	14.03	99800
2007-06-08	14.10	14.12	13.90	13.92	61400
2007-06-11	14.49	14.72	14.10	14.14	47700
2007-06-12	14.25	14.61	14.25	14.48	39700
2007-06-13	14.25	14.50	14.24	14.26	70300
2007-06-14	14.17	14.33	14.05	14.25	60900
2007-06-15	13.91	14.16	13.91	14.16	36900
2007-06-18	13.85	14.00	13.70	13.78	40600
2007-06-19	13.84	14.11	13.63	13.70	42800
2007-06-20	14.06	14.24	13.80	14.07	108800
2007-06-21	14.12	14.50	13.96	14.40	51000
2007-06-22	13.85	14.67	13.85	13.90	752600
2007-06-25	14.06	14.24	13.90	14.24	184700
2007-06-26	13.99	14.10	13.88	14.09	83400
2007-06-27	14.21	14.24	13.87	13.89	52000
2007-06-28	14.01	14.30	13.88	14.26	235700
2007-06-29	14.20	14.28	13.94	14.17	166100
2007-07-02	14.45	14.56	14.08	14.30	82900
2007-07-03	14.50	14.54	14.05	14.05	7100
2007-07-05	14.97	15.00	14.60	15.00	41800
2007-07-06	15.05	15.09	14.85	14.86	30800
2007-07-09	14.87	14.99	14.50	14.88	10200
2007-07-10	15.01	15.05	14.70	14.70	30100
2007-07-11	14.82	15.05	14.80	14.99	13200
2007-07-12	14.93	14.97	14.89	14.94	15200
2007-07-13	14.79	15.05	14.66	15.05	14000
2007-07-16	14.04	14.83	13.88	14.83	28400
2007-07-17	13.99	14.21	13.99	14.13	15600
2007-07-18	14.00	14.06	13.84	14.00	97200
2007-07-19	14.00	14.34	13.68	14.00	156200
2007-07-20	14.01	14.07	13.91	14.00	32000
2007-07-23	13.98	14.28	13.88	14.05	12300
2007-07-24	13.68	13.97	13.28	13.77	45000
2007-07-25	14.13	14.13	13.74	13.76	61900
2007-07-26	14.57	14.70	13.86	13.86	58400
2007-07-27	14.11	14.48	13.96	14.46	72500
2007-07-30	14.00	14.19	13.94	14.04	9700
2007-07-31	14.02	14.09	13.96	14.09	19200
2007-08-01	14.21	14.21	13.85	13.98	54400
2007-08-02	14.39	14.40	13.85	14.11	15300
2007-08-03	13.97	14.23	13.89	14.00	65800
