Date	Close	High	Low	Open	Volume
	PR	PR	PR	PR	PR
2016-04-15	8.91	8.91	8.91	8.91	400
2016-04-18	8.91	8.91	8.91	8.91	0
2016-04-19	8.91	8.91	8.91	8.91	0
2016-04-20	8.91	8.91	8.91	8.91	0
2016-04-21	8.91	8.91	8.91	8.91	0
2016-04-22	8.91	8.91	8.91	8.91	0
2016-04-25	8.91	8.91	8.91	8.91	100
2016-04-26	8.91	8.91	8.91	8.91	0
2016-04-27	8.91	8.91	8.91	8.91	0
2016-04-28	8.91	8.91	8.91	8.91	0
2016-04-29	8.91	8.91	8.91	8.91	0
2016-05-02	9.00	9.00	9.00	9.00	200
2016-05-03	9.00	9.00	9.00	9.00	0
2016-05-04	9.00	9.00	9.00	9.00	0
2016-05-05	8.91	9.39	8.91	9.39	1000
2016-05-06	8.91	8.91	8.91	8.91	0
2016-05-09	8.91	8.91	8.91	8.91	0
2016-05-10	8.91	8.91	8.91	8.91	0
2016-05-11	8.91	8.91	8.91	8.91	0
2016-05-12	9.00	9.00	8.96	9.00	5000
2016-05-13	9.00	9.00	9.00	9.00	0
2016-05-16	8.95	8.97	8.95	8.97	1800
2016-05-17	8.85	8.85	8.85	8.85	2000
2016-05-18	8.85	8.85	8.85	8.85	0
2016-05-19	8.91	8.96	8.83	8.96	1600
2016-05-20	8.98	8.98	8.98	8.98	300
2016-05-23	8.93	8.93	8.86	8.86	1500
2016-05-24	8.96	8.96	8.76	8.96	2200
2016-05-25	8.96	8.96	8.96	8.96	0
2016-05-26	8.91	8.91	8.60	8.91	4300
2016-05-27	8.91	8.91	8.91	8.91	0
2016-05-31	8.95	8.96	8.89	8.96	600
2016-06-01	8.86	8.96	8.86	8.96	1100
2016-06-02	8.96	8.96	8.91	8.91	12100
2016-06-03	8.98	9.54	8.96	8.96	22600
2016-06-06	8.98	8.98	8.98	8.98	0
2016-06-07	8.96	8.96	8.96	8.96	1000
2016-06-08	8.96	8.96	8.90	8.96	1500
2016-06-09	8.96	8.96	8.96	8.96	0
2016-06-10	8.92	9.13	8.92	9.13	2200
2016-06-13	8.92	8.92	8.92	8.92	0
2016-06-14	8.90	8.91	8.90	8.91	200
2016-06-15	8.90	8.90	8.90	8.90	0
2016-06-16	9.44	9.44	9.44	9.44	400
2016-06-17	9.44	9.44	9.44	9.44	0
2016-06-20	8.82	8.82	8.82	8.82	1200
2016-06-21	8.74	8.78	8.74	8.76	17000
2016-06-22	8.86	8.86	8.86	8.86	200
2016-06-23	8.86	8.86	8.86	8.86	0
2016-06-24	8.86	8.86	8.86	8.86	0
2016-06-27	8.73	8.75	8.73	8.75	11100
2016-06-28	8.73	8.73	8.73	8.73	0
2016-06-29	8.73	8.75	8.73	8.74	1300
2016-06-30	8.73	8.76	8.73	8.76	3000
2016-07-01	8.64	8.69	8.64	8.69	1100
2016-07-05	8.75	8.79	8.69	8.69	8400
2016-07-06	8.73	8.73	8.60	8.60	25200
2016-07-07	8.73	8.73	8.73	8.73	0
2016-07-08	8.73	8.73	8.73	8.73	0
2016-07-11	8.78	8.79	8.78	8.79	300
2016-07-12	8.73	8.73	8.66	8.72	4100
2016-07-13	8.82	8.82	8.79	8.79	800
2016-07-14	8.82	9.09	8.82	8.93	21100
2016-07-15	8.78	8.78	8.78	8.78	500
2016-07-18	8.78	8.78	8.78	8.78	0
2016-07-19	9.05	9.18	8.91	8.91	129500
2016-07-20	9.09	9.19	8.93	9.08	289500
2016-07-21	9.09	9.09	9.08	9.09	2000
2016-07-22	9.43	9.80	9.27	9.80	1392100
2016-07-25	9.53	9.62	9.44	9.58	324200
2016-07-26	9.58	9.62	9.45	9.52	885200
2016-07-27	9.94	9.98	9.51	9.61	1943900
2016-07-28	9.95	10.16	9.89	10.00	743100
2016-07-29	10.02	10.10	9.86	9.94	161500
2016-08-01	10.06	10.34	9.98	10.11	206500
2016-08-02	10.06	10.08	9.89	9.98	83600
2016-08-03	10.02	10.24	9.88	10.02	214500
2016-08-04	10.18	10.38	10.08	10.15	354100
2016-08-05	10.17	10.29	10.15	10.24	72300
2016-08-08	10.17	10.30	10.14	10.20	288600
2016-08-09	10.33	10.41	10.16	10.19	660700
