Date	Close	High	Low	Open	Volume
	QXO	QXO	QXO	QXO	QXO
2012-04-17	13.44	13.44	9.41	13.44	111
2012-04-18	18.82	18.82	18.82	18.82	54
2012-04-19	18.82	18.82	18.82	18.82	0
2012-04-20	21.50	21.50	17.47	17.47	75
2012-04-23	21.50	22.85	20.16	20.16	391
2012-04-24	24.19	26.88	21.50	21.50	114
2012-04-25	24.19	25.54	24.19	25.54	63
2012-04-26	21.50	24.19	21.50	24.19	7
2012-04-27	26.88	26.88	21.50	21.50	158
2012-04-30	34.95	34.95	26.88	26.88	533
2012-05-01	34.95	68.55	28.23	28.23	54
2012-05-02	32.26	34.95	26.88	34.95	188
2012-05-03	32.26	32.26	32.26	32.26	30
2012-05-04	47.04	47.04	22.85	47.04	8
2012-05-07	53.76	53.76	32.26	47.04	1063
2012-05-08	52.42	53.76	26.88	53.76	12
2012-05-09	47.04	49.73	29.57	49.73	60
2012-05-10	47.04	47.04	47.04	47.04	0
2012-05-11	47.04	47.04	47.04	47.04	0
2012-05-14	45.70	45.70	45.70	45.70	2
2012-05-15	29.57	40.32	29.57	29.57	58
2012-05-16	29.57	29.57	29.57	29.57	21
2012-05-17	25.54	29.57	20.16	29.57	94
2012-05-18	21.50	30.91	21.50	30.91	3
2012-05-21	26.88	26.88	26.88	26.88	51
2012-05-22	30.91	30.91	22.85	22.85	22
2012-05-23	33.60	33.60	30.91	32.26	53
2012-05-24	26.88	26.88	26.88	26.88	2
2012-05-25	26.88	26.88	26.88	26.88	3
2012-05-29	29.57	29.57	29.57	29.57	2
2012-05-30	29.57	29.57	29.57	29.57	10
2012-05-31	33.60	33.60	33.60	33.60	2
2012-06-01	33.60	33.60	33.60	33.60	0
2012-06-04	29.57	29.57	29.57	29.57	6
2012-06-05	29.57	29.57	29.57	29.57	25
2012-06-06	29.57	29.57	29.57	29.57	0
2012-06-07	33.60	33.60	29.57	29.57	38
2012-06-08	33.60	43.01	33.60	43.01	19
2012-06-11	43.01	43.01	22.85	25.54	12
2012-06-12	43.01	43.01	43.01	43.01	0
2012-06-13	33.60	33.60	22.85	22.85	40
2012-06-14	28.23	33.60	26.88	33.60	30
2012-06-15	38.98	40.32	33.60	33.60	106
2012-06-18	22.85	40.32	22.85	40.32	7
2012-06-19	22.85	22.85	22.85	22.85	0
2012-06-20	38.98	38.98	25.54	25.54	3
2012-06-21	36.29	36.29	36.29	36.29	4
2012-06-22	33.60	33.60	33.60	33.60	2
2012-06-25	34.95	34.95	26.88	26.88	48
2012-06-26	26.88	26.88	26.88	26.88	8
2012-06-27	26.88	26.88	26.88	26.88	0
2012-06-28	20.16	24.19	20.16	21.50	101
2012-06-29	26.88	26.88	26.88	26.88	4
2012-07-02	26.88	26.88	26.88	26.88	2
2012-07-03	20.16	20.16	20.16	20.16	25
2012-07-05	20.16	20.16	20.16	20.16	0
2012-07-06	20.16	20.16	20.16	20.16	0
2012-07-09	20.16	20.16	20.16	20.16	0
2012-07-10	20.16	20.16	20.16	20.16	0
2012-07-11	17.47	17.47	17.47	17.47	3
2012-07-12	20.16	20.16	17.47	17.47	22
2012-07-13	22.85	22.85	22.85	22.85	4
2012-07-16	22.85	22.85	22.85	22.85	19
2012-07-17	21.50	21.50	21.50	21.50	4
2012-07-18	21.50	21.50	21.50	21.50	0
2012-07-19	30.91	33.60	14.78	33.60	16
2012-07-20	32.26	32.26	32.26	32.26	1
2012-07-23	30.91	32.26	13.44	13.44	4
2012-07-24	30.91	30.91	30.91	30.91	0
2012-07-25	30.91	30.91	30.91	30.91	0
2012-07-26	33.60	33.60	32.26	32.26	35
2012-07-27	32.26	32.26	14.78	32.26	8
2012-07-30	33.60	33.60	16.13	16.13	5
2012-07-31	33.60	33.60	33.60	33.60	0
2012-08-01	33.60	33.60	33.60	33.60	0
2012-08-02	33.60	33.60	33.60	33.60	0
2012-08-03	21.50	21.50	16.13	20.16	22
2012-08-06	21.50	21.50	21.50	21.50	0
2012-08-07	32.26	32.26	32.26	32.26	0
2012-08-08	32.26	32.26	20.16	20.16	3
2012-08-09	32.26	32.26	32.26	32.26	0
2012-08-10	32.26	32.26	32.26	32.26	13
2012-08-13	32.26	32.26	32.26	32.26	0
2012-08-14	32.26	32.26	32.26	32.26	1
2012-08-15	32.26	32.26	20.16	20.16	63
2012-08-16	20.16	20.16	20.16	20.16	46
2012-08-17	22.85	22.85	22.85	22.85	50
2012-08-20	22.85	22.85	22.85	22.85	0
2012-08-21	22.85	25.54	22.85	22.85	99
2012-08-22	22.85	22.85	22.85	22.85	0
2012-08-23	22.85	22.85	22.85	22.85	1
2012-08-24	22.85	22.85	22.85	22.85	0
2012-08-27	18.82	18.82	18.82	18.82	3
2012-08-28	18.82	18.82	18.82	18.82	30
2012-08-29	18.82	18.82	18.82	18.82	0
2012-08-30	18.82	18.82	18.82	18.82	4
2012-08-31	18.82	18.82	18.82	18.82	0
2012-09-04	18.82	18.82	18.82	18.82	0
2012-09-05	18.82	18.82	18.82	18.82	0
2012-09-06	18.82	18.82	18.82	18.82	5
2012-09-07	18.82	18.82	18.82	18.82	0
2012-09-10	18.82	18.82	18.82	18.82	0
2012-09-11	18.82	18.82	18.82	18.82	0
2012-09-12	18.82	18.82	18.82	18.82	0
2012-09-13	18.82	18.82	18.82	18.82	0
2012-09-14	24.19	25.54	24.19	25.54	13
2012-09-17	17.47	17.47	17.47	17.47	1
2012-09-18	24.19	32.26	24.19	32.26	7
2012-09-19	24.19	24.19	18.82	24.19	26
2012-09-20	32.26	32.26	20.16	20.16	53
2012-09-21	32.26	32.26	32.26	32.26	0
2012-09-24	29.57	29.57	17.47	17.47	2
2012-09-25	29.57	29.57	29.57	29.57	0
2012-09-26	29.57	29.57	29.57	29.57	0
2012-09-27	29.57	29.57	29.57	29.57	0
2012-09-28	26.88	26.88	6.72	6.72	2
2012-10-01	26.88	26.88	26.88	26.88	0
2012-10-02	26.88	26.88	26.88	26.88	0
2012-10-03	24.19	26.88	6.72	26.88	10
2012-10-04	24.19	24.19	24.19	24.19	0
2012-10-05	28.23	28.23	8.06	21.50	47
2012-10-08	26.88	26.88	14.78	14.78	47
2012-10-09	26.88	26.88	26.88	26.88	54
2012-10-10	26.88	26.88	26.88	26.88	0
2012-10-11	25.54	25.54	17.47	20.16	145
2012-10-12	25.54	25.54	25.54	25.54	0
2012-10-15	25.54	25.54	25.54	25.54	0
2012-10-16	25.54	25.54	25.54	25.54	0
2012-10-17	25.54	25.54	25.54	25.54	0
2012-10-18	25.54	25.54	25.54	25.54	0
2012-10-19	25.54	25.54	25.54	25.54	0
2012-10-22	25.54	25.54	25.54	25.54	0
2012-10-23	25.54	25.54	25.54	25.54	0
2012-10-24	25.54	25.54	25.54	25.54	0
2012-10-25	25.54	25.54	25.54	25.54	0
2012-10-26	25.54	25.54	25.54	25.54	0
2012-10-31	25.54	25.54	25.54	25.54	0
2012-11-01	22.85	22.85	22.85	22.85	1
2012-11-02	22.85	22.85	14.78	14.78	7
2012-11-05	14.78	14.78	14.78	14.78	5
2012-11-06	22.85	22.85	14.78	14.78	51
2012-11-07	22.85	22.85	9.41	16.13	45
2012-11-08	16.13	21.50	14.78	21.50	212
2012-11-09	20.16	20.16	9.41	9.41	5
2012-11-12	20.16	20.16	20.16	20.16	0
2012-11-13	18.82	18.82	9.41	9.41	29
2012-11-14	18.82	18.82	18.82	18.82	0
2012-11-15	20.16	20.16	20.16	20.16	8
2012-11-16	20.16	20.16	20.16	20.16	3
2012-11-19	20.16	20.16	9.41	12.10	28
2012-11-20	20.16	20.16	20.16	20.16	0
2012-11-21	20.16	20.16	20.16	20.16	0
2012-11-23	20.16	20.16	20.16	20.16	0
2012-11-26	20.16	20.16	20.16	20.16	0
2012-11-27	18.82	18.82	18.82	18.82	2
2012-11-28	18.82	18.82	18.82	18.82	0
