Date	Close	High	Low	Open	Volume
	RBLX	RBLX	RBLX	RBLX	RBLX
2021-03-10	69.50	74.83	60.50	64.50	97069300
2021-03-11	73.90	77.78	70.13	74.93	59629300
2021-03-12	69.70	72.96	69.11	72.47	19714700
2021-03-15	72.15	74.06	66.25	70.02	19549800
2021-03-16	77.00	78.00	73.18	73.73	30274400
2021-03-17	76.79	79.10	74.89	76.03	10054100
2021-03-18	67.30	77.00	66.80	76.00	9627400
2021-03-19	70.50	72.70	68.08	69.47	6776500
2021-03-22	70.00	72.49	69.54	71.81	4238500
2021-03-23	68.00	71.75	67.63	70.10	4456000
2021-03-24	64.50	70.00	64.01	69.97	5460000
2021-03-25	67.85	69.85	60.69	62.01	6283000
2021-03-26	70.97	71.20	64.77	67.89	4531200
2021-03-29	67.03	69.09	66.51	69.00	4351600
2021-03-30	65.17	66.99	64.47	66.98	3394500
2021-03-31	64.83	67.19	64.57	65.50	4094900
2021-04-01	67.34	69.67	65.90	66.80	4063100
2021-04-05	70.76	72.86	68.56	70.14	8609500
2021-04-06	71.32	72.39	70.76	71.24	3915500
2021-04-07	68.73	71.14	67.88	70.70	4424800
2021-04-08	70.76	71.49	68.84	69.47	4244000
2021-04-09	71.83	74.99	70.21	70.50	9245500
2021-04-12	75.00	77.00	71.51	71.82	8004100
2021-04-13	82.05	83.41	73.51	74.69	17893700
2021-04-14	75.35	80.57	74.05	79.11	14785800
2021-04-15	79.66	80.75	74.56	75.50	8841100
2021-04-16	75.85	79.36	75.12	78.00	5156200
2021-04-19	72.00	78.30	71.43	75.87	6637700
2021-04-20	69.24	71.74	67.30	71.50	8393600
2021-04-21	71.76	71.99	67.60	68.81	4525000
2021-04-22	69.85	73.79	69.10	71.50	3372200
2021-04-23	71.78	72.38	69.59	70.04	2729300
2021-04-26	74.90	75.92	71.31	72.00	4192700
2021-04-27	74.35	75.37	72.33	74.77	3200600
2021-04-28	75.64	76.93	73.64	74.77	3084300
2021-04-29	76.12	77.60	72.83	76.71	4374900
2021-04-30	74.55	76.99	73.91	74.81	2420200
2021-05-03	71.08	75.10	70.61	74.86	3212200
2021-05-04	69.62	71.69	67.66	71.00	5379900
2021-05-05	66.59	70.88	66.46	70.60	4584800
2021-05-06	65.06	67.00	63.83	66.50	6004200
2021-05-07	67.90	68.48	66.20	67.01	4808200
2021-05-10	64.00	69.29	64.00	68.84	8124100
2021-05-11	77.65	77.79	64.70	64.88	30995000
2021-05-12	75.53	76.00	71.09	74.21	20823900
2021-05-13	69.68	75.15	67.51	75.15	17769500
2021-05-14	70.95	73.43	69.25	71.20	7676300
2021-05-17	76.93	76.97	70.91	70.95	16797600
2021-05-18	74.99	77.59	73.48	76.70	11688200
2021-05-19	75.22	76.27	70.33	70.33	10886300
2021-05-20	76.33	76.91	73.01	75.72	10951000
2021-05-21	82.50	84.68	77.31	77.48	31672600
2021-05-24	89.23	89.64	82.50	82.60	23117700
2021-05-25	89.32	90.11	85.51	90.00	14314600
2021-05-26	89.71	95.00	88.75	89.95	17543500
2021-05-27	97.47	97.50	87.59	89.26	19850300
2021-05-28	93.77	98.95	92.53	96.85	13462600
2021-06-01	96.89	97.93	93.22	94.77	13632300
2021-06-02	99.86	103.29	95.39	96.88	16728900
2021-06-03	96.50	102.05	96.27	98.83	10907500
2021-06-04	99.57	103.87	98.52	100.68	14672000
2021-06-07	93.44	100.95	93.28	99.34	15214600
2021-06-08	91.41	94.22	88.89	93.61	14403900
2021-06-09	91.04	95.99	90.65	91.79	12739300
2021-06-10	91.00	91.82	86.83	91.20	12269200
2021-06-11	92.82	94.77	91.15	91.97	8673800
2021-06-14	87.80	93.26	87.57	93.26	11659500
2021-06-15	89.80	90.76	86.84	87.71	10831800
2021-06-16	82.59	86.42	79.88	82.88	43922800
2021-06-17	82.98	86.33	82.00	84.76	12307700
2021-06-18	81.14	83.40	80.08	82.97	11130600
2021-06-21	82.51	83.36	78.56	80.57	11289400
2021-06-22	82.44	83.86	80.50	83.07	10138600
2021-06-23	84.86	85.45	82.00	83.20	8015500
2021-06-24	87.34	87.70	83.36	83.50	8836200
2021-06-25	87.00	88.94	85.07	88.00	7594500
2021-06-28	93.04	94.39	86.99	86.99	14046500
2021-06-29	92.60	93.31	89.80	91.55	7806500
2021-06-30	89.98	92.90	89.91	92.56	4366900
2021-07-01	85.82	89.99	84.21	89.89	10272300
2021-07-02	86.20	87.24	84.89	87.16	5807700
2021-07-06	86.98	88.75	85.32	87.32	6301400
2021-07-07	86.40	89.35	85.65	87.85	6153000
2021-07-08	86.88	88.05	82.51	83.28	6729500
2021-07-09	86.26	87.30	85.12	87.29	3936700
2021-07-12	86.54	89.87	84.85	87.10	6762000
2021-07-13	84.02	86.45	83.15	86.34	9196200
2021-07-14	79.17	84.24	79.07	84.04	10466700
2021-07-15	77.28	80.29	75.59	79.06	10502400
2021-07-16	77.56	79.11	76.99	78.46	4641500
2021-07-19	79.24	79.98	74.78	75.85	5407200
2021-07-20	79.86	80.98	77.45	80.78	4816100
2021-07-21	79.91	80.57	78.48	79.66	4077300
2021-07-22	82.03	82.18	80.11	80.67	4362500
2021-07-23	81.83	83.25	80.35	82.32	3151300
2021-07-26	77.63	81.25	77.00	80.10	6524100
2021-07-27	76.19	78.28	71.96	77.63	12323800
2021-07-28	79.13	79.20	76.15	77.00	4977600
2021-07-29	76.85	79.19	76.73	79.15	3941200
2021-07-30	76.98	77.55	75.83	76.32	3262400
2021-08-02	78.31	79.00	76.11	77.00	3971300
2021-08-03	77.49	77.50	73.46	77.11	9686300
2021-08-04	81.65	81.93	76.55	77.04	9308900
2021-08-05	80.57	81.04	78.70	79.74	4354500
2021-08-06	77.92	82.48	77.65	79.92	4681600
2021-08-09	85.51	86.74	78.47	79.09	16103400
2021-08-10	85.08	85.67	83.10	85.44	8272900
2021-08-11	84.69	87.51	82.89	85.78	6531500
2021-08-12	82.65	84.71	81.21	84.04	3992400
2021-08-13	83.96	84.18	81.50	83.02	4218800
2021-08-16	79.57	84.19	79.14	83.70	12998900
2021-08-17	78.68	81.30	73.90	74.89	21772300
2021-08-18	83.46	84.40	79.00	79.22	13036300
2021-08-19	81.35	82.50	79.85	81.67	7561800
2021-08-20	82.77	84.56	81.13	81.13	5696800
2021-08-23	85.06	85.17	80.85	83.05	9943800
2021-08-24	89.26	89.95	85.09	85.24	12816900
2021-08-25	90.34	90.95	87.64	89.64	7444200
2021-08-26	85.81	90.38	85.75	88.65	5740900
2021-08-27	85.40	87.01	84.80	86.69	5235600
2021-08-30	81.87	84.80	80.00	84.60	9742800
2021-08-31	82.05	83.05	81.41	81.88	4759400
2021-09-01	84.45	85.33	80.91	81.05	4600500
