Date	Close	High	Low	Open	Volume
	RCI	RCI	RCI	RCI	RCI
1996-01-11	2.97	2.97	2.87	2.87	336800
1996-01-12	2.97	2.97	2.94	2.97	101200
1996-01-15	2.94	2.94	2.94	2.94	24400
1996-01-16	3.00	3.00	2.97	2.97	6000
1996-01-17	2.97	2.97	2.97	2.97	48800
1996-01-18	2.97	2.97	2.97	2.97	4000
1996-01-19	3.00	3.00	2.97	2.97	4800
1996-01-22	2.97	3.00	2.97	3.00	96400
1996-01-23	2.94	2.94	2.94	2.94	2000
1996-01-24	2.90	2.94	2.90	2.94	8400
1996-01-25	2.84	2.87	2.84	2.87	4000
1996-01-26	2.74	2.78	2.71	2.78	150400
1996-01-29	2.74	2.74	2.74	2.74	24400
1996-01-30	2.68	2.78	2.65	2.74	243000
1996-01-31	2.71	2.71	2.68	2.68	362200
1996-02-01	2.78	2.78	2.71	2.71	160000
1996-02-02	2.81	2.81	2.78	2.78	10400
1996-02-05	2.74	2.74	2.71	2.74	26000
1996-02-06	2.74	2.78	2.74	2.74	79000
1996-02-07	2.78	2.78	2.74	2.74	24200
1996-02-08	2.74	2.74	2.74	2.74	18200
1996-02-09	2.71	2.78	2.71	2.74	45400
1996-02-12	2.71	2.74	2.71	2.71	160400
1996-02-13	2.74	2.74	2.74	2.74	13000
1996-02-14	2.71	2.71	2.71	2.71	288200
1996-02-15	2.71	2.74	2.71	2.74	32200
1996-02-16	2.68	2.71	2.68	2.71	223000
1996-02-20	2.62	2.62	2.62	2.62	7400
1996-02-21	2.65	2.65	2.62	2.62	13600
1996-02-22	2.62	2.62	2.62	2.62	6000
1996-02-23	2.59	2.62	2.59	2.62	23600
1996-02-26	2.59	2.59	2.59	2.59	112200
1996-02-27	2.55	2.59	2.55	2.59	75800
1996-02-28	2.59	2.59	2.59	2.59	72200
1996-02-29	2.55	2.55	2.55	2.55	55000
1996-03-01	2.55	2.55	2.55	2.55	8000
1996-03-04	2.55	2.55	2.55	2.55	2000
1996-03-05	2.59	2.59	2.55	2.55	142800
1996-03-06	2.62	2.62	2.59	2.59	119000
1996-03-07	2.52	2.59	2.52	2.59	419200
1996-03-08	2.36	2.49	2.36	2.46	317800
1996-03-11	2.39	2.43	2.39	2.39	21800
1996-03-12	2.39	2.43	2.39	2.43	34600
1996-03-13	2.43	2.43	2.43	2.43	19200
1996-03-14	2.43	2.43	2.39	2.43	161600
1996-03-15	2.39	2.43	2.36	2.43	42400
1996-03-18	2.36	2.43	2.36	2.39	130800
1996-03-19	2.33	2.36	2.33	2.36	151000
1996-03-20	2.39	2.39	2.33	2.33	200000
1996-03-21	2.49	2.49	2.39	2.39	70200
1996-03-22	2.49	2.52	2.46	2.46	422400
1996-03-25	2.49	2.52	2.49	2.52	3200
1996-03-26	2.43	2.49	2.43	2.49	22000
1996-03-27	2.43	2.43	2.43	2.43	2800
1996-03-28	2.36	2.39	2.36	2.39	3200
1996-03-29	2.36	2.36	2.36	2.36	5000
1996-04-01	2.36	2.36	2.36	2.36	400
1996-04-02	2.49	2.49	2.39	2.39	133400
1996-04-03	2.46	2.49	2.43	2.49	36400
1996-04-04	2.46	2.46	2.39	2.46	12400
1996-04-08	2.43	2.43	2.36	2.36	46400
1996-04-09	2.46	2.46	2.43	2.43	23000
1996-04-10	2.46	2.46	2.43	2.43	8600
1996-04-11	2.43	2.46	2.43	2.46	12000
1996-04-12	2.52	2.52	2.46	2.46	22200
1996-04-15	2.46	2.49	2.46	2.49	3400
1996-04-16	2.46	2.46	2.46	2.46	0
1996-04-17	2.39	2.46	2.39	2.46	3000
1996-04-18	2.39	2.43	2.39	2.43	421000
1996-04-19	2.39	2.43	2.39	2.43	13600
1996-04-22	2.36	2.39	2.36	2.39	11000
1996-04-23	2.36	2.39	2.33	2.36	54800
1996-04-24	2.36	2.39	2.33	2.39	9000
1996-04-25	2.43	2.43	2.36	2.36	53800
1996-04-26	2.49	2.49	2.46	2.46	6800
1996-04-29	2.55	2.55	2.52	2.52	91200
1996-04-30	2.55	2.55	2.55	2.55	7200
1996-05-01	2.52	2.59	2.52	2.59	216400
1996-05-02	2.49	2.52	2.49	2.52	12200
1996-05-03	2.49	2.49	2.46	2.46	58400
