Date	Open	High	Low	Close	Volume
1993-10-29	3.63	3.65	3.63	3.63	1381000.00
1993-11-01	3.63	3.65	3.63	3.65	136800.00
1993-11-02	3.63	3.65	3.51	3.53	182600.00
1993-11-03	3.48	3.58	3.46	3.56	146300.00
1993-11-04	3.53	3.56	3.53	3.53	48300.00
1993-11-05	3.53	3.56	3.53	3.53	13900.00
1993-11-08	3.53	3.56	3.53	3.56	22800.00
1993-11-09	3.56	3.58	3.53	3.53	10600.00
1993-11-10	3.56	3.58	3.56	3.56	143900.00
1993-11-11	3.56	3.56	3.56	3.56	29800.00
1993-11-12	3.56	3.58	3.56	3.58	10500.00
1993-11-15	3.53	3.53	3.46	3.48	181600.00
1993-11-16	3.46	3.48	3.46	3.46	33400.00
1993-11-17	3.48	3.48	3.44	3.44	73900.00
1993-11-18	3.44	3.44	3.32	3.32	75900.00
1993-11-19	3.20	3.23	3.08	3.18	126700.00
1993-11-22	3.13	3.18	3.11	3.18	32100.00
1993-11-23	3.16	3.23	3.16	3.23	20300.00
1993-11-24	3.18	3.23	3.18	3.18	9800.00
1993-11-26	3.20	3.20	3.20	3.20	2500.00
1993-11-29	3.23	3.23	3.18	3.23	48100.00
1993-11-30	3.23	3.25	3.18	3.23	38500.00
1993-12-01	3.23	3.23	3.20	3.20	12700.00
1993-12-02	3.20	3.23	3.18	3.23	14800.00
1993-12-03	3.23	3.32	3.23	3.30	19600.00
1993-12-06	3.30	3.30	3.25	3.30	6000.00
1993-12-07	3.30	3.30	3.20	3.25	25100.00
1993-12-08	3.25	3.25	3.18	3.23	8500.00
1993-12-09	3.25	3.25	3.13	3.18	10600.00
1993-12-10	3.18	3.18	3.16	3.18	9500.00
1993-12-13	3.13	3.13	3.08	3.11	69000.00
1993-12-14	3.13	3.20	3.11	3.16	18000.00
1993-12-15	3.13	3.18	3.11	3.13	36100.00
1993-12-16	3.13	3.13	3.11	3.11	7900.00
1993-12-17	3.11	3.13	3.08	3.11	9600.00
1993-12-20	3.11	3.11	2.97	3.01	58500.00
1993-12-21	2.97	3.06	2.97	3.04	54400.00
1993-12-22	3.06	3.11	3.06	3.11	21800.00
1993-12-23	3.16	3.16	3.11	3.13	12200.00
1993-12-27	3.16	3.18	3.16	3.16	35500.00
1993-12-28	3.18	3.18	3.16	3.16	49500.00
1993-12-29	3.16	3.18	3.13	3.13	23600.00
1993-12-30	3.13	3.18	3.11	3.16	66700.00
1993-12-31	3.18	3.18	3.11	3.13	41100.00
1994-01-03	3.16	3.18	3.16	3.18	1900.00
1994-01-04	3.20	3.20	3.18	3.18	10100.00
1994-01-05	3.18	3.20	3.16	3.18	18500.00
1994-01-06	3.16	3.16	3.13	3.16	15100.00
1994-01-07	3.13	3.20	3.13	3.18	18000.00
1994-01-10	3.20	3.32	3.20	3.32	18600.00
1994-01-11	3.32	3.34	3.30	3.34	6300.00
1994-01-12	3.34	3.39	3.34	3.37	17700.00
1994-01-13	3.37	3.37	3.32	3.34	6000.00
1994-01-14	3.34	3.34	3.30	3.30	5600.00
1994-01-17	3.27	3.30	3.27	3.30	12600.00
1994-01-18	3.25	3.27	3.25	3.27	6300.00
1994-01-19	3.30	3.39	3.30	3.37	9900.00
1994-01-20	3.39	3.39	3.30	3.30	13000.00
1994-01-21	3.34	3.37	3.30	3.37	7200.00
1994-01-24	3.37	3.37	3.30	3.32	4900.00
1994-01-25	3.32	3.37	3.32	3.34	18900.00
1994-01-26	3.34	3.34	3.30	3.32	1300.00
1994-01-27	3.34	3.34	3.32	3.34	2800.00
1994-01-28	3.32	3.34	3.32	3.34	13000.00
1994-01-31	3.34	3.37	3.34	3.37	26300.00
1994-02-01	3.37	3.37	3.34	3.37	20400.00
1994-02-02	3.37	3.37	3.32	3.37	18400.00
1994-02-03	3.37	3.39	3.37	3.39	11000.00
1994-02-04	3.39	3.39	3.32	3.32	8500.00
1994-02-07	3.34	3.41	3.34	3.41	6800.00
1994-02-08	3.39	3.41	3.36	3.39	6400.00
1994-02-09	3.39	3.51	3.39	3.46	11700.00
1994-02-10	3.44	3.46	3.44	3.44	8200.00
1994-02-11	3.46	3.46	3.41	3.44	41900.00
1994-02-14	3.44	3.46	3.44	3.46	23300.00
1994-02-15	3.44	3.48	3.44	3.48	117300.00
1994-02-16	3.46	3.60	3.46	3.55	48000.00
1994-02-17	3.60	3.60	3.55	3.55	56500.00
1994-02-18	3.55	3.58	3.55	3.55	4500.00
1994-02-22	3.53	3.53	3.53	3.53	2000.00
1994-02-23	3.55	3.55	3.53	3.53	6000.00
1994-02-24	3.51	3.51	3.51	3.51	1500.00
1994-02-25	3.51	3.55	3.51	3.53	10200.00
1994-02-28	3.53	3.58	3.53	3.58	3900.00
1994-03-01	3.58	3.58	3.51	3.55	10500.00
1994-03-02	3.51	3.53	3.51	3.53	5100.00
1994-03-03	3.51	3.53	3.51	3.51	9100.00
1994-03-04	3.51	3.51	3.51	3.51	3700.00
