Date	Open	High	Low	Close	Volume
2008-09-12	37.48	37.71	35.23	35.95	5543600.00
2008-09-15	35.24	35.61	34.30	34.74	541000.00
2008-09-16	33.92	35.08	33.64	34.48	228900.00
2008-09-17	34.86	34.86	31.74	33.23	1120800.00
2008-09-18	33.73	34.48	32.42	34.26	480400.00
2008-09-19	36.73	36.73	34.72	36.49	1111700.00
2008-09-22	36.36	38.31	34.78	35.23	707200.00
2008-09-23	35.23	35.98	34.45	35.23	1428300.00
2008-09-24	33.99	35.60	33.85	34.49	942600.00
2008-09-25	34.48	35.20	33.98	34.75	692600.00
2008-09-26	32.79	34.95	32.79	34.43	757000.00
2008-09-29	34.03	34.20	32.20	33.99	414200.00
2008-09-30	34.07	35.61	33.47	35.55	376300.00
2008-10-01	33.86	36.36	32.98	33.77	461500.00
2008-10-02	33.55	34.48	32.24	33.76	453000.00
2008-10-03	33.73	36.73	33.73	36.36	1397900.00
2008-10-06	33.61	37.47	33.61	37.29	1712200.00
2008-10-07	36.55	37.14	35.23	35.23	1231900.00
2008-10-08	35.23	35.24	30.70	32.20	702800.00
2008-10-09	32.26	32.26	23.34	25.56	878400.00
2008-10-10	25.39	25.49	19.15	23.01	1134300.00
2008-10-13	24.90	26.16	24.55	26.16	383300.00
2008-10-14	27.64	28.49	26.80	27.78	321800.00
2008-10-15	26.54	28.13	26.16	26.16	363900.00
2008-10-16	26.24	26.80	23.47	24.74	334900.00
2008-10-17	24.74	24.84	23.65	24.06	537500.00
2008-10-20	22.49	24.54	22.49	24.54	636700.00
2008-10-21	23.99	26.13	23.84	26.13	180500.00
2008-10-22	26.11	26.11	24.44	25.60	202100.00
2008-10-23	25.60	25.61	23.42	24.03	335700.00
2008-10-24	30.82	30.82	23.24	26.23	244500.00
2008-10-27	26.01	26.09	24.52	24.71	373200.00
2008-10-28	27.74	27.75	25.79	27.41	535400.00
2008-10-29	25.14	37.48	22.65	25.01	1125300.00
2008-10-30	26.98	26.99	25.64	26.99	495400.00
2008-10-31	26.72	27.85	26.66	27.77	360900.00
2008-11-03	28.52	28.63	27.63	28.26	103600.00
2008-11-04	28.96	29.99	28.42	29.60	262000.00
2008-11-05	29.82	29.90	28.81	29.15	311900.00
2008-11-06	29.30	29.68	27.54	28.63	137000.00
2008-11-07	28.19	29.34	27.20	29.34	267300.00
2008-11-10	28.89	29.66	28.89	29.56	379200.00
2008-11-11	27.80	29.12	26.85	27.70	194200.00
2008-11-12	27.22	28.40	26.31	26.85	388700.00
2008-11-13	26.87	28.56	25.25	28.44	187900.00
2008-11-14	27.71	29.05	27.68	28.08	103800.00
2008-11-17	28.08	28.80	27.51	27.86	147500.00
2008-11-18	27.54	28.48	26.67	28.39	185000.00
2008-11-19	27.50	27.80	24.23	25.28	265600.00
2008-11-20	24.79	24.79	21.14	21.41	341600.00
2008-11-21	21.79	22.93	20.46	22.64	416000.00
2008-11-24	22.56	24.38	22.48	24.06	972800.00
2008-11-25	24.22	27.63	24.19	27.12	1645900.00
2008-11-26	26.86	30.81	25.10	28.70	406400.00
2008-11-28	28.55	30.77	27.65	30.51	596600.00
2008-12-01	29.75	33.74	27.09	27.35	2340500.00
2008-12-02	28.12	28.46	25.93	27.12	1194900.00
2008-12-03	26.73	28.10	25.57	27.94	1013800.00
2008-12-04	27.89	27.89	25.36	27.11	1055900.00
2008-12-05	26.46	28.55	26.00	28.42	697300.00
2008-12-08	28.63	29.75	27.88	28.47	997900.00
2008-12-09	27.76	29.43	26.84	28.21	677000.00
2008-12-10	28.20	29.35	27.56	28.90	735400.00
2008-12-11	28.54	29.12	27.59	28.11	1128300.00
2008-12-12	27.43	29.25	27.00	28.49	679200.00
2008-12-15	28.48	28.65	26.49	26.79	631100.00
2008-12-16	26.96	28.93	26.60	28.93	866700.00
2008-12-17	28.65	29.46	27.97	28.55	776900.00
2008-12-18	28.50	30.26	28.16	29.07	726400.00
2008-12-19	29.43	30.42	28.60	29.91	1196600.00
2008-12-22	30.20	30.72	28.95	29.52	505300.00
2008-12-23	29.35	30.08	28.72	29.45	365200.00
2008-12-24	29.31	30.72	28.80	30.57	183900.00
2008-12-26	30.81	30.81	29.39	30.09	187500.00
2008-12-29	29.93	31.14	29.83	30.88	377800.00
2008-12-30	30.38	31.83	30.38	31.73	463200.00
2008-12-31	32.18	32.31	31.35	32.17	566200.00
2009-01-02	32.17	32.28	30.66	31.51	311800.00
2009-01-05	31.38	32.36	30.48	32.19	677500.00
2009-01-06	32.29	32.32	31.34	31.61	718500.00
2009-01-07	30.93	31.64	30.31	30.33	509700.00
2009-01-08	30.35	31.14	30.29	30.58	715700.00
2009-01-09	30.58	30.62	29.84	30.07	612400.00
2009-01-12	30.05	30.66	27.91	28.40	680300.00
2009-01-13	28.48	29.10	27.46	28.65	745100.00
2009-01-14	27.83	28.63	27.83	28.06	602700.00
2009-01-15	27.45	30.28	27.45	29.62	813500.00
2009-01-16	30.18	30.81	29.19	29.78	563500.00
2009-01-20	30.20	31.32	27.73	27.79	920600.00
2009-01-21	28.34	30.41	28.01	30.41	707200.00
2009-01-22	29.56	29.81	27.64	28.60	1132400.00
2009-01-23	27.80	28.80	27.63	27.97	1038600.00
2009-01-26	28.39	29.17	27.48	28.16	747200.00
2009-01-27	26.98	27.43	26.03	26.73	1843500.00
2009-01-28	26.22	28.46	26.22	28.40	1060400.00
2009-01-29	27.88	28.11	26.82	26.91	590000.00
2009-01-30	26.88	27.97	26.45	26.77	557700.00
2009-02-02	26.20	27.88	25.77	27.73	700300.00
2009-02-03	27.65	28.17	26.99	27.02	760300.00
2009-02-04	27.03	27.32	25.86	26.05	665200.00
2009-02-05	25.83	26.42	24.86	26.05	935800.00
2009-02-06	25.98	26.57	25.22	26.44	897400.00
2009-02-09	26.69	27.22	26.01	27.02	514500.00
2009-02-10	26.90	26.90	24.89	25.04	1020100.00
2009-02-11	25.31	25.63	24.75	25.24	1076900.00
2009-02-12	24.81	26.44	24.81	26.23	1102600.00
2009-02-13	26.16	26.55	25.83	26.22	833700.00
2009-02-17	25.25	27.09	24.86	24.89	622700.00
2009-02-18	24.96	25.27	24.12	24.25	708000.00
2009-02-19	24.46	24.57	23.34	23.35	732300.00
2009-02-20	22.62	23.16	21.26	22.53	1100300.00
2009-02-23	22.68	22.76	21.04	21.12	1077300.00
2009-02-24	21.20	22.56	21.07	22.45	1321300.00
2009-02-25	22.29	22.44	20.88	21.47	649100.00
2009-02-26	21.77	22.15	20.83	21.26	669000.00
2009-02-27	21.07	21.36	19.39	20.49	916300.00
2009-03-02	19.96	20.20	19.61	20.04	1772900.00
2009-03-03	20.03	20.25	18.67	18.79	1598800.00
2009-03-04	19.01	20.13	18.58	19.64	869300.00
2009-03-05	19.52	19.52	17.35	17.56	1061900.00
2009-03-06	17.54	17.95	16.12	16.87	1582200.00
2009-03-09	16.66	17.06	16.02	16.26	874200.00
2009-03-10	16.44	18.07	16.35	18.04	1283100.00
2009-03-11	18.10	18.33	17.49	18.12	901500.00
2009-03-12	17.92	19.84	17.56	19.73	1060600.00
2009-03-13	19.52	20.54	19.52	20.38	756100.00
2009-03-16	20.63	21.71	20.31	20.73	1347800.00
2009-03-17	20.88	21.74	20.35	21.74	806500.00
2009-03-18	21.08	22.08	20.87	21.84	1574900.00
2009-03-19	21.70	22.38	21.05	21.15	1023600.00
2009-03-20	21.34	21.89	21.00	21.01	1391300.00
2009-03-23	22.00	23.06	21.58	23.06	1169700.00
2009-03-24	22.53	23.31	22.11	22.75	1339300.00
2009-03-25	23.00	24.38	22.89	24.26	1659800.00
2009-03-26	24.52	25.01	24.03	24.96	1113200.00
2009-03-27	24.93	25.53	24.35	24.77	775000.00
2009-03-30	23.99	24.19	23.28	23.43	855500.00
2009-03-31	23.66	24.59	23.55	24.40	1086300.00
2009-04-01	23.98	25.05	23.43	24.73	729000.00
2009-04-02	25.25	25.51	24.01	25.30	1061700.00
2009-04-03	25.28	25.77	24.68	25.74	649700.00
2009-04-06	25.41	26.02	25.30	25.65	535100.00
2009-04-07	25.21	26.36	24.74	24.75	651900.00
2009-04-08	25.38	26.51	24.75	25.53	687000.00
2009-04-09	26.21	26.92	25.13	26.72	1076400.00
2009-04-13	26.69	26.93	25.96	26.78	722800.00
2009-04-14	26.56	26.89	25.01	25.15	667200.00
2009-04-15	24.92	25.79	24.31	25.70	677600.00
2009-04-16	25.88	26.04	25.28	25.53	732200.00
2009-04-17	25.38	25.51	24.02	24.11	1659000.00
2009-04-20	23.31	23.62	22.15	22.20	1362200.00
2009-04-21	21.82	23.73	21.74	23.67	1235200.00
2009-04-22	23.01	23.64	22.64	22.98	937100.00
2009-04-23	23.39	23.40	22.36	23.13	746500.00
2009-04-24	23.00	23.03	21.04	22.72	1174000.00
2009-04-27	22.20	22.51	21.41	22.29	1290800.00
2009-04-28	21.65	23.88	21.28	23.01	701700.00
2009-04-29	23.36	24.10	23.17	23.97	755300.00
2009-04-30	24.14	24.48	23.76	23.94	613500.00
2009-05-01	23.51	23.90	22.94	23.06	766300.00
2009-05-04	23.51	23.55	22.61	22.92	1279800.00
2009-05-05	22.72	22.98	22.19	22.51	1255800.00
2009-05-06	23.00	24.02	22.08	23.95	1119800.00
2009-05-07	25.05	25.21	23.98	24.20	1021400.00
2009-05-08	24.64	25.95	24.06	25.90	1189800.00
2009-05-11	24.95	25.40	23.06	24.26	1131900.00
2009-05-12	24.59	25.50	24.41	25.21	1360000.00
2009-05-13	25.12	25.56	24.94	25.19	1382100.00
2009-05-14	25.19	25.87	25.16	25.56	893400.00
2009-05-15	25.49	25.96	24.90	25.25	991800.00
2009-05-18	25.73	27.15	25.49	26.93	1045500.00
2009-05-19	26.68	27.07	26.21	26.22	656500.00
2009-05-20	26.76	27.30	26.44	26.55	1017300.00
2009-05-21	26.10	26.30	25.43	25.90	753700.00
2009-05-22	25.98	26.43	25.84	26.02	529700.00
2009-05-26	25.74	26.92	25.63	26.92	764000.00
