Date	Open	High	Low	Close	Volume
2021-11-10	106.75	119.46	95.20	100.73	103679500.00
2021-11-11	114.62	125.00	108.01	122.99	83668200.00
2021-11-12	128.65	135.20	125.25	129.95	50636800.00
2021-11-15	130.80	152.53	127.51	149.36	64982300.00
2021-11-16	163.80	179.47	153.78	172.01	94036600.00
2021-11-17	160.88	163.00	140.35	146.07	71765600.00
2021-11-18	136.81	138.78	120.15	123.38	63603600.00
2021-11-19	129.98	139.90	125.60	128.60	49479400.00
2021-11-22	123.88	124.93	106.91	118.11	40993900.00
2021-11-23	117.83	124.00	113.00	119.85	24967900.00
2021-11-24	119.38	120.00	113.45	114.85	11539200.00
2021-11-26	111.00	114.50	106.14	112.13	9871200.00
2021-11-29	115.85	122.25	113.60	119.77	13923900.00
2021-11-30	119.90	121.49	114.10	119.76	20204900.00
2021-12-01	120.54	126.75	113.10	115.69	13289700.00
2021-12-02	114.17	118.45	107.75	110.77	10835500.00
2021-12-03	110.49	111.87	100.00	104.67	13819200.00
2021-12-06	106.36	117.48	100.32	116.78	19725400.00
2021-12-07	119.52	120.21	112.40	116.18	12173300.00
2021-12-08	116.22	123.40	112.82	122.12	12816000.00
2021-12-09	119.95	121.32	114.40	115.40	8474800.00
2021-12-10	115.71	118.01	110.80	114.66	8387500.00
2021-12-13	118.14	121.64	113.95	118.90	14737500.00
2021-12-14	114.77	117.90	112.71	117.14	8057700.00
2021-12-15	115.47	116.74	109.21	115.00	10828600.00
2021-12-16	116.76	117.00	107.06	108.87	13627600.00
2021-12-17	99.92	100.60	92.62	97.70	44475000.00
2021-12-20	94.80	96.40	88.40	89.98	16072700.00
2021-12-21	92.19	98.42	92.05	96.82	12915100.00
2021-12-22	96.39	98.90	93.39	96.34	8644100.00
2021-12-23	96.35	97.82	93.81	96.84	5670100.00
2021-12-27	96.90	107.49	96.80	107.09	15497000.00
2021-12-28	105.04	106.00	101.00	102.87	8821300.00
2021-12-29	101.19	102.58	96.62	99.34	8754900.00
2021-12-30	98.85	105.29	98.66	103.42	10874700.00
2021-12-31	102.44	106.12	102.28	103.69	5814900.00
2022-01-03	106.14	106.55	100.25	102.72	8346800.00
2022-01-04	102.99	106.80	99.01	101.39	12152200.00
2022-01-05	98.32	99.21	89.28	90.01	18645100.00
2022-01-06	91.88	92.03	75.13	87.33	39827100.00
2022-01-07	87.02	89.27	81.62	86.28	17515900.00
2022-01-10	83.52	83.75	77.65	81.44	17289800.00
2022-01-11	78.94	86.58	78.12	83.55	19970600.00
2022-01-12	84.90	88.07	82.63	86.48	14422800.00
2022-01-13	86.94	86.94	79.89	80.31	13677500.00
2022-01-14	79.57	81.69	77.01	79.95	15838000.00
2022-01-18	77.53	77.84	72.86	73.16	16803700.00
2022-01-19	74.82	76.32	68.95	69.40	15068400.00
2022-01-20	70.86	72.08	64.81	65.02	18642700.00
2022-01-21	63.87	67.16	60.51	64.51	19344700.00
2022-01-24	60.11	64.30	55.10	63.90	24115900.00
2022-01-25	61.10	61.93	58.00	59.61	16557200.00
2022-01-26	62.35	68.07	59.01	60.27	23694100.00
2022-01-27	61.33	61.70	53.33	53.94	23416400.00
2022-01-28	53.60	57.30	50.00	57.12	23965100.00
2022-01-31	58.65	65.93	57.92	65.74	18684900.00
2022-02-01	67.28	71.46	62.35	69.62	24476500.00
2022-02-02	69.39	69.90	63.55	64.32	15610300.00
2022-02-03	60.83	63.92	59.00	60.36	19776300.00
2022-02-04	62.06	62.78	59.11	60.87	14588500.00
2022-02-07	60.88	63.83	57.52	58.36	14782000.00
2022-02-08	58.08	61.54	56.44	60.95	12079200.00
2022-02-09	61.86	65.12	60.75	64.53	13343700.00
2022-02-10	61.46	68.98	60.66	64.72	17665400.00
2022-02-11	64.50	66.40	57.70	58.85	15293400.00
2022-02-14	60.36	66.40	59.90	62.65	26874500.00
2022-02-15	65.80	67.18	63.88	66.29	16267400.00
2022-02-16	65.37	66.43	63.34	66.25	12768300.00
2022-02-17	64.68	71.50	64.13	64.74	22387700.00
2022-02-18	65.77	66.90	63.01	66.37	14965900.00
2022-02-22	65.25	69.10	59.76	62.39	22737000.00
2022-02-23	63.43	63.50	57.05	57.53	22637000.00
2022-02-24	54.24	64.43	53.50	63.71	24082200.00
2022-02-25	63.35	63.99	60.81	63.43	13455200.00
2022-02-28	63.49	68.15	62.40	67.56	19270200.00
2022-03-01	65.43	66.54	60.80	61.91	17204100.00
2022-03-02	59.13	59.14	53.30	53.56	36559800.00
2022-03-03	54.36	56.00	50.02	50.91	28535500.00
2022-03-04	51.01	51.41	46.66	47.39	24392200.00
2022-03-07	48.00	49.44	42.28	42.43	22985200.00
2022-03-08	41.89	45.06	39.86	42.21	25165000.00
2022-03-09	43.39	46.25	42.69	43.95	15784700.00
2022-03-10	44.10	44.19	39.77	41.16	31481100.00
2022-03-11	38.32	41.00	37.50	38.05	42597900.00
2022-03-14	37.74	37.74	34.90	35.83	20756400.00
2022-03-15	35.67	37.32	33.46	37.00	19671300.00
2022-03-16	38.50	42.10	37.65	41.58	23752200.00
2022-03-17	40.84	42.75	38.52	42.13	17167200.00
2022-03-18	42.61	45.70	42.33	45.60	19770600.00
2022-03-21	45.64	46.55	42.31	43.56	13227000.00
2022-03-22	43.65	48.30	43.13	46.93	13110500.00
2022-03-23	46.47	48.00	44.63	45.87	12025100.00
2022-03-24	46.25	48.70	44.60	48.66	12804900.00
2022-03-25	48.87	49.10	45.23	46.16	10825100.00
2022-03-28	46.83	48.17	44.00	45.98	11018400.00
2022-03-29	47.36	54.83	46.61	53.88	26325300.00
2022-03-30	52.74	56.76	51.81	52.01	20271700.00
2022-03-31	51.90	51.93	49.55	50.24	12740900.00
2022-04-01	50.18	50.26	46.21	46.44	15244400.00
2022-04-04	46.80	47.69	45.65	46.53	15532900.00
2022-04-05	46.53	46.88	41.89	42.19	19576500.00
2022-04-06	43.30	43.35	39.57	40.10	22212700.00
2022-04-07	40.36	40.50	37.60	39.98	19428600.00
2022-04-08	39.49	41.04	38.31	38.80	10675700.00
2022-04-11	37.84	41.94	37.15	39.50	14206700.00
2022-04-12	40.23	41.99	37.67	38.15	14264500.00
2022-04-13	38.31	41.27	37.31	41.15	14068100.00
2022-04-14	40.25	41.90	40.21	40.59	9206100.00
2022-04-18	40.02	40.64	37.32	38.23	12841600.00
2022-04-19	38.19	39.77	36.66	39.15	11382200.00
2022-04-20	38.97	39.45	36.12	36.23	12648500.00
2022-04-21	37.19	37.99	33.38	33.76	21534500.00
2022-04-22	33.78	34.67	32.40	33.61	12670200.00
2022-04-25	33.37	34.85	33.05	33.90	12433700.00
2022-04-26	33.51	33.80	30.58	30.68	18830000.00
2022-04-27	31.92	32.83	30.75	31.22	15143700.00
2022-04-28	31.57	32.33	29.44	32.18	17179300.00
2022-04-29	32.27	33.78	30.10	30.24	12877400.00
2022-05-02	29.94	31.88	29.32	31.74	13888900.00
2022-05-03	31.45	33.63	31.12	31.99	14738500.00
2022-05-04	31.60	34.28	30.55	33.92	16040800.00
2022-05-05	33.05	33.27	30.08	30.71	15878300.00
2022-05-06	30.87	31.05	28.71	28.79	20691000.00
2022-05-09	25.00	25.83	22.45	22.78	84388400.00
2022-05-10	23.87	24.40	21.00	22.79	33317000.00
2022-05-11	22.91	23.50	19.25	20.60	53073500.00
2022-05-12	22.19	26.70	21.68	24.30	73921500.00
2022-05-13	26.97	27.98	26.17	26.70	42674900.00
2022-05-16	26.47	27.00	24.33	24.86	32135000.00
2022-05-17	25.85	27.87	25.72	27.49	26958800.00
2022-05-18	27.17	29.22	26.31	27.29	26828100.00
2022-05-19	27.83	30.41	27.45	29.61	29571900.00
2022-05-20	30.30	30.65	27.28	28.92	22757600.00
2022-05-23	28.61	28.61	26.70	27.99	21521800.00
2022-05-24	27.39	27.50	25.54	26.53	19068400.00
2022-05-25	26.39	27.73	25.72	27.25	15742100.00
2022-05-26	27.23	29.92	27.08	29.23	14536300.00
2022-05-27	29.59	31.82	29.58	30.96	17473200.00
2022-05-31	32.35	32.60	30.09	31.40	21305700.00
2022-06-01	31.65	32.22	29.95	30.25	13533300.00
2022-06-02	29.39	32.79	29.16	31.94	15150700.00
2022-06-03	30.85	31.46	29.88	30.19	13756000.00
2022-06-06	30.85	31.00	28.67	28.98	14661700.00
2022-06-07	28.60	29.76	27.40	29.72	17555100.00
2022-06-08	29.69	31.42	29.63	29.80	12660200.00
2022-06-09	29.50	30.21	28.73	28.87	10777800.00
2022-06-10	28.33	29.64	27.71	28.36	14376000.00
2022-06-13	27.16	27.87	26.37	26.81	19542300.00
