Date	Open	High	Low	Close	Volume
2020-11-24	9.75	9.75	9.74	9.74	900.00
2020-11-25	9.74	9.74	9.74	9.74	100.00
2020-11-27	9.80	9.82	9.80	9.82	4500.00
2020-11-30	9.82	10.80	9.72	9.95	53300.00
2020-12-01	9.87	9.97	9.87	9.97	2000.00
2020-12-02	10.11	10.11	9.97	10.05	78500.00
2020-12-03	10.05	10.05	10.05	10.05	1200.00
2020-12-04	10.04	10.19	9.99	10.06	84100.00
2020-12-07	10.10	10.25	10.05	10.20	187700.00
2020-12-08	10.12	10.20	9.90	10.19	14300.00
2020-12-09	10.21	11.39	10.20	10.30	213500.00
2020-12-10	10.18	10.25	10.16	10.25	268400.00
2020-12-11	10.35	11.04	10.13	10.35	269400.00
2020-12-14	10.49	11.04	10.14	10.30	62800.00
2020-12-15	10.22	10.46	10.00	10.34	101200.00
2020-12-16	10.50	10.57	10.25	10.44	4400.00
2020-12-17	10.27	10.50	10.20	10.30	8200.00
2020-12-18	10.20	10.34	10.15	10.34	28000.00
2020-12-21	10.20	10.33	10.20	10.23	411000.00
2020-12-22	10.25	10.28	10.15	10.24	41900.00
2020-12-23	10.10	10.33	10.10	10.25	69500.00
2020-12-24	10.35	10.50	10.29	10.30	3100.00
2020-12-28	10.41	10.45	10.32	10.32	280200.00
2020-12-29	10.38	10.60	9.97	10.29	96100.00
2020-12-30	10.44	10.69	10.29	10.42	356200.00
2020-12-31	10.68	10.68	10.11	10.11	131100.00
2021-01-04	10.30	10.65	10.22	10.30	57600.00
2021-01-05	10.44	10.60	10.35	10.35	16200.00
2021-01-06	10.45	10.45	10.22	10.38	6200.00
2021-01-07	10.42	10.42	10.38	10.41	600.00
2021-01-08	10.35	10.42	10.30	10.42	4100.00
2021-01-11	10.45	10.45	10.30	10.40	3900.00
2021-01-12	10.48	10.67	10.27	10.31	199600.00
2021-01-13	10.60	10.60	10.27	10.52	419400.00
2021-01-14	10.33	10.60	10.31	10.50	156700.00
2021-01-15	10.45	10.48	10.25	10.35	543800.00
2021-01-19	10.49	10.49	10.34	10.40	364100.00
2021-01-20	10.33	10.49	10.33	10.43	54300.00
2021-01-21	10.49	10.59	10.34	10.42	16900.00
2021-01-22	10.51	10.68	10.46	10.50	82200.00
2021-01-25	10.59	10.72	10.43	10.46	101700.00
2021-01-26	10.47	10.57	10.35	10.45	281600.00
2021-01-27	10.30	10.38	10.20	10.30	336900.00
2021-01-28	10.40	10.42	10.30	10.39	316700.00
2021-01-29	10.35	10.39	10.30	10.38	57200.00
2021-02-01	10.38	10.44	10.32	10.35	49900.00
2021-02-02	10.37	10.50	10.36	10.50	50600.00
2021-02-03	10.51	10.63	10.46	10.62	74300.00
2021-02-04	10.59	10.75	10.45	10.51	73100.00
2021-02-05	10.47	10.54	10.46	10.52	48200.00
2021-02-08	10.51	10.53	10.45	10.45	67600.00
2021-02-09	10.50	10.50	10.37	10.39	53500.00
2021-02-10	10.45	10.45	10.35	10.43	91900.00
2021-02-11	10.45	11.21	10.40	10.52	373100.00
2021-02-12	10.50	10.56	10.41	10.46	283600.00
2021-02-16	10.49	10.55	10.41	10.48	111300.00
2021-02-17	10.60	10.80	10.50	10.76	209900.00
2021-02-18	10.75	10.99	10.63	10.98	287100.00
2021-02-19	10.75	10.98	10.73	10.80	165900.00
2021-02-22	10.75	10.79	10.60	10.70	220500.00
2021-02-23	10.56	10.56	10.05	10.45	162600.00
2021-02-24	10.45	10.66	10.33	10.44	104000.00
2021-02-25	10.51	10.58	10.20	10.32	130800.00
2021-02-26	10.41	10.52	10.22	10.25	150000.00
2021-03-01	13.45	15.15	12.71	13.95	40481700.00
2021-03-02	14.50	15.15	13.01	13.14	10932300.00
2021-03-03	13.80	14.10	12.50	12.59	5236700.00
2021-03-04	12.50	12.63	11.06	11.33	6856200.00
2021-03-05	12.20	12.55	11.30	12.50	3702600.00
2021-03-08	13.03	13.20	11.91	12.00	2489200.00
2021-03-09	12.50	12.70	12.06	12.29	1773500.00
2021-03-10	12.55	12.96	11.80	12.41	2066300.00
2021-03-11	12.81	12.81	12.12	12.41	1985600.00
2021-03-12	12.30	12.45	12.04	12.22	1250000.00
2021-03-15	12.44	12.58	12.08	12.31	1102500.00
2021-03-16	12.35	12.40	11.55	11.87	1552700.00
2021-03-17	11.70	12.18	11.50	11.99	1239800.00
2021-03-18	11.85	12.04	11.31	11.47	1408800.00
2021-03-19	11.51	12.06	11.29	11.60	856600.00
2021-03-22	12.25	13.17	12.01	12.51	2589400.00
2021-03-23	12.77	12.95	11.91	12.08	1878400.00
2021-03-24	12.35	12.39	11.30	11.35	1909900.00
2021-03-25	11.13	11.89	10.80	11.89	3111900.00
2021-03-26	12.18	12.19	11.36	11.68	1194100.00
2021-03-29	12.10	12.60	11.71	11.85	1571100.00
2021-03-30	11.71	11.79	11.35	11.40	961600.00
2021-03-31	11.47	11.87	11.44	11.84	764600.00
2021-04-01	11.95	11.99	11.23	11.48	1147000.00
2021-04-05	11.79	11.79	10.92	11.03	1442600.00
2021-04-06	11.09	11.09	10.89	10.99	717800.00
2021-04-07	11.00	11.32	10.60	10.78	1214200.00
2021-04-08	10.79	11.13	10.68	11.11	1018900.00
2021-04-09	11.15	11.25	10.90	11.10	791000.00
2021-04-12	11.00	11.16	10.70	10.84	676500.00
2021-04-13	10.79	10.87	10.60	10.81	719200.00
2021-04-14	11.21	11.21	10.64	10.74	731500.00
2021-04-15	10.86	10.86	10.50	10.53	996600.00
2021-04-16	10.55	11.11	10.27	10.90	1087300.00
2021-04-19	11.06	11.06	10.40	10.74	890200.00
2021-04-20	10.49	10.79	10.27	10.55	882000.00
2021-04-21	10.50	10.79	10.37	10.55	353600.00
2021-04-22	10.65	10.69	10.45	10.56	612900.00
2021-04-23	10.69	10.85	10.49	10.75	696000.00
2021-04-26	10.80	10.80	10.65	10.70	551800.00
2021-04-27	10.75	10.82	10.61	10.68	316100.00
2021-04-28	10.70	10.71	10.50	10.52	551200.00
