Date	Close	High	Low	Open	Volume
	RKT	RKT	RKT	RKT	RKT
2020-08-06	18.07	19.12	14.70	15.12	111631600
2020-08-07	20.92	22.56	19.04	20.80	89903400
2020-08-10	18.21	20.80	17.96	20.37	26126800
2020-08-11	17.29	18.15	16.84	17.73	18118200
2020-08-12	16.80	17.80	16.17	17.35	17365100
2020-08-13	15.75	16.47	15.38	16.13	19121400
2020-08-14	15.93	17.22	15.70	17.06	34817500
2020-08-17	16.00	16.33	15.80	16.29	8908400
2020-08-18	16.92	17.48	16.05	16.49	16284100
2020-08-19	17.98	18.20	16.80	16.87	16762500
2020-08-20	19.99	20.54	18.65	18.90	35029100
2020-08-21	21.75	22.85	20.52	20.78	39128700
2020-08-24	24.46	25.17	23.40	24.20	41478400
2020-08-25	24.04	24.72	22.78	24.62	36330700
2020-08-26	22.95	23.93	22.27	23.26	21137500
2020-08-27	22.77	24.34	22.43	22.95	17824100
2020-08-28	23.88	24.35	22.83	23.11	16363200
2020-08-31	23.53	24.90	22.48	24.64	24922600
2020-09-01	25.80	26.05	23.36	23.69	30720700
2020-09-02	26.31	28.92	25.72	28.52	62243000
2020-09-03	22.27	24.49	21.68	23.54	41944500
2020-09-04	20.64	22.69	18.96	22.53	32980800
2020-09-08	19.11	20.81	18.95	19.34	16893800
2020-09-09	19.65	20.98	19.54	20.06	15817000
2020-09-10	19.45	20.58	19.38	19.94	10147900
2020-09-11	19.11	19.74	18.80	19.59	8176800
2020-09-14	19.91	20.29	19.26	19.27	8672100
2020-09-15	19.63	20.67	19.54	20.29	7339200
2020-09-16	19.09	19.78	19.04	19.45	8880600
2020-09-17	18.96	19.78	18.25	18.48	7994800
2020-09-18	18.71	19.36	18.64	19.08	14445200
2020-09-21	18.00	18.56	17.74	18.06	8183400
2020-09-22	18.12	18.54	17.80	18.17	7409700
2020-09-23	17.06	18.67	16.96	18.19	11701000
2020-09-24	16.85	17.48	16.28	16.80	11048700
2020-09-25	17.24	17.80	16.81	17.10	8393000
2020-09-28	17.37	17.64	17.02	17.49	6690800
2020-09-29	16.86	17.38	16.72	17.22	7073100
2020-09-30	16.75	17.10	16.67	16.83	6718300
2020-10-01	19.04	19.27	16.72	16.78	27027300
2020-10-02	19.33	19.41	17.85	17.96	17008700
2020-10-05	18.96	19.66	18.59	19.33	12424600
2020-10-06	18.25	19.22	17.98	18.96	8084000
2020-10-07	18.23	18.59	18.08	18.48	5506700
2020-10-08	19.10	19.65	18.20	18.34	13169200
2020-10-09	19.29	20.16	18.99	19.90	16426700
2020-10-12	19.44	19.73	18.70	19.13	12646900
2020-10-13	19.81	20.11	19.28	19.38	13230100
2020-10-14	19.12	20.16	19.06	20.16	8827200
2020-10-15	18.78	19.17	18.41	18.71	5943000
2020-10-16	18.41	19.19	18.33	18.90	6171500
2020-10-19	17.43	18.59	17.42	18.49	7174600
2020-10-20	17.27	17.66	17.01	17.64	6737100
2020-10-21	16.81	17.32	16.75	17.21	7742600
2020-10-22	17.01	17.25	16.61	16.90	8436700
2020-10-23	17.28	17.70	16.76	17.09	8703500
2020-10-26	16.70	17.30	16.56	16.97	7427800
2020-10-27	16.90	17.41	16.52	16.76	9098500
2020-10-28	15.67	16.70	15.65	16.55	12631600
2020-10-29	15.88	16.12	15.61	15.85	7277800
2020-10-30	15.32	15.86	14.94	15.74	9368800
2020-11-02	15.91	16.06	15.29	15.46	6602200
2020-11-03	16.28	16.80	16.08	16.12	9316300
2020-11-04	17.33	17.73	16.85	16.88	9510300
2020-11-05	17.60	18.12	17.40	17.84	8553800
2020-11-06	17.91	18.06	17.32	17.64	8208900
2020-11-09	18.02	18.83	16.99	18.64	18543700
2020-11-10	18.15	18.73	17.48	18.12	22762600
2020-11-11	17.70	18.24	17.27	18.15	20671500
2020-11-12	18.31	18.50	17.70	17.78	19326100
2020-11-13	18.36	18.75	18.09	18.52	10777600
2020-11-16	19.03	19.11	18.41	18.42	15321800
