Date	Close	High	Low	Open	Volume
	RL	RL	RL	RL	RL
1997-06-12	23.67	24.80	23.20	24.14	19963800
1997-06-13	24.33	24.70	23.86	23.86	3661100
1997-06-16	23.20	24.42	23.01	24.23	2481700
1997-06-17	22.35	22.73	21.88	22.64	2283800
1997-06-18	21.32	22.35	21.13	22.35	1749900
1997-06-19	22.07	22.26	21.23	21.42	1269900
1997-06-20	22.17	22.73	22.07	22.17	859100
1997-06-23	21.23	22.45	21.13	22.45	725000
1997-06-24	21.70	22.26	20.38	21.42	1212100
1997-06-25	21.56	21.88	21.13	21.88	726600
1997-06-26	21.23	21.42	20.76	21.13	534500
1997-06-27	20.48	21.32	20.43	21.13	441500
1997-06-30	20.57	20.76	19.72	20.38	796900
1997-07-01	20.24	20.52	19.91	20.48	621300
1997-07-02	20.90	20.99	20.01	20.24	818700
1997-07-03	21.09	21.18	20.10	20.71	696800
1997-07-07	20.38	21.51	20.29	21.42	1180500
1997-07-08	20.80	20.80	20.38	20.48	595000
1997-07-09	20.01	20.80	19.82	20.80	958000
1997-07-10	19.16	19.77	18.88	19.72	1069200
1997-07-11	19.49	19.63	19.07	19.25	674600
1997-07-14	19.30	19.72	19.11	19.68	471200
1997-07-15	19.11	19.21	18.79	19.02	513000
1997-07-16	17.89	19.21	17.85	19.21	899600
1997-07-17	19.58	19.72	17.99	18.03	1286200
1997-07-18	19.44	19.91	19.02	19.63	346200
1997-07-21	19.02	19.40	18.79	19.40	216600
1997-07-22	19.25	19.44	18.88	18.88	351200
1997-07-23	18.79	19.63	18.79	19.25	507100
1997-07-24	18.50	19.35	18.22	18.79	412800
1997-07-25	18.50	18.79	18.17	18.69	253000
1997-07-28	18.97	19.11	18.32	18.69	953700
1997-07-29	20.05	20.05	19.16	19.16	1028100
1997-07-30	20.85	20.99	20.05	20.15	801700
1997-07-31	20.15	21.04	20.05	20.95	458400
1997-08-01	20.01	20.29	19.72	19.77	250100
1997-08-04	20.76	20.95	19.72	19.82	629700
1997-08-05	20.34	21.37	19.91	21.13	1157400
1997-08-06	19.91	20.38	19.72	20.34	350500
1997-08-07	19.35	20.05	19.35	19.91	456200
1997-08-08	18.97	19.30	18.60	19.16	576100
1997-08-11	18.60	19.07	18.41	19.07	370400
1997-08-12	18.27	19.11	18.27	18.79	910300
1997-08-13	18.32	18.93	17.89	18.41	416500
1997-08-14	18.03	18.60	17.99	18.50	309000
1997-08-15	17.33	18.03	17.19	18.03	1385300
1997-08-18	17.66	17.80	17.24	17.71	551500
1997-08-19	18.22	18.22	17.56	17.56	380800
1997-08-20	19.25	19.25	18.55	18.69	621500
1997-08-21	18.60	19.21	18.41	19.07	479600
1997-08-22	18.41	18.50	18.03	18.13	408100
1997-08-25	18.27	18.83	18.17	18.79	230200
1997-08-26	18.55	18.74	18.13	18.22	296300
1997-08-27	18.41	18.79	18.22	18.74	619500
1997-08-28	19.02	19.07	18.32	18.41	492400
1997-08-29	19.72	20.19	18.97	19.02	686100
1997-09-02	19.72	19.87	19.16	19.82	414700
1997-09-03	19.58	19.82	19.54	19.72	265000
1997-09-04	19.35	19.77	19.16	19.54	237400
1997-09-05	19.44	19.87	19.21	19.72	151100
1997-09-08	19.07	19.54	19.02	19.35	91200
1997-09-09	18.69	19.16	18.50	18.97	318400
1997-09-10	18.22	18.69	18.17	18.69	365900
1997-09-11	18.22	18.60	18.03	18.03	721200
1997-09-12	18.36	18.50	18.03	18.32	234000
1997-09-15	18.93	19.44	18.41	18.55	855800
1997-09-16	19.16	19.49	18.97	19.25	384100
1997-09-17	19.87	19.87	19.25	19.35	922000
1997-09-18	19.58	20.34	19.54	20.15	1183200
1997-09-19	20.01	20.05	19.11	19.44	430300
1997-09-22	20.76	20.85	19.63	19.91	754400
1997-09-23	20.52	20.76	20.19	20.71	507200
1997-09-24	19.63	20.29	19.54	20.29	827400
1997-09-25	19.02	19.72	18.69	19.44	1051200
1997-09-26	19.63	20.29	19.49	20.10	1082500
1997-09-29	19.72	20.19	19.54	19.54	406300
1997-09-30	19.68	19.77	19.54	19.77	276700
1997-10-01	20.29	20.66	20.01	20.57	1058000
1997-10-02	20.01	20.38	20.01	20.29	486200
1997-10-03	19.91	20.38	19.72	20.01	904600
1997-10-06	20.01	20.15	19.54	19.91	451000
1997-10-07	19.68	19.91	19.44	19.91	418800
1997-10-08	19.11	19.49	19.02	19.49	444200
1997-10-09	19.54	19.63	18.79	18.93	337600
1997-10-10	19.54	19.87	19.25	19.35	268400
1997-10-13	19.72	19.91	19.54	19.82	233300
1997-10-14	19.58	19.82	19.35	19.72	230300
1997-10-15	19.30	19.58	19.16	19.40	223500
1997-10-16	18.88	19.54	18.69	19.49	319300
1997-10-17	18.64	18.97	18.41	18.97	236200
1997-10-20	18.55	18.60	18.22	18.46	153100
1997-10-21	19.11	19.25	18.60	18.64	306500
1997-10-22	19.49	19.49	18.79	19.11	255200
1997-10-23	19.63	19.91	18.60	18.60	626800
1997-10-24	20.19	20.48	19.91	20.29	814000
1997-10-27	18.41	19.72	18.41	19.58	395900
1997-10-28	19.16	19.25	17.14	17.38	1014000
1997-10-29	18.97	19.72	18.88	19.35	612200
1997-10-30	18.88	18.97	17.94	17.94	405100
1997-10-31	19.54	19.87	19.02	19.02	461600
1997-11-03	20.48	20.48	19.96	20.05	607400
1997-11-04	21.04	21.18	20.10	20.95	1999800
1997-11-05	21.18	21.23	20.43	21.04	704900
1997-11-06	20.71	21.18	20.34	21.18	310200
1997-11-07	20.15	20.29	19.82	20.05	186600
1997-11-10	19.82	20.62	19.77	20.43	172600
1997-11-11	19.44	20.05	19.35	19.77	156900
1997-11-12	19.16	19.49	18.93	19.16	152700
1997-11-13	20.38	20.43	19.07	19.16	411000
1997-11-14	20.71	20.76	20.29	20.29	277200
1997-11-17	20.66	21.23	20.66	21.09	400100
1997-11-18	20.76	21.04	20.52	21.04	452300
1997-11-19	21.32	21.70	20.66	20.76	488800
1997-11-20	21.60	22.35	21.42	21.42	792400
1997-11-21	21.27	21.93	20.85	21.79	225500
1997-11-24	20.57	21.04	20.24	20.85	240400
1997-11-25	20.57	20.62	20.01	20.38	175500
