Date	Open	High	Low	Close	Volume
1998-07-01	10.65	10.83	10.52	10.76	20818650.00
1998-07-02	10.78	10.86	10.76	10.83	3037200.00
1998-07-06	10.83	10.97	10.76	10.91	1737750.00
1998-07-07	10.97	10.97	10.76	10.76	1077000.00
1998-07-08	10.81	10.86	10.76	10.83	1180500.00
1998-07-09	10.81	10.94	10.76	10.91	1443900.00
1998-07-10	10.97	11.15	10.89	10.89	1117350.00
1998-07-13	10.86	10.89	10.76	10.86	790800.00
1998-07-14	10.86	10.91	10.78	10.78	1276350.00
1998-07-15	10.76	10.97	10.76	10.97	863400.00
1998-07-16	10.86	10.94	10.76	10.83	1084500.00
1998-07-17	10.76	11.02	10.70	10.97	1201650.00
1998-07-20	10.97	11.55	10.97	11.55	995550.00
1998-07-21	11.55	11.57	11.07	11.20	784650.00
1998-07-22	11.07	11.18	10.73	10.81	1497900.00
1998-07-23	10.86	10.89	10.44	10.76	1248300.00
1998-07-24	10.86	10.99	10.81	10.97	1009800.00
1998-07-27	10.97	11.10	10.86	10.91	843600.00
1998-07-28	10.94	10.99	10.54	10.54	2081850.00
1998-07-29	10.54	10.65	10.33	10.39	1331400.00
1998-07-30	10.47	10.54	10.33	10.54	1982400.00
1998-07-31	10.54	10.81	10.49	10.54	1093650.00
1998-08-03	10.54	10.54	10.25	10.28	1009050.00
1998-08-04	10.25	10.25	9.65	9.70	1245900.00
1998-08-05	9.60	9.75	9.25	9.25	654150.00
1998-08-06	9.31	9.36	9.23	9.23	589200.00
1998-08-07	9.28	9.54	9.23	9.33	1100250.00
1998-08-10	9.33	10.10	9.28	9.75	321750.00
1998-08-11	9.60	9.60	9.28	9.28	334050.00
1998-08-12	9.60	9.60	9.25	9.28	513600.00
1998-08-13	9.28	9.31	9.17	9.17	969000.00
1998-08-14	9.49	9.49	9.25	9.28	229350.00
1998-08-17	9.38	9.44	9.28	9.28	319950.00
1998-08-18	9.28	9.31	9.23	9.28	211950.00
1998-08-19	9.33	9.38	9.25	9.25	97800.00
1998-08-20	9.36	9.44	9.25	9.28	378750.00
1998-08-21	9.23	9.23	8.49	8.65	514050.00
1998-08-24	8.70	8.86	8.70	8.73	274050.00
1998-08-25	8.83	9.15	8.75	8.78	280950.00
1998-08-26	8.75	8.86	8.70	8.83	63600.00
1998-08-27	8.75	8.75	7.96	7.96	367200.00
1998-08-28	8.01	8.33	7.06	7.12	671250.00
1998-08-31	7.28	7.49	6.64	6.80	2184900.00
1998-09-01	6.80	7.06	6.70	6.85	931500.00
1998-09-02	6.85	6.91	6.59	6.70	238800.00
1998-09-03	6.67	6.70	5.69	6.70	2830200.00
1998-09-04	6.70	6.83	6.43	6.70	182700.00
1998-09-08	6.96	7.17	6.96	7.06	617100.00
1998-09-09	7.06	7.06	6.80	6.80	258300.00
1998-09-10	6.75	6.75	6.22	6.25	134400.00
1998-09-11	6.25	6.43	6.22	6.30	492150.00
1998-09-14	6.54	6.54	6.30	6.30	515850.00
1998-09-15	6.30	6.33	5.80	5.80	655950.00
1998-09-16	5.91	6.22	5.64	6.12	1600200.00
1998-09-17	6.01	6.56	5.91	6.41	260100.00
1998-09-18	6.41	6.56	6.27	6.43	454500.00
1998-09-21	6.22	6.48	6.22	6.46	898050.00
1998-09-22	6.56	7.70	6.56	7.28	436800.00
1998-09-23	7.70	9.02	7.70	8.41	828000.00
1998-09-24	8.44	8.91	8.22	8.22	578100.00
1998-09-25	8.12	8.59	8.01	8.30	540150.00
1998-09-28	9.02	9.07	8.38	8.38	432000.00
1998-09-29	8.28	8.33	7.75	8.12	791100.00
1998-09-30	8.22	8.30	8.15	8.22	294150.00
1998-10-01	8.12	8.41	8.07	8.38	135300.00
1998-10-02	8.38	8.38	8.01	8.01	1446900.00
1998-10-05	7.91	8.22	7.59	8.20	256800.00
1998-10-06	8.25	8.28	7.62	7.99	1069050.00
1998-10-07	7.88	8.01	6.33	6.43	492300.00
1998-10-08	6.27	6.43	5.91	6.12	1061550.00
1998-10-09	6.33	7.01	6.27	6.91	301500.00
1998-10-12	7.17	7.43	7.01	7.14	298200.00
1998-10-13	7.14	7.28	6.75	6.96	465450.00
1998-10-14	6.85	6.96	6.85	6.85	114900.00
1998-10-15	6.85	6.91	6.64	6.83	529650.00
1998-10-16	6.75	6.80	6.70	6.75	977100.00
1998-10-19	6.72	7.17	6.70	7.06	1027500.00
1998-10-20	7.14	7.22	7.04	7.06	643350.00
1998-10-21	7.06	7.20	6.99	6.99	353700.00
1998-10-22	7.06	7.28	6.96	7.17	538800.00
1998-10-23	7.22	7.30	7.12	7.20	156150.00
1998-10-26	7.25	7.25	6.96	7.01	353400.00
1998-10-27	7.04	7.09	6.99	7.04	396300.00
1998-10-28	7.04	7.17	6.96	7.17	378600.00
1998-10-29	7.49	8.33	7.49	7.96	947400.00
1998-10-30	8.22	9.33	8.07	9.23	1109400.00
1998-11-02	9.25	9.36	8.57	9.36	311250.00
1998-11-03	9.36	9.78	9.31	9.70	596550.00
1998-11-04	9.70	10.36	9.65	10.12	888450.00
1998-11-05	9.91	9.99	9.65	9.81	849150.00
1998-11-06	9.81	9.86	8.91	9.12	1016400.00
1998-11-09	9.02	9.07	8.44	8.70	533700.00
1998-11-10	8.65	8.70	8.12	8.28	935250.00
1998-11-11	8.38	8.54	8.30	8.36	783300.00
1998-11-12	8.41	8.41	8.15	8.30	640050.00
1998-11-13	8.33	8.59	8.28	8.46	1158000.00
1998-11-16	8.46	8.59	8.38	8.49	335700.00
1998-11-17	8.44	8.46	8.30	8.30	258900.00
1998-11-18	8.30	8.30	7.86	8.07	330900.00
1998-11-19	8.01	8.12	7.80	7.86	439650.00
1998-11-20	7.91	7.96	7.86	7.91	618150.00
1998-11-23	7.91	8.20	7.70	7.70	1323150.00
1998-11-24	7.80	8.33	7.80	7.99	1233600.00
1998-11-25	7.99	7.99	7.51	7.64	342000.00
1998-11-27	7.75	7.91	7.75	7.91	82050.00
1998-11-30	7.86	7.91	7.72	7.86	402000.00
1998-12-01	7.86	7.96	7.80	7.83	486600.00
1998-12-02	7.93	8.07	7.83	7.86	671550.00
1998-12-03	7.91	7.91	7.75	7.75	549000.00
1998-12-04	7.80	7.80	7.59	7.62	214050.00
1998-12-07	7.67	7.70	7.62	7.64	401100.00
1998-12-08	7.64	7.70	7.28	7.43	655950.00
1998-12-09	7.46	7.49	6.75	7.22	2083200.00
1998-12-10	7.33	7.38	6.80	6.80	770550.00
1998-12-11	6.80	7.20	6.75	7.12	1138500.00
1998-12-14	7.09	7.30	7.01	7.04	1167900.00
1998-12-15	7.12	7.30	7.12	7.30	292800.00
1998-12-16	7.38	7.70	7.38	7.59	574500.00
1998-12-17	7.57	7.62	7.17	7.28	934650.00
1998-12-18	7.28	7.43	7.20	7.20	514500.00
1998-12-21	7.20	7.25	6.80	6.99	794400.00
1998-12-22	6.96	7.14	6.59	6.75	1037100.00
1998-12-23	6.80	6.83	6.54	6.80	1295850.00
1998-12-24	6.80	6.96	6.75	6.91	427950.00
1998-12-28	6.88	6.93	6.75	6.88	419250.00
1998-12-29	6.93	7.28	6.93	7.22	693600.00
1998-12-30	7.28	7.86	7.28	7.80	1011000.00
1998-12-31	7.80	7.83	7.70	7.78	218850.00
1999-01-04	7.88	8.22	7.83	8.09	451500.00
1999-01-05	8.17	8.22	7.96	8.01	1211250.00
1999-01-06	7.91	8.12	7.91	7.96	1173450.00
1999-01-07	7.91	7.96	7.80	7.96	169500.00
1999-01-08	8.01	8.01	7.96	7.99	459300.00
1999-01-11	7.99	8.07	7.83	7.96	931650.00
1999-01-12	7.93	7.99	7.72	7.78	1659600.00
1999-01-13	7.59	7.70	7.43	7.67	666750.00
1999-01-14	7.70	7.70	7.59	7.70	112350.00
1999-01-15	7.70	7.70	7.57	7.67	577950.00
1999-01-19	7.86	7.99	7.70	7.99	449700.00
1999-01-20	7.99	7.99	7.80	7.88	422400.00
1999-01-21	7.86	7.88	7.67	7.88	1717350.00
1999-01-22	7.86	7.96	7.70	7.91	972900.00
1999-01-25	7.91	8.01	7.88	8.01	571950.00
1999-01-26	8.01	8.22	7.88	8.15	1427550.00
1999-01-27	8.44	8.75	8.38	8.75	1247850.00
1999-01-28	8.78	9.04	8.70	8.86	1088550.00
1999-01-29	8.80	8.86	8.59	8.70	261600.00
1999-02-01	8.70	8.80	8.70	8.73	236400.00
1999-02-02	8.73	8.80	8.62	8.80	173700.00
1999-02-03	8.75	9.02	8.65	9.02	423900.00
1999-02-04	8.91	9.36	8.80	9.07	250050.00
1999-02-05	8.86	8.94	8.59	8.59	320250.00
1999-02-08	8.62	8.70	8.54	8.62	117300.00
1999-02-09	8.57	8.65	8.49	8.51	268650.00
1999-02-10	8.44	8.44	7.59	7.78	675450.00
1999-02-11	7.80	8.01	7.75	8.01	469950.00
1999-02-12	8.01	8.01	7.80	7.96	714450.00
1999-02-16	7.99	7.99	7.64	7.70	369000.00
1999-02-17	7.62	7.75	7.54	7.57	158850.00
1999-02-18	7.51	7.78	7.51	7.57	172050.00
1999-02-19	7.51	7.57	6.96	7.17	1425150.00
1999-02-22	7.14	7.14	6.80	6.83	653400.00
1999-02-23	6.83	6.83	6.51	6.54	1666650.00
1999-02-24	6.64	7.17	6.64	6.96	1024050.00
1999-02-25	7.06	7.14	7.01	7.12	363300.00
1999-02-26	7.09	7.38	7.06	7.35	204750.00
1999-03-01	7.17	7.38	7.14	7.38	571650.00
1999-03-02	7.22	7.22	7.06	7.14	103350.00
1999-03-03	6.64	7.06	6.64	7.04	588450.00
1999-03-04	7.04	7.12	6.75	6.75	217350.00
1999-03-05	6.85	7.04	6.83	6.83	1198650.00
1999-03-08	6.93	7.01	6.88	6.93	1569300.00
1999-03-09	6.99	7.01	6.85	6.85	127350.00
1999-03-10	6.88	6.96	6.83	6.91	315000.00
1999-03-11	6.96	7.01	6.85	6.88	185400.00
1999-03-12	6.85	6.88	6.75	6.75	289050.00
1999-03-15	6.75	6.77	6.35	6.35	616050.00
1999-03-16	6.33	6.33	6.20	6.22	849900.00
1999-03-17	6.22	6.51	6.19	6.46	1947750.00
1999-03-18	6.46	6.72	6.43	6.56	1065450.00
1999-03-19	6.51	6.59	6.43	6.48	342300.00
1999-03-22	6.48	6.51	6.35	6.35	773250.00
1999-03-23	6.38	6.41	6.12	6.22	1235100.00
1999-03-24	6.20	6.27	6.06	6.17	696450.00
1999-03-25	6.25	6.43	6.25	6.35	716100.00
1999-03-26	6.33	6.33	6.25	6.27	628650.00
1999-03-29	6.25	6.33	6.20	6.25	961650.00
1999-03-30	6.30	6.41	6.25	6.30	903300.00
1999-03-31	6.35	6.83	6.30	6.83	555750.00
1999-04-01	6.83	7.06	6.64	6.64	339450.00
1999-04-05	6.70	7.06	6.70	6.83	340200.00
1999-04-06	6.88	6.93	6.75	6.77	582750.00
1999-04-07	6.80	7.06	6.72	6.72	1347450.00
1999-04-08	6.70	6.77	6.64	6.75	718500.00
1999-04-09	6.64	6.99	6.64	6.96	1087950.00
1999-04-12	6.85	6.88	6.72	6.80	493650.00
1999-04-13	6.80	6.99	6.80	6.88	388500.00
1999-04-14	6.88	7.59	6.88	7.54	873900.00
1999-04-15	7.59	7.78	7.38	7.78	740700.00
1999-04-16	7.78	8.46	7.72	8.46	698100.00
1999-04-19	8.86	8.91	8.59	8.70	1149750.00
1999-04-20	8.86	8.91	8.67	8.67	1355850.00
1999-04-21	8.67	8.67	7.96	8.22	734700.00
1999-04-22	8.22	8.25	8.12	8.22	383550.00
1999-04-23	8.20	8.28	7.59	7.99	1258050.00
1999-04-26	7.91	7.93	7.64	7.64	797250.00
1999-04-27	7.59	7.59	7.01	7.12	2241600.00
1999-04-28	7.28	8.20	7.28	8.01	27162000.00
1999-04-29	8.22	8.86	7.93	8.44	11148900.00
1999-04-30	8.62	8.67	8.38	8.67	5546550.00
1999-05-03	8.73	9.52	8.73	9.33	3499800.00
1999-05-04	9.23	9.25	8.54	8.54	3147450.00
1999-05-05	8.96	9.17	8.54	9.09	2013150.00
1999-05-06	8.99	9.04	8.78	8.86	2134950.00
