Date	Close	High	Low	Open	Volume
	RUT	RUT	RUT	RUT	RUT
2016-01-28	0.41	0.41	0.41	0.41	0
2016-01-29	0.39	0.39	0.39	0.39	0
2016-02-01	0.35	0.35	0.35	0.35	0
2016-02-02	0.35	0.35	0.35	0.35	0
2016-02-03	0.36	0.36	0.36	0.36	0
2016-02-04	0.37	0.37	0.37	0.37	0
2016-02-05	0.37	0.37	0.37	0.37	0
2016-02-08	0.37	0.37	0.37	0.37	0
2016-02-09	0.37	0.37	0.37	0.37	0
2016-02-10	0.41	0.41	0.41	0.41	0
2016-02-11	0.45	0.45	0.45	0.45	0
2016-02-12	0.45	0.45	0.45	0.45	0
2016-02-16	0.46	0.46	0.46	0.46	0
2016-02-17	0.51	0.51	0.51	0.51	0
2016-02-18	0.53	0.53	0.53	0.53	0
2016-02-19	0.60	0.60	0.60	0.60	0
2016-02-22	0.68	0.68	0.63	0.63	750
2016-02-23	0.63	0.63	0.63	0.63	0
2016-03-03	0.56	0.56	0.56	0.56	0
2016-03-04	0.56	0.56	0.56	0.56	0
2016-03-07	0.56	0.56	0.56	0.56	0
2016-03-08	0.92	0.92	0.92	0.92	0
2016-03-09	0.78	0.78	0.78	0.78	0
2016-03-10	0.76	0.76	0.76	0.76	0
2016-03-11	0.69	0.69	0.69	0.69	0
2016-03-23	0.70	0.70	0.70	0.70	0
2016-06-06	1.26	1.26	1.26	1.26	100
2016-06-10	1.25	1.25	1.25	1.25	0
2016-06-13	1.25	1.25	1.25	1.25	0
2016-06-14	1.25	1.25	1.25	1.25	0
2016-06-15	1.25	1.25	1.25	1.25	0
2016-06-16	1.25	1.25	1.25	1.25	0
2016-06-17	1.25	1.25	1.25	1.25	0
2016-06-20	1.25	1.25	1.25	1.25	0
2016-06-21	1.25	1.25	1.25	1.25	0
2016-06-22	1.25	1.25	1.25	1.25	0
2016-06-23	1.25	1.25	1.25	1.25	0
2016-06-24	1.19	1.19	1.19	1.19	0
2016-07-20	1.05	1.05	1.05	1.05	5000
2016-07-21	1.12	1.12	1.12	1.12	0
2016-07-22	1.16	1.16	1.16	1.16	500
2016-08-03	1.42	1.42	1.42	1.42	0
2016-08-19	1.51	1.51	1.51	1.51	0
2016-08-22	1.49	1.49	1.49	1.49	1000
2016-08-23	1.50	1.50	1.50	1.50	0
2016-08-24	1.55	1.55	1.55	1.55	0
2016-09-06	1.67	1.67	1.62	1.65	1700
2016-09-07	1.64	1.64	1.64	1.64	150
2016-09-08	1.64	1.64	1.64	1.64	0
2016-09-09	1.64	1.64	1.64	1.64	0
2016-09-12	1.54	1.54	1.54	1.54	0
2016-09-13	1.54	1.54	1.54	1.54	0
2016-09-14	1.45	1.45	1.45	1.45	0
2016-09-15	1.45	1.45	1.45	1.45	0
2016-09-16	1.52	1.52	1.52	1.52	0
2016-09-19	1.53	1.53	1.53	1.53	0
2016-09-20	1.55	1.55	1.55	1.55	0
2016-09-21	1.55	1.55	1.55	1.55	0
2016-09-22	1.53	1.53	1.53	1.53	0
2016-09-23	1.55	1.55	1.55	1.55	0
2016-09-26	1.55	1.55	1.55	1.55	0
2016-09-27	1.57	1.57	1.55	1.55	2000
2016-09-28	1.53	1.53	1.53	1.53	0
2016-09-29	1.57	1.57	1.57	1.57	0
2016-09-30	1.57	1.57	1.57	1.57	0
2016-10-13	1.39	1.39	1.39	1.39	0
2016-10-14	1.28	1.28	1.28	1.28	0
2016-11-09	1.21	1.21	1.21	1.21	0
2016-11-10	1.21	1.21	1.21	1.21	0
2016-11-11	1.46	1.46	1.46	1.46	0
2016-11-14	1.61	1.61	1.50	1.50	4000
2016-12-14	1.45	1.46	1.43	1.43	3000
2016-12-15	1.48	1.48	1.48	1.48	0
2016-12-16	1.42	1.42	1.42	1.42	0
2016-12-19	1.48	1.48	1.48	1.48	0
2016-12-20	1.40	1.40	1.40	1.40	0
2016-12-21	1.45	1.45	1.45	1.45	0
2016-12-22	1.43	1.43	1.43	1.43	0
2016-12-23	1.37	1.37	1.37	1.37	0
2016-12-27	1.37	1.37	1.37	1.37	0
2016-12-28	1.32	1.32	1.32	1.32	0
2016-12-29	1.51	1.51	1.51	1.51	0
2016-12-30	1.57	1.57	1.57	1.57	0
2017-01-03	1.58	1.58	1.58	1.58	0
2017-01-04	1.58	1.58	1.58	1.58	0
2017-01-05	1.66	1.66	1.66	1.66	0
2017-01-06	1.59	1.59	1.59	1.59	100
2017-01-09	1.59	1.59	1.59	1.59	0
2017-01-10	1.58	1.58	1.58	1.58	0
2017-01-11	1.52	1.52	1.52	1.52	0
2017-01-23	1.48	1.48	1.48	1.48	0
2017-01-24	1.46	1.46	1.42	1.42	3500
2017-01-25	1.41	1.41	1.41	1.41	0
2017-01-26	1.43	1.43	1.43	1.43	0
2017-01-27	1.48	1.48	1.48	1.48	0
2017-01-30	1.48	1.48	1.48	1.48	0
2017-01-31	1.62	1.62	1.62	1.62	0
2017-02-01	1.62	1.62	1.62	1.62	0
2017-02-02	1.62	1.62	1.62	1.62	0
2017-02-03	1.62	1.62	1.62	1.62	0
2017-02-06	1.62	1.62	1.62	1.62	0
2017-02-07	1.61	1.61	1.61	1.61	1000
2017-02-08	1.57	1.57	1.57	1.57	0
2017-02-09	1.53	1.53	1.53	1.53	0
2017-02-10	1.53	1.53	1.53	1.53	0
2017-03-10	1.14	1.14	1.14	1.14	0
2017-03-13	1.09	1.09	1.09	1.09	0
