Date	Open	High	Low	Close	Volume
1995-09-18	9.38	9.38	9.38	9.38	1200.00
1995-09-19	9.47	9.47	9.47	9.47	12000.00
1995-09-20	9.64	9.64	9.64	9.64	7600.00
1995-09-21	9.73	9.73	9.73	9.73	43200.00
1995-09-22	9.11	9.11	9.11	9.11	49600.00
1995-09-25	9.55	9.55	9.55	9.55	7200.00
1995-09-26	9.91	9.91	9.91	9.91	8800.00
1995-09-27	9.91	9.91	9.91	9.91	0.00
1995-09-28	9.69	9.69	9.69	9.69	2800.00
1995-09-29	9.73	9.73	9.73	9.73	13600.00
1995-10-02	9.73	9.73	9.73	9.73	75600.00
1995-10-03	9.69	9.69	9.69	9.69	3600.00
1995-10-04	9.91	9.91	9.91	9.91	80400.00
1995-10-05	9.55	9.55	9.55	9.55	400.00
1995-10-06	9.38	9.38	9.38	9.38	1200.00
1995-10-09	9.47	9.47	9.47	9.47	4800.00
1995-10-10	8.89	8.89	8.89	8.89	10800.00
1995-10-11	8.98	8.98	8.98	8.98	2800.00
1995-10-12	9.11	9.11	9.11	9.11	2800.00
1995-10-13	9.55	9.55	9.55	9.55	16800.00
1995-10-16	9.47	9.47	9.47	9.47	3600.00
1995-10-17	9.55	9.55	9.55	9.55	101200.00
1995-10-18	8.67	8.67	8.67	8.67	465600.00
1995-10-19	8.76	8.76	8.76	8.76	22800.00
1995-10-20	8.76	8.76	8.76	8.76	10800.00
1995-10-23	8.63	8.63	8.63	8.63	5200.00
1995-10-24	8.67	8.67	8.67	8.67	6400.00
1995-10-25	8.94	8.94	8.94	8.94	5200.00
1995-10-26	8.76	8.76	8.76	8.76	30000.00
1995-10-27	8.49	8.49	8.49	8.49	25600.00
1995-10-30	8.94	8.94	8.94	8.94	2800.00
1995-10-31	9.16	9.16	9.16	9.16	22800.00
1995-11-01	9.02	9.02	9.02	9.02	7200.00
1995-11-02	9.02	9.02	9.02	9.02	98400.00
1995-11-03	9.20	9.20	9.20	9.20	68400.00
1995-11-06	9.33	9.33	9.33	9.33	10000.00
1995-11-07	9.55	9.55	9.55	9.55	4800.00
1995-11-08	9.58	9.58	9.58	9.58	2400.00
1995-11-09	9.47	9.47	9.47	9.47	22000.00
1995-11-10	9.33	9.33	9.33	9.33	34800.00
1995-11-13	9.47	9.47	9.47	9.47	7200.00
1995-11-14	9.47	9.47	9.47	9.47	13600.00
1995-11-15	9.69	9.69	9.69	9.69	73200.00
1995-11-16	9.55	9.55	9.55	9.55	16800.00
1995-11-17	9.73	9.73	9.73	9.73	1200.00
1995-11-20	9.55	9.55	9.55	9.55	44400.00
1995-11-21	9.58	9.58	9.58	9.58	20800.00
1995-11-22	9.47	9.47	9.47	9.47	45600.00
