Date	Open	High	Low	Close	Volume
2010-02-11	69688.99	69913.15	66886.95	67257.68	5.00
2010-02-12	69283.77	69809.69	67878.44	68499.20	4.00
2010-02-16	66714.52	66766.26	64309.08	64550.49	6.00
2010-02-17	63998.69	64179.75	63352.07	63671.07	6.00
2010-02-18	63921.09	63921.09	61903.62	62024.32	23.00
2010-02-19	62472.65	62877.87	61188.02	61851.89	55.00
2010-02-22	61188.03	62265.74	61188.03	62179.52	9.00
2010-02-23	62403.67	63964.20	61610.48	63912.46	33.00
2010-02-24	63265.85	63610.72	61834.66	62205.39	47.00
2010-02-25	65016.04	65421.26	63015.81	63015.81	44.00
2010-02-26	62903.73	63929.71	62533.00	63015.81	35.00
2010-03-01	62257.12	62481.28	61420.81	61636.36	20.00
2010-03-02	61213.89	61722.57	60739.70	61670.84	27.00
2010-03-03	61119.05	61955.36	60524.15	61696.70	17.00
2010-03-04	61334.58	61558.75	60782.80	60825.91	12.00
2010-03-05	60351.71	60351.71	58618.75	58696.35	80.00
2010-03-08	58679.11	58937.77	58679.11	58920.52	8.00
2010-03-09	58972.26	59032.62	58110.10	58661.88	21.00
2010-03-10	58498.06	58980.88	58110.09	58549.80	19.00
2010-03-11	58808.45	59394.72	57773.85	57773.85	25.00
2010-03-12	57049.61	57972.13	57049.61	57566.91	43.00
2010-03-15	57696.24	58230.79	57239.29	57265.16	13.00
2010-03-16	56997.88	57532.43	56420.23	56420.23	30.00
2010-03-17	56135.72	56135.72	55256.31	55851.21	17.00
2010-03-18	55618.42	55678.78	54997.66	55075.26	18.00
2010-03-19	55687.39	56239.19	54471.74	55687.39	36.00
2010-03-22	56247.80	56325.40	54652.79	54851.09	32.00
2010-03-23	54635.56	54842.48	53342.31	53411.29	34.00
2010-03-24	53816.49	54247.58	53445.76	54092.39	17.00
2010-03-25	53118.14	54109.63	52419.78	54006.17	31.00
2010-03-26	53713.03	54299.31	53092.27	53842.36	19.00
2010-03-29	53359.55	53419.90	52997.44	53169.87	20.00
2010-03-30	53212.98	53471.63	51333.45	53118.14	13.00
2010-03-31	53359.54	54040.66	53144.00	53807.87	32.00
2010-04-01	52712.92	53557.84	52290.46	52678.43	19.00
2010-04-05	52255.97	52695.68	51842.13	52031.81	13.00
2010-04-06	52488.76	52609.46	51842.13	52092.16	38.00
2010-04-07	52445.64	53609.57	52083.53	53057.78	20.00
2010-04-08	53523.36	53773.39	52264.59	52531.87	18.00
2010-04-09	52290.46	52419.78	51557.61	51583.48	17.00
2010-04-12	51342.07	51583.48	51100.66	51548.99	12.00
2010-04-13	51609.35	52247.35	51048.94	51298.97	13.00
2010-04-14	50747.18	50781.67	49790.17	49841.90	23.00
2010-04-15	50014.33	50048.82	49359.09	49497.04	30.00
2010-04-16	49764.31	51730.05	49574.63	51135.16	45.00
2010-04-19	51600.72	51730.05	50152.28	50178.14	26.00
2010-04-20	49721.19	50221.25	49479.79	49902.25	18.00
2010-04-21	49816.03	50367.82	49359.08	49764.30	25.00
2010-04-22	50635.09	51117.91	49359.08	49548.76	23.00
2010-04-23	49643.60	49798.79	48643.49	48652.11	31.00
2010-04-26	48264.14	48557.27	47988.24	48557.27	13.00
2010-04-27	48928.01	51540.37	47815.81	51359.32	45.00
2010-04-28	50678.20	51652.45	50195.39	50678.20	42.00
2010-04-29	49945.36	49945.36	48540.03	48996.98	21.00
2010-04-30	48738.33	51066.18	48290.00	50979.96	53.00
2010-05-03	50160.90	50264.36	48669.35	48996.98	23.00
2010-05-04	50376.45	52359.43	50376.45	51962.84	54.00
