Date	Close	High	Low	Open	Volume
	SHOP	SHOP	SHOP	SHOP	SHOP
2015-05-20	1.70	1.70	1.70	1.70	0
2015-05-21	2.57	2.87	2.41	2.80	123039000
2015-05-22	2.83	3.11	2.60	2.61	28412000
2015-05-26	2.96	3.03	2.91	2.98	8202000
2015-05-27	2.75	3.08	2.70	3.07	7976000
2015-05-28	2.74	2.77	2.65	2.76	4000000
2015-05-29	2.72	2.74	2.69	2.72	2554000
2015-06-01	2.73	2.74	2.66	2.72	2569000
2015-06-02	2.69	2.75	2.66	2.75	3798000
2015-06-03	2.74	2.75	2.65	2.68	3024000
2015-06-04	2.68	2.75	2.55	2.74	3226000
2015-06-05	2.74	2.74	2.61	2.67	1294000
2015-06-08	2.70	2.75	2.68	2.69	2809000
2015-06-09	2.83	2.85	2.66	2.66	3375000
2015-06-10	2.81	2.89	2.80	2.85	2734000
2015-06-11	3.07	3.07	2.85	2.85	4606000
2015-06-12	3.36	3.37	3.12	3.13	8474000
2015-06-15	3.55	3.81	3.29	3.40	16943000
2015-06-16	3.81	3.84	3.58	3.61	11095000
2015-06-17	3.86	4.21	3.80	3.96	15952000
2015-06-18	3.56	3.89	3.43	3.84	11482000
2015-06-19	3.55	3.67	3.26	3.63	9797000
2015-06-22	3.69	3.85	3.61	3.68	7922000
2015-06-23	3.54	3.81	3.52	3.78	2939000
2015-06-24	3.60	3.74	3.41	3.51	5644000
2015-06-25	3.48	3.65	3.48	3.63	2082000
2015-06-26	3.35	3.53	3.26	3.49	3465000
2015-06-29	3.13	3.35	3.12	3.25	3155000
2015-06-30	3.39	3.44	3.15	3.15	4733000
2015-07-01	3.11	3.50	2.99	3.40	10126000
2015-07-02	3.13	3.17	3.06	3.15	3032000
2015-07-06	3.05	3.17	3.04	3.11	1493000
2015-07-07	3.08	3.08	2.85	3.05	3489000
2015-07-08	2.92	3.04	2.90	3.00	1869000
2015-07-09	2.91	3.04	2.88	2.97	2491000
2015-07-10	2.96	3.03	2.91	2.93	2805000
2015-07-13	3.04	3.10	2.98	2.98	2201000
2015-07-14	3.09	3.13	3.05	3.08	1455000
2015-07-15	2.93	3.10	2.89	3.09	3570000
2015-07-16	2.94	2.99	2.89	2.91	1482000
2015-07-17	3.23	3.23	2.91	2.93	16198000
2015-07-20	3.38	3.39	3.16	3.24	4140000
2015-07-21	3.32	3.47	3.21	3.39	4148000
2015-07-22	3.21	3.35	3.14	3.30	2556000
2015-07-23	3.31	3.44	3.26	3.26	2655000
2015-07-24	3.36	3.47	3.32	3.35	3577000
2015-07-27	3.29	3.39	3.20	3.34	2005000
2015-07-28	3.41	3.45	3.28	3.35	1746000
2015-07-29	3.42	3.48	3.32	3.41	2008000
2015-07-30	3.81	4.03	3.70	3.87	11622000
2015-07-31	3.74	3.83	3.63	3.81	5258000
2015-08-03	4.04	4.05	3.66	3.75	5351000
2015-08-04	3.84	4.11	3.81	4.01	5725000
2015-08-05	3.85	4.00	3.82	3.90	2911000
2015-08-06	3.63	3.88	3.52	3.84	3827000
2015-08-07	3.52	3.63	3.42	3.63	3215000
2015-08-10	3.35	3.61	3.29	3.53	4799000
2015-08-11	3.51	3.56	3.30	3.37	2693000
2015-08-12	3.47	3.52	3.38	3.48	2369000
2015-08-13	3.53	3.65	3.45	3.48	2259000
2015-08-14	3.46	3.58	3.41	3.50	1437000
2015-08-17	3.44	3.50	3.33	3.48	1623000
2015-08-18	3.26	3.42	3.25	3.42	1870000
2015-08-19	3.11	3.25	3.06	3.24	4447000
2015-08-20	2.92	3.11	2.91	3.08	2696000
2015-08-21	2.78	3.00	2.73	2.88	4042000
2015-08-24	2.63	2.85	2.27	2.55	4271000
2015-08-25	2.69	2.98	2.68	2.83	3043000
2015-08-26	2.82	2.86	2.63	2.85	3901000
2015-08-27	2.85	2.96	2.78	2.89	2682000
2015-08-28	2.80	2.90	2.77	2.84	1370000
2015-08-31	2.75	2.88	2.71	2.81	1305000
2015-09-01	2.66	2.73	2.64	2.73	1301000
2015-09-02	2.67	2.75	2.61	2.67	1670000
2015-09-03	2.71	2.80	2.65	2.66	1325000
2015-09-04	2.68	2.72	2.64	2.70	1291000
2015-09-08	2.71	2.76	2.67	2.70	1074000
2015-09-09	2.60	2.85	2.59	2.79	3204000
2015-09-10	2.58	2.65	2.56	2.61	1391000
2015-09-11	2.64	2.65	2.56	2.56	1874000
2015-09-14	2.72	2.73	2.60	2.63	2209000
2015-09-15	2.81	2.85	2.71	2.71	2511000
2015-09-16	2.89	2.93	2.80	2.81	1331000
2015-09-17	3.56	3.80	2.98	2.99	21123000
2015-09-18	3.57	3.75	3.45	3.57	7867000
2015-09-21	3.48	3.70	3.47	3.57	3935000
2015-09-22	3.37	3.45	3.28	3.45	3327000
2015-09-23	3.35	3.47	3.28	3.35	3400000
2015-09-24	3.35	3.41	3.21	3.30	2446000
2015-09-25	3.39	3.56	3.31	3.38	3552000
