Date	Open	High	Low	Close	Volume
1981-12-31	5.03	5.05	5.00	5.04	449200.00
1982-01-04	4.96	5.04	4.87	4.94	630400.00
1982-01-05	4.78	4.86	4.69	4.69	1076800.00
1982-01-06	4.64	4.68	4.60	4.64	1560400.00
1982-01-07	4.59	4.67	4.51	4.55	1303600.00
1982-01-08	4.62	4.66	4.58	4.61	991200.00
1982-01-11	4.54	4.67	4.42	4.44	1479600.00
1982-01-12	4.51	4.58	4.43	4.57	1089600.00
1982-01-13	4.57	4.71	4.41	4.46	1231200.00
1982-01-14	4.52	4.57	4.46	4.57	1068400.00
1982-01-15	4.58	4.60	4.54	4.58	724400.00
1982-01-18	4.54	4.61	4.47	4.61	897600.00
1982-01-19	4.54	4.61	4.47	4.47	722000.00
1982-01-20	4.41	4.49	4.32	4.40	1852800.00
1982-01-21	4.37	4.44	4.31	4.35	1187200.00
1982-01-22	4.33	4.38	4.26	4.26	868000.00
1982-01-25	4.36	4.50	4.22	4.50	1900800.00
1982-01-26	4.46	4.52	4.40	4.40	1143200.00
1982-01-27	4.50	4.58	4.42	4.52	1310800.00
1982-01-28	4.64	4.72	4.55	4.71	1169200.00
1982-01-29	4.85	4.90	4.79	4.87	2861600.00
1982-02-01	4.67	4.77	4.57	4.59	1345200.00
1982-02-02	4.61	4.66	4.55	4.60	1434400.00
1982-02-03	4.51	4.64	4.37	4.41	1294800.00
1982-02-04	4.44	4.51	4.37	4.51	1818000.00
1982-02-05	4.57	4.64	4.47	4.55	1472000.00
1982-02-08	4.41	4.49	4.33	4.34	1396400.00
1982-02-09	4.36	4.44	4.28	4.38	1279200.00
1982-02-10	4.46	4.53	4.38	4.42	1146000.00
1982-02-11	4.36	4.44	4.28	4.31	1359200.00
1982-02-12	4.34	4.37	4.29	4.33	1182800.00
1982-02-16	4.36	4.49	4.24	4.49	1678400.00
1982-02-17	4.45	4.49	4.41	4.42	1125200.00
1982-02-18	4.44	4.49	4.40	4.45	765200.00
1982-02-19	4.43	4.47	4.37	4.41	774800.00
1982-02-22	4.34	4.47	4.20	4.22	1422000.00
1982-02-23	4.22	4.29	4.13	4.24	1600800.00
1982-02-24	4.35	4.45	4.25	4.43	1030000.00
1982-02-25	4.36	4.43	4.28	4.36	789200.00
1982-02-26	4.34	4.37	4.29	4.32	640000.00
1982-03-01	4.26	4.34	4.17	4.24	977600.00
1982-03-02	4.13	4.27	3.98	3.99	1373200.00
1982-03-03	3.85	3.90	3.81	3.88	2811200.00
1982-03-04	3.85	3.95	3.76	3.88	4486800.00
1982-03-05	3.85	3.91	3.80	3.89	2571200.00
1982-03-08	3.79	3.96	3.61	3.63	2307600.00
1982-03-09	3.83	3.99	3.66	3.84	2858800.00
1982-03-10	3.92	4.03	3.81	3.94	1601600.00
1982-03-11	3.92	3.98	3.85	3.92	1247200.00
1982-03-12	3.89	3.93	3.84	3.86	1305600.00
1982-03-15	3.93	4.00	3.85	3.99	1224400.00
1982-03-16	3.98	4.03	3.92	3.93	1113200.00
1982-03-17	3.92	3.98	3.85	3.86	759600.00
1982-03-18	3.92	3.98	3.86	3.94	1245200.00
1982-03-19	3.94	3.96	3.86	3.89	1400800.00
1982-03-22	3.96	4.01	3.91	4.01	1125600.00
1982-03-23	3.99	4.03	3.93	4.01	1092800.00
1982-03-24	4.03	4.08	3.98	4.03	1596800.00
1982-03-25	4.03	4.10	3.96	3.99	1070400.00
1982-03-26	3.90	3.98	3.82	3.85	1150400.00
1982-03-29	3.85	3.90	3.79	3.90	644800.00
1982-03-30	3.86	3.89	3.83	3.86	793200.00
1982-03-31	3.87	3.91	3.84	3.86	1119200.00
1982-04-01	3.92	4.01	3.83	4.01	1167600.00
1982-04-02	4.10	4.18	4.02	4.15	1537200.00
1982-04-05	4.08	4.15	4.01	4.06	699600.00
1982-04-06	4.10	4.15	4.06	4.13	776000.00
1982-04-07	4.18	4.21	4.13	4.18	1457600.00
1982-04-08	4.25	4.30	4.18	4.24	1549600.00
1982-04-12	4.21	4.25	4.17	4.18	884800.00
1982-04-13	4.18	4.23	4.13	4.15	804400.00
1982-04-14	4.11	4.15	4.08	4.13	692800.00
1982-04-15	4.10	4.12	4.07	4.10	452800.00
1982-04-16	4.10	4.19	4.09	4.12	768800.00
1982-04-19	4.10	4.13	4.06	4.07	713600.00
1982-04-20	3.98	4.06	3.90	3.93	1103600.00
1982-04-21	3.82	3.89	3.75	3.83	2250800.00
1982-04-22	3.98	4.07	3.87	4.07	2845600.00
1982-04-23	4.21	4.28	4.15	4.26	2343200.00
1982-04-26	4.34	4.43	4.24	4.35	2468000.00
1982-04-27	4.27	4.35	4.18	4.21	1718400.00
1982-04-28	4.20	4.26	4.15	4.23	1735600.00
1982-04-29	4.21	4.26	4.17	4.18	1164800.00
1982-04-30	4.20	4.24	4.17	4.17	911200.00
1982-05-03	4.19	4.24	4.15	4.23	1023200.00
1982-05-04	4.29	4.34	4.24	4.33	1966800.00
1982-05-05	4.30	4.36	4.24	4.29	1378800.00
1982-05-06	4.34	4.37	4.30	4.35	1312000.00
1982-05-07	4.44	4.49	4.38	4.44	1761600.00
1982-05-10	4.38	4.44	4.32	4.36	1481200.00
1982-05-11	4.40	4.47	4.30	4.43	2420400.00
1982-05-12	4.44	4.51	4.36	4.36	1472800.00
1982-05-13	4.43	4.46	4.38	4.42	1064000.00
1982-05-14	4.40	4.42	4.37	4.42	777600.00
1982-05-17	4.36	4.40	4.32	4.33	871600.00
1982-05-18	4.28	4.32	4.25	4.28	784800.00
1982-05-19	4.23	4.30	4.15	4.17	622800.00
1982-05-20	4.16	4.21	4.10	4.21	1421200.00
1982-05-21	4.25	4.27	4.21	4.25	993600.00
1982-05-24	4.21	4.26	4.17	4.26	747600.00
1982-05-25	4.26	4.32	4.19	4.19	988800.00
1982-05-26	4.10	4.13	4.07	4.08	2038800.00
1982-05-27	4.07	4.10	4.03	4.07	1097600.00
1982-05-28	4.02	4.09	3.94	3.96	880000.00
1982-06-01	4.02	4.06	3.99	4.06	1130400.00
1982-06-02	3.96	4.06	3.87	3.91	1629200.00
1982-06-03	3.82	3.91	3.72	3.82	2386800.00
1982-06-04	3.73	3.81	3.65	3.72	1426800.00
1982-06-07	3.67	3.73	3.60	3.70	2116000.00
1982-06-08	3.66	3.74	3.58	3.60	3626000.00
1982-06-09	3.50	3.56	3.43	3.50	2973600.00
1982-06-10	3.57	3.60	3.52	3.60	2408400.00
1982-06-11	3.69	3.75	3.63	3.74	2722000.00
1982-06-14	3.69	3.73	3.65	3.66	1371600.00
1982-06-15	3.61	3.65	3.58	3.62	1032000.00
1982-06-16	3.61	3.68	3.53	3.54	1276000.00
1982-06-17	3.51	3.56	3.46	3.48	1393200.00
1982-06-18	3.49	3.51	3.45	3.50	1168000.00
1982-06-21	3.54	3.60	3.48	3.51	1160800.00
1982-06-22	3.57	3.65	3.49	3.63	1119200.00
1982-06-23	3.69	3.77	3.61	3.77	1660400.00
1982-06-24	3.69	3.76	3.61	3.63	1463200.00
1982-06-25	3.59	3.62	3.54	3.54	887600.00
1982-06-28	3.59	3.62	3.54	3.60	1187600.00
1982-06-29	3.57	3.62	3.51	3.54	905600.00
1982-06-30	3.53	3.59	3.48	3.49	1291600.00
1982-07-01	3.43	3.50	3.35	3.36	1618800.00
1982-07-02	3.30	3.35	3.26	3.26	2031200.00
1982-07-06	3.32	3.36	3.26	3.36	1334800.00
1982-07-07	3.37	3.40	3.34	3.35	1024800.00
1982-07-08	3.32	3.40	3.24	3.38	2107600.00
1982-07-09	3.49	3.58	3.38	3.53	1682800.00
1982-07-12	3.37	3.42	3.33	3.42	1211600.00
1982-07-13	3.37	3.41	3.34	3.35	968800.00
1982-07-14	3.37	3.42	3.33	3.42	1211600.00
1982-07-15	3.40	3.45	3.34	3.35	1389600.00
1982-07-16	3.36	3.43	3.29	3.34	71600.00
1982-07-19	3.37	3.44	3.30	3.34	928400.00
1982-07-20	3.33	3.37	3.27	3.37	1279600.00
1982-07-21	3.40	3.44	3.34	3.35	1284800.00
1982-07-22	3.42	3.45	3.37	3.44	1768800.00
1982-07-23	3.56	3.62	3.48	3.60	1998000.00
1982-07-26	3.62	3.67	3.57	3.58	1618800.00
1982-07-27	3.54	3.61	3.48	3.50	1047200.00
1982-07-28	3.44	3.50	3.37	3.41	1122800.00
1982-07-29	3.40	3.45	3.33	3.37	2087600.00
1982-07-30	3.30	3.37	3.22	3.26	1843600.00
1982-08-02	3.35	3.40	3.30	3.40	1775600.00
1982-08-03	3.36	3.41	3.32	3.34	1417200.00
1982-08-04	3.32	3.35	3.27	3.27	1465200.00
1982-08-05	3.24	3.29	3.17	3.27	1702800.00
1982-08-06	3.25	3.32	3.18	3.20	1114800.00
1982-08-09	3.22	3.30	3.14	3.27	1387600.00
1982-08-10	3.26	3.33	3.18	3.19	1289600.00
1982-08-11	3.18	3.21	3.14	3.20	991600.00
1982-08-12	3.17	3.25	3.08	3.10	1140000.00
1982-08-13	3.10	3.13	3.07	3.11	2291200.00
1982-08-16	2.99	3.16	2.80	2.87	3632400.00
1982-08-17	2.92	3.05	2.77	3.01	4498800.00
1982-08-18	3.01	3.13	2.87	3.01	3756800.00
1982-08-19	2.85	2.96	2.73	2.95	3962400.00
1982-08-20	3.00	3.10	2.89	3.10	3162800.00
1982-08-23	3.13	3.21	3.05	3.21	3111600.00
1982-08-24	3.29	3.40	3.19	3.28	2958800.00
1982-08-25	3.35	3.45	3.25	3.41	3545600.00
1982-08-26	3.43	3.53	3.33	3.36	3864000.00
1982-08-27	3.32	3.36	3.27	3.34	1279600.00
1982-08-30	3.28	3.34	3.22	3.33	1742400.00
1982-08-31	3.35	3.38	3.32	3.33	924000.00
1982-09-01	3.34	3.41	3.26	3.30	2341600.00
1982-09-02	3.30	3.36	3.25	3.34	1636800.00
1982-09-03	3.50	3.56	3.43	3.56	4520400.00
1982-09-07	3.50	3.55	3.44	3.45	1275600.00
1982-09-08	3.47	3.52	3.42	3.47	1636400.00
1982-09-09	3.41	3.46	3.34	3.39	2248800.00
1982-09-10	3.35	3.42	3.28	3.34	1358000.00
1982-09-13	3.38	3.46	3.29	3.46	1347200.00
1982-09-14	3.53	3.59	3.46	3.54	2354400.00
1982-09-15	3.54	3.59	3.50	3.59	1173200.00
1982-09-16	3.49	3.57	3.39	3.41	1657600.00
1982-09-17	3.42	3.46	3.36	3.42	1515600.00
1982-09-20	3.42	3.45	3.37	3.43	1437200.00
1982-09-21	3.47	3.51	3.44	3.51	1305600.00
1982-09-22	3.47	3.55	3.39	3.39	1896400.00
1982-09-23	3.41	3.44	3.36	3.36	1127200.00
1982-09-24	3.36	3.41	3.30	3.35	1388800.00
1982-09-27	3.28	3.34	3.22	3.30	1375600.00
1982-09-28	3.28	3.31	3.23	3.27	1676000.00
1982-09-29	3.26	3.28	3.23	3.26	1942400.00
1982-09-30	3.21	3.26	3.15	3.21	1240400.00
1982-10-01	3.22	3.27	3.16	3.26	2082800.00
1982-10-04	3.22	3.26	3.18	3.22	2473600.00
1982-10-05	3.26	3.31	3.19	3.19	2047200.00
1982-10-06	3.13	3.20	3.06	3.18	3412000.00
1982-10-07	3.43	3.60	3.24	3.36	3465600.00
1982-10-08	3.41	3.44	3.36	3.43	2926400.00
1982-10-11	3.59	3.70	3.46	3.60	5180400.00
1982-10-12	3.82	3.90	3.63	3.88	4503600.00
1982-10-13	4.07	4.24	3.91	4.10	5331200.00
1982-10-14	4.08	4.22	3.93	3.98	3882400.00
1982-10-15	3.94	4.04	3.85	3.96	2301200.00
1982-10-18	4.02	4.10	3.94	4.10	1582000.00
1982-10-19	4.04	4.15	3.92	3.97	2284400.00
1982-10-20	3.97	4.06	3.86	4.06	1906000.00
1982-10-21	3.96	4.09	3.82	3.94	2336800.00
1982-10-22	3.92	4.02	3.82	3.85	1726400.00
1982-10-25	3.66	3.73	3.58	3.63	2618800.00
1982-10-26	3.62	3.69	3.55	3.61	2934400.00
1982-10-27	3.73	3.81	3.65	3.75	2566400.00
1982-10-28	3.73	3.77	3.67	3.68	1262800.00
1982-10-29	3.52	3.63	3.39	3.39	2125600.00
1982-11-01	3.60	3.65	3.54	3.61	1555600.00
1982-11-02	3.73	3.80	3.65	3.66	2200000.00
1982-11-03	3.78	3.94	3.62	3.92	3320400.00
1982-11-04	3.97	4.05	3.88	3.93	3409600.00
1982-11-05	3.86	3.93	3.78	3.81	1910000.00
1982-11-08	3.77	3.83	3.71	3.81	2140000.00
