Date	Close	High	Low	Open	Volume
	SMFG	SMFG	SMFG	SMFG	SMFG
2006-01-27	21.30	21.68	21.19	21.30	107700
2006-01-30	21.59	21.91	21.21	21.59	184100
2006-01-31	22.25	22.44	21.68	22.25	166750
2006-02-01	21.87	22.06	20.07	21.87	144000
2006-02-02	21.30	21.74	21.11	21.30	207050
2006-02-03	21.40	21.68	21.30	21.40	150650
2006-02-06	20.73	21.40	20.73	20.73	115000
2006-02-07	20.16	20.92	20.16	20.16	164650
2006-02-08	20.54	20.54	19.88	20.54	145750
2006-02-09	20.92	21.30	20.45	20.92	186250
2006-02-10	20.45	22.35	20.07	20.45	208750
2006-02-13	19.78	20.07	19.59	19.78	96600
2006-02-14	20.54	20.83	20.45	20.54	120200
2006-02-15	20.45	20.73	20.16	20.45	111250
2006-02-16	20.92	20.92	20.35	20.92	317900
2006-02-17	20.16	20.27	19.88	20.16	108450
2006-02-21	20.16	20.54	19.97	20.16	75950
2006-02-22	20.26	20.35	19.88	20.26	110400
2006-02-23	20.64	20.83	20.33	20.64	234950
2006-02-24	21.11	21.11	20.54	21.11	111700
2006-02-27	20.92	21.11	20.64	20.92	2570150
2006-02-28	20.83	21.11	20.54	20.83	3527450
2006-03-01	21.11	21.21	20.64	21.11	84950
2006-03-02	20.64	21.02	19.21	20.64	120750
2006-03-03	20.64	20.83	20.35	20.64	77250
2006-03-06	20.35	20.83	20.16	20.35	96750
2006-03-07	20.26	20.54	20.07	20.26	267900
2006-03-08	20.07	20.35	19.97	20.07	148400
2006-03-09	20.64	20.73	20.14	20.64	221050
2006-03-10	20.64	20.73	20.26	20.64	86650
2006-03-13	20.16	20.83	20.16	20.16	236950
2006-03-14	20.35	20.64	20.26	20.35	295300
2006-03-15	20.35	20.64	20.26	20.35	375700
2006-03-16	19.97	20.07	19.69	19.97	96200
2006-03-17	19.78	20.07	19.69	19.78	91750
2006-03-20	20.54	20.92	20.45	20.54	85500
2006-03-21	20.35	20.64	20.26	20.35	81200
2006-03-22	20.07	20.45	20.07	20.07	99450
2006-03-23	19.78	20.45	19.59	19.78	193150
2006-03-24	19.97	20.35	19.78	19.97	61750
2006-03-27	20.07	20.35	19.97	20.07	125800
2006-03-28	19.78	20.35	19.78	19.78	116050
2006-03-29	20.45	20.45	19.97	20.45	106450
2006-03-30	20.73	21.11	20.64	20.73	161550
2006-03-31	20.92	21.21	20.73	20.92	200400
2006-04-03	21.34	21.49	21.02	21.34	204100
2006-04-04	21.30	21.59	21.23	21.30	73500
2006-04-05	21.59	21.83	21.40	21.59	98100
2006-04-06	22.06	22.16	21.68	22.06	135250
2006-04-07	22.06	22.33	21.87	22.06	95750
2006-04-10	22.35	22.35	21.97	22.35	47050
2006-04-11	21.49	22.16	21.49	21.49	107800
2006-04-12	21.97	22.16	21.49	21.97	165800
2006-04-13	21.87	21.89	21.68	21.87	75650
2006-04-17	21.30	21.40	21.02	21.30	50100
2006-04-18	21.68	21.78	21.40	21.68	143650
2006-04-19	21.68	21.78	21.30	21.68	68650
2006-04-20	20.92	21.30	20.85	20.92	64550
2006-04-21	21.11	21.49	20.92	21.11	155100
2006-04-24	21.02	21.21	21.02	21.02	63300
2006-04-25	21.30	21.49	21.02	21.30	93300
2006-04-26	20.92	21.21	20.73	20.92	69800
2006-04-27	21.36	21.40	21.02	21.36	126900
2006-04-28	20.64	20.83	20.54	20.64	106650
2006-05-01	20.64	21.11	20.64	20.64	96850
2006-05-02	21.11	21.30	20.83	21.11	127850
2006-05-03	21.11	21.30	20.92	21.11	71600
2006-05-04	21.30	21.40	21.02	21.30	90950
2006-05-05	21.68	21.68	21.11	21.68	82000
2006-05-08	21.97	22.06	21.68	21.97	69850
2006-05-09	21.99	22.06	21.68	21.99	68900
2006-05-10	21.97	22.16	21.59	21.97	70750
2006-05-11	21.59	21.91	21.59	21.59	110100
2006-05-12	21.68	22.06	21.49	21.68	219750
2006-05-15	22.06	23.89	21.40	22.06	119900
2006-05-16	21.30	21.40	21.02	21.30	127550
2006-05-17	20.46	21.43	20.35	20.46	246250
2006-05-18	20.83	20.92	20.54	20.83	102850
2006-05-19	20.92	21.11	19.97	20.92	152750
2006-05-22	20.16	20.45	19.78	20.16	85550
2006-05-23	19.80	20.16	19.59	19.80	110650
2006-05-24	19.59	19.80	19.38	19.59	425050
2006-05-25	19.69	19.69	19.02	19.69	169100
