Date	Close	High	Low	Open	Volume
	SNDK	SNDK	SNDK	SNDK	SNDK
2025-02-13	36.00	44.00	34.99	35.06	369100
2025-02-14	36.65	38.25	35.51	37.00	242700
2025-02-18	47.15	47.15	39.00	40.53	444500
2025-02-19	46.00	48.50	45.50	46.51	220700
2025-02-20	48.26	49.49	46.71	48.98	446200
2025-02-21	50.37	50.69	48.00	48.99	1252100
2025-02-24	48.60	53.00	46.21	52.00	33848500
2025-02-25	48.16	55.01	47.81	48.30	8198900
2025-02-26	46.58	49.91	45.30	46.15	8389000
2025-02-27	45.16	47.87	41.58	46.04	9676100
2025-02-28	46.85	48.70	43.75	45.23	7713800
2025-03-03	50.31	50.88	47.60	48.49	4813000
2025-03-04	48.69	50.10	45.10	46.69	6074700
2025-03-05	48.47	49.40	46.50	47.60	5071800
2025-03-06	46.50	49.06	45.24	47.41	4157300
2025-03-07	51.00	51.13	47.16	49.20	7825500
2025-03-10	53.00	53.67	49.55	50.49	5223800
2025-03-11	52.16	53.19	49.82	51.84	3153400
2025-03-12	50.44	53.10	50.38	53.00	2177500
2025-03-13	48.44	50.87	47.86	50.00	3547400
2025-03-14	54.82	54.94	49.43	49.43	4847600
2025-03-17	55.65	58.36	54.74	54.80	2930700
2025-03-18	56.42	57.89	54.57	55.14	2587300
2025-03-19	56.33	57.60	55.67	56.30	2520700
2025-03-20	56.21	57.17	54.92	56.51	2701900
2025-03-21	53.96	55.45	51.92	55.10	6372200
2025-03-24	52.99	55.69	51.84	54.61	3562800
2025-03-25	52.20	53.18	51.76	52.13	3079000
2025-03-26	52.62	53.70	51.98	53.53	1242400
2025-03-27	52.88	54.24	51.71	51.95	1618100
2025-03-28	48.97	52.89	48.46	52.21	3987300
2025-03-31	47.61	48.40	47.02	47.41	2113400
2025-04-01	48.11	49.36	46.58	47.55	2115600
2025-04-02	47.67	48.71	46.51	46.92	1725300
2025-04-03	38.26	44.80	37.55	44.80	7372000
2025-04-04	30.11	35.87	28.36	35.72	11428600
2025-04-07	31.48	32.98	27.89	29.22	6238600
2025-04-08	32.35	35.84	31.66	33.00	5979600
2025-04-09	36.58	39.65	31.26	31.92	5601600
2025-04-10	31.08	35.03	30.51	34.60	4153400
2025-04-11	31.97	32.05	28.27	30.56	4856000
2025-04-14	33.55	36.17	32.48	33.75	4102300
2025-04-15	33.23	34.56	32.89	33.30	1936800
2025-04-16	32.03	33.12	30.75	32.30	2321000
2025-04-17	31.29	32.66	30.39	31.75	2057200
2025-04-21	29.81	31.07	28.94	31.07	2579400
2025-04-22	29.62	31.12	29.32	30.26	2883700
2025-04-23	30.36	32.78	30.20	31.99	2750200
2025-04-24	32.29	32.98	30.31	30.81	2590500
2025-04-25	32.85	33.37	31.60	32.26	1322100
2025-04-28	32.27	33.00	31.66	32.63	1421000
2025-04-29	32.94	33.04	31.39	31.39	1385900
2025-04-30	32.11	32.47	31.01	31.84	2322100
2025-05-01	32.59	34.19	32.48	32.48	1910200
2025-05-02	34.40	35.41	33.05	33.11	2193700
2025-05-05	34.61	35.23	33.53	33.83	1993800
2025-05-06	33.83	34.43	33.46	34.02	1707600
2025-05-07	34.97	35.56	33.38	34.00	3640000
2025-05-08	36.66	37.76	33.13	34.97	4969000
2025-05-09	37.74	38.79	37.28	37.96	2039200
2025-05-12	41.27	42.24	40.00	41.14	5374400
2025-05-13	42.00	43.80	41.30	41.85	2186700
2025-05-14	41.93	43.43	41.01	42.00	1828400
2025-05-15	40.54	41.86	39.75	41.17	1930800
2025-05-16	40.44	41.00	39.92	40.52	2132500
2025-05-19	38.78	39.50	38.53	39.33	1765400
2025-05-20	40.18	41.11	38.45	38.78	1756400
2025-05-21	38.60	40.48	38.35	40.04	1816200
2025-05-22	37.84	39.28	37.77	38.40	1764900
2025-05-23	37.28	37.57	35.79	36.25	1232900
2025-05-27	38.18	38.62	37.50	37.94	1411000
2025-05-28	38.58	38.91	37.80	38.40	1055800
2025-05-29	38.60	39.22	37.69	39.04	1501900
2025-05-30	37.69	38.45	36.68	38.19	5499600
2025-06-02	37.33	37.88	36.21	37.54	1621000
2025-06-03	38.64	39.24	36.87	37.45	1294000
2025-06-04	39.82	40.27	38.35	38.64	1860500
2025-06-05	39.12	40.45	37.33	39.38	5456000
2025-06-06	39.15	40.15	38.53	39.73	10955500
2025-06-09	41.82	42.24	39.55	40.27	10990300
2025-06-10	41.59	42.66	40.75	41.79	4056300
2025-06-11	40.23	43.23	39.89	42.38	3891800
2025-06-12	41.30	41.83	39.44	39.67	2052000
2025-06-13	42.50	42.83	40.78	41.00	2755900
2025-06-16	44.21	44.85	42.56	43.37	2901800
2025-06-17	44.09	44.56	43.53	44.23	2914900
2025-06-18	46.62	47.43	44.86	45.00	3351400
2025-06-20	46.58	48.21	44.76	46.98	4762700
2025-06-23	46.95	48.25	45.80	46.36	1791600
2025-06-24	47.34	48.75	46.71	47.18	1740600
2025-06-25	47.25	48.16	47.05	47.34	2357900
2025-06-26	47.44	49.82	47.07	49.60	3449600
2025-06-27	47.15	47.74	46.19	47.23	3624000
2025-06-30	45.35	47.34	45.33	47.23	3034600
2025-07-01	44.96	45.92	44.30	45.70	2893400
2025-07-02	46.21	46.24	44.17	44.52	3509400
2025-07-03	46.41	47.32	45.89	46.10	1441600
2025-07-07	45.22	47.24	45.09	47.14	2446100
2025-07-08	46.17	47.25	45.61	46.12	2347200
2025-07-09	46.20	47.09	45.99	46.12	1575100
2025-07-10	46.95	47.75	46.62	47.37	1734300
2025-07-11	46.09	47.42	45.83	46.29	1242000
2025-07-14	42.48	44.85	41.46	44.63	5486900
2025-07-15	42.72	43.45	42.51	42.80	2398200
2025-07-16	41.36	42.96	40.30	42.76	2338400
2025-07-17	41.52	42.26	41.04	41.40	2290100
2025-07-18	42.19	42.28	40.84	41.54	1678600
2025-07-21	41.61	42.28	40.55	41.73	2174200
2025-07-22	41.36	41.98	40.89	41.51	1846700
2025-07-23	43.00	43.65	41.06	41.06	2220800
2025-07-24	42.06	43.50	42.03	43.08	1347100
2025-07-25	42.48	42.60	41.50	42.48	869200
2025-07-28	41.89	43.24	41.57	43.08	851300
2025-07-29	42.93	43.19	41.68	42.26	1202600
2025-07-30	43.39	43.47	42.07	42.07	1334800
2025-07-31	42.92	44.62	42.24	43.73	1849200
2025-08-01	41.33	42.22	40.10	42.18	1661800
2025-08-04	42.51	42.54	41.60	42.11	1540000
2025-08-05	41.93	43.40	41.37	42.53	1422900
2025-08-06	42.10	43.00	41.62	42.72	1553800
2025-08-07	40.69	42.35	40.53	42.00	2207200
2025-08-08	44.34	44.85	41.00	41.41	3516500
2025-08-11	43.37	46.35	43.17	45.70	3095000
2025-08-12	46.83	47.86	45.00	45.21	3204500
2025-08-13	47.01	48.46	46.80	47.02	2348500
2025-08-14	46.68	47.26	46.08	46.43	3549300
2025-08-15	44.54	46.13	42.82	43.06	7519200
2025-08-18	45.52	45.87	44.25	44.25	2541700
2025-08-19	44.58	46.50	44.26	46.23	2372900
2025-08-20	44.40	45.00	43.20	44.86	1526800
2025-08-21	45.50	45.60	43.56	43.87	1802300
2025-08-22	46.37	47.19	45.63	46.11	2208300
2025-08-25	46.78	46.88	46.01	46.36	1318100
2025-08-26	47.35	48.21	46.75	46.75	2577800
2025-08-27	48.44	49.08	47.40	47.40	2145100
2025-08-28	50.87	51.23	48.56	48.56	2919400
2025-08-29	52.47	52.94	50.82	51.15	4228000
2025-09-02	51.07	51.70	50.07	51.01	2023400
2025-09-03	53.01	53.22	50.65	51.92	1689700
2025-09-04	62.50	62.65	55.55	55.67	10189000
2025-09-05	68.55	68.67	63.74	65.52	9050000
2025-09-08	70.50	71.00	67.86	68.65	5869100
2025-09-09	70.51	71.40	69.57	70.26	3364300
2025-09-10	73.92	74.49	72.03	72.42	4053000
2025-09-11	84.30	85.89	81.38	82.30	10167400
2025-09-12	86.13	86.96	82.28	85.31	5641700
2025-09-15	90.09	92.06	85.12	85.30	8981300
2025-09-16	91.55	93.13	89.56	90.31	6292100
2025-09-17	93.97	94.81	90.22	90.78	7031000
2025-09-18	98.87	102.93	96.86	97.30	9441900
2025-09-19	102.21	102.99	96.71	98.00	6459900
2025-09-22	102.92	108.80	101.59	105.76	7692200
2025-09-23	106.40	110.21	104.70	105.00	7835000
2025-09-24	99.83	107.72	96.63	103.56	12409300
2025-09-25	94.29	100.45	93.54	96.26	10569300
2025-09-26	97.12	99.65	94.39	96.00	6418000
2025-09-29	113.50	114.00	103.35	104.25	12435400
2025-09-30	112.20	120.74	112.11	114.10	11414800
2025-10-01	121.12	123.85	112.00	113.06	12237400
2025-10-02	124.14	132.29	123.26	128.69	9453400
2025-10-03	128.41	137.05	126.70	128.29	10193700
2025-10-06	121.17	134.79	119.29	133.60	9963900
2025-10-07	120.95	125.20	115.68	125.20	6594600
2025-10-08	131.88	132.28	120.20	121.50	7173400
2025-10-09	129.68	131.60	126.12	127.00	3561500
2025-10-10	116.91	132.00	116.17	131.46	7860200
2025-10-13	134.61	135.91	124.05	129.74	8297300
2025-10-14	127.29	130.48	120.96	123.59	7078600
2025-10-15	144.30	144.55	130.50	134.75	8971100
2025-10-16	144.27	149.09	141.70	146.00	6289600
2025-10-17	140.16	150.82	136.29	139.22	8279800
2025-10-20	148.04	152.63	145.50	145.98	6626100
2025-10-21	149.29	150.16	142.76	145.80	4177900
