Date	Open	High	Low	Close	Volume
2015-10-12	22.42	22.42	22.39	22.39	200.00
2015-10-13	22.39	22.39	22.39	22.39	0.00
2015-10-14	22.39	22.39	22.39	22.39	0.00
2015-10-15	22.39	22.39	22.39	22.39	0.00
2015-10-16	22.53	22.53	22.52	22.52	200.00
2015-10-19	22.52	22.52	22.52	22.52	0.00
2015-10-20	22.52	22.52	22.52	22.52	0.00
2015-10-21	22.52	22.52	22.52	22.52	0.00
2015-10-22	22.61	22.70	22.61	22.70	200.00
2015-10-23	22.70	22.70	22.70	22.70	0.00
2015-10-26	22.93	22.93	22.93	22.93	100.00
2015-10-27	22.93	22.93	22.93	22.93	0.00
2015-10-28	23.43	23.43	23.43	23.43	1100.00
2015-10-29	23.38	23.38	23.38	23.38	2100.00
2015-10-30	23.27	23.27	23.27	23.27	100.00
2015-11-02	23.27	23.27	23.27	23.27	100.00
2015-11-03	23.27	23.27	23.27	23.27	0.00
2015-11-04	23.27	23.27	23.27	23.27	0.00
2015-11-05	23.20	23.20	23.20	23.20	200.00
2015-11-06	23.22	23.22	23.22	23.22	1000.00
2015-11-09	23.22	23.22	23.22	23.22	0.00
2015-11-10	23.07	23.07	23.07	23.07	500.00
2015-11-11	23.07	23.07	23.07	23.07	0.00
2015-11-12	23.07	23.07	23.07	23.07	0.00
2015-11-13	22.60	22.60	22.60	22.60	200.00
2015-11-16	22.49	22.71	22.49	22.71	300.00
2015-11-17	22.71	22.71	22.71	22.71	0.00
2015-11-18	22.71	22.71	22.71	22.71	0.00
2015-11-19	23.13	23.13	23.09	23.09	500.00
2015-11-20	23.09	23.09	23.09	23.09	0.00
2015-11-23	23.09	23.09	23.09	23.09	0.00
2015-11-24	23.11	23.16	23.11	23.16	400.00
2015-11-25	23.51	23.51	23.51	23.51	200.00
2015-11-27	23.51	23.51	23.51	23.51	0.00
2015-11-30	23.51	23.51	23.51	23.51	0.00
2015-12-01	23.44	23.44	23.43	23.43	2000.00
2015-12-02	23.43	23.43	23.43	23.43	0.00
2015-12-03	23.43	23.43	23.43	23.43	0.00
2015-12-04	23.43	23.43	23.43	23.43	0.00
2015-12-07	23.43	23.43	23.43	23.43	0.00
2015-12-08	23.43	23.43	23.43	23.43	0.00
2015-12-09	23.43	23.43	23.43	23.43	0.00
2015-12-10	23.43	23.43	23.43	23.43	0.00
2015-12-11	23.43	23.43	23.43	23.43	0.00
2015-12-14	23.43	23.43	23.43	23.43	0.00
2015-12-15	23.43	23.43	23.43	23.43	0.00
2015-12-16	23.43	23.43	23.43	23.43	0.00
2015-12-17	23.43	23.43	23.43	23.43	0.00
2015-12-18	23.01	23.01	23.01	23.01	500.00
2015-12-21	23.01	23.01	23.01	23.01	0.00
2015-12-22	23.01	23.01	23.01	23.01	0.00
2015-12-23	23.01	23.01	23.01	23.01	0.00
2015-12-24	23.01	23.01	23.01	23.01	0.00
2015-12-28	23.01	23.01	23.01	23.01	0.00
2015-12-29	23.01	23.01	23.01	23.01	0.00
2015-12-30	23.01	23.01	23.01	23.01	0.00
2015-12-31	23.01	23.01	23.01	23.01	0.00
2016-01-04	23.01	23.01	23.01	23.01	0.00
2016-01-05	23.01	23.01	23.01	23.01	0.00
2016-01-06	22.74	22.74	22.74	22.74	200.00
2016-01-07	22.74	22.74	22.74	22.74	0.00
2016-01-08	22.74	22.74	22.74	22.74	0.00
2016-01-11	22.74	22.74	22.74	22.74	0.00
2016-01-12	22.74	22.74	22.74	22.74	0.00
2016-01-13	22.74	22.74	22.74	22.74	0.00
2016-01-14	21.91	21.91	21.91	21.91	300.00
2016-01-15	21.91	21.91	21.91	21.91	0.00
2016-01-19	22.23	22.23	22.23	22.23	400.00
2016-01-20	22.23	22.23	22.23	22.23	0.00
2016-01-21	21.68	21.68	21.68	21.68	1000.00
2016-01-22	21.68	21.68	21.68	21.68	0.00
2016-01-25	21.68	21.68	21.68	21.68	0.00
2016-01-26	21.68	21.68	21.68	21.68	0.00
2016-01-27	21.68	21.68	21.68	21.68	0.00
2016-01-28	21.70	21.70	21.70	21.70	800.00
2016-01-29	21.68	22.09	21.68	22.09	3300.00
2016-02-01	22.09	22.09	22.09	22.09	0.00
2016-02-02	21.94	21.94	21.85	21.85	300.00
2016-02-03	21.86	21.86	21.85	21.85	600.00
2016-02-04	21.85	21.85	21.85	21.85	0.00
2016-02-05	21.18	21.18	21.18	21.18	800.00
2016-02-08	21.18	21.18	21.18	21.18	0.00
2016-02-09	21.18	21.18	21.18	21.18	0.00
2016-02-10	21.10	21.10	21.10	21.10	300.00
2016-02-11	21.10	21.10	21.10	21.10	0.00
2016-02-12	20.92	20.92	20.92	20.92	100.00
2016-02-16	21.38	21.38	21.38	21.38	100.00
2016-02-17	21.38	21.38	21.38	21.38	0.00
2016-02-18	21.68	21.68	21.68	21.68	200.00
2016-02-19	21.68	21.68	21.68	21.68	0.00
2016-02-22	22.05	22.05	22.05	22.05	1000.00
2016-02-23	22.05	22.05	22.05	22.05	0.00
2016-02-24	22.05	22.05	22.05	22.05	0.00
2016-02-25	22.05	22.05	22.05	22.05	0.00
2016-02-26	22.05	22.05	22.05	22.05	100.00
2016-02-29	22.05	22.05	22.05	22.05	0.00
2016-03-01	22.05	22.05	22.05	22.05	0.00
2016-03-02	22.05	22.05	22.05	22.05	0.00
2016-03-03	22.05	22.05	22.05	22.05	0.00
2016-03-04	22.49	22.49	22.43	22.43	400.00
2016-03-07	22.43	22.43	22.43	22.43	0.00
2016-03-08	22.43	22.43	22.43	22.43	0.00
2016-03-09	22.43	22.43	22.43	22.43	0.00
2016-03-10	22.43	22.43	22.43	22.43	0.00
2016-03-11	22.43	22.43	22.43	22.43	0.00
2016-03-14	22.43	22.43	22.43	22.43	0.00
2016-03-15	22.43	22.43	22.43	22.43	0.00
2016-03-16	22.43	22.43	22.43	22.43	0.00
2016-03-17	22.50	22.59	22.50	22.59	1700.00
2016-03-18	22.59	22.59	22.59	22.59	0.00
2016-03-21	22.59	22.59	22.59	22.59	0.00
2016-03-22	22.59	22.59	22.59	22.59	0.00
2016-03-23	22.59	22.59	22.59	22.59	0.00
2016-03-24	22.59	22.59	22.59	22.59	0.00
2016-03-28	22.59	22.59	22.59	22.59	0.00
2016-03-29	22.59	22.59	22.59	22.59	0.00
2016-03-30	23.24	23.24	23.24	23.24	200.00
2016-03-31	23.24	23.24	23.24	23.24	0.00
2016-04-01	23.24	23.24	23.24	23.24	0.00
2016-04-04	23.24	23.24	23.24	23.24	0.00
2016-04-05	23.24	23.24	23.24	23.24	0.00
2016-04-06	23.24	23.24	23.24	23.24	0.00
2016-04-07	23.00	23.00	23.00	23.00	400.00
2016-04-08	23.13	23.13	23.13	23.13	1600.00
2016-04-11	23.13	23.13	23.13	23.13	0.00
2016-04-12	23.13	23.13	23.13	23.13	0.00
2016-04-13	23.13	23.13	23.13	23.13	0.00
2016-04-14	23.16	23.16	23.16	23.16	2500.00
2016-04-15	23.16	23.16	23.16	23.16	0.00
