Date	Open	High	Low	Close	Volume
2015-09-24	17.18	17.28	17.18	17.28	2000.00
2015-09-25	17.47	17.47	17.47	17.47	400.00
2015-09-28	16.91	16.91	16.89	16.89	400.00
2015-09-29	16.89	16.89	16.89	16.89	0.00
2015-09-30	17.12	17.12	17.09	17.09	400.00
2015-10-01	17.15	17.15	17.15	17.15	200.00
2015-10-02	17.24	17.28	17.24	17.28	1000.00
2015-10-05	17.28	17.28	17.28	17.28	0.00
2015-10-06	17.28	17.28	17.28	17.28	0.00
2015-10-07	17.79	17.79	17.79	17.79	200.00
2015-10-08	17.91	17.91	17.91	17.91	200.00
2015-10-09	17.99	17.99	17.93	17.97	9400.00
2015-10-12	17.97	18.00	17.96	18.00	202800.00
2015-10-13	17.86	17.86	17.86	17.86	12000.00
2015-10-14	17.86	17.86	17.86	17.86	0.00
2015-10-15	17.86	17.86	17.86	17.86	0.00
2015-10-16	18.07	18.07	18.07	18.07	200.00
2015-10-19	18.17	18.17	18.15	18.15	1800.00
2015-10-20	18.11	18.21	18.11	18.13	2600.00
2015-10-21	18.13	18.13	18.13	18.13	0.00
2015-10-22	18.13	18.13	18.13	18.13	0.00
2015-10-23	18.54	18.54	18.54	18.54	400.00
2015-10-26	18.54	18.54	18.51	18.53	4800.00
2015-10-27	18.49	18.52	18.49	18.52	1000.00
2015-10-28	18.54	18.58	18.54	18.58	600.00
2015-10-29	18.58	18.58	18.58	18.58	0.00
2015-10-30	18.58	18.58	18.58	18.58	0.00
2015-11-02	18.68	18.74	18.68	18.74	16400.00
2015-11-03	18.76	18.79	18.76	18.79	20800.00
2015-11-04	18.79	18.79	18.79	18.79	0.00
2015-11-05	18.69	18.69	18.69	18.69	2200.00
2015-11-06	18.69	18.69	18.69	18.69	0.00
2015-11-09	18.59	18.59	18.59	18.59	600.00
2015-11-10	18.56	18.58	18.56	18.58	400.00
2015-11-11	18.61	18.61	18.61	18.61	4000.00
2015-11-12	18.43	18.43	18.43	18.43	200.00
2015-11-13	18.20	18.20	18.15	18.15	2000.00
2015-11-16	18.19	18.19	18.19	18.19	200.00
2015-11-17	18.35	18.35	18.34	18.34	1000.00
2015-11-18	18.57	18.57	18.57	18.57	200.00
2015-11-19	18.67	18.69	18.67	18.67	58000.00
2015-11-20	18.79	18.79	18.76	18.76	800.00
2015-11-23	18.76	18.77	18.75	18.75	13400.00
2015-11-24	18.62	18.71	18.62	18.71	2000.00
2015-11-25	18.71	18.71	18.71	18.71	0.00
2015-11-27	18.74	18.74	18.74	18.74	400.00
