Date	Open	High	Low	Close	Volume
2008-11-05	3.73	3.80	3.24	3.29	229200.00
2008-11-06	3.22	3.25	2.75	2.79	4332000.00
2008-11-07	2.87	3.01	2.80	2.99	6978000.00
2008-11-10	3.22	3.22	2.78	2.87	5785200.00
2008-11-11	2.74	2.86	2.55	2.68	11479200.00
2008-11-12	2.58	2.58	2.34	2.38	13312800.00
2008-11-13	2.36	2.74	1.99	2.73	32067600.00
2008-11-14	2.53	2.78	2.36	2.38	34303200.00
2008-11-17	2.29	2.46	2.20	2.21	44524800.00
2008-11-18	2.20	2.32	2.01	2.23	61130400.00
2008-11-19	2.23	2.30	1.83	1.87	75193200.00
2008-11-20	1.80	1.94	1.43	1.55	137044800.00
2008-11-21	1.76	1.76	1.40	1.72	124576800.00
2008-11-24	1.84	2.17	1.80	2.01	98185200.00
2008-11-25	2.20	2.21	1.96	2.13	80054400.00
2008-11-26	2.00	2.36	2.00	2.35	61237200.00
2008-11-28	2.32	2.42	2.31	2.42	21645600.00
2008-12-01	2.23	2.23	1.77	1.79	101854800.00
2008-12-02	1.88	1.99	1.79	1.98	109262400.00
2008-12-03	1.85	2.16	1.83	2.13	136166400.00
2008-12-04	2.05	2.19	1.86	1.96	109459200.00
2008-12-05	1.87	2.18	1.77	2.16	167187600.00
2008-12-08	2.35	2.48	2.30	2.40	142784400.00
2008-12-09	2.33	2.48	2.23	2.26	126266400.00
2008-12-10	2.34	2.42	2.24	2.33	125726400.00
2008-12-11	2.29	2.40	2.11	2.16	113610000.00
2008-12-12	1.97	2.24	1.95	2.22	142026000.00
2008-12-15	2.25	2.26	2.04	2.12	91215600.00
2008-12-16	2.18	2.45	2.18	2.45	121978800.00
2008-12-17	2.37	2.51	2.32	2.39	118600800.00
2008-12-18	2.42	2.44	2.17	2.25	94359600.00
2008-12-19	2.28	2.39	2.22	2.25	97183200.00
2008-12-22	2.26	2.26	2.02	2.15	76341600.00
2008-12-23	2.17	2.20	2.06	2.08	68952000.00
2008-12-24	2.11	2.12	2.06	2.10	17952000.00
2008-12-26	2.15	2.16	2.10	2.15	19194000.00
2008-12-29	2.16	2.16	2.03	2.13	46562400.00
2008-12-30	2.17	2.28	2.14	2.28	57126000.00
2008-12-31	2.29	2.43	2.27	2.35	65361600.00
2009-01-02	2.40	2.63	2.35	2.58	87174000.00
2009-01-05	2.55	2.66	2.50	2.58	111709200.00
2009-01-06	2.65	2.72	2.58	2.65	119607600.00
2009-01-07	2.51	2.55	2.36	2.42	116395200.00
2009-01-08	2.37	2.45	2.34	2.45	104341200.00
